time,free,used
2022-06-25 05:39:31,27561.3,4550.93
2022-06-25 05:39:30,27563.6,4548.62
2022-06-25 05:39:29,26851.9,5260.37
2022-06-25 05:39:28,26851.9,5260.34
2022-06-25 05:39:27,26852.4,5259.82
2022-06-25 05:39:26,26852.9,5259.38
2022-06-25 05:39:25,26854.9,5257.35
2022-06-25 05:39:24,26860.7,5251.48
2022-06-25 05:39:23,26861.1,5251.18
2022-06-25 05:39:22,26861.2,5251
2022-06-25 05:39:21,26862.4,5249.81
2022-06-25 05:39:20,26862.4,5249.83
2022-06-25 05:39:19,26862.7,5249.57
2022-06-25 05:39:18,26871.7,5240.5
2022-06-25 05:39:17,26872,5240.24
2022-06-25 05:39:16,26873.8,5238.47
2022-06-25 05:39:15,26874.2,5238.01
2022-06-25 05:39:14,26874.7,5237.56
2022-06-25 05:39:13,26894.6,5217.61
2022-06-25 05:39:12,26894.9,5217.35
2022-06-25 05:39:11,26904.5,5207.77
2022-06-25 05:39:10,26904.6,5207.59
2022-06-25 05:39:09,26904.8,5207.46
2022-06-25 05:39:08,26905.2,5207.03
2022-06-25 05:39:07,26904,5208.21
2022-06-25 05:39:06,26903.9,5208.3
2022-06-25 05:39:05,26903.9,5208.3
2022-06-25 05:39:04,26904.2,5208.07
2022-06-25 05:39:03,26904.1,5208.18
2022-06-25 05:39:02,26904.1,5208.14
2022-06-25 05:39:01,26904.3,5207.9
2022-06-25 05:39:00,26904.2,5208.01
2022-06-25 05:38:59,26904.3,5207.96
2022-06-25 05:38:58,26903.6,5208.6
2022-06-25 05:38:57,26903.4,5208.85
2022-06-25 05:38:56,26903.4,5208.8
2022-06-25 05:38:55,26903.5,5208.72
2022-06-25 05:38:54,26903.8,5208.41
2022-06-25 05:38:53,26904,5208.26
2022-06-25 05:38:52,26904.2,5208.01
2022-06-25 05:38:51,26904.3,5207.95
2022-06-25 05:38:50,26903.4,5208.82
2022-06-25 05:38:49,26903.4,5208.85
2022-06-25 05:38:48,26903.3,5208.91
2022-06-25 05:38:47,26903.6,5208.68
2022-06-25 05:38:46,26903.4,5208.8
2022-06-25 05:38:45,26903.3,5208.98
2022-06-25 05:38:44,26903.3,5208.94
2022-06-25 05:38:43,26903.5,5208.68
2022-06-25 05:38:42,26903.2,5208.99
2022-06-25 05:38:41,26901.8,5210.46
2022-06-25 05:38:40,26901.9,5210.33
2022-06-25 05:38:39,26901.7,5210.55
2022-06-25 05:38:38,26901.6,5210.6
2022-06-25 05:38:37,26901.8,5210.39
2022-06-25 05:38:36,26902,5210.19
2022-06-25 05:38:35,26902.1,5210.18
2022-06-25 05:38:34,26902,5210.24
2022-06-25 05:38:33,26901.7,5210.55
2022-06-25 05:38:32,26901.3,5210.97
2022-06-25 05:38:31,26900.9,5211.29
2022-06-25 05:38:30,26900.9,5211.32
2022-06-25 05:38:29,26900.8,5211.41
2022-06-25 05:38:28,26901,5211.19
2022-06-25 05:38:27,26901.3,5210.92
2022-06-25 05:38:26,26901.2,5211.01
2022-06-25 05:38:25,26901.5,5210.75
2022-06-25 05:38:24,26901.4,5210.86
2022-06-25 05:38:23,26900.2,5212.05
2022-06-25 05:38:22,26900.5,5211.78
2022-06-25 05:38:21,26900,5212.2
2022-06-25 05:38:20,26900.1,5212.18
2022-06-25 05:38:19,26900,5212.24
2022-06-25 05:38:18,26900,5212.21
2022-06-25 05:38:17,26899.9,5212.35
2022-06-25 05:38:16,26900.2,5212.05
2022-06-25 05:38:15,26899.4,5212.82
2022-06-25 05:38:14,26899.4,5212.88
