time,in,out
2022-06-18 04:47:09,80.04017,-5.323715
2022-06-18 04:47:08,311.5811,-122.67628
2022-06-18 04:47:07,3401.099,0
2022-06-18 04:47:06,0,0
2022-06-18 04:47:05,0,0
2022-06-18 04:47:04,0,0
2022-06-18 04:47:03,0,0
2022-06-18 04:47:02,0,0
2022-06-18 04:47:01,0,0
2022-06-18 04:47:00,0,0
2022-06-18 04:46:59,0,0
2022-06-18 04:46:58,0,0
2022-06-18 04:46:57,0,0
2022-06-18 04:46:56,0,0
2022-06-18 04:46:55,0,0
2022-06-18 04:46:54,0,0
2022-06-18 04:46:53,0,0
2022-06-18 04:46:52,0,0
2022-06-18 04:46:51,0,0
2022-06-18 04:46:50,0,0
2022-06-18 04:46:49,0,0
2022-06-18 04:46:48,0,0
2022-06-18 04:46:47,0,0
2022-06-18 04:46:46,0,0
2022-06-18 04:46:45,0,0
2022-06-18 04:46:44,0,0
2022-06-18 04:46:43,0,0
2022-06-18 04:46:42,0,0
2022-06-18 04:46:41,0,0
2022-06-18 04:46:40,0,0
2022-06-18 04:46:39,0,0
2022-06-18 04:46:38,0,0
2022-06-18 04:46:37,0,0
2022-06-18 04:46:36,0,0
2022-06-18 04:46:35,0,0
2022-06-18 04:46:34,0,0
2022-06-18 04:46:33,0,0
2022-06-18 04:46:32,0,0
2022-06-18 04:46:31,0,0
2022-06-18 04:46:30,0,0
2022-06-18 04:46:29,0,0
2022-06-18 04:46:28,0,-0.1762591
2022-06-18 04:46:27,0,-3.823741
2022-06-18 04:46:26,0,0
2022-06-18 04:46:25,0,0
2022-06-18 04:46:24,0,0
2022-06-18 04:46:23,0,0
2022-06-18 04:46:22,0,0
2022-06-18 04:46:21,0,0
2022-06-18 04:46:20,0,0
2022-06-18 04:46:19,0,0
2022-06-18 04:46:18,0,0
2022-06-18 04:46:17,0,0
2022-06-18 04:46:16,0,0
2022-06-18 04:46:15,0,0
2022-06-18 04:46:14,0,0
2022-06-18 04:46:13,0,0
2022-06-18 04:46:12,0,0
2022-06-18 04:46:11,0,0
2022-06-18 04:46:10,0,0
2022-06-18 04:46:09,0,0
2022-06-18 04:46:08,0,0
2022-06-18 04:46:07,0,0
2022-06-18 04:46:06,0,0
2022-06-18 04:46:05,0,0
2022-06-18 04:46:04,0,0
2022-06-18 04:46:03,0,0
2022-06-18 04:46:02,0,0
2022-06-18 04:46:01,0,0
2022-06-18 04:46:00,0,0
2022-06-18 04:45:59,0,0
2022-06-18 04:45:58,0,0
2022-06-18 04:45:57,0,-0.5327373
2022-06-18 04:45:56,0,-11.467263
2022-06-18 04:45:55,0,0
2022-06-18 04:45:54,0,0
2022-06-18 04:45:53,0,0
2022-06-18 04:45:52,0,0
2022-06-18 04:45:51,0,-8.989596
2022-06-18 04:45:50,0,-195.0104
2022-06-18 04:45:49,0,0
2022-06-18 04:45:48,0,0
2022-06-18 04:45:47,0,0
2022-06-18 04:45:46,0,0
2022-06-18 04:45:45,0,0
2022-06-18 04:45:44,0,0
2022-06-18 04:45:43,0,0
2022-06-18 04:45:42,0,0
2022-06-18 04:45:41,0,0
2022-06-18 04:45:40,0,0
2022-06-18 04:45:39,0,0
2022-06-18 04:45:38,0,0
2022-06-18 04:45:37,0,0
2022-06-18 04:45:36,0,0
2022-06-18 04:45:35,0,0
2022-06-18 04:45:34,0,0
2022-06-18 04:45:33,0,0
