time,in,out
2022-06-17 19:47:24,2240.7,-156.531
2022-06-17 19:47:25,31697,-132.142
2022-06-17 19:47:26,520393,-598.126
2022-06-17 19:47:27,1.08759e+06,-504.399
2022-06-17 19:47:28,534468,-190.305
2022-06-17 19:47:29,6155.45,-259.018
2022-06-17 19:47:30,31.3208,-88.2636
2022-06-17 19:47:31,3.06658,-115.851
2022-06-17 19:47:32,4.93289,-1284.33
2022-06-17 19:47:33,17.5922,-757.919
2022-06-17 19:47:34,17.6296,0
2022-06-17 19:47:35,1727.93,0
2022-06-17 19:47:36,667379,0
2022-06-17 19:47:37,1.00554e+06,-2038.61
2022-06-17 19:47:38,370351,-3373.9
2022-06-17 19:47:39,13.3257,-2201.91
2022-06-17 19:47:40,7.70317,-916.788
2022-06-17 19:47:41,0,-105.264
2022-06-17 19:47:42,0,-90.537
2022-06-17 19:47:43,4.86618,-225.474
2022-06-17 19:47:44,3.13382,-143.509
2022-06-17 19:47:45,128295,0
2022-06-17 19:47:46,888720,0
2022-06-17 19:47:47,849928,-4.94043
2022-06-17 19:47:48,188002,-74.2729
2022-06-17 19:47:49,157.963,-136.793
2022-06-17 19:47:50,0,-127.912
2022-06-17 19:47:51,0,-46.305
2022-06-17 19:47:52,0,-5.77654
2022-06-17 19:47:53,0,-2.26806
2022-06-17 19:47:54,3578.42,-14.0955
2022-06-17 19:47:55,389250,-471.771
2022-06-17 19:47:56,977336,-436.179
2022-06-17 19:47:57,610756,-213.416
2022-06-17 19:47:58,74335.9,-190.855
2022-06-17 19:47:59,3.69675,-41.7167
2022-06-17 19:48:00,0,-77.6736
2022-06-17 19:48:01,1230.39,-94.5267
2022-06-17 19:48:02,1141.61,-49.4982
2022-06-17 19:48:03,0,0
2022-06-17 19:48:04,74410.7,0
2022-06-17 19:48:05,659246,0
2022-06-17 19:48:06,938061,0
2022-06-17 19:48:07,371601,-278.326
2022-06-17 19:48:08,7265.15,-262.797
2022-06-17 19:48:09,0,-293.737
2022-06-17 19:48:10,0,-254.402
2022-06-17 19:48:11,0,-51.5143
2022-06-17 19:48:12,0,-15.2235
2022-06-17 19:48:13,4772.99,-11.3422
2022-06-17 19:48:14,226300,-25.2957
2022-06-17 19:48:15,827617,-15.3622
2022-06-17 19:48:16,778893,-629.418
2022-06-17 19:48:17,211237,-701.525
2022-06-17 19:48:18,1309.07,-300.747
2022-06-17 19:48:19,842.934,-376.183
2022-06-17 19:48:20,0,-257.373
2022-06-17 19:48:21,0,-19.3609
2022-06-17 19:48:22,0,-7.39325
2022-06-17 19:48:23,36495.3,0
2022-06-17 19:48:24,379527,-264.568
2022-06-17 19:48:25,887367,-260.666
2022-06-17 19:48:26,629209,-660.82
2022-06-17 19:48:27,118333,-764.809
2022-06-17 19:48:28,892.753,-236.337
2022-06-17 19:48:29,0,-73.7344
2022-06-17 19:48:30,9.05355,-71.8277
2022-06-17 19:48:31,6.94644,-27.2381
2022-06-17 19:48:32,12.3477,0
2022-06-17 19:48:33,106360,-23.133
2022-06-17 19:48:34,583704,-208.42
2022-06-17 19:48:35,872747,-265.814
2022-06-17 19:48:36,439014,-2606.65
2022-06-17 19:48:37,51718.9,-1910.65
2022-06-17 19:48:38,0,-307.716
2022-06-17 19:48:39,0,-322.232
2022-06-17 19:48:40,0,-103.38
2022-06-17 19:48:41,0,-6.22539
2022-06-17 19:48:42,1851.4,-5.77461
2022-06-17 19:48:43,255899,0
2022-06-17 19:48:44,729583,-198.241
2022-06-17 19:48:45,784242,-181.759
2022-06-17 19:48:46,275661,0
2022-06-17 19:48:47,2195.84,-38.1422
2022-06-17 19:48:48,16.5986,-325.456
2022-06-17 19:48:49,15.4014,-298.705
2022-06-17 19:48:50,0,-76.488
2022-06-17 19:48:51,0,-5.209
2022-06-17 19:48:52,58323.7,0
2022-06-17 19:48:53,389419,-128.84
2022-06-17 19:48:54,777577,-187.651
2022-06-17 19:48:55,641720,-289.715
2022-06-17 19:48:56,180216,-200.468
2022-06-17 19:48:57,83.9967,-72.1222
2022-06-17 19:48:58,86.7106,-666.769
2022-06-17 19:48:59,17.2927,-539.418
2022-06-17 19:49:00,0,-45.5423
2022-06-17 19:49:01,104.798,-19.9082
2022-06-17 19:49:02,174786,-16.9411
2022-06-17 19:49:03,524709,-255.322
2022-06-17 19:49:04,764062,-157.303
2022-06-17 19:49:05,460883,-200.548
2022-06-17 19:49:06,126151,-351.157
2022-06-17 19:49:07,1399.83,-555.567
2022-06-17 19:49:08,60.582,-109.156
2022-06-17 19:49:09,0,-85.9158
2022-06-17 19:49:10,0,-29.656
2022-06-17 19:49:11,19309.5,-20.8528
2022-06-17 19:49:12,256416,-732.259
2022-06-17 19:49:13,556316,-1095
2022-06-17 19:49:14,726153,-385.733
2022-06-17 19:49:15,422632,-987.277
2022-06-17 19:49:16,76718,-914.243
2022-06-17 19:49:17,2.26913,-133.916
2022-06-17 19:49:18,261.01,-113.436
2022-06-17 19:49:19,200.721,-785.07
2022-06-17 19:49:20,2.07683,-578.507
2022-06-17 19:49:21,68312.5,-959.663
2022-06-17 19:49:22,337553,-1282.17
2022-06-17 19:49:23,593906,-568.193
2022-06-17 19:49:24,678571,-35.6789
2022-06-17 19:49:25,332643,-21.8992
2022-06-17 19:49:26,34933,-32.7734
2022-06-17 19:49:27,62.842,-116.935
2022-06-17 19:49:28,0,-78.8476
2022-06-17 19:49:29,0,-474.094
2022-06-17 19:49:30,11860.6,-370.568
2022-06-17 19:49:31,171402,-765.239
2022-06-17 19:49:32,400990,-551.644
2022-06-17 19:49:33,607927,0
2022-06-17 19:49:34,602972,0
2022-06-17 19:49:35,248769,-42.6452
2022-06-17 19:49:36,15379,-66.2431
2022-06-17 19:49:37,45.6444,-79.0785
2022-06-17 19:49:38,331.636,-295.171
2022-06-17 19:49:39,238.72,-445.303
2022-06-17 19:49:40,47098.1,-485.287
2022-06-17 19:49:41,278178,-788.441
2022-06-17 19:49:42,422512,-393.832
2022-06-17 19:49:43,608943,0
2022-06-17 19:49:44,527481,-37.4967
2022-06-17 19:49:45,164518,-43.0956
2022-06-17 19:49:46,1744.75,-32.6213
2022-06-17 19:49:47,32.7316,-54.9965
2022-06-17 19:49:48,0,-284.533
2022-06-17 19:49:49,1226.73,-407.868
2022-06-17 19:49:50,138837,-478.655
2022-06-17 19:49:51,321981,-982.26
2022-06-17 19:49:52,433174,-522.474
2022-06-17 19:49:53,613421,0
2022-06-17 19:49:54,441582,-42.6491
2022-06-17 19:49:55,103390,-40.6511
2022-06-17 19:49:56,0,-57.6209
2022-06-17 19:49:57,0,-89.0085
2022-06-17 19:49:58,0,-494.702
2022-06-17 19:49:59,34020.3,-405.067
2022-06-17 19:50:00,219985,-829.96
2022-06-17 19:50:01,352183,-714.545
2022-06-17 19:50:02,437337,-96.0641
2022-06-17 19:50:03,574967,-1.73213
2022-06-17 19:50:04,366380,-42.6483
2022-06-17 19:50:05,63943.8,-69.0808
2022-06-17 19:50:06,0,-68.5191
2022-06-17 19:50:07,0,-308.754
2022-06-17 19:50:08,0,-404.297
2022-06-17 19:50:09,93038.6,-206.701
