time,free,used
2022-06-14 12:22:12,14869.8,1139.41
2022-06-14 12:22:13,29587.9,2430.42
2022-06-14 12:22:14,73323.9,6722.03
2022-06-14 12:22:15,73328.8,6717.23
2022-06-14 12:22:16,73329.6,6716.32
2022-06-14 12:22:17,73332.3,6713.6
2022-06-14 12:22:18,73329.9,6716.14
2022-06-14 12:22:19,73229.2,6816.86
2022-06-14 12:22:20,73180.9,6864.9
2022-06-14 12:22:21,73096.2,6949.56
2022-06-14 12:22:22,73031.1,7014.75
2022-06-14 12:22:23,72998.1,7047.86
2022-06-14 12:22:24,73002.3,7043.69
2022-06-14 12:22:25,72403.6,7642.25
2022-06-14 12:22:26,71368.8,8677.19
2022-06-14 12:22:27,70419.5,9626.4
2022-06-14 12:22:28,69661.3,10384.5
2022-06-14 12:22:29,68765.2,11280.7
2022-06-14 12:22:30,68368.9,11676.9
2022-06-14 12:22:31,67849,12196.9
2022-06-14 12:22:32,66737.9,13308
2022-06-14 12:22:33,66151.2,13894.6
2022-06-14 12:22:34,63633.4,16412.5
2022-06-14 12:22:35,61951.1,18094.9
2022-06-14 12:22:36,61000.2,19045.7
2022-06-14 12:22:37,60320.1,19725.8
2022-06-14 12:22:38,59110.9,20935
2022-06-14 12:22:39,58600.2,21445.7
2022-06-14 12:22:40,58569.3,21476.6
2022-06-14 12:22:41,58532.1,21513.8
2022-06-14 12:22:42,58524.1,21521.8
2022-06-14 12:22:43,58413.1,21632.7
2022-06-14 12:22:44,58363.8,21682
2022-06-14 12:22:45,58372.3,21673.7
2022-06-14 12:22:46,58359,21687
2022-06-14 12:22:47,58283.6,21762.3
2022-06-14 12:22:48,58242.4,21803.4
2022-06-14 12:22:49,58129.3,21916.7
2022-06-14 12:22:50,57669.1,22376.8
2022-06-14 12:22:51,57394,22651.9
2022-06-14 12:22:52,57292.3,22753.6
2022-06-14 12:22:53,57190.9,22855
2022-06-14 12:22:54,57187.9,22858
2022-06-14 12:22:55,57191,22854.9
2022-06-14 12:22:56,57195.2,22850.8
2022-06-14 12:22:57,57193.3,22852.7
2022-06-14 12:22:58,57179.9,22866.1
2022-06-14 12:22:59,57136.5,22909.4
2022-06-14 12:23:00,57113.4,22932.4
2022-06-14 12:23:01,57073.6,22972.4
2022-06-14 12:23:02,57037.4,23008.6
2022-06-14 12:23:03,57007.9,23038
2022-06-14 12:23:04,56975.7,23070.2
2022-06-14 12:23:05,56973.1,23072.7
2022-06-14 12:23:06,56977.4,23068.5
2022-06-14 12:23:07,56974.9,23071
2022-06-14 12:23:08,56970.6,23075.4
2022-06-14 12:23:09,56966.2,23079.7
2022-06-14 12:23:10,56950.2,23095.7
2022-06-14 12:23:11,56947.5,23098.4
2022-06-14 12:23:12,56910.9,23134.9
2022-06-14 12:23:13,56887.8,23158.2
2022-06-14 12:23:14,56848.3,23197.5
2022-06-14 12:23:15,56831.6,23214.4
2022-06-14 12:23:16,56817.6,23228.2
2022-06-14 12:23:17,56813.9,23232.1
2022-06-14 12:23:18,56807.8,23238.1
2022-06-14 12:23:19,56803.9,23242
2022-06-14 12:23:20,56801.3,23244.6
2022-06-14 12:23:21,56800.6,23245.3
2022-06-14 12:23:22,56771.9,23274
2022-06-14 12:23:23,56731.7,23314.1
2022-06-14 12:23:24,56712.9,23333.1
2022-06-14 12:23:25,56693,23352.9
2022-06-14 12:23:26,56665.3,23380.6
2022-06-14 12:23:27,57531.8,22514.1
2022-06-14 12:23:28,58752.6,21293.3
2022-06-14 12:23:29,58996.4,21049.5
2022-06-14 12:23:30,58785.3,21260.7
2022-06-14 12:23:31,58676.1,21369.8
2022-06-14 12:23:32,58497.3,21548.5
2022-06-14 12:23:33,58264.8,21781.1
2022-06-14 12:23:34,57885.8,22160.2
2022-06-14 12:23:35,57481.3,22564.7
2022-06-14 12:23:36,57103.5,22942.3
2022-06-14 12:23:37,56866.2,23179.8
2022-06-14 12:23:38,56805.5,23240.4
2022-06-14 12:23:39,56670.6,23375.3
2022-06-14 12:23:40,56666.8,23379.2
2022-06-14 12:23:41,56667,23378.9
2022-06-14 12:23:42,56664.4,23381.5
2022-06-14 12:23:43,56655.5,23390.5
2022-06-14 12:23:44,56645.2,23400.7
2022-06-14 12:23:45,56860.4,23185.5
2022-06-14 12:23:46,57474.4,22571.5
2022-06-14 12:23:47,58175.2,21870.7
2022-06-14 12:23:48,58909.2,21136.6
2022-06-14 12:23:49,61561.4,18484.5
2022-06-14 12:23:50,61783,18263
2022-06-14 12:23:51,63151.6,16894.4
2022-06-14 12:23:52,65067.9,14978.1
2022-06-14 12:23:53,66170.3,13875.6
2022-06-14 12:23:54,66912.2,13133.7
2022-06-14 12:23:55,66581.1,13464.8
2022-06-14 12:23:56,65768.9,14277.1
2022-06-14 12:23:57,65128.4,14917.5
2022-06-14 12:23:58,64511.2,15534.8
2022-06-14 12:23:59,63506.9,16538.9
2022-06-14 12:24:00,62600.8,17445.1
2022-06-14 12:24:01,61649.3,18396.6
2022-06-14 12:24:02,60813.1,19232.8
2022-06-14 12:24:03,59988.8,20057.1
2022-06-14 12:24:04,59173,20872.9
2022-06-14 12:24:05,58597.4,21448.5
2022-06-14 12:24:06,58334.1,21712
2022-06-14 12:24:07,57917.7,22128.2
2022-06-14 12:24:08,57901.7,22144.2
2022-06-14 12:24:09,57757.9,22288.1
2022-06-14 12:24:10,57744.9,22301
2022-06-14 12:24:11,57641.4,22404.6
2022-06-14 12:24:12,57610.2,22435.6
