time,usage
2022-06-14 13:34:28,0.100251
2022-06-14 13:34:29,0.349877
2022-06-14 13:34:30,6.7122
2022-06-14 13:34:31,3.57656
2022-06-14 13:34:32,0.451129
2022-06-14 13:34:33,0.501129
2022-06-14 13:34:34,0.851637
2022-06-14 13:34:35,3.51532
2022-06-14 13:34:36,10.3738
2022-06-14 13:34:37,10.4743
2022-06-14 13:34:38,11.7501
2022-06-14 13:34:39,16.4509
2022-06-14 13:34:40,2.7944
2022-06-14 13:34:41,13.7429
2022-06-14 13:34:42,90.8658
2022-06-14 13:34:43,99.8511
2022-06-14 13:34:44,99.8492
2022-06-14 13:34:45,100
2022-06-14 13:34:46,99.6974
2022-06-14 13:34:47,99.9499
2022-06-14 13:34:48,100
2022-06-14 13:34:49,99.9004
2022-06-14 13:34:50,99.9497
2022-06-14 13:34:51,100
2022-06-14 13:34:52,99.9502
2022-06-14 13:34:53,100
2022-06-14 13:34:54,100
2022-06-14 13:34:55,100
2022-06-14 13:34:56,100
2022-06-14 13:34:57,100
2022-06-14 13:34:58,100
2022-06-14 13:34:59,100
2022-06-14 13:35:00,100
2022-06-14 13:35:01,100
2022-06-14 13:35:02,100
2022-06-14 13:35:03,100
2022-06-14 13:35:04,100
2022-06-14 13:35:05,100
2022-06-14 13:35:06,100
2022-06-14 13:35:07,100
2022-06-14 13:35:08,100
2022-06-14 13:35:09,100
2022-06-14 13:35:10,100
2022-06-14 13:35:11,100
2022-06-14 13:35:12,100
2022-06-14 13:35:13,100
2022-06-14 13:35:14,100
2022-06-14 13:35:15,100
2022-06-14 13:35:16,100
2022-06-14 13:35:17,100
2022-06-14 13:35:18,100
2022-06-14 13:35:19,100
2022-06-14 13:35:20,100
2022-06-14 13:35:21,100
2022-06-14 13:35:22,100
2022-06-14 13:35:23,99.8995
2022-06-14 13:35:24,100
2022-06-14 13:35:25,100
2022-06-14 13:35:26,100
2022-06-14 13:35:27,100
2022-06-14 13:35:28,100
2022-06-14 13:35:29,99.9501
2022-06-14 13:35:30,100
2022-06-14 13:35:31,99.6491
2022-06-14 13:35:32,100
2022-06-14 13:35:33,100
2022-06-14 13:35:34,100
2022-06-14 13:35:35,100
2022-06-14 13:35:36,100
2022-06-14 13:35:37,100
2022-06-14 13:35:38,100
2022-06-14 13:35:39,99.9501
2022-06-14 13:35:40,100
2022-06-14 13:35:41,100
2022-06-14 13:35:42,97.1139
2022-06-14 13:35:43,99.2424
2022-06-14 13:35:44,99.8005
2022-06-14 13:35:45,100
2022-06-14 13:35:46,100
2022-06-14 13:35:47,99.8997
2022-06-14 13:35:48,100
2022-06-14 13:35:49,100
2022-06-14 13:35:50,99.95
2022-06-14 13:35:51,100
2022-06-14 13:35:52,100
2022-06-14 13:35:53,100
2022-06-14 13:35:54,99.9501
2022-06-14 13:35:55,100
2022-06-14 13:35:56,100
2022-06-14 13:35:57,100
2022-06-14 13:35:58,99.9501
2022-06-14 13:35:59,100
2022-06-14 13:36:00,100
2022-06-14 13:36:01,100
2022-06-14 13:36:02,100
2022-06-14 13:36:03,100
2022-06-14 13:36:04,100
2022-06-14 13:36:05,100
2022-06-14 13:36:06,99.4475
2022-06-14 13:36:07,99.8997
2022-06-14 13:36:08,99.9496
2022-06-14 13:36:09,99.9504
2022-06-14 13:36:10,100
2022-06-14 13:36:11,99.9501
2022-06-14 13:36:12,99.9497
2022-06-14 13:36:13,100
2022-06-14 13:36:14,100
2022-06-14 13:36:15,100
2022-06-14 13:36:16,100
2022-06-14 13:36:17,100
2022-06-14 13:36:18,100
2022-06-14 13:36:19,100
2022-06-14 13:36:20,100
2022-06-14 13:36:21,100
2022-06-14 13:36:22,100
2022-06-14 13:36:23,100
2022-06-14 13:36:24,100
2022-06-14 13:36:25,100
2022-06-14 13:36:26,100
2022-06-14 13:36:27,100
2022-06-14 13:36:28,100
2022-06-14 13:36:29,100
2022-06-14 13:36:30,99.95
2022-06-14 13:36:31,100
2022-06-14 13:36:32,100
2022-06-14 13:36:33,100
2022-06-14 13:36:34,100
2022-06-14 13:36:35,100
2022-06-14 13:36:36,100
2022-06-14 13:36:37,100
2022-06-14 13:36:38,100
2022-06-14 13:36:39,100
2022-06-14 13:36:40,99.9501
2022-06-14 13:36:41,100
2022-06-14 13:36:42,100
2022-06-14 13:36:43,99.9499
2022-06-14 13:36:44,98.3206
2022-06-14 13:36:45,99.6977
2022-06-14 13:36:46,99.9499
2022-06-14 13:36:47,99.9502
2022-06-14 13:36:48,100
2022-06-14 13:36:49,100
2022-06-14 13:36:50,99.95
2022-06-14 13:36:51,100
2022-06-14 13:36:52,100
2022-06-14 13:36:53,100
2022-06-14 13:36:54,100
2022-06-14 13:36:55,100
2022-06-14 13:36:56,100
2022-06-14 13:36:57,100
2022-06-14 13:36:58,100
2022-06-14 13:36:59,100
2022-06-14 13:37:00,99.9501
2022-06-14 13:37:01,100
2022-06-14 13:37:02,100
2022-06-14 13:37:03,100
2022-06-14 13:37:04,100
2022-06-14 13:37:05,100
2022-06-14 13:37:06,100
2022-06-14 13:37:07,100
2022-06-14 13:37:08,100
2022-06-14 13:37:09,100
2022-06-14 13:37:10,100
2022-06-14 13:37:11,100
2022-06-14 13:37:12,100
2022-06-14 13:37:13,100
2022-06-14 13:37:14,100
2022-06-14 13:37:15,100
2022-06-14 13:37:16,100
2022-06-14 13:37:17,100
2022-06-14 13:37:18,100
2022-06-14 13:37:19,100
2022-06-14 13:37:20,100
2022-06-14 13:37:21,100
2022-06-14 13:37:22,100
2022-06-14 13:37:23,100
2022-06-14 13:37:24,100
2022-06-14 13:37:25,100
2022-06-14 13:37:26,100
2022-06-14 13:37:27,100
2022-06-14 13:37:28,100
2022-06-14 13:37:29,100
2022-06-14 13:37:30,100
2022-06-14 13:37:31,99.8504
2022-06-14 13:37:32,100
2022-06-14 13:37:33,100
2022-06-14 13:37:34,100
2022-06-14 13:37:35,100
2022-06-14 13:37:36,100
2022-06-14 13:37:37,100
2022-06-14 13:37:38,99.9497
2022-06-14 13:37:39,100
2022-06-14 13:37:40,100
2022-06-14 13:37:41,100
2022-06-14 13:37:42,100
2022-06-14 13:37:43,100
2022-06-14 13:37:44,100
2022-06-14 13:37:45,99.697
2022-06-14 13:37:46,99.85
2022-06-14 13:37:47,100
2022-06-14 13:37:48,100
2022-06-14 13:37:49,100
2022-06-14 13:37:50,100
2022-06-14 13:37:51,100
2022-06-14 13:37:52,100
2022-06-14 13:37:53,100
2022-06-14 13:37:54,100
2022-06-14 13:37:55,100
2022-06-14 13:37:56,100
2022-06-14 13:37:57,100
2022-06-14 13:37:58,100
2022-06-14 13:37:59,100
2022-06-14 13:38:00,100
2022-06-14 13:38:01,100
2022-06-14 13:38:02,100
2022-06-14 13:38:03,100
2022-06-14 13:38:04,100
2022-06-14 13:38:05,100
2022-06-14 13:38:06,100
2022-06-14 13:38:07,100
2022-06-14 13:38:08,100
2022-06-14 13:38:09,100
2022-06-14 13:38:10,100
2022-06-14 13:38:11,100
2022-06-14 13:38:12,100
2022-06-14 13:38:13,100
2022-06-14 13:38:14,100
2022-06-14 13:38:15,100
2022-06-14 13:38:16,100
2022-06-14 13:38:17,100
2022-06-14 13:38:18,100
2022-06-14 13:38:19,100
2022-06-14 13:38:20,100
2022-06-14 13:38:21,100
2022-06-14 13:38:22,100
2022-06-14 13:38:23,100
2022-06-14 13:38:24,100
2022-06-14 13:38:25,100
2022-06-14 13:38:26,100
2022-06-14 13:38:27,100
2022-06-14 13:38:28,100
2022-06-14 13:38:29,100
2022-06-14 13:38:30,100
2022-06-14 13:38:31,100
2022-06-14 13:38:32,99.95
2022-06-14 13:38:33,100
2022-06-14 13:38:34,100
2022-06-14 13:38:35,100
2022-06-14 13:38:36,100
2022-06-14 13:38:37,100
2022-06-14 13:38:38,100
2022-06-14 13:38:39,100
2022-06-14 13:38:40,100
2022-06-14 13:38:41,100
2022-06-14 13:38:42,100
2022-06-14 13:38:43,100
2022-06-14 13:38:44,100
2022-06-14 13:38:45,99.7
2022-06-14 13:38:46,99.7
2022-06-14 13:38:47,100
2022-06-14 13:38:48,99.9501
2022-06-14 13:38:49,100
2022-06-14 13:38:50,99.95
2022-06-14 13:38:51,100
2022-06-14 13:38:52,100
2022-06-14 13:38:53,99.9001
2022-06-14 13:38:54,99.85
2022-06-14 13:38:55,100
2022-06-14 13:38:56,99.8504
2022-06-14 13:38:57,100
2022-06-14 13:38:58,99.9501
2022-06-14 13:38:59,100
2022-06-14 13:39:00,100
2022-06-14 13:39:01,100
2022-06-14 13:39:02,100
2022-06-14 13:39:03,100
2022-06-14 13:39:04,100
2022-06-14 13:39:05,100
2022-06-14 13:39:06,100
2022-06-14 13:39:07,100
2022-06-14 13:39:08,100
2022-06-14 13:39:09,100
2022-06-14 13:39:10,100
2022-06-14 13:39:11,100
2022-06-14 13:39:12,100
2022-06-14 13:39:13,100
2022-06-14 13:39:14,100
2022-06-14 13:39:15,100
2022-06-14 13:39:16,100
2022-06-14 13:39:17,100
2022-06-14 13:39:18,100
2022-06-14 13:39:19,100
2022-06-14 13:39:20,100
2022-06-14 13:39:21,99.9502
2022-06-14 13:39:22,100
2022-06-14 13:39:23,100
2022-06-14 13:39:24,100
2022-06-14 13:39:25,99.95
2022-06-14 13:39:26,100
2022-06-14 13:39:27,100
2022-06-14 13:39:28,100
2022-06-14 13:39:29,100
2022-06-14 13:39:30,100
2022-06-14 13:39:31,100
2022-06-14 13:39:32,100
2022-06-14 13:39:33,100
2022-06-14 13:39:34,100
2022-06-14 13:39:35,100
2022-06-14 13:39:36,100
2022-06-14 13:39:37,100
2022-06-14 13:39:38,100
2022-06-14 13:39:39,100
2022-06-14 13:39:40,100
2022-06-14 13:39:41,100
2022-06-14 13:39:42,100
2022-06-14 13:39:43,100
2022-06-14 13:39:44,100
2022-06-14 13:39:45,100
2022-06-14 13:39:46,100
2022-06-14 13:39:47,98
2022-06-14 13:39:48,100
2022-06-14 13:39:49,100
2022-06-14 13:39:50,100
2022-06-14 13:39:51,100
2022-06-14 13:39:52,100
2022-06-14 13:39:53,100
2022-06-14 13:39:54,100
2022-06-14 13:39:55,100
2022-06-14 13:39:56,100
2022-06-14 13:39:57,99.9497
2022-06-14 13:39:58,100
2022-06-14 13:39:59,100
2022-06-14 13:40:00,100
2022-06-14 13:40:01,100
2022-06-14 13:40:02,100
2022-06-14 13:40:03,100
2022-06-14 13:40:04,100
2022-06-14 13:40:05,100
2022-06-14 13:40:06,100
2022-06-14 13:40:07,100
2022-06-14 13:40:08,100
2022-06-14 13:40:09,100
2022-06-14 13:40:10,100
2022-06-14 13:40:11,100
2022-06-14 13:40:12,100
2022-06-14 13:40:13,99.9499
2022-06-14 13:40:14,100
2022-06-14 13:40:15,100
2022-06-14 13:40:16,96.5261
2022-06-14 13:40:17,99.7985
2022-06-14 13:40:18,99.9501
2022-06-14 13:40:19,99.9501
2022-06-14 13:40:20,100
2022-06-14 13:40:21,100
2022-06-14 13:40:22,100
2022-06-14 13:40:23,100
2022-06-14 13:40:24,100
2022-06-14 13:40:25,100
2022-06-14 13:40:26,99.9502
2022-06-14 13:40:27,100
2022-06-14 13:40:28,100
2022-06-14 13:40:29,100
2022-06-14 13:40:30,100
2022-06-14 13:40:31,100
2022-06-14 13:40:32,100
2022-06-14 13:40:33,100
2022-06-14 13:40:34,100
2022-06-14 13:40:35,100
2022-06-14 13:40:36,100
2022-06-14 13:40:37,100
2022-06-14 13:40:38,100
2022-06-14 13:40:39,100
2022-06-14 13:40:40,100
2022-06-14 13:40:41,100
2022-06-14 13:40:42,100
2022-06-14 13:40:43,100
2022-06-14 13:40:44,100
2022-06-14 13:40:45,100
2022-06-14 13:40:46,99.95
2022-06-14 13:40:47,100
2022-06-14 13:40:48,100
2022-06-14 13:40:49,99.9495
2022-06-14 13:40:50,99.9501
2022-06-14 13:40:51,100
2022-06-14 13:40:52,100
2022-06-14 13:40:53,100
2022-06-14 13:40:54,100
2022-06-14 13:40:55,100
2022-06-14 13:40:56,100
2022-06-14 13:40:57,100
2022-06-14 13:40:58,100
2022-06-14 13:40:59,100
2022-06-14 13:41:00,100
2022-06-14 13:41:01,100
2022-06-14 13:41:02,100
2022-06-14 13:41:03,100
2022-06-14 13:41:04,100
2022-06-14 13:41:05,100
2022-06-14 13:41:06,100
2022-06-14 13:41:07,100
2022-06-14 13:41:08,100
2022-06-14 13:41:09,100
2022-06-14 13:41:10,100
2022-06-14 13:41:11,100
2022-06-14 13:41:12,100
2022-06-14 13:41:13,100
2022-06-14 13:41:14,100
2022-06-14 13:41:15,100
2022-06-14 13:41:16,100
2022-06-14 13:41:17,100
2022-06-14 13:41:18,100
2022-06-14 13:41:19,100
2022-06-14 13:41:20,100
2022-06-14 13:41:21,100
2022-06-14 13:41:22,100
2022-06-14 13:41:23,100
2022-06-14 13:41:24,100
2022-06-14 13:41:25,100
2022-06-14 13:41:26,100
2022-06-14 13:41:27,100
2022-06-14 13:41:28,100
2022-06-14 13:41:29,100
2022-06-14 13:41:30,100
2022-06-14 13:41:31,100
2022-06-14 13:41:32,100
2022-06-14 13:41:33,99.9501
2022-06-14 13:41:34,100
2022-06-14 13:41:35,100
2022-06-14 13:41:36,100
2022-06-14 13:41:37,100
2022-06-14 13:41:38,100
2022-06-14 13:41:39,100
2022-06-14 13:41:40,100
2022-06-14 13:41:41,100
2022-06-14 13:41:42,100
2022-06-14 13:41:43,100
2022-06-14 13:41:44,100
2022-06-14 13:41:45,100
2022-06-14 13:41:46,100
2022-06-14 13:41:47,100
2022-06-14 13:41:48,99.0932
2022-06-14 13:41:49,99.8992
2022-06-14 13:41:50,100
2022-06-14 13:41:51,100
2022-06-14 13:41:52,100
2022-06-14 13:41:53,100
2022-06-14 13:41:54,100
2022-06-14 13:41:55,100
2022-06-14 13:41:56,100
2022-06-14 13:41:57,100
2022-06-14 13:41:58,100
2022-06-14 13:41:59,100
2022-06-14 13:42:00,100
2022-06-14 13:42:01,99.8999
2022-06-14 13:42:02,100
2022-06-14 13:42:03,100
2022-06-14 13:42:04,100
2022-06-14 13:42:05,100
2022-06-14 13:42:06,100
2022-06-14 13:42:07,100
2022-06-14 13:42:08,100
2022-06-14 13:42:09,100
2022-06-14 13:42:10,100
2022-06-14 13:42:11,100
2022-06-14 13:42:12,100
2022-06-14 13:42:13,100
2022-06-14 13:42:14,100
2022-06-14 13:42:15,100
2022-06-14 13:42:16,100
2022-06-14 13:42:17,100
2022-06-14 13:42:18,100
2022-06-14 13:42:19,100
2022-06-14 13:42:20,100
2022-06-14 13:42:21,100
2022-06-14 13:42:22,100
2022-06-14 13:42:23,99.9501
2022-06-14 13:42:24,100
2022-06-14 13:42:25,100
2022-06-14 13:42:26,100
2022-06-14 13:42:27,100
2022-06-14 13:42:28,100
2022-06-14 13:42:29,100
2022-06-14 13:42:30,100
2022-06-14 13:42:31,100
2022-06-14 13:42:32,100
2022-06-14 13:42:33,100
2022-06-14 13:42:34,99.9501
2022-06-14 13:42:35,100
2022-06-14 13:42:36,99.95
