time,in,out
2022-06-14 15:56:14,0,-152.54921
2022-06-14 15:56:13,0,-267.4508
2022-06-14 15:56:12,0,0
2022-06-14 15:56:11,0,0
2022-06-14 15:56:10,0,0
2022-06-14 15:56:09,0,-66.83545
2022-06-14 15:56:08,0,-117.16455
2022-06-14 15:56:07,0,0
2022-06-14 15:56:06,0,0
2022-06-14 15:56:05,0,0
2022-06-14 15:56:04,0,-84.25344
2022-06-14 15:56:03,0,-166.63025
2022-06-14 15:56:02,0,-33.11631
2022-06-14 15:56:01,0,0
2022-06-14 15:56:00,0,0
2022-06-14 15:55:59,0,-101.71075
2022-06-14 15:55:58,0,-178.2893
2022-06-14 15:55:57,164.19891,-24.70249
2022-06-14 15:55:56,287.8011,-67.99735
2022-06-14 15:55:55,0,-43.30015
2022-06-14 15:55:54,0,-139.47071
2022-06-14 15:55:53,0,-282.3067
2022-06-14 15:55:52,0,-141.89761
2022-06-14 15:55:51,0,-208.3273
2022-06-14 15:55:50,0,-154.01911
2022-06-14 15:55:49,0,-408.5134
2022-06-14 15:55:48,239.729,-678.0092
2022-06-14 15:55:47,457.3772,-63.45595
2022-06-14 15:55:46,2273.158,0
2022-06-14 15:55:45,4276.3,-20.55182
2022-06-14 15:55:44,1488.9862,-35.44818
2022-06-14 15:55:43,1232.537,-118.91753
2022-06-14 15:55:42,815.442,-205.0825
2022-06-14 15:55:41,1232.5642,0
2022-06-14 15:55:40,1567.3604,0
2022-06-14 15:55:39,6800.595,-14.67042
2022-06-14 15:55:38,17015.39,-305.4503
2022-06-14 15:55:37,25913.28,-483.8793
2022-06-14 15:55:36,23560.95,0
2022-06-14 15:55:35,13980.557,0
2022-06-14 15:55:34,3491.446,0
2022-06-14 15:55:33,1163.9257,-292.8895
2022-06-14 15:55:32,881.5328,-507.1105
2022-06-14 15:55:31,1166.9349,0
2022-06-14 15:55:30,890.9254,0
2022-06-14 15:55:29,4038.3,0
2022-06-14 15:55:28,10656.124,-248.9738
2022-06-14 15:55:27,18309.06,-469.2024
2022-06-14 15:55:26,28035.35,-65.82382
2022-06-14 15:55:25,25573.54,0
2022-06-14 15:55:24,9398.427,0
2022-06-14 15:55:23,7394.477,-458.1066
2022-06-14 15:55:22,10190.118,-789.8934
2022-06-14 15:55:21,9623.651,0
2022-06-14 15:55:20,951.7786,-66.08412
2022-06-14 15:55:19,1096.2526,-113.91588
2022-06-14 15:55:18,2173.537,-400.9026
2022-06-14 15:55:17,8934.925,-691.0974
2022-06-14 15:55:16,19761.88,0
2022-06-14 15:55:15,23819.96,0
2022-06-14 15:55:14,19321.72,-52.85979
2022-06-14 15:55:13,15866.189,-170.4243
2022-06-14 15:55:12,12148.672,-136.71587
2022-06-14 15:55:11,5876.989,0
2022-06-14 15:55:10,951.7127,0
2022-06-14 15:55:09,2458.796,0
2022-06-14 15:55:08,6543.426,-164.45566
2022-06-14 15:55:07,10350.985,-283.5443
2022-06-14 15:55:06,12096.795,0
2022-06-14 15:55:05,15956.855,0
2022-06-14 15:55:04,17599.16,0
2022-06-14 15:55:03,14418.313,-27.89896
2022-06-14 15:55:02,11981.826,-89.10587
2022-06-14 15:55:01,10986.451,-70.99517
2022-06-14 15:55:00,7231.974,0
2022-06-14 15:54:59,2959.765,0
2022-06-14 15:54:58,1938.332,0
2022-06-14 15:54:57,5093.325,0
2022-06-14 15:54:56,8668.131,-84.78356
2022-06-14 15:54:55,14455.138,-147.21644
2022-06-14 15:54:54,21002.26,0
2022-06-14 15:54:53,23022.25,0
2022-06-14 15:54:52,22896.74,-39.62642
2022-06-14 15:54:51,22850.02,-251.4105
2022-06-14 15:54:50,18994.42,-316.9631
2022-06-14 15:54:49,14466.539,0
2022-06-14 15:54:48,5875.507,-38.22496
2022-06-14 15:54:47,1034.8552,-142.02424
2022-06-14 15:54:46,3017.897,-277.1916
2022-06-14 15:54:45,6260.184,-292.5017
2022-06-14 15:54:44,7080.274,-104.18934
2022-06-14 15:54:43,8595.37,-65.86812
2022-06-14 15:54:42,7447.607,-284.806
2022-06-14 15:54:41,5259.152,-523.4956
