time,in,out
2022-06-14 15:56:14,0.7839917,-2.743775
2022-06-14 15:56:13,1.158547,-4.745719
2022-06-14 15:56:12,0.7950624,-3.504012
2022-06-14 15:56:11,230.5312,-249.4008
2022-06-14 15:56:10,502.8467,-527.9372
2022-06-14 15:56:09,274.3966,-281.4123
2022-06-14 15:56:08,0.7840259,-3.768124
2022-06-14 15:56:07,4.104865,-13.359719
2022-06-14 15:56:06,4.270992,-13.839596
2022-06-14 15:56:05,1.4082547,-7.419902
2022-06-14 15:56:04,1.814292,-9.597786
2022-06-14 15:56:03,1.1775065,-5.862568
2022-06-14 15:56:02,0.783982,-3.767914
2022-06-14 15:56:01,1.1585144,-5.761533
2022-06-14 15:56:00,1.4817553,-6.385018
2022-06-14 15:55:59,1.727906,-7.968946
2022-06-14 15:55:58,1.814377,-9.598234
2022-06-14 15:55:57,1.1774031,-5.862061
2022-06-14 15:55:56,0.7840034,-3.768016
2022-06-14 15:55:55,1.1586097,-5.762005
2022-06-14 15:55:54,1.1773649,-5.861873
2022-06-14 15:55:53,416.9216,-18.09911
2022-06-14 15:55:52,1265.4052,-30.01173
2022-06-14 15:55:51,1697.449,-24.51505
2022-06-14 15:55:50,870.7443,-15.122562
2022-06-14 15:55:49,2.766471,-9.673492
2022-06-14 15:55:48,416.6656,-14.276253
2022-06-14 15:55:47,437.7921,-16.526125
2022-06-14 15:55:46,3.422359,-13.997726
2022-06-14 15:55:45,2.785362,-9.773956
2022-06-14 15:55:44,2.391943,-7.679816
2022-06-14 15:55:43,2.766664,-9.674109
2022-06-14 15:55:42,2.863417,-9.774044
2022-06-14 15:55:41,3.254233,-11.79988
2022-06-14 15:55:40,3.205049,-12.167949
2022-06-14 15:55:39,1256.8184,-1282.6565
2022-06-14 15:55:38,2996.866,-22683.39
2022-06-14 15:55:37,1784.341,-49356.17
2022-06-14 15:55:36,36.81018,-45188.18
2022-06-14 15:55:35,5564.736,-23306.81
2022-06-14 15:55:34,21184.77,-20815.1
2022-06-14 15:55:33,57163.14,-56766.17
2022-06-14 15:55:32,65270.66,-64883.43
2022-06-14 15:55:31,102845.48,-102440.91
2022-06-14 15:55:30,83209.91,-83226.83
2022-06-14 15:55:29,426.6643,-8797.223
2022-06-14 15:55:28,462.9688,-29334.1
2022-06-14 15:55:27,28557.65,-76098.04
2022-06-14 15:55:26,108693.06,-161159.79
2022-06-14 15:55:25,186205,-212134.3
2022-06-14 15:55:24,205304.5,-238651.9
2022-06-14 15:55:23,224192.5,-259494.6
2022-06-14 15:55:22,245659.1,-244070.1
2022-06-14 15:55:21,166670.87,-194873.6
2022-06-14 15:55:20,46311.97,-128992.67
2022-06-14 15:55:19,455.3026,-53351.78
2022-06-14 15:55:18,27633.4,-38622.89
2022-06-14 15:55:17,99792.65,-135081.51
2022-06-14 15:55:16,156727.72,-226400
2022-06-14 15:55:15,161541.41,-291650.7
2022-06-14 15:55:14,187038.5,-282279.7
2022-06-14 15:55:13,235758.4,-277976.5
2022-06-14 15:55:12,214577.4,-248924
2022-06-14 15:55:11,90056.23,-162224.47
2022-06-14 15:55:10,97.72281,-127032.25
2022-06-14 15:55:09,5658.041,-96336.77
2022-06-14 15:55:08,39266.27,-82671.02
2022-06-14 15:55:07,100810.39,-129905.09
2022-06-14 15:55:06,175767.5,-239579
2022-06-14 15:55:05,225330.3,-378668.1
2022-06-14 15:55:04,222972,-509361
2022-06-14 15:55:03,212288.9,-444197.9
2022-06-14 15:55:02,150033.66,-236078.4
2022-06-14 15:55:01,43935.41,-102474.21
2022-06-14 15:55:00,40.90255,-43467.45
2022-06-14 15:54:59,44.83567,-51821.4
2022-06-14 15:54:58,8973.597,-150802.83
2022-06-14 15:54:57,63927.91,-213517.9
2022-06-14 15:54:56,159182.04,-214241.4
2022-06-14 15:54:55,242991.3,-286978.9
2022-06-14 15:54:54,259380.6,-351791.6
2022-06-14 15:54:53,197736.4,-344563.6
2022-06-14 15:54:52,146266.57,-295820.1
2022-06-14 15:54:51,113896.45,-202552.8
2022-06-14 15:54:50,46152.05,-112992.66
2022-06-14 15:54:49,750.6445,-171474.5
2022-06-14 15:54:48,507.0136,-138583.41
2022-06-14 15:54:47,1396.7607,-166.09847
2022-06-14 15:54:46,49257.05,-111163.7
2022-06-14 15:54:45,108846.86,-347781.1
2022-06-14 15:54:44,182431.3,-447397.6
2022-06-14 15:54:43,275256.6,-421576.9
2022-06-14 15:54:42,305863.1,-444780.5
2022-06-14 15:54:41,280253.1,-407601.4
2022-06-14 15:54:40,196543.8,-269280.9
2022-06-14 15:54:39,119446.2,-210944.5
2022-06-14 15:54:38,67036.43,-176554
2022-06-14 15:54:37,30690.55,-72855.97
2022-06-14 15:54:36,29501.73,-47289.08
2022-06-14 15:54:35,16705.442,-135645.3
2022-06-14 15:54:34,173.2736,-159531.88
2022-06-14 15:54:33,546.7336,-131837.7
2022-06-14 15:54:32,2292.641,-199671.1
2022-06-14 15:54:31,2770.924,-206399.1
2022-06-14 15:54:30,1389.3499,-113952.66
2022-06-14 15:54:29,1751.432,-58401.02
2022-06-14 15:54:28,2188.361,-39674.44
2022-06-14 15:54:27,10341.707,-21643.08
2022-06-14 15:54:26,31337.31,-29692.09
2022-06-14 15:54:25,83485.67,-101155.03
2022-06-14 15:54:24,106426.96,-196852.2
2022-06-14 15:54:23,71384.87,-215032.5
2022-06-14 15:54:22,41680.59,-184365.9
2022-06-14 15:54:21,28347.51,-160029.03
2022-06-14 15:54:20,19416.18,-128836.65
2022-06-14 15:54:19,31955.72,-104835.25
2022-06-14 15:54:18,87376.75,-130921.68
2022-06-14 15:54:17,179564.9,-229887.5
2022-06-14 15:54:16,260539.7,-357079.7
2022-06-14 15:54:15,223442.1,-332110
2022-06-14 15:54:14,142899.2,-236101.9
2022-06-14 15:54:13,127422.56,-241934
2022-06-14 15:54:12,93826.56,-222048.7
2022-06-14 15:54:11,26730.47,-107967.47
2022-06-14 15:54:10,9346.958,-41063.23
2022-06-14 15:54:09,47950.19,-107046.72
2022-06-14 15:54:08,125463.39,-203943.6
2022-06-14 15:54:07,217498.6,-267174.9
2022-06-14 15:54:06,256359.6,-285994.1
2022-06-14 15:54:05,209963.7,-284865.1
2022-06-14 15:54:04,138642.49,-243378.3
2022-06-14 15:54:03,91483.65,-206540
2022-06-14 15:54:02,56555.12,-190584.1
2022-06-14 15:54:01,19662.51,-120835.95
2022-06-14 15:54:00,1610.4487,-37769.69
2022-06-14 15:53:59,43109.93,-43130.87
2022-06-14 15:53:58,155475.45,-155498.4
2022-06-14 15:53:57,251102.3,-260783.6
2022-06-14 15:53:56,279296.3,-349259
2022-06-14 15:53:55,243940.5,-341450.8
2022-06-14 15:53:54,138101.86,-223393.8
2022-06-14 15:53:53,61845.55,-191497.1
2022-06-14 15:53:52,25996.21,-193617.7
2022-06-14 15:53:51,118.37161,-152694.03
2022-06-14 15:53:50,485.4625,-76817.2
2022-06-14 15:53:49,16395.621,-27067.21
2022-06-14 15:53:48,100731.63,-122653.42
2022-06-14 15:53:47,221532.8,-271185.5
2022-06-14 15:53:46,304765.1,-382447.3
2022-06-14 15:53:45,291590.8,-385860.9
2022-06-14 15:53:44,180866.1,-247129.5
2022-06-14 15:53:43,76388.21,-108071.22
2022-06-14 15:53:42,18264.43,-86301.42
2022-06-14 15:53:41,83.03747,-113993.18
