time,free,used
2022-06-14 15:59:08,14110.8,1898.34
2022-06-14 15:59:09,28034.7,3983.64
2022-06-14 15:59:10,68524.8,11521.1
2022-06-14 15:59:11,68529.1,11516.8
2022-06-14 15:59:12,68537.6,11508.3
2022-06-14 15:59:13,68545.6,11500.4
2022-06-14 15:59:14,68546.2,11499.6
2022-06-14 15:59:15,68556.1,11489.8
2022-06-14 15:59:16,68556.7,11489.3
2022-06-14 15:59:17,68554.2,11491.7
2022-06-14 15:59:18,68554,11492
2022-06-14 15:59:19,68556,11489.9
2022-06-14 15:59:20,68555.8,11490.2
2022-06-14 15:59:21,68556.8,11489
2022-06-14 15:59:22,68556.2,11489.7
2022-06-14 15:59:23,68557.1,11488.9
2022-06-14 15:59:24,68556.1,11489.7
2022-06-14 15:59:25,68554.7,11491.3
2022-06-14 15:59:26,68549.9,11496
2022-06-14 15:59:27,68553.9,11492
2022-06-14 15:59:28,68459,11586.9
2022-06-14 15:59:29,68392.1,11653.9
2022-06-14 15:59:30,68329.4,11716.6
2022-06-14 15:59:31,68305.7,11740.3
2022-06-14 15:59:32,68172.6,11873.4
2022-06-14 15:59:33,68028.4,12017.6
2022-06-14 15:59:34,67785.2,12260.6
2022-06-14 15:59:35,67440.7,12605.2
2022-06-14 15:59:36,67291.4,12754.5
2022-06-14 15:59:37,67154.8,12891.2
2022-06-14 15:59:38,66714.9,13330.9
2022-06-14 15:59:39,66210.9,13835
2022-06-14 15:59:40,65746.8,14299
2022-06-14 15:59:41,65726.5,14319.5
2022-06-14 15:59:42,65710.8,14335.1
2022-06-14 15:59:43,65713,14333
2022-06-14 15:59:44,65708.8,14337.2
2022-06-14 15:59:45,65698.1,14347.8
2022-06-14 15:59:46,65630.6,14415.4
2022-06-14 15:59:47,65593.7,14452.4
2022-06-14 15:59:48,65569.9,14475.9
2022-06-14 15:59:49,65562,14484
2022-06-14 15:59:50,65558.2,14487.8
2022-06-14 15:59:51,65556.3,14489.6
2022-06-14 15:59:52,65552.4,14493.5
2022-06-14 15:59:53,65548.1,14497.8
2022-06-14 15:59:54,65514.2,14531.7
2022-06-14 15:59:55,65506.9,14539.1
2022-06-14 15:59:56,65498.1,14547.8
2022-06-14 15:59:57,65499,14547
2022-06-14 15:59:58,65494.8,14551.1
2022-06-14 15:59:59,65490,14555.9
2022-06-14 16:00:00,65479.9,14566.1
2022-06-14 16:00:01,65436.7,14609.2
2022-06-14 16:00:02,65443.5,14602.3
2022-06-14 16:00:03,65438.7,14607.2
2022-06-14 16:00:04,65436.3,14609.5
2022-06-14 16:00:05,65435.2,14610.6
2022-06-14 16:00:06,65429.7,14616.3
2022-06-14 16:00:07,65413.1,14632.7
2022-06-14 16:00:08,65395.5,14650.5
2022-06-14 16:00:09,65391.5,14654.5
2022-06-14 16:00:10,65387.8,14658.1
2022-06-14 16:00:11,65385,14660.9
2022-06-14 16:00:12,65386.7,14659.1
2022-06-14 16:00:13,65375.8,14670.1
2022-06-14 16:00:14,65363.9,14682
2022-06-14 16:00:15,65358.9,14686.9
2022-06-14 16:00:16,65352.4,14693.5
2022-06-14 16:00:17,65350.6,14695.3
2022-06-14 16:00:18,65337.8,14708.2
2022-06-14 16:00:19,65321.1,14724.7
2022-06-14 16:00:20,65309.2,14736.7
2022-06-14 16:00:21,65300.3,14745.7
2022-06-14 16:00:22,65291.1,14754.8
2022-06-14 16:00:23,65285.2,14760.8
2022-06-14 16:00:24,65279.3,14766.7
2022-06-14 16:00:25,65289.7,14756.2
2022-06-14 16:00:26,65274.7,14771.3
2022-06-14 16:00:27,65272.9,14773.1
2022-06-14 16:00:28,65264.6,14781.2
2022-06-14 16:00:29,65255.9,14790
2022-06-14 16:00:30,65248.8,14797.2
2022-06-14 16:00:31,65248.7,14797.2
2022-06-14 16:00:32,65241.5,14804.4
2022-06-14 16:00:33,65234.1,14811.8
2022-06-14 16:00:34,65223.6,14822.4
2022-06-14 16:00:35,65225.8,14820.3
2022-06-14 16:00:36,65220.8,14825.3
2022-06-14 16:00:37,65217.7,14828.1
2022-06-14 16:00:38,65212.1,14833.8
2022-06-14 16:00:39,65200.8,14845.1
2022-06-14 16:00:40,65192.2,14853.9
2022-06-14 16:00:41,65181.4,14864.6
2022-06-14 16:00:42,65177,14868.9
2022-06-14 16:00:43,65160.7,14885.2
2022-06-14 16:00:44,65162.7,14883.1
2022-06-14 16:00:45,65149.1,14896.8
2022-06-14 16:00:46,65133.1,14912.8
2022-06-14 16:00:47,65117.4,14928.5
2022-06-14 16:00:48,65110.2,14935.7
2022-06-14 16:00:49,65112.6,14933.4
2022-06-14 16:00:50,65111.5,14934.4
