time,in,out
2022-06-14 16:23:55,33.6549,-5.03661
2022-06-14 16:23:56,1.56713,-5.46897
2022-06-14 16:23:57,106.426,-46.652
2022-06-14 16:23:58,100.772,-45.5593
2022-06-14 16:23:59,5.59532,-15.4716
2022-06-14 16:24:00,41.4025,-25.2445
2022-06-14 16:24:01,39.1013,-23.3871
2022-06-14 16:24:02,3.92012,-13.6804
2022-06-14 16:24:03,6.01247,-25.1644
2022-06-14 16:24:04,5.99721,-23.5114
2022-06-14 16:24:05,4.53404,-14.4255
2022-06-14 16:24:06,9.19377,-77.5629
2022-06-14 16:24:07,8.07054,-66.5998
2022-06-14 16:24:08,3.92004,-13.6802
2022-06-14 16:24:09,7.33098,-26.2036
2022-06-14 16:24:10,6.845,-24.2203
2022-06-14 16:24:11,3.92008,-13.6803
2022-06-14 16:24:12,800981,-1403.64
2022-06-14 16:24:13,1.57243e+06,-371645
2022-06-14 16:24:14,1.57203e+06,-1.14136e+06
2022-06-14 16:24:15,829794,-828047
2022-06-14 16:24:16,99343.7,-99407.4
2022-06-14 16:24:17,27.4724,-55.0199
2022-06-14 16:24:18,2.14184e+06,-2.13702e+06
2022-06-14 16:24:19,4.79082e+06,-4.84019e+06
2022-06-14 16:24:20,2.68173e+06,-2.68455e+06
2022-06-14 16:24:21,140233,-88990.9
2022-06-14 16:24:22,203.383,-214.462
2022-06-14 16:24:23,741.259,-365.136
2022-06-14 16:24:24,1430.94,-748.37
2022-06-14 16:24:25,778581,-778251
2022-06-14 16:24:26,2.39625e+06,-2.39625e+06
2022-06-14 16:24:27,3240186,-3.24021e+06
2022-06-14 16:24:28,3.14074e+06,-3.14076e+06
2022-06-14 16:24:29,2.984e+06,-2.98401e+06
2022-06-14 16:24:30,3.01224e+06,-3.01227e+06
2022-06-14 16:24:31,2.87783e+06,-2.87531e+06
2022-06-14 16:24:32,2.3604e+06,-2.36033e+06
2022-06-14 16:24:33,2.09644e+06,-2.09834e+06
2022-06-14 16:24:34,2.71878e+06,-2.71881e+06
2022-06-14 16:24:35,3.30929e+06,-3.30931e+06
2022-06-14 16:24:36,3.30105e+06,-3.30108e+06
2022-06-14 16:24:37,3.27688e+06,-3.27691e+06
2022-06-14 16:24:38,3.15326e+06,-3.15325e+06
2022-06-14 16:24:39,2.96036e+06,-2.96072e+06
2022-06-14 16:24:40,2.93944e+06,-2.93913e+06
2022-06-14 16:24:41,3.12121e+06,-3.12052e+06
2022-06-14 16:24:42,3.30661e+06,-3.30664e+06
2022-06-14 16:24:43,3.34783e+06,-3.34786e+06
2022-06-14 16:24:44,3.29523e+06,-3294796
2022-06-14 16:24:45,3.2517e+06,-3.25193e+06
2022-06-14 16:24:46,3.03611e+06,-3.03565e+06
2022-06-14 16:24:47,3.13291e+06,-3.13304e+06
2022-06-14 16:24:48,3.27494e+06,-3.27481e+06
2022-06-14 16:24:49,3.31133e+06,-3.3114e+06
2022-06-14 16:24:50,3.30896e+06,-3.30966e+06
2022-06-14 16:24:51,3.26118e+06,-3.26099e+06
2022-06-14 16:24:52,3.25142e+06,-3.25094e+06
2022-06-14 16:24:53,3.11848e+06,-3.11802e+06
2022-06-14 16:24:54,3.12449e+06,-3.12445e+06
2022-06-14 16:24:55,3.22886e+06,-3.22882e+06
2022-06-14 16:24:56,3.29193e+06,-3.29183e+06
2022-06-14 16:24:57,3.29107e+06,-3.29108e+06
2022-06-14 16:24:58,3.29485e+06,-3.29485e+06
2022-06-14 16:24:59,3.20506e+06,-3.20529e+06
2022-06-14 16:25:00,3.19048e+06,-3.19046e+06
2022-06-14 16:25:01,3.24748e+06,-3.24694e+06
2022-06-14 16:25:02,3.27481e+06,-3274045
2022-06-14 16:25:03,3.27345e+06,-3.27307e+06
2022-06-14 16:25:04,3.28968e+06,-3.28996e+06
2022-06-14 16:25:05,3.30772e+06,-3.30783e+06
2022-06-14 16:25:06,3.20805e+06,-3.20722e+06
2022-06-14 16:25:07,3.21928e+06,-3.22015e+06
2022-06-14 16:25:08,3.28042e+06,-3.28029e+06
2022-06-14 16:25:09,3.28918e+06,-3.28891e+06
2022-06-14 16:25:10,3.26922e+06,-3.26899e+06
2022-06-14 16:25:11,3.3039e+06,-3.3039e+06
2022-06-14 16:25:12,3.24399e+06,-3.24339e+06
2022-06-14 16:25:13,3.18434e+06,-3.18505e+06
2022-06-14 16:25:14,3.23264e+06,-3.23229e+06
2022-06-14 16:25:15,3.26073e+06,-3260370
2022-06-14 16:25:16,3.30331e+06,-3.30331e+06
2022-06-14 16:25:17,3.34297e+06,-3.34298e+06
2022-06-14 16:25:18,3.30702e+06,-3.30694e+06
2022-06-14 16:25:19,3.21133e+06,-3212498
2022-06-14 16:25:20,3.21041e+06,-3.20881e+06
2022-06-14 16:25:21,3209474,-3.20917e+06
2022-06-14 16:25:22,3.28945e+06,-3.28942e+06
2022-06-14 16:25:23,3.34248e+06,-3.34275e+06
2022-06-14 16:25:24,3.31074e+06,-3.31076e+06
2022-06-14 16:25:25,3.2668e+06,-3.26662e+06
2022-06-14 16:25:26,3.18632e+06,-3.18618e+06
2022-06-14 16:25:27,3.20917e+06,-3.20899e+06
2022-06-14 16:25:28,3.2382e+06,-3.23807e+06
2022-06-14 16:25:29,3.28437e+06,-3.2844e+06
2022-06-14 16:25:30,3.32809e+06,-3.32811e+06
2022-06-14 16:25:31,3.31279e+06,-3.31281e+06
2022-06-14 16:25:32,3.22517e+06,-3.2248e+06
2022-06-14 16:25:33,3.17508e+06,-3.17437e+06
2022-06-14 16:25:34,3.18784e+06,-3.1884e+06
2022-06-14 16:25:35,3.2405e+06,-3.24005e+06
2022-06-14 16:25:36,3.30514e+06,-3.30494e+06
2022-06-14 16:25:37,3.31675e+06,-3.31678e+06
2022-06-14 16:25:38,3.2616e+06,-3.26162e+06
2022-06-14 16:25:39,3.19294e+06,-3.19302e+06
2022-06-14 16:25:40,3.18725e+06,-3.18605e+06
2022-06-14 16:25:41,3.2354e+06,-3.23664e+06
2022-06-14 16:25:42,3.28778e+06,-3288155
2022-06-14 16:25:43,3.34791e+06,-3.34683e+06
2022-06-14 16:25:44,3.27919e+06,-3.27906e+06
2022-06-14 16:25:45,3.299e+06,-3.29905e+06
2022-06-14 16:25:46,3.20806e+06,-3.20902e+06
2022-06-14 16:25:47,3.21943e+06,-3.21837e+06
2022-06-14 16:25:48,3.24887e+06,-3.24846e+06
2022-06-14 16:25:49,3.27283e+06,-3.27361e+06
2022-06-14 16:25:50,3.33558e+06,-3.33483e+06
2022-06-14 16:25:51,3.26437e+06,-3.26419e+06
2022-06-14 16:25:52,3.24261e+06,-3242694
2022-06-14 16:25:53,3.20253e+06,-3.20225e+06
2022-06-14 16:25:54,3233874,-3.23322e+06
2022-06-14 16:25:55,3.31214e+06,-3.31229e+06
2022-06-14 16:25:56,3.31474e+06,-3.31499e+06
2022-06-14 16:25:57,3280700,-3.28073e+06
2022-06-14 16:25:58,3.22463e+06,-3.22471e+06
2022-06-14 16:25:59,3.24379e+06,-3.24372e+06
2022-06-14 16:26:00,3272810,-3.27249e+06
2022-06-14 16:26:01,3.29995e+06,-3.29968e+06
2022-06-14 16:26:02,3.27006e+06,-3.27006e+06
2022-06-14 16:26:03,3.29365e+06,-3.29365e+06
2022-06-14 16:26:04,3.28488e+06,-3.28478e+06
2022-06-14 16:26:05,3.27653e+06,-3.27624e+06
2022-06-14 16:26:06,3.17693e+06,-3.17666e+06
2022-06-14 16:26:07,3.23609e+06,-3.23616e+06
2022-06-14 16:26:08,3.33565e+06,-3.33566e+06
2022-06-14 16:26:09,3.28884e+06,-3.28886e+06
2022-06-14 16:26:10,3.25671e+06,-3.26061e+06
2022-06-14 16:26:11,3.24483e+06,-3.24354e+06
2022-06-14 16:26:12,3.21607e+06,-3.21293e+06
2022-06-14 16:26:13,3.15141e+06,-3.15072e+06
2022-06-14 16:26:14,3.27234e+06,-3.27253e+06
2022-06-14 16:26:15,3.34094e+06,-3.34137e+06
2022-06-14 16:26:16,3297801,-3.29753e+06
2022-06-14 16:26:17,3.29259e+06,-3.29303e+06
2022-06-14 16:26:18,3.28763e+06,-3.28733e+06
2022-06-14 16:26:19,3.28785e+06,-3.28587e+06
2022-06-14 16:26:20,3.33262e+06,-3.33321e+06
2022-06-14 16:26:21,3.35669e+06,-3.35738e+06
2022-06-14 16:26:22,3.31522e+06,-3.31552e+06
2022-06-14 16:26:23,3.28122e+06,-3.28057e+06
2022-06-14 16:26:24,3.27827e+06,-3.27824e+06
2022-06-14 16:26:25,3.27117e+06,-3270822
2022-06-14 16:26:26,3.30863e+06,-3.30836e+06
2022-06-14 16:26:27,3.33631e+06,-3.33645e+06
2022-06-14 16:26:28,3.34085e+06,-3.34087e+06
2022-06-14 16:26:29,3.31572e+06,-3.31578e+06
2022-06-14 16:26:30,3.24668e+06,-3.24655e+06
2022-06-14 16:26:31,3.28951e+06,-3.28967e+06
2022-06-14 16:26:32,3.3128e+06,-3.31248e+06
2022-06-14 16:26:33,3.28911e+06,-3.28886e+06
2022-06-14 16:26:34,3.30682e+06,-3.30683e+06
2022-06-14 16:26:35,3.29805e+06,-3.29792e+06
2022-06-14 16:26:36,3.27155e+06,-3.27227e+06
2022-06-14 16:26:37,3.23662e+06,-3.23579e+06
2022-06-14 16:26:38,3.26921e+06,-3.26939e+06
2022-06-14 16:26:39,3.30341e+06,-3.30307e+06
2022-06-14 16:26:40,3.29517e+06,-3.29541e+06
2022-06-14 16:26:41,3.33058e+06,-3.33052e+06
2022-06-14 16:26:42,3.28484e+06,-3.28502e+06
2022-06-14 16:26:43,3.23121e+06,-3.2303e+06
2022-06-14 16:26:44,3.26693e+06,-3.26671e+06
2022-06-14 16:26:45,3.2649e+06,-3.26463e+06
2022-06-14 16:26:46,3.26416e+06,-3.26431e+06
2022-06-14 16:26:47,3.34033e+06,-3.34032e+06
2022-06-14 16:26:48,3.33087e+06,-3.33089e+06
2022-06-14 16:26:49,3.24685e+06,-3.2466e+06
2022-06-14 16:26:50,3.24805e+06,-3.24752e+06
2022-06-14 16:26:51,3.28807e+06,-3288295
2022-06-14 16:26:52,3.29255e+06,-3.29262e+06
2022-06-14 16:26:53,3.29068e+06,-3.2907e+06
2022-06-14 16:26:54,3.33795e+06,-3.33783e+06
2022-06-14 16:26:55,3.23511e+06,-3.23494e+06
2022-06-14 16:26:56,3.24727e+06,-3.24707e+06
2022-06-14 16:26:57,3.31237e+06,-3.31197e+06
2022-06-14 16:26:58,3.30153e+06,-3.30166e+06
2022-06-14 16:26:59,3.28066e+06,-3.2807e+06
2022-06-14 16:27:00,3.31507e+06,-3.31481e+06
2022-06-14 16:27:01,3.29515e+06,-3.29492e+06
2022-06-14 16:27:02,3.23396e+06,-3.23456e+06
2022-06-14 16:27:03,3.29068e+06,-3.28848e+06
2022-06-14 16:27:04,3.30563e+06,-3.30727e+06
2022-06-14 16:27:05,3.29736e+06,-3.29733e+06
2022-06-14 16:27:06,3.30685e+06,-3.30648e+06
2022-06-14 16:27:07,3.30839e+06,-3.30815e+06
2022-06-14 16:27:08,3.25407e+06,-3.25407e+06
2022-06-14 16:27:09,3223341,-3.21915e+06
2022-06-14 16:27:10,3.3664e+06,-3.3677e+06
2022-06-14 16:27:11,3.34122e+06,-3.34365e+06
2022-06-14 16:27:12,3259152,-3.25907e+06
2022-06-14 16:27:13,3.3069e+06,-3.3069e+06
2022-06-14 16:27:14,3.28375e+06,-3.28368e+06
2022-06-14 16:27:15,3.27646e+06,-3.27638e+06
2022-06-14 16:27:16,3.29991e+06,-3.29989e+06
2022-06-14 16:27:17,3.29809e+06,-3.2979e+06
2022-06-14 16:27:18,3.32576e+06,-3.32553e+06
2022-06-14 16:27:19,3.2761e+06,-3.2761e+06
2022-06-14 16:27:20,3.29305e+06,-3.29304e+06
2022-06-14 16:27:21,3.29206e+06,-3292050
2022-06-14 16:27:22,3.19714e+06,-3.19616e+06
2022-06-14 16:27:23,3.28124e+06,-3.28179e+06
2022-06-14 16:27:24,3.29416e+06,-3.29395e+06
2022-06-14 16:27:25,3.26806e+06,-3.26812e+06
2022-06-14 16:27:26,3.27667e+06,-3.27666e+06
2022-06-14 16:27:27,3.30386e+06,-3303806
2022-06-14 16:27:28,3.2455e+06,-3.24529e+06
2022-06-14 16:27:29,3.25445e+06,-3.2542e+06
2022-06-14 16:27:30,3.24212e+06,-3.24212e+06
2022-06-14 16:27:31,3.27485e+06,-3.27485e+06
2022-06-14 16:27:32,3.32262e+06,-3.32272e+06
2022-06-14 16:27:33,3.32603e+06,-3.32576e+06
2022-06-14 16:27:34,3.31759e+06,-3.3172e+06
2022-06-14 16:27:35,3.26468e+06,-3.26446e+06
2022-06-14 16:27:36,3.2471e+06,-3.24767e+06
2022-06-14 16:27:37,3275909,-3.27581e+06
2022-06-14 16:27:38,3.29038e+06,-3.29007e+06
2022-06-14 16:27:39,3264897,-3.26462e+06
2022-06-14 16:27:40,3.27396e+06,-3.27369e+06
2022-06-14 16:27:41,3283802,-3.28368e+06
2022-06-14 16:27:42,3.25254e+06,-3.25269e+06
2022-06-14 16:27:43,3.27784e+06,-3.27711e+06
2022-06-14 16:27:44,3.24964e+06,-3.25017e+06
2022-06-14 16:27:45,3.26294e+06,-3.26252e+06
2022-06-14 16:27:46,3.3159e+06,-3.31601e+06
2022-06-14 16:27:47,3.27604e+06,-3.27507e+06
2022-06-14 16:27:48,3.27832e+06,-3.27921e+06
2022-06-14 16:27:49,3.31279e+06,-3.31279e+06
2022-06-14 16:27:50,3.30074e+06,-3.30033e+06
2022-06-14 16:27:51,3275689,-3.27555e+06
2022-06-14 16:27:52,3272799,-3.27277e+06
2022-06-14 16:27:53,3.32394e+06,-3.32393e+06
2022-06-14 16:27:54,3.30183e+06,-3.30173e+06
2022-06-14 16:27:55,3263000,-3263071
2022-06-14 16:27:56,3.24909e+06,-3.24878e+06
2022-06-14 16:27:57,3.31714e+06,-3316908
2022-06-14 16:27:58,3.27402e+06,-3.27416e+06
2022-06-14 16:27:59,3230871,-3.23072e+06
