time,free,used,cached,buffers
2022-06-14 12:44:05,10772.812,347.4844,4882.711,6.167969
2022-06-14 12:44:04,10773.066,347.2383,4882.711,6.160156
2022-06-14 12:44:03,10773.066,347.2383,4882.711,6.160156
2022-06-14 12:44:02,10784.941,345.4609,4872.707,6.066406
2022-06-14 12:44:01,10782.977,374.5469,4845.684,5.96875
2022-06-14 12:44:00,172.4258,11016.227,4814.555,5.96875
2022-06-14 12:43:59,171.1172,10768.738,5063.352,5.96875
2022-06-14 12:43:58,839.168,9952.523,5211.516,5.96875
2022-06-14 12:43:57,1712.512,9079.68,5211.016,5.96875
2022-06-14 12:43:56,2455.223,8336.973,5211.012,5.96875
2022-06-14 12:43:55,3298.586,7493.621,5211.016,5.953125
2022-06-14 12:43:54,4173.449,6618.758,5211.016,5.953125
2022-06-14 12:43:53,7361.84,3430.367,5211.016,5.953125
2022-06-14 12:43:52,10108.293,775.9414,5118.988,5.953125
2022-06-14 12:43:51,6908.992,4227.602,4866.629,5.953125
2022-06-14 12:43:50,176.5312,11018.059,4808.633,5.953125
2022-06-14 12:43:49,166.16016,10727.488,5109.574,5.953125
2022-06-14 12:43:48,857.6719,9923.852,5221.699,5.953125
2022-06-14 12:43:47,1770.926,9010.598,5221.699,5.953125
2022-06-14 12:43:46,2505.734,8276.18,5221.309,5.953125
2022-06-14 12:43:45,3317.352,7464.574,5221.312,5.9375
2022-06-14 12:43:44,4234.543,6547.383,5221.312,5.9375
2022-06-14 12:43:43,7637.527,3144.398,5221.312,5.9375
2022-06-14 12:43:42,10122.602,764.7773,5115.859,5.9375
2022-06-14 12:43:41,5826.301,5313.262,4863.676,5.9375
2022-06-14 12:43:40,172.9336,11012.992,4817.312,5.9375
2022-06-14 12:43:39,163.60938,10663.043,5176.586,5.9375
2022-06-14 12:43:38,892.7891,9897.121,5213.328,5.9375
2022-06-14 12:43:37,1848.617,8941.293,5213.328,5.9375
2022-06-14 12:43:36,2581.238,8208.68,5213.328,5.929688
2022-06-14 12:43:35,3356.926,7433.113,5213.207,5.929688
2022-06-14 12:43:34,4309.309,6480.734,5213.211,5.921875
2022-06-14 12:43:33,8018.926,2771.117,5213.211,5.921875
2022-06-14 12:43:32,10206.379,697.957,5098.918,5.921875
2022-06-14 12:43:31,7813.465,3351.109,4838.68,5.921875
2022-06-14 12:43:30,174.8242,11018.352,4810.078,5.921875
2022-06-14 12:43:29,157.83203,10706.738,5138.684,5.921875
2022-06-14 12:43:28,926.918,9862.223,5214.113,5.921875
2022-06-14 12:43:27,1886.438,8902.703,5214.113,5.921875
2022-06-14 12:43:26,2541.785,8247.371,5214.113,5.90625
2022-06-14 12:43:25,3392.723,7396.52,5214.027,5.90625
2022-06-14 12:43:24,4329.367,6460.074,5213.828,5.90625
2022-06-14 12:43:23,8170.152,2619.289,5213.828,5.90625
2022-06-14 12:43:22,10282.887,627.2812,5093.102,5.90625
2022-06-14 12:43:21,5728.527,5446.523,4828.223,5.902344
2022-06-14 12:43:20,177.082,11016.41,4809.789,5.894531
2022-06-14 12:43:19,158.39453,10631.008,5213.879,5.894531
2022-06-14 12:43:18,1014.3086,9775.094,5213.879,5.894531
2022-06-14 12:43:17,1985.719,8803.77,5213.793,5.894531
2022-06-14 12:43:16,2640.82,8148.672,5213.797,5.886719
2022-06-14 12:43:15,3500.672,7288.828,5213.797,5.878906
2022-06-14 12:43:14,4483.57,6305.93,5213.797,5.878906
2022-06-14 12:43:13,8622.855,2167.234,5213.207,5.878906
2022-06-14 12:43:12,10345.324,595.3789,5062.594,5.878906
2022-06-14 12:43:11,3732.938,7450.523,4819.836,5.878906
2022-06-14 12:43:10,177.0977,11015.383,4810.816,5.878906
2022-06-14 12:43:09,245.7422,10542.449,5215.113,5.871094
2022-06-14 12:43:08,1124.2969,9663.895,5215.113,5.871094
2022-06-14 12:43:07,2053.547,8734.645,5215.113,5.871094
2022-06-14 12:43:06,2716.109,8072.168,5215.035,5.863281
2022-06-14 12:43:05,3598.848,7189.438,5215.035,5.855469
2022-06-14 12:43:04,4594.543,6193.742,5215.035,5.855469
2022-06-14 12:43:03,8937.516,1851.047,5214.758,5.855469
2022-06-14 12:43:02,10375.293,579.6289,5048.398,5.855469
2022-06-14 12:43:01,3313.262,7866.109,4823.949,5.855469
2022-06-14 12:43:00,173.0078,11018.238,4812.074,5.855469
2022-06-14 12:42:59,228.375,10558.727,5216.219,5.855469
2022-06-14 12:42:58,1090.9336,9696.168,5216.219,5.855469
2022-06-14 12:42:57,2016.492,8770.609,5216.219,5.855469
2022-06-14 12:42:56,2690.051,8097.051,5216.219,5.855469
2022-06-14 12:42:55,3542.844,7244.355,5216.137,5.839844
2022-06-14 12:42:54,4566.348,6220.852,5216.137,5.839844
2022-06-14 12:42:53,8696.527,2091.09,5215.719,5.839844
2022-06-14 12:42:52,10350.742,590.6484,5061.945,5.839844
2022-06-14 12:42:51,5494.453,5689.199,4819.684,5.839844
2022-06-14 12:42:50,174.8203,11015.758,4812.758,5.839844
2022-06-14 12:42:49,250.0156,10540.746,5212.574,5.839844
2022-06-14 12:42:48,1160.8086,9629.953,5212.574,5.839844
2022-06-14 12:42:47,2056.344,8734.418,5212.574,5.839844
