time,in,out
2022-06-27 18:49:14,2872.744,-2138.797
2022-06-27 18:49:13,1019.6498,0
2022-06-27 18:49:12,1028.1545,-57.01507
2022-06-27 18:49:11,1019.7346,-98.98493
2022-06-27 18:49:10,1028.4191,-51.18872
2022-06-27 18:49:09,926.0646,-88.81128
2022-06-27 18:49:08,959.4887,0
2022-06-27 18:49:07,801.888,0
2022-06-27 18:49:06,748.782,-32.17423
2022-06-27 18:49:05,1299.218,-58.74993
2022-06-27 18:49:04,748.6988,-5.075841
2022-06-27 18:49:03,1299.3012,0
2022-06-27 18:49:02,795.1925,0
2022-06-27 18:49:01,1380.8075,0
2022-06-27 18:49:00,748.4817,0
2022-06-27 18:48:59,1299.5183,0
2022-06-27 18:48:58,748.6094,0
2022-06-27 18:48:57,1299.3906,0
2022-06-27 18:48:56,748.844,0
2022-06-27 18:48:55,1299.156,0
2022-06-27 18:48:54,914.0522,0
2022-06-27 18:48:53,1585.9478,-4.386464
2022-06-27 18:48:52,1006.145,-7.613536
2022-06-27 18:48:51,1745.855,-86.28695
2022-06-27 18:48:50,748.6904,-149.71305
2022-06-27 18:48:49,1299.3096,0
2022-06-27 18:48:48,748.7048,0
2022-06-27 18:48:47,1299.2952,0
2022-06-27 18:48:46,795.4559,0
2022-06-27 18:48:45,1380.5441,0
2022-06-27 18:48:44,748.8213,0
2022-06-27 18:48:43,1299.1787,0
2022-06-27 18:48:42,748.6844,-5.849097
2022-06-27 18:48:41,1299.3156,-35.00917
2022-06-27 18:48:40,742.9143,-43.14174
2022-06-27 18:48:39,1294.9446,0
2022-06-27 18:48:38,720.2912,0
2022-06-27 18:48:37,1268.3578,0
2022-06-27 18:48:36,782.7813,-39.56779
2022-06-27 18:48:35,1267.7086,-206.068
2022-06-27 18:48:34,732.4285,-267.6308
2022-06-27 18:48:33,1234.3617,-50.73334
2022-06-27 18:48:32,813.8696,0
2022-06-27 18:48:31,1234.286,-36.64322
2022-06-27 18:48:30,860.9979,-63.35678
2022-06-27 18:48:29,1332.5421,-120.13429
2022-06-27 18:48:28,845.0378,-207.8657
2022-06-27 18:48:27,1344.561,0
2022-06-27 18:48:26,917.4404,-32.68945
2022-06-27 18:48:25,1158.3048,-55.31055
2022-06-27 18:48:24,881.0501,0
2022-06-27 18:48:23,1166.2492,0
2022-06-27 18:48:22,884.8903,0
2022-06-27 18:48:21,1162.6585,-38.09332
2022-06-27 18:48:20,882.5,-89.33661
2022-06-27 18:48:19,1165.3265,-40.57007
2022-06-27 18:48:18,885.0885,-5.88238
2022-06-27 18:48:17,1164.371,-10.11762
2022-06-27 18:48:16,895.0401,0
2022-06-27 18:48:15,1187.7667,-10.261134
2022-06-27 18:48:14,929.7177,-42.65141
2022-06-27 18:48:13,1246.223,-48.94905
2022-06-27 18:48:12,788.7688,-10.138408
2022-06-27 18:48:11,1096.7043,0
2022-06-27 18:48:10,951.5115,0
2022-06-27 18:48:09,1323.7775,-33.69342
2022-06-27 18:48:08,1344.141,-242.8781
2022-06-27 18:48:07,1096.8617,-319.4285
2022-06-27 18:48:06,951.5258,0
2022-06-27 18:48:05,1096.4055,-158.21164
2022-06-27 18:48:04,951.2525,-273.7884
2022-06-27 18:48:03,1097.0729,-87.99919
2022-06-27 18:48:02,950.919,-159.32565
2022-06-27 18:48:01,1096.9278,-12.675157
2022-06-27 18:48:00,951.5925,0
2022-06-27 18:47:59,1096.604,0
2022-06-27 18:47:58,999.8509,-35.30057
2022-06-27 18:47:57,1176.3976,-68.04046
2022-06-27 18:47:56,950.2829,-12.658972
2022-06-27 18:47:55,1198.2435,0
2022-06-27 18:47:54,1126.162,0
2022-06-27 18:47:53,1096.733,-26.37231
2022-06-27 18:47:52,951.2968,-51.48869
2022-06-27 18:47:51,1096.585,-10.139001
2022-06-27 18:47:50,988.9471,0
2022-06-27 18:47:49,1163.1914,0
2022-06-27 18:47:48,951.2282,0
2022-06-27 18:47:47,1096.5729,-29.28356
2022-06-27 18:47:46,951.4223,-50.71644
2022-06-27 18:47:45,1096.7697,0
2022-06-27 18:47:44,857.8334,0
2022-06-27 18:47:43,1028.6435,0
2022-06-27 18:47:42,1065.6265,-5.856995
2022-06-27 18:47:41,1109.318,-39.41909
2022-06-27 18:47:40,1019.8845,-50.72391
2022-06-27 18:47:39,1028.1584,-10.247822
2022-06-27 18:47:38,1020.0408,-17.75218
2022-06-27 18:47:37,1028.1664,-16.112763
2022-06-27 18:47:36,1020.2817,-51.35865
2022-06-27 18:47:35,1028.6237,-40.52858
2022-06-27 18:47:34,1065.8006,-183.1484
2022-06-27 18:47:33,1111.2313,-316.8516
2022-06-27 18:47:32,1020.9691,-5.908234
2022-06-27 18:47:31,1025.4093,-51.14116
2022-06-27 18:47:30,1399.8089,-70.95061
2022-06-27 18:47:29,1683.735,0
2022-06-27 18:47:28,1125.4089,0
2022-06-27 18:47:27,1123.441,-180.5527
2022-06-27 18:47:26,868.0769,-311.4473
2022-06-27 18:47:25,1028.3296,-27.91529
2022-06-27 18:47:24,1018.7842,-48.08471
2022-06-27 18:47:23,1028.0028,0
2022-06-27 18:47:22,1019.8724,0
