time,in,out
2022-06-28 02:54:27,1419.4738,-2069.852
2022-06-28 02:54:26,36.42682,-1224.3648
2022-06-28 02:54:25,67.57318,-3405.251
2022-06-28 02:54:24,47.60538,-4337.351
2022-06-28 02:54:23,88.39462,-4665.352
2022-06-28 02:54:22,0,-4097.029
2022-06-28 02:54:21,0,-4013.66
2022-06-28 02:54:20,0,-3943.403
2022-06-28 02:54:19,0,-4359.161
2022-06-28 02:54:18,0,-4826.479
2022-06-28 02:54:17,0,-3846.098
2022-06-28 02:54:16,0,-3547.802
2022-06-28 02:54:15,0,-4012.263
2022-06-28 02:54:14,0,-4431.445
2022-06-28 02:54:13,0,-3833.832
2022-06-28 02:54:12,176.4629,-3758.348
2022-06-28 02:54:11,327.5371,-3768.824
2022-06-28 02:54:10,0,-4151.197
2022-06-28 02:54:09,0,-4391.669
2022-06-28 02:54:08,22.41226,-3605.915
2022-06-28 02:54:07,41.58774,-3465.749
2022-06-28 02:54:06,225.4464,-3892.127
2022-06-28 02:54:05,418.5536,-4544.583
2022-06-28 02:54:04,107.86,-3984.043
2022-06-28 02:54:03,200.14,-4003.886
2022-06-28 02:54:02,51.81871,-3991.429
2022-06-28 02:54:01,96.18129,-4125.496
2022-06-28 02:54:00,0,-4336.691
2022-06-28 02:53:59,0,-3843.453
2022-06-28 02:53:58,0,-3837.203
2022-06-28 02:53:57,43.41752,-4216.555
2022-06-28 02:53:56,80.58248,-4520.723
2022-06-28 02:53:55,218.4477,-3874.085
2022-06-28 02:53:54,405.5523,-3914.965
2022-06-28 02:53:53,0,-3827.863
2022-06-28 02:53:52,0,-4085.44
2022-06-28 02:53:51,0,-4653.517
2022-06-28 02:53:50,0,-3379.676
2022-06-28 02:53:49,0,-2039.933
2022-06-28 02:53:48,0,-182.1272
2022-06-28 02:53:47,259.0876,-207.4176
2022-06-28 02:53:46,480.9124,-328.6352
2022-06-28 02:53:45,110.64892,-350.7697
2022-06-28 02:53:44,205.3511,-266.0029
2022-06-28 02:53:43,11.203907,-349.4138
2022-06-28 02:53:42,20.79609,-439.2005
2022-06-28 02:53:41,51.82216,-357.5834
2022-06-28 02:53:40,96.17784,-360.6398
2022-06-28 02:53:39,0,-553.9556
2022-06-28 02:53:38,0,-469.394
2022-06-28 02:53:37,0,-327.0799
2022-06-28 02:53:36,0,-368.3253
2022-06-28 02:53:35,0,-382.0859
2022-06-28 02:53:34,0,-1060.1171
2022-06-28 02:53:33,0,-1380.4269
2022-06-28 02:53:32,0,-633.8256
2022-06-28 02:53:31,78.42938,-716.42
2022-06-28 02:53:30,145.57062,-777.1987
2022-06-28 02:53:29,439.6933,-599.3267
2022-06-28 02:53:28,816.3067,-434.2019
2022-06-28 02:53:27,0,-526.4231
2022-06-28 02:53:26,0,-787.4088
2022-06-28 02:53:25,0,-592.9436
2022-06-28 02:53:24,116.24564,-388.8453
2022-06-28 02:53:23,215.7544,-569.8912
2022-06-28 02:53:22,81.22051,-710.6914
2022-06-28 02:53:21,150.77949,-552.6785
2022-06-28 02:53:20,444.0226,-597.5423
2022-06-28 02:53:19,823.9774,-474.0559
2022-06-28 02:53:18,193.2396,-565.1045
2022-06-28 02:53:17,358.7604,-263.5986
2022-06-28 02:53:16,0,-228.2122
2022-06-28 02:53:15,0,-292.2054
2022-06-28 02:53:14,15.405546,-433.048
2022-06-28 02:53:13,28.59445,-787.8222
2022-06-28 02:53:12,0,-800.367
2022-06-28 02:53:11,0,-472.9903
2022-06-28 02:53:10,22.40371,-475.5584
2022-06-28 02:53:09,41.59629,-361.7941
2022-06-28 02:53:08,107.8465,-729.8196
2022-06-28 02:53:07,200.1535,-1133.6142
2022-06-28 02:53:06,21.00668,-390.0064
2022-06-28 02:53:05,38.99332,-477.9918
2022-06-28 02:53:04,193.2663,-357.9839
2022-06-28 02:53:03,358.7337,-260.387
2022-06-28 02:53:02,39.21568,-232.4141
