time,in,out
2022-06-19 18:18:32,2544.945,-271.4036
2022-06-19 18:18:31,9246.85,-309.6853
2022-06-19 18:18:30,7424.205,0
2022-06-19 18:18:29,0,0
2022-06-19 18:18:28,0,0
2022-06-19 18:18:27,0,0
2022-06-19 18:18:26,0,0
2022-06-19 18:18:25,0,0
2022-06-19 18:18:24,0,0
2022-06-19 18:18:23,0,0
2022-06-19 18:18:22,0,0
2022-06-19 18:18:21,0,0
2022-06-19 18:18:20,0,0
2022-06-19 18:18:19,0,0
2022-06-19 18:18:18,0,0
2022-06-19 18:18:17,0,0
2022-06-19 18:18:16,0,0
2022-06-19 18:18:15,0,0
2022-06-19 18:18:14,0,0
2022-06-19 18:18:13,0,0
2022-06-19 18:18:12,0,0
2022-06-19 18:18:11,0,0
2022-06-19 18:18:10,0,0
2022-06-19 18:18:09,0,0
2022-06-19 18:18:08,0,0
2022-06-19 18:18:07,0,0
2022-06-19 18:18:06,0,0
2022-06-19 18:18:05,0,0
2022-06-19 18:18:04,0,0
2022-06-19 18:18:03,0,0
2022-06-19 18:18:02,0,0
2022-06-19 18:18:01,0,0
2022-06-19 18:18:00,0,0
2022-06-19 18:17:59,0,0
2022-06-19 18:17:58,0,0
2022-06-19 18:17:57,0,0
2022-06-19 18:17:56,0,0
2022-06-19 18:17:55,0,0
2022-06-19 18:17:54,0,0
2022-06-19 18:17:53,0,0
2022-06-19 18:17:52,0,0
2022-06-19 18:17:51,0,0
2022-06-19 18:17:50,0,0
2022-06-19 18:17:49,0,0
2022-06-19 18:17:48,0,0
2022-06-19 18:17:47,0,0
2022-06-19 18:17:46,0,0
2022-06-19 18:17:45,0,0
2022-06-19 18:17:44,0,-30.9258
2022-06-19 18:17:43,0,-37.0742
2022-06-19 18:17:42,0,0
2022-06-19 18:17:41,114.62326,0
2022-06-19 18:17:40,137.37674,0
2022-06-19 18:17:39,0,-12.733439
2022-06-19 18:17:38,50.93802,-15.266561
2022-06-19 18:17:37,61.06198,0
2022-06-19 18:17:36,0,0
2022-06-19 18:17:35,0,0
2022-06-19 18:17:34,0,0
2022-06-19 18:17:33,0,-120.02386
2022-06-19 18:17:32,0,-143.97614
2022-06-19 18:17:31,0,0
2022-06-19 18:17:30,0,0
2022-06-19 18:17:29,0,0
2022-06-19 18:17:28,0,0
2022-06-19 18:17:27,50.925,0
2022-06-19 18:17:26,61.075,0
2022-06-19 18:17:25,0,0
2022-06-19 18:17:24,0,0
2022-06-19 18:17:23,0,0
2022-06-19 18:17:22,0,0
2022-06-19 18:17:21,0,-9.095134
2022-06-19 18:17:20,0,-10.904866
2022-06-19 18:17:19,394.6518,0
2022-06-19 18:17:18,473.3482,0
2022-06-19 18:17:17,0,0
2022-06-19 18:17:16,41.84655,-30.93006
2022-06-19 18:17:15,50.15345,-37.06994
2022-06-19 18:17:14,54.56452,0
2022-06-19 18:17:13,65.43548,0
2022-06-19 18:17:12,236.4938,0
2022-06-19 18:17:11,283.5062,0
2022-06-19 18:17:10,116.42704,0
2022-06-19 18:17:09,139.57296,-16.372924
2022-06-19 18:17:08,0,-19.62708
2022-06-19 18:17:07,0,0
2022-06-19 18:17:06,0,0
2022-06-19 18:17:05,0,0
2022-06-19 18:17:04,0,0
2022-06-19 18:17:03,207.4899,0
2022-06-19 18:17:02,248.5101,0
2022-06-19 18:17:01,0,0
2022-06-19 18:17:00,0,0
2022-06-19 18:16:59,0,0
2022-06-19 18:16:58,0,0
2022-06-19 18:16:57,0,0
2022-06-19 18:16:56,0,0
2022-06-19 18:16:55,209.2626,0
2022-06-19 18:16:54,250.7374,0
2022-06-19 18:16:53,0,0
2022-06-19 18:16:52,0,0
2022-06-19 18:16:51,0,0
2022-06-19 18:16:50,0,0
2022-06-19 18:16:49,0,0
2022-06-19 18:16:48,18.18974,0
2022-06-19 18:16:47,21.81026,0
2022-06-19 18:16:46,0,0
2022-06-19 18:16:45,0,0
2022-06-19 18:16:44,0,0
2022-06-19 18:16:43,0,0
2022-06-19 18:16:42,180.0551,0
2022-06-19 18:16:41,215.9449,0
2022-06-19 18:16:40,0,0
2022-06-19 18:16:39,21.82719,0
2022-06-19 18:16:38,286.2623,0
2022-06-19 18:16:37,311.9105,0
2022-06-19 18:16:36,14.556457,0
2022-06-19 18:16:35,17.44354,0
2022-06-19 18:16:34,0,0
2022-06-19 18:16:33,0,0
2022-06-19 18:16:32,0,0
2022-06-19 18:16:31,0,0
2022-06-19 18:16:30,0,0
2022-06-19 18:16:29,0,0
2022-06-19 18:16:28,0,0
2022-06-19 18:16:27,30.92586,0
2022-06-19 18:16:26,37.07414,0
2022-06-19 18:16:25,74.57439,0
2022-06-19 18:16:24,89.42561,0
2022-06-19 18:16:23,225.5769,0
2022-06-19 18:16:22,270.4231,0
2022-06-19 18:16:21,1.818679,-3.637358
2022-06-19 18:16:20,2.181321,-4.362642
2022-06-19 18:16:19,0,0
2022-06-19 18:16:18,0,0
2022-06-19 18:16:17,0,0
2022-06-19 18:16:16,0,0
2022-06-19 18:16:15,0,-16.378638
2022-06-19 18:16:14,0,-19.62136
2022-06-19 18:16:13,0,0
2022-06-19 18:16:12,0,0
2022-06-19 18:16:11,0,0
2022-06-19 18:16:10,0,0
2022-06-19 18:16:09,0,0
2022-06-19 18:16:08,0,0
2022-06-19 18:16:07,0,0
2022-06-19 18:16:06,0,0
2022-06-19 18:16:05,0,0
2022-06-19 18:16:04,0,0
2022-06-19 18:16:03,0,0
2022-06-19 18:16:02,0,0
2022-06-19 18:16:01,0,0
2022-06-19 18:16:00,0,0
2022-06-19 18:15:59,0,0
2022-06-19 18:15:58,0,0
2022-06-19 18:15:57,0,0
2022-06-19 18:15:56,0,0
2022-06-19 18:15:55,0,0
2022-06-19 18:15:54,0,0
2022-06-19 18:15:53,0,0
2022-06-19 18:15:52,0,0
2022-06-19 18:15:51,0,0
2022-06-19 18:15:50,0,-12.736209
2022-06-19 18:15:49,0,-20.72134
2022-06-19 18:15:48,0,-6.542448
2022-06-19 18:15:47,0,0
2022-06-19 18:15:46,0,0
2022-06-19 18:15:45,0,0
2022-06-19 18:15:44,0,0
2022-06-19 18:15:43,0,-14.55312
2022-06-19 18:15:42,0,-61.11541
2022-06-19 18:15:41,36.37997,-59.60746
2022-06-19 18:15:40,43.62003,-8.724006
2022-06-19 18:15:39,0,0
2022-06-19 18:15:38,0,0
2022-06-19 18:15:37,0,0
2022-06-19 18:15:36,0,0
2022-06-19 18:15:35,0,0
2022-06-19 18:15:34,0,0
2022-06-19 18:15:33,0,0
2022-06-19 18:15:32,0,0
2022-06-19 18:15:31,0,0
2022-06-19 18:15:30,0,0
2022-06-19 18:15:29,0,0
2022-06-19 18:15:28,0,0
2022-06-19 18:15:27,0,0
2022-06-19 18:15:26,0,0
2022-06-19 18:15:25,0,0
2022-06-19 18:15:24,0,0
2022-06-19 18:15:23,50.94205,0
2022-06-19 18:15:22,61.05795,0
2022-06-19 18:15:21,394.679,0
2022-06-19 18:15:20,473.321,0
2022-06-19 18:15:19,54.58424,-10.916847
2022-06-19 18:15:18,65.41576,-13.083153
2022-06-19 18:15:17,0,-90.95412
2022-06-19 18:15:16,0,-109.04588
2022-06-19 18:15:15,50.92503,0
2022-06-19 18:15:14,61.07497,0
