time,free,used
2022-06-19 12:34:40,77983.7,2062.2
2022-06-19 12:34:41,77990.9,2055
2022-06-19 12:34:42,77873.4,2172.56
2022-06-19 12:34:43,77015.7,3030.12
2022-06-19 12:34:44,73478.4,6567.35
2022-06-19 12:34:45,51254.2,28791.6
2022-06-19 12:34:46,44395.5,35650.3
2022-06-19 12:34:47,40136.1,39909.8
2022-06-19 12:34:48,36601.7,43444.2
2022-06-19 12:34:49,32155,47890.9
2022-06-19 12:34:50,27896.2,52149.8
2022-06-19 12:34:51,24625.9,55420
2022-06-19 12:34:52,34384.6,45661.4
2022-06-19 12:34:53,76951.4,3094.54
2022-06-19 12:34:54,71889.5,8156.46
2022-06-19 12:34:55,50404.9,29641
2022-06-19 12:34:56,43991.8,36054.1
2022-06-19 12:34:57,39612.3,40433.6
2022-06-19 12:34:58,36068.1,43977.8
2022-06-19 12:34:59,31572.6,48473.2
2022-06-19 12:35:00,27203.8,52842.2
2022-06-19 12:35:01,24598.9,55447
2022-06-19 12:35:02,47005.8,33040.1
2022-06-19 12:35:03,76415.3,3630.69
2022-06-19 12:35:04,67383.8,12662.1
2022-06-19 12:35:05,49303.5,30742.3
2022-06-19 12:35:06,43192.1,36853.8
2022-06-19 12:35:07,38969.1,41076.8
2022-06-19 12:35:08,35185.4,44860.5
2022-06-19 12:35:09,30759.9,49285.9
2022-06-19 12:35:10,26617.6,53428.4
2022-06-19 12:35:11,27268.3,52777.6
2022-06-19 12:35:12,55594.9,24451
2022-06-19 12:35:13,75248.2,4797.71
2022-06-19 12:35:14,64079.8,15966.1
2022-06-19 12:35:15,47695.6,32350.3
2022-06-19 12:35:16,42339.2,37706.7
2022-06-19 12:35:17,38126.7,41919.2
2022-06-19 12:35:18,34317.9,45728
2022-06-19 12:35:19,29877.9,50168
2022-06-19 12:35:20,26117.8,53928.1
2022-06-19 12:35:21,35227.7,44818.2
2022-06-19 12:35:22,62418.1,17627.8
2022-06-19 12:35:23,73561.3,6484.52
2022-06-19 12:35:24,60914.3,19131.7
2022-06-19 12:35:25,46689.4,33356.5
2022-06-19 12:35:26,41591.8,38454
2022-06-19 12:35:27,37312.1,42733.8
2022-06-19 12:35:28,33519.9,46526
2022-06-19 12:35:29,29135.3,50910.5
2022-06-19 12:35:30,25634.2,54411.6
2022-06-19 12:35:31,38005.5,42040.5
2022-06-19 12:35:32,66937.5,13108.3
2022-06-19 12:35:33,70142.9,9902.97
2022-06-19 12:35:34,57138.3,22907.5
2022-06-19 12:35:35,45142.9,34903
2022-06-19 12:35:36,40594.2,39451.7
2022-06-19 12:35:37,36345.9,43700
2022-06-19 12:35:38,32423.2,47622.8
2022-06-19 12:35:39,28266.9,51779
2022-06-19 12:35:40,29001.6,51044.2
2022-06-19 12:35:41,41432.4,38613.5
2022-06-19 12:35:42,68793.6,11252.3
2022-06-19 12:35:43,67629.2,12416.7
2022-06-19 12:35:44,54257.1,25788.8
2022-06-19 12:35:45,43984.2,36061.6
2022-06-19 12:35:46,39680.8,40365.1
2022-06-19 12:35:47,35661.9,44384
2022-06-19 12:35:48,31470.1,48575.8
2022-06-19 12:35:49,27737.3,52308.6
2022-06-19 12:35:50,35724.3,44321.5
2022-06-19 12:35:51,47996.6,32049.3
2022-06-19 12:35:52,65225.8,14820.3
2022-06-19 12:35:53,65256.4,14789.5
2022-06-19 12:35:54,52109,27936.8
2022-06-19 12:35:55,42940.8,37105.1
2022-06-19 12:35:56,38688.1,41357.8
2022-06-19 12:35:57,34663.5,45382.3
2022-06-19 12:35:58,30589.7,49456.2
2022-06-19 12:35:59,27175,52870.9
2022-06-19 12:36:00,36608.8,43437.1
2022-06-19 12:36:01,54242.8,25803
2022-06-19 12:36:02,66420.2,13625.7
2022-06-19 12:36:03,62368.2,17677.7
2022-06-19 12:36:04,50663.6,29382.3
2022-06-19 12:36:05,42223.4,37822.5
2022-06-19 12:36:06,37727.3,42318.6
2022-06-19 12:36:07,33631.8,46414.1
2022-06-19 12:36:08,30082.2,49963.7
2022-06-19 12:36:09,34898.8,45147
2022-06-19 12:36:10,37909.2,42136.7
2022-06-19 12:36:11,55978.1,24067.7
2022-06-19 12:36:12,68988.3,11057.5
2022-06-19 12:36:13,59574.2,20471.7
2022-06-19 12:36:14,48870,31175.9
2022-06-19 12:36:15,41202.7,38843.2
2022-06-19 12:36:16,36901.8,43144
2022-06-19 12:36:17,32811.9,47233.9
2022-06-19 12:36:18,29481.3,50564.5
2022-06-19 12:36:19,36860.7,43185.2
2022-06-19 12:36:20,37985.8,42060.2
2022-06-19 12:36:21,54989.2,25056.7
2022-06-19 12:36:22,67748.3,12297.6
2022-06-19 12:36:23,57788.6,22257.3
2022-06-19 12:36:24,47267.4,32778.5
2022-06-19 12:36:25,40272.6,39773.3
2022-06-19 12:36:26,36167.9,43878
2022-06-19 12:36:27,32182.8,47863.1
2022-06-19 12:36:28,32087.1,47958.8
2022-06-19 12:36:29,36552.7,43493.2
2022-06-19 12:36:30,43486.8,36559.1
2022-06-19 12:36:31,53416.3,26629.6
2022-06-19 12:36:32,65600.6,14445.3
2022-06-19 12:36:33,55820.9,24225
2022-06-19 12:36:34,45544.7,34501.2
2022-06-19 12:36:35,39319.5,40726.4
2022-06-19 12:36:36,35397.6,44648.2
2022-06-19 12:36:37,31717.1,48328.9
2022-06-19 12:36:38,35568,44477.9
2022-06-19 12:36:39,36171.7,43874.2
2022-06-19 12:36:40,38647.4,41398.5
2022-06-19 12:36:41,52059.6,27986.3
2022-06-19 12:36:42,62909.4,17136.5
2022-06-19 12:36:43,55917,24128.9
2022-06-19 12:36:44,46964.2,33081.6
2022-06-19 12:36:45,39415.2,40630.7
2022-06-19 12:36:46,35410,44636
2022-06-19 12:36:47,34461.8,45584
2022-06-19 12:36:48,39240.6,40805.3
2022-06-19 12:36:49,37732.6,42313.2
2022-06-19 12:36:50,44936.8,35109.1
2022-06-19 12:36:51,55354.7,24691.1
2022-06-19 12:36:52,61883.7,18162.1
2022-06-19 12:36:53,53988.3,26057.6
2022-06-19 12:36:54,46169.5,33876.4
2022-06-19 12:36:55,38479.9,41566
2022-06-19 12:36:56,34795.6,45250.3
2022-06-19 12:36:57,36456.5,43589.4
2022-06-19 12:36:58,38514.2,41531.6
2022-06-19 12:36:59,39554.3,40491.6
2022-06-19 12:37:00,49116.8,30929.1
2022-06-19 12:37:01,55228.5,24817.4
2022-06-19 12:37:02,57895.3,22150.5
2022-06-19 12:37:03,51929.5,28116.3
2022-06-19 12:37:04,45196.4,34849.5
2022-06-19 12:37:05,37556.1,42489.8
2022-06-19 12:37:06,34097.5,45948.4
2022-06-19 12:37:07,38372.1,41673.8
2022-06-19 12:37:08,37758.2,42287.7
2022-06-19 12:37:09,38047.7,41998.2
2022-06-19 12:37:10,55366.4,24679.5
2022-06-19 12:37:11,54009.5,26036.4
2022-06-19 12:37:12,55124.4,24921.5
2022-06-19 12:37:13,50731.6,29314.3
2022-06-19 12:37:14,43988.4,36057.5
2022-06-19 12:37:15,36755,43290.8
2022-06-19 12:37:16,36155.3,43890.5
2022-06-19 12:37:17,40457.3,39588.6
2022-06-19 12:37:18,36717.2,43328.6
2022-06-19 12:37:19,39914.4,40131.5
2022-06-19 12:37:20,54727.6,25318.5
2022-06-19 12:37:21,52653.7,27392.3
2022-06-19 12:37:22,56014.1,24031.8
2022-06-19 12:37:23,49636.2,30409.7
2022-06-19 12:37:24,42089,37956.9
2022-06-19 12:37:25,36201.9,43843.9
2022-06-19 12:37:26,35508.6,44537.3
2022-06-19 12:37:27,39760.5,40285.4
2022-06-19 12:37:28,35340.1,44705.7
2022-06-19 12:37:29,38485.1,41560.8
2022-06-19 12:37:30,56841.2,23204.7
2022-06-19 12:37:31,51585.7,28460.2
2022-06-19 12:37:32,54490.7,25555.2
2022-06-19 12:37:33,48403.6,31642.3
2022-06-19 12:37:34,40663.3,39382.6
2022-06-19 12:37:35,35661.9,44384
2022-06-19 12:37:36,41629.1,38416.8
2022-06-19 12:37:37,39146.3,40899.6
2022-06-19 12:37:38,33772.4,46273.4
2022-06-19 12:37:39,45832.2,34213.7
2022-06-19 12:37:40,55178.4,24867.4
2022-06-19 12:37:41,53204.1,26841.8
2022-06-19 12:37:42,53815.6,26230.3
2022-06-19 12:37:43,47137.9,32908.1
2022-06-19 12:37:44,39491.2,40554.7
2022-06-19 12:37:45,35161.4,44884.5
2022-06-19 12:37:46,42287.4,37758.4
2022-06-19 12:37:47,38446.4,41599.4
2022-06-19 12:37:48,32035.9,48010
