time,free,used,cached,buffers
2022-04-26 15:49:21,12464.281,2512.332,1028.8945,3.679688
2022-04-26 15:49:20,12464.25,2512.293,1028.9648,3.679688
2022-04-26 15:49:19,12464.742,2511.191,1029.582,3.671875
2022-04-26 15:49:18,12465.203,2510.742,1029.5781,3.664062
2022-04-26 15:49:17,12467.891,2508.066,1029.5664,3.664062
2022-04-26 15:49:16,12468.695,2507.801,1029.0273,3.664062
2022-04-26 15:49:15,12468.348,2508.156,1029.0195,3.664062
2022-04-26 15:49:14,12468.441,2508.078,1029.0039,3.664062
2022-04-26 15:49:13,12468.164,2508.355,1029.0117,3.65625
2022-04-26 15:49:12,12468.07,2508.457,1029.0039,3.65625
2022-04-26 15:49:11,12468.07,2508.438,1029.0234,3.65625
2022-04-26 15:49:10,12468.102,2508.418,1029.0195,3.648438
2022-04-26 15:49:09,12468.07,2508.449,1029.0195,3.648438
2022-04-26 15:49:08,12468.07,2508.457,1029.0195,3.640625
2022-04-26 15:49:07,12468.316,2508.211,1029.0195,3.640625
2022-04-26 15:49:06,12468.316,2508.211,1029.0195,3.640625
2022-04-26 15:49:05,12468.348,2508.184,1029.0156,3.640625
2022-04-26 15:49:04,12468.316,2508.223,1029.0078,3.640625
2022-04-26 15:49:03,12468.531,2508.023,1029.0078,3.625
2022-04-26 15:49:02,12468.523,2508.031,1029.0078,3.625
2022-04-26 15:49:01,12468.594,2507.961,1029.0078,3.625
2022-04-26 15:49:00,12468.316,2508.238,1029.0195,3.613281
2022-04-26 15:48:59,12468.223,2508.344,1029.0078,3.613281
2022-04-26 15:48:58,12468.078,2508.488,1029.0156,3.605469
2022-04-26 15:48:57,12467.516,2509.062,1029.0039,3.605469
2022-04-26 15:48:56,12467.27,2509.316,1028.9961,3.605469
2022-04-26 15:48:55,12467.145,2509.074,1029.3633,3.605469
2022-04-26 15:48:54,11131.137,3840.855,1033.6133,3.582031
2022-04-26 15:48:53,10692.66,4278.312,1034.6445,3.570312
2022-04-26 15:48:52,10692.598,4278.168,1034.8516,3.570312
2022-04-26 15:48:51,9850.613,5119.133,1035.8711,3.570312
2022-04-26 15:48:50,9859.121,5110.336,1036.1719,3.558594
2022-04-26 15:48:49,9859.145,5110.32,1036.1641,3.558594
2022-04-26 15:48:48,9859.645,5109.82,1036.1797,3.542969
2022-04-26 15:48:47,9859.812,5110.02,1035.8125,3.542969
2022-04-26 15:48:46,9868.922,5108.781,1027.9414,3.542969
2022-04-26 15:48:45,9896.312,5106.016,1003.3164,3.542969
2022-04-26 15:48:44,9927.996,5099.844,977.8047,3.542969
2022-04-26 15:48:43,9948.652,5095.25,961.7422,3.542969
2022-04-26 15:48:42,9950.199,5095.422,960.0234,3.542969
2022-04-26 15:48:41,9950.414,5095.207,960.0312,3.535156
2022-04-26 15:48:40,9950.438,5095.191,960.0234,3.535156
2022-04-26 15:48:39,9950.938,5095.133,959.5898,3.527344
2022-04-26 15:48:38,9975.539,5092.66,937.4609,3.527344
2022-04-26 15:48:37,10034.871,5083.871,886.918,3.527344
2022-04-26 15:48:36,10084.59,5076.551,844.5195,3.527344
2022-04-26 15:48:35,10092.781,5075.039,837.8398,3.527344
2022-04-26 15:48:34,10093.25,5074.57,837.8555,3.511719
2022-04-26 15:48:33,10093.211,5074.609,837.8555,3.511719
2022-04-26 15:48:32,10093.688,5074.082,837.9062,3.511719
2022-04-26 15:48:31,10096.84,5073.668,835.168,3.511719
2022-04-26 15:48:30,10126.34,5066.914,812.4219,3.511719
2022-04-26 15:48:29,10185.648,5058.824,761.2188,3.496094
2022-04-26 15:48:28,10232.859,5054.32,718.5117,3.496094
2022-04-26 15:48:27,10235.027,5053.309,717.3555,3.496094
2022-04-26 15:48:26,10234.898,5053.438,717.3555,3.496094
2022-04-26 15:48:25,10234.734,5053.625,717.332,3.496094
2022-04-26 15:48:24,10232.945,5055.621,717.1445,3.476562
2022-04-26 15:48:23,10237.191,5054.258,714.2617,3.476562
2022-04-26 15:48:22,10268.852,5047.266,689.5938,3.476562
2022-04-26 15:48:21,10333.445,5033.43,638.8359,3.476562
2022-04-26 15:48:20,10373.977,5033.008,598.7266,3.476562
2022-04-26 15:48:19,10386.465,5021.172,598.3398,3.210938
2022-04-26 15:48:18,10394.969,5014.398,596.6445,3.175781
2022-04-26 15:48:17,10395.098,5014.281,596.6445,3.164062
2022-04-26 15:48:16,10394.969,5014.418,596.6367,3.164062
2022-04-26 15:48:15,10395.297,5014.121,596.6133,3.15625
2022-04-26 15:48:14,10418.246,5001.34,586.4453,3.15625
2022-04-26 15:48:13,10471.41,4981.914,552.7109,3.152344
2022-04-26 15:48:12,10577.359,4924.262,504.4219,3.144531
2022-04-26 15:48:11,10763.684,4764.938,477.4219,3.144531
2022-04-26 15:48:10,10773.328,4755.336,477.3789,3.144531
2022-04-26 15:48:09,10788.332,4740.332,477.3867,3.136719
2022-04-26 15:48:08,10788.801,4739.871,477.3789,3.136719
2022-04-26 15:48:07,10790.648,4738.023,477.3867,3.128906
2022-04-26 15:48:06,10791.449,4737.352,477.2578,3.128906
2022-04-26 15:48:05,10811.152,4723.473,471.4414,3.121094
2022-04-26 15:48:04,10849.535,4708.117,448.4219,3.113281
2022-04-26 15:48:03,11130.312,4464.094,411.668,3.113281
2022-04-26 15:48:02,11406.734,4253.902,345.4375,3.113281
2022-04-26 15:48:01,11851.094,3855.793,299.1875,3.113281
2022-04-26 15:48:00,12314.848,3410.379,280.8477,3.113281
2022-04-26 15:47:59,12413.23,3312.516,280.3477,3.09375
2022-04-26 15:47:58,12521.191,3206.164,278.7383,3.09375
2022-04-26 15:47:57,12600.938,3127.004,278.1562,3.089844
2022-04-26 15:47:56,12810.68,2917.75,277.668,3.089844
2022-04-26 15:47:55,12988.316,2741.82,275.9609,3.089844
2022-04-26 15:47:54,13230.738,2501.508,274.0898,2.851562
2022-04-26 15:47:53,13237.488,2495.656,273.1914,2.851562
2022-04-26 15:47:52,13239.941,2493.691,272.7109,2.84375
2022-04-26 15:47:51,13323.941,2417.453,264.9531,2.839844
2022-04-26 15:47:50,13436.914,2313.699,255.7422,2.832031
2022-04-26 15:47:49,13509.93,2252.629,243.8047,2.824219
2022-04-26 15:47:48,13612.234,2168.629,225.5,2.824219
2022-04-26 15:47:47,13670.395,2146.441,189.7539,2.597656
2022-04-26 15:47:46,13670.395,2146.441,189.7539,2.597656
2022-04-26 15:47:45,13670.887,2147.039,188.6719,2.589844
