time,in,out
2022-04-26 15:41:20,8.397545,-16.685877
2022-04-26 15:41:19,96.12697,-1603.8486
2022-04-26 15:41:18,140.00615,-2373.78
2022-04-26 15:41:17,23.77605,-376.0242
2022-04-26 15:41:16,190552.6,-189307.3
2022-04-26 15:41:15,488165.8,-487949.5
2022-04-26 15:41:14,486906.9,-486912.7
2022-04-26 15:41:13,538184.9,-538188.5
2022-04-26 15:41:12,409154.9,-409177.7
2022-04-26 15:41:11,392053,-392708.4
2022-04-26 15:41:10,611452.6,-611567.7
2022-04-26 15:41:09,612847.3,-612850.3
2022-04-26 15:41:08,652032.6,-652038.8
2022-04-26 15:41:07,644913,-644914
2022-04-26 15:41:06,658290.5,-658293
2022-04-26 15:41:05,677993.2,-677996.2
2022-04-26 15:41:04,184040.2,-184047.5
2022-04-26 15:41:03,14971.183,-14710.408
2022-04-26 15:41:02,232.0159,-70.73653
2022-04-26 15:41:01,66.11688,-52.17133
2022-04-26 15:41:00,39.30032,-30.81082
2022-04-26 15:40:59,11.274883,-12.190846
2022-04-26 15:40:58,960091.7,-569.2666
2022-04-26 15:40:57,1286466.9,-754.5859
2022-04-26 15:40:56,190892.6,-114.21047
2022-04-26 15:40:55,1.4578431,-6.297786
2022-04-26 15:40:54,0.9102002,-3.382365
2022-04-26 15:40:53,0.7996349,-2.790726
2022-04-26 15:40:52,1.4546172,-6.283324
2022-04-26 15:40:51,0.9149558,-3.402165
2022-04-26 15:40:50,0.7988112,-2.787851
2022-04-26 15:40:49,1.454895,-6.284892
2022-04-26 15:40:48,0.9130629,-3.394961
2022-04-26 15:40:47,0.7998332,-2.791418
2022-04-26 15:40:46,1.4548701,-6.284594
2022-04-26 15:40:45,0.9131974,-3.395642
2022-04-26 15:40:44,0.7997949,-2.791284
2022-04-26 15:40:43,1.4597595,-6.305948
2022-04-26 15:40:42,0.9100444,-3.380348
2022-04-26 15:40:41,0.7984102,-2.786452
2022-04-26 15:40:40,1.4544128,-6.282654
2022-04-26 15:40:39,0.914836,-3.401704
2022-04-26 15:40:38,0.800119,-2.792415
2022-04-26 15:40:37,1.4563543,-6.292418
2022-04-26 15:40:36,10.404468,-14.440551
