time,in,out
2022-04-26 16:39:39,1.4653914,0
2022-04-26 16:39:38,359.5692,0
2022-04-26 16:39:37,614.9654,-754.0434
2022-04-26 16:39:36,0,-1289.9566
2022-04-26 16:39:35,0,0
2022-04-26 16:39:34,0,0
2022-04-26 16:39:33,0,0
2022-04-26 16:39:32,0,-729.1497
2022-04-26 16:39:31,0,-1250.8503
2022-04-26 16:39:30,0,-7155.126
2022-04-26 16:39:29,0,-12268.874
2022-04-26 16:39:28,0,0
2022-04-26 16:39:27,0,-749.6819
2022-04-26 16:39:26,0,-1290.3181
2022-04-26 16:39:25,0,-27670.08
2022-04-26 16:39:24,0,-119768.04
2022-04-26 16:39:23,419.7776,-252370.9
2022-04-26 16:39:22,719.2031,-273362.2
2022-04-26 16:39:21,12576.183,-87400.8
2022-04-26 16:39:20,37873.34,0
2022-04-26 16:39:19,45110.02,0
2022-04-26 16:39:18,44787.52,0
2022-04-26 16:39:17,44558.35,-11307.394
2022-04-26 16:39:16,45147.03,-20309.36
2022-04-26 16:39:15,45685.07,-1363.2475
2022-04-26 16:39:14,45199.09,0
2022-04-26 16:39:13,45103.06,0
2022-04-26 16:39:12,34342.69,-262.4224
2022-04-26 16:39:11,12557.179,-445.5776
2022-04-26 16:39:10,19698.16,0
2022-04-26 16:39:09,43366.27,0
2022-04-26 16:39:08,44680.58,0
2022-04-26 16:39:07,44945.63,-34.07191
2022-04-26 16:39:06,45141.3,-57.92809
2022-04-26 16:39:05,44312.53,0
2022-04-26 16:39:04,43936.34,0
2022-04-26 16:39:03,44313.21,-734.8322
2022-04-26 16:39:02,44027.04,-1249.1678
2022-04-26 16:39:01,37536.24,0
2022-04-26 16:39:00,16928.19,0
2022-04-26 16:38:59,0,0
2022-04-26 16:38:58,0,-768.384
2022-04-26 16:38:57,0,-1327.616
2022-04-26 16:38:56,0,0
2022-04-26 16:38:55,449.3016,0
2022-04-26 16:38:54,770.6984,0
2022-04-26 16:38:53,0,0
