time,free,used
2022-04-26 16:40:36,15284.3,724.844
2022-04-26 16:40:35,15284.3,724.844
2022-04-26 16:40:34,15285,724.227
2022-04-26 16:40:33,15283.6,725.566
2022-04-26 16:40:32,15282.3,726.879
2022-04-26 16:40:31,15282.7,726.481
2022-04-26 16:40:30,15283.3,725.856
2022-04-26 16:40:29,15283.9,725.246
2022-04-26 16:40:28,15282.5,726.676
2022-04-26 16:40:27,15283,726.144
2022-04-26 16:40:26,15283.7,725.477
2022-04-26 16:40:25,15283,726.172
2022-04-26 16:40:24,15283,726.211
2022-04-26 16:40:23,15283.7,725.48
2022-04-26 16:40:22,15283.1,726.086
2022-04-26 16:40:21,15283.8,725.406
2022-04-26 16:40:20,15282.9,726.316
2022-04-26 16:40:19,15282.7,726.445
2022-04-26 16:40:18,13204.1,2805.05
2022-04-26 16:40:17,13204.5,2804.7
2022-04-26 16:40:16,13412.2,2597.01
2022-04-26 16:40:15,13638.6,2370.61
2022-04-26 16:40:14,13867.6,2141.57
2022-04-26 16:40:13,14094.2,1915
2022-04-26 16:40:12,14319.7,1689.51
2022-04-26 16:40:11,14543.6,1465.64
2022-04-26 16:40:10,14770.3,1238.91
2022-04-26 16:40:09,14994.8,1014.41
2022-04-26 16:40:08,15224.6,784.617
2022-04-26 16:40:07,13205.9,2803.25
2022-04-26 16:40:06,13265.4,2743.84
2022-04-26 16:40:05,13496.9,2512.32
2022-04-26 16:40:04,13722.9,2286.27
2022-04-26 16:40:03,13946.4,2062.82
2022-04-26 16:40:02,14174.7,1834.52
2022-04-26 16:40:01,14400,1609.18
2022-04-26 16:40:00,14626,1383.14
2022-04-26 16:39:59,14851.2,1158.03
2022-04-26 16:39:58,15075.8,933.414
2022-04-26 16:39:57,15281.6,727.637
2022-04-26 16:39:56,15290.3,718.906
2022-04-26 16:39:55,15290.5,718.66
2022-04-26 16:39:54,15290.2,719.02
2022-04-26 16:39:53,15284.3,724.887
2022-04-26 16:39:52,15284.3,724.887
2022-04-26 16:39:51,15284.3,724.887
2022-04-26 16:39:50,15282.6,726.539
