time,received,sent
2022-06-14 22:01:49,192.2597,-328313.2
2022-06-14 22:01:48,378.6166,-596940.1
2022-06-14 22:01:47,810.7275,-1318806.8
2022-06-14 22:01:46,991.8507,-1723363
2022-06-14 22:01:45,545.3659,-1025474
2022-06-14 22:01:44,120.65283,-274456.3
2022-06-14 22:01:43,58.89723,-112598.49
2022-06-14 22:01:42,0.7839673,-2.735886
2022-06-14 22:01:41,1.1500463,-4.66437
2022-06-14 22:01:40,1.1939386,-4.895578
2022-06-14 22:01:39,0.7840028,-2.73601
2022-06-14 22:01:38,1.1500988,-4.664588
2022-06-14 22:01:37,1.2693998,-4.895477
2022-06-14 22:01:36,0.9440032,-2.736009
2022-06-14 22:01:35,6.683944,-9.415575
2022-06-14 22:01:34,7.371985,-10.70299
2022-06-14 22:01:33,37660.6,-443.8831
2022-06-14 22:01:32,101963.15,-536.6829
2022-06-14 22:01:31,71784.81,-457.8447
2022-06-14 22:01:30,34495.29,-502.2539
2022-06-14 22:01:29,110171.04,-102.27569
2022-06-14 22:01:28,96979.65,-477.6524
2022-06-14 22:01:27,67624.6,-516.319
2022-06-14 22:01:26,117370.43,-98.77362
2022-06-14 22:01:25,82949.47,-66.68299
2022-06-14 22:01:24,83959.98,-77.35089
2022-06-14 22:01:23,148885.31,-120.9931
2022-06-14 22:01:22,121894.42,-92.25971
2022-06-14 22:01:21,56093.64,-454.6746
2022-06-14 22:01:20,84723.62,-531.1054
2022-06-14 22:01:19,134799.25,-122.42009
2022-06-14 22:01:18,112262.25,-107.38118
2022-06-14 22:01:17,82040.1,-79.45876
2022-06-14 22:01:16,84126.14,-289236.8
2022-06-14 22:01:15,102589.33,-517505.7
2022-06-14 22:01:14,167649.57,-217239
2022-06-14 22:01:13,189955.1,-570.686
2022-06-14 22:01:12,93065.78,-558.3338
2022-06-14 22:01:11,12419.937,-35.94252
2022-06-14 22:01:10,56322.86,-58.71452
2022-06-14 22:01:09,114442.62,-94.08513
2022-06-14 22:01:08,127489.14,-99.89201
2022-06-14 22:01:07,120334.7,-136705.81
2022-06-14 22:01:06,93807.27,-202857.5
2022-06-14 22:01:05,85981.27,-357437.5
2022-06-14 22:01:04,117096.21,-382087.9
2022-06-14 22:01:03,173217.5,-50732.01
2022-06-14 22:01:02,198799.1,-575157.2
2022-06-14 22:01:01,143517.43,-1282555.9
2022-06-14 22:01:00,57387.84,-1136966.3
2022-06-14 22:00:59,4349.904,-471310.1
2022-06-14 22:00:58,28296.42,-39.42191
2022-06-14 22:00:57,80147.49,-71.78373
2022-06-14 22:00:56,99712.76,-82.50953
2022-06-14 22:00:55,100053.7,-77.75697
2022-06-14 22:00:54,101525.65,-82.8208
2022-06-14 22:00:53,118525.01,-101.3866
2022-06-14 22:00:52,183905.5,-141.53986
2022-06-14 22:00:51,260575,-188.5701
2022-06-14 22:00:50,209082.2,-189.8899
2022-06-14 22:00:49,69150.88,-128.26008
2022-06-14 22:00:48,18158.29,-472301.4
2022-06-14 22:00:47,35643.06,-772158.9
2022-06-14 22:00:46,70267.13,-273143.9
2022-06-14 22:00:45,92610.92,-89.41611
2022-06-14 22:00:44,103127.9,-85.73197
2022-06-14 22:00:43,136141.64,-99.77585
2022-06-14 22:00:42,175680.4,-161.77125
2022-06-14 22:00:41,161142.61,-183.5691
2022-06-14 22:00:40,87950.09,-112.94927
2022-06-14 22:00:39,20541.59,-46.56983
2022-06-14 22:00:38,27729.5,-438.4554
2022-06-14 22:00:37,86956.44,-525.7091
2022-06-14 22:00:36,128219.18,-533.8317
2022-06-14 22:00:35,112759.55,-585.6252
2022-06-14 22:00:34,77550.46,-84.7422
2022-06-14 22:00:33,92788.02,-91.26482
2022-06-14 22:00:32,147524.64,-126.63359
2022-06-14 22:00:31,130959.65,-68147
2022-06-14 22:00:30,39926.8,-76103.81
2022-06-14 22:00:29,11278.816,-64.27584
2022-06-14 22:00:28,42574.3,-49.47045
2022-06-14 22:00:27,54086.88,-121927.39
2022-06-14 22:00:26,89067.3,-136643.76
2022-06-14 22:00:25,150493.78,-579.5809
2022-06-14 22:00:24,176338.7,-154.98205
2022-06-14 22:00:23,148736.49,-156.41045
2022-06-14 22:00:22,52952.68,-93.44635
2022-06-14 22:00:21,12476.751,-31.92391
2022-06-14 22:00:20,54913.94,-63.85981
2022-06-14 22:00:19,114175.16,-95.92836
2022-06-14 22:00:18,97908.07,-484.9826
2022-06-14 22:00:17,96548.92,-548.5845
2022-06-14 22:00:16,198363.7,-171.0892
2022-06-14 22:00:15,174709.2,-588.7315
