time,free,used,cached,buffers
2022-06-14 22:01:50,27574.61,4125.648,388.1992,23.77344
2022-06-14 22:01:49,27575.02,4125.703,387.7344,23.77344
2022-06-14 22:01:48,27585.13,4122.832,380.7422,23.52734
2022-06-14 22:01:47,27236.67,4470.902,381.4023,23.25781
2022-06-14 22:01:46,27236.66,4470.926,381.4023,23.25
2022-06-14 22:01:45,27237.2,4470.402,381.3945,23.24219
2022-06-14 22:01:44,27236.9,4470.695,381.3945,23.24219
2022-06-14 22:01:43,27236.89,4470.711,381.3945,23.24219
2022-06-14 22:01:42,27237.15,4470.449,381.3945,23.24219
2022-06-14 22:01:41,27237.2,4470.41,381.3945,23.23438
2022-06-14 22:01:40,27236.9,4470.711,381.3945,23.22656
2022-06-14 22:01:39,27236.92,4470.695,381.3945,23.22656
2022-06-14 22:01:38,27236.9,4470.711,381.3945,23.22656
2022-06-14 22:01:37,27237.13,4470.488,381.3867,23.22656
2022-06-14 22:01:36,27237.12,4470.504,381.3867,23.22656
2022-06-14 22:01:35,27236.86,4470.766,381.3867,23.22656
2022-06-14 22:01:34,27237.15,4470.48,381.3867,23.21875
2022-06-14 22:01:33,27237.16,4470.465,381.3867,23.21875
2022-06-14 22:01:32,27236.87,4470.758,381.3867,23.21875
2022-06-14 22:01:31,27237.13,4470.496,381.3867,23.21875
2022-06-14 22:01:30,27236.93,4470.695,381.3867,23.21875
2022-06-14 22:01:29,27237.1,4470.543,381.3711,23.21875
2022-06-14 22:01:28,27237.18,4470.465,381.3867,23.20312
2022-06-14 22:01:27,27236.89,4470.75,381.3945,23.20312
2022-06-14 22:01:26,27237.18,4470.457,381.3945,23.20312
2022-06-14 22:01:25,27236.95,4470.688,381.3945,23.20312
2022-06-14 22:01:24,27236.91,4470.727,381.3945,23.20312
2022-06-14 22:01:23,27237.2,4470.449,381.3945,23.19531
2022-06-14 22:01:22,27236.97,4470.672,381.3945,23.19531
2022-06-14 22:01:21,27236.89,4470.758,381.3945,23.19531
2022-06-14 22:01:20,27236.88,4470.766,381.3945,23.19531
2022-06-14 22:01:19,27236.7,4470.945,381.3906,23.19531
2022-06-14 22:01:18,27236.73,4470.922,381.3906,23.19531
2022-06-14 22:01:17,27236.67,4470.992,381.3828,23.1875
2022-06-14 22:01:16,27236.66,4471,381.3906,23.17969
2022-06-14 22:01:15,27237.13,4470.539,381.3828,23.17969
2022-06-14 22:01:14,27237.16,4470.516,381.3828,23.17969
2022-06-14 22:01:13,27237.18,4470.492,381.3828,23.17969
2022-06-14 22:01:12,27237.16,4470.527,381.3789,23.17188
2022-06-14 22:01:11,27236.9,4470.789,381.3789,23.16406
2022-06-14 22:01:10,27237.12,4470.566,381.3789,23.16406
2022-06-14 22:01:09,27236.96,4470.734,381.3789,23.16406
2022-06-14 22:01:08,27236.94,4470.75,381.3789,23.16406
2022-06-14 22:01:07,27236.96,4470.734,381.3789,23.16406
2022-06-14 22:01:06,27236.7,4470.996,381.3867,23.15625
2022-06-14 22:01:05,27236.96,4470.734,381.3867,23.15625
2022-06-14 22:01:04,27236.88,4470.812,381.3867,23.15625
2022-06-14 22:01:03,27236.64,4471.059,381.3867,23.14844
2022-06-14 22:01:02,27236.93,4470.773,381.3867,23.14844
2022-06-14 22:01:01,27236.71,4471.059,381.3242,23.14062
2022-06-14 22:01:00,27236.69,4471.082,381.3242,23.14062
2022-06-14 22:00:59,27237.14,4470.629,381.3242,23.14062
2022-06-14 22:00:58,27236.9,4470.867,381.3242,23.14062
2022-06-14 22:00:57,27236.71,4471.062,381.3203,23.14062
2022-06-14 22:00:56,27236.66,4471.117,381.3203,23.14062
2022-06-14 22:00:55,27236.43,4471.34,381.3203,23.14062
