time,in,out
2022-06-14 22:02:08,115.057,-214128
2022-06-14 22:02:09,125.54,-212250
2022-06-14 22:02:10,148.722,-223034
2022-06-14 22:02:11,166.224,-201836
2022-06-14 22:02:12,153.81,-191729
2022-06-14 22:02:13,110.869,-195498
2022-06-14 22:02:14,105.488,-183796
2022-06-14 22:02:15,13893.4,-205403
2022-06-14 22:02:16,16348.2,-235486
2022-06-14 22:02:17,4950.48,-233682
2022-06-14 22:02:18,106.231,-226428
2022-06-14 22:02:19,6750.68,-233371
2022-06-14 22:02:20,7518.02,-238136
2022-06-14 22:02:21,2884.77,-238092
2022-06-14 22:02:22,1956.86,-233914
2022-06-14 22:02:23,10282.1,-222416
2022-06-14 22:02:24,8496.56,-193873
2022-06-14 22:02:25,239.227,-196345
2022-06-14 22:02:26,230.939,-216441
2022-06-14 22:02:27,254.821,-219608
2022-06-14 22:02:28,425.105,-220749
2022-06-14 22:02:29,525.049,-211684
2022-06-14 22:02:30,87222.7,-297219
2022-06-14 22:02:31,309222,-525285
2022-06-14 22:02:32,507365,-725530
2022-06-14 22:02:33,688284,-903755
2022-06-14 22:02:34,973418,-1.17551e+06
2022-06-14 22:02:35,1.42142e+06,-1.61744e+06
2022-06-14 22:02:36,1.79142e+06,-1.98214e+06
2022-06-14 22:02:37,1.57713e+06,-1.77161e+06
2022-06-14 22:02:38,1.031e+06,-1.23894e+06
2022-06-14 22:02:39,596367,-808153
2022-06-14 22:02:40,284457,-502975
2022-06-14 22:02:41,243975,-470734
2022-06-14 22:02:42,330326,-559078
2022-06-14 22:02:43,283477,-521275
2022-06-14 22:02:44,117569,-280806
2022-06-14 22:02:45,14323.1,-149906
2022-06-14 22:02:46,13601.9,-206698
2022-06-14 22:02:47,117225,-320787
2022-06-14 22:02:48,520389,-721791
2022-06-14 22:02:49,1.21895e+06,-1.40882e+06
2022-06-14 22:02:50,1.60518e+06,-1.77075e+06
2022-06-14 22:02:51,1.53175e+06,-1.68868e+06
2022-06-14 22:02:52,1.03653e+06,-1.20332e+06
2022-06-14 22:02:53,434640,-625255
2022-06-14 22:02:54,129073,-334578
2022-06-14 22:02:55,26652.4,-239996
2022-06-14 22:02:56,34848.2,-253504
2022-06-14 22:02:57,143611,-350675
2022-06-14 22:02:58,242158,-443053
2022-06-14 22:02:59,471253,-683614
2022-06-14 22:03:00,1.01085e+06,-1.22444e+06
2022-06-14 22:03:01,1.32518e+06,-1.52833e+06
2022-06-14 22:03:02,1.14303e+06,-1.33094e+06
2022-06-14 22:03:03,844907,-1.0133e+06
2022-06-14 22:03:04,656034,-785669
2022-06-14 22:03:05,525711,-641414
2022-06-14 22:03:06,408240,-557800
2022-06-14 22:03:07,252689,-426665
2022-06-14 22:03:08,166186,-336274
2022-06-14 22:03:09,224530,-389910
