time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-13 21:49:12,0,0,0,0,0,0,0.2506266,0,0
2022-06-13 21:49:11,0,0,0.2506266,0,0,6.516291,4.260652,0,1.0025063
2022-06-13 21:49:10,0,0,0,0,0,0,0.2506266,0,0
2022-06-13 21:49:09,0,0,0,0,0,0,0,0,0
2022-06-13 21:49:08,0,0,0,0,0,0,0,0.2506266,0
2022-06-13 21:49:07,0,0,0,0,0,0,0,0,0
2022-06-13 21:49:06,0,0,0,0,0,0,0.75,0,0
2022-06-13 21:49:05,0,0,0,0,0,0,0,0,0
2022-06-13 21:49:04,0,0,0,0,0,0,0,0,0
2022-06-13 21:49:03,0,0,0.25,0.25,0,0.75,0.75,0.25,0.5
2022-06-13 21:49:02,0,0,0,0.7614213,0,58.88325,18.0203,0,0
2022-06-13 21:49:01,0,0,0,0,0,91.25,8.75,0,0
2022-06-13 21:49:00,0,0,0,0,0,87.25,12.75,0,0
2022-06-13 21:48:59,0,0,0,0,0,88.5,11.25,0.25,0
2022-06-13 21:48:58,0,0,0,0,0,90.5,9.5,0,0
2022-06-13 21:48:57,0,0,0,0,0,88.75,11.25,0,0
2022-06-13 21:48:56,0,0,0.2493766,0,0,86.03491,13.466334,0.2493766,0
2022-06-13 21:48:55,0,0,0,0,0,53.38346,46.61654,0,0
2022-06-13 21:48:54,0,0,2.985075,0.4975124,0,60.94527,34.57711,0.4975124,0
2022-06-13 21:48:53,0,0,4.010025,0.2506266,0,68.17043,26.56642,0.2506266,0.2506266
2022-06-13 21:48:52,0,0,0.5025126,0,0,88.19095,11.055276,0,0
2022-06-13 21:48:51,0,0,0,0,0,88.22055,11.528822,0.2506266,0
2022-06-13 21:48:50,0,0,0,0,0,88.77805,10.972569,0.2493766,0
2022-06-13 21:48:49,0,0,0,0,0,89.47368,10.526316,0,0
2022-06-13 21:48:48,0,0,0,0,0,89.52618,10.473815,0,0
2022-06-13 21:48:47,0,0,0,0,0,87.46867,12.531328,0,0
2022-06-13 21:48:46,0,0,0,0,0,73.56608,26.18454,0.2493766,0
2022-06-13 21:48:45,0,0,0.75,0,0,51.75,47.25,0,0
2022-06-13 21:48:44,0,0,4.228856,0.2487562,0,68.90547,24.87562,0.2487562,0
2022-06-13 21:48:43,0,0,2.244389,0,0,68.32918,28.6783,0.2493766,0
2022-06-13 21:48:42,0,0,0,0,0,93.96985,6.030151,0,0
2022-06-13 21:48:41,0,0,0,0,0,89.75,10,0.25,0
2022-06-13 21:48:40,0,0,0,0,0,88.25,11.5,0.25,0
2022-06-13 21:48:39,0,0,0,0,0,90.22556,9.774436,0,0
2022-06-13 21:48:38,0,0,0,0,0,89,10.75,0.25,0
2022-06-13 21:48:37,0,0,0,0,0,87.5,12.5,0,0
2022-06-13 21:48:36,0,0,0,0,0,55,44.75,0.25,0
2022-06-13 21:48:35,0,0,2.487562,0.2487562,0,61.44279,35.8209,0,0
