time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-14 06:54:43,0,0,0,0,0,0.2496879,0.4993758,0,0.1248439
2022-06-14 06:54:42,0,0,0,0.1251564,0,0.2503129,0.2503129,0,0
2022-06-14 06:54:41,0,0,0,0,0,0.7518797,0.5012531,0,0
2022-06-14 06:54:40,0,0,0,0,0,0,0,0,0
2022-06-14 06:54:39,0,0,0,0,0,0,0.1253133,0,0
2022-06-14 06:54:38,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-14 06:54:37,0,0,0,0.125,0,0.125,0.125,0,0
2022-06-14 06:54:36,0,0,0,0,0,0,0.1253133,0,0
2022-06-14 06:54:35,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:54:34,0,0,0,0,0,0,0.1253133,0,0
2022-06-14 06:54:33,0,0,0,0,0,0.125,0,0,0
2022-06-14 06:54:32,0,0,0,0,0,0.125,0.25,0,0
2022-06-14 06:54:31,0,0,0,0,0,0,0,0,0
2022-06-14 06:54:30,0,0,0,0.1248439,0,0.1248439,0.2496879,0,0
2022-06-14 06:54:29,0,0,0.1251564,0,0,0.1251564,0,0,0
2022-06-14 06:54:28,0,0,0,0,0,0,0,0,0
2022-06-14 06:54:27,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-06-14 06:54:26,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:54:25,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:54:24,0,0,0,0,0,0.1253133,0,0,0
2022-06-14 06:54:23,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:54:22,0,0,0,0,0,0.2503129,0,0,0
2022-06-14 06:54:21,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:54:20,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:54:19,0,0,0,0,0,0.125,0.25,0,0
2022-06-14 06:54:18,0,0,0,0,0,0,0,0,0
2022-06-14 06:54:17,0,0,0,0,0,0.2503129,0,0,0
2022-06-14 06:54:16,0,0,0,0,0,0,0.25,0,0
2022-06-14 06:54:15,0,0,0,0,0,0,0,0,0
2022-06-14 06:54:14,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-14 06:54:13,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:54:12,0,0,0,0,0,0.125,0.25,0,0
2022-06-14 06:54:11,0,0,0,0,0,0,0,0,0
2022-06-14 06:54:10,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:54:09,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-06-14 06:54:08,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:54:07,0,0,0,0,0,0.1251564,0,0,0
2022-06-14 06:54:06,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-14 06:54:05,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:54:04,0,0,0,0,0,0.1253133,0,0,0
2022-06-14 06:54:03,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-06-14 06:54:02,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:54:01,0,0,0,0,0,0.1251564,0,0,0
2022-06-14 06:54:00,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-14 06:53:59,0,0,0,0,0,0,0,0,0
2022-06-14 06:53:58,0,0,0,0,0,0,0.25,0,0
2022-06-14 06:53:57,0,0,0,0,0,0.1251564,0,0,0
2022-06-14 06:53:56,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-14 06:53:55,0,0,0,0,0,0,0,0,0
2022-06-14 06:53:54,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-14 06:53:53,0,0,0,0,0,0.1251564,0,0,0
2022-06-14 06:53:52,0,0,0,0.1251564,0,0,0.1251564,0,0
2022-06-14 06:53:51,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:50,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:53:49,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:48,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:53:47,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-06-14 06:53:46,0,0,0,0,0,0,0.25,0,0
2022-06-14 06:53:45,0,0,0,0,0,0,0,0,0
2022-06-14 06:53:44,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:43,0,0,0,0,0,0,0.25,0,0
2022-06-14 06:53:42,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-06-14 06:53:41,0,0,0.125,0,0,0,0.125,0,0
2022-06-14 06:53:40,0,0,0,0,0,0.1251564,0,0,0
2022-06-14 06:53:39,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:38,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:37,0,0,0,0.1251564,0,0,0.1251564,0,0
2022-06-14 06:53:36,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:35,0,0,0,0,0,0,0.25,0,0
2022-06-14 06:53:34,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:33,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-06-14 06:53:32,0,0,0,0,0,0,0.1253133,0,0
2022-06-14 06:53:31,0,0,0,0.1246883,0,0.2493766,0.2493766,0,0
2022-06-14 06:53:30,0,0,0,0,0,0.125,0.25,0,0
2022-06-14 06:53:29,0,0,0,0,0,0,0,0,0
2022-06-14 06:53:28,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:27,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:26,0,0,0,0,0,0,0.25,0,0
2022-06-14 06:53:25,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:53:24,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:23,0,0,0,0,0,0,0.25,0,0
2022-06-14 06:53:22,0,0,0,0.1248439,0,0,0.2496879,0,0
2022-06-14 06:53:21,0,0,0,0,0,0.1253133,0,0,0
2022-06-14 06:53:20,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:19,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:53:18,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-06-14 06:53:17,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-14 06:53:16,0,0,0,0.1251564,0,0,0,0,0
2022-06-14 06:53:15,0,0,0,0,0,0.125,0.25,0,0
2022-06-14 06:53:14,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:13,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:53:12,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-14 06:53:11,0,0,0,0,0,0,0.2503129,0,0
2022-06-14 06:53:10,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:53:09,0,0,0,0.2493766,0,0.2493766,0.3740648,0,0
2022-06-14 06:53:08,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:53:07,0,0,0,0,0,0,0.1248439,0,0
2022-06-14 06:53:06,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-14 06:53:05,0,0,0,0,0,0,0.1256281,0,0
2022-06-14 06:53:04,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-06-14 06:53:03,0,0,0,0,0,0.124533,0.124533,0,0
2022-06-14 06:53:02,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:53:01,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-14 06:53:00,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:52:59,0,0,0,0,0,0,0,0,0
2022-06-14 06:52:58,0,0,0,0,0,0.25,0.125,0,0
2022-06-14 06:52:57,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:52:56,0,0,0,0,0,0.2496879,0.1248439,0,0
2022-06-14 06:52:55,0,0,0,0.125,0,0,0.125,0,0
2022-06-14 06:52:54,0,0,0.1246883,0,0,0.1246883,0.2493766,0,0
2022-06-14 06:52:53,0,0,0,0,0,0,0.2503129,0,0
2022-06-14 06:52:52,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-14 06:52:51,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:52:50,0,0,0,0,0,0,0.2496879,0,0
2022-06-14 06:52:49,0,0,0,0,0,0,0.1251564,0,0
2022-06-14 06:52:48,0,0,0,0,0,0,0.2506266,0,0
2022-06-14 06:52:47,0,0,0,0,0,0.125,0,0,0
2022-06-14 06:52:46,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-06-14 06:52:45,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:52:44,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:52:43,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:52:42,0,0,0,0,0,0.1256281,0,0,0
2022-06-14 06:52:41,0,0,0,0,0,0,0.2496879,0,0
2022-06-14 06:52:40,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:52:39,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:52:38,0,0,0,0,0,0.1254705,0.1254705,0,0
2022-06-14 06:52:37,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:52:36,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:52:35,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-14 06:52:34,0,0,0,0,0,0.1254705,0.1254705,0,0
2022-06-14 06:52:33,0,0,0,0.124533,0,0.124533,0.249066,0,0
2022-06-14 06:52:32,0,0,0,0,0,0,0.25,0,0
2022-06-14 06:52:31,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:52:30,0,0,0,0.1253133,0,0.1253133,0,0,0
2022-06-14 06:52:29,0,0,0,0,0,0.125,0.125,0,0
2022-06-14 06:52:28,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:52:27,0,0,0,0,0,0.2496879,0.1248439,0,0
2022-06-14 06:52:26,0,0,0,0,0,0,0.1254705,0,0
2022-06-14 06:52:25,0,0,0,0,0,0.125,0,0,0
2022-06-14 06:52:24,0,0,0,0.1246883,0,0,0.2493766,0,0
2022-06-14 06:52:23,0,0,0,0,0,0.1254705,0,0,0
2022-06-14 06:52:22,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-14 06:52:21,0,0,0,0,0,0.125,0,0,0
2022-06-14 06:52:20,0,0,0,0.1253133,0,0,0.1253133,0,0
2022-06-14 06:52:19,0,0,0,0,0,0,0.2496879,0,0
2022-06-14 06:52:18,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:52:17,0,0,0,0,0,0,0.2506266,0,0
2022-06-14 06:52:16,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-14 06:52:15,0,0,0,0.1251564,0,0,0.2503129,0,0
2022-06-14 06:52:14,0,0,0,0,0,0,0.125,0,0
2022-06-14 06:52:13,0,0,0,0,0,0,0.125,0,0
