time,received,sent
2022-06-14 06:54:43,521.3027,-20.09355
2022-06-14 06:54:42,1825.324,-38.56115
2022-06-14 06:54:41,2674.213,-181.4959
2022-06-14 06:54:40,2.538811,-2.72234
2022-06-14 06:54:39,0.1167798,-0.1252217
2022-06-14 06:54:38,2.654018,-2.845875
2022-06-14 06:54:37,2.657843,-2.849977
2022-06-14 06:54:36,2.539359,-2.722927
2022-06-14 06:54:35,0,0
2022-06-14 06:54:34,0.1177897,-0.1263046
2022-06-14 06:54:33,2.53821,-2.721695
2022-06-14 06:54:32,0,0
2022-06-14 06:54:31,0,0
2022-06-14 06:54:30,0,0
2022-06-14 06:54:29,0,0
2022-06-14 06:54:28,0,0
2022-06-14 06:54:27,0,0
2022-06-14 06:54:26,0,0
2022-06-14 06:54:25,0,0
2022-06-14 06:54:24,0,0
2022-06-14 06:54:23,0,0
2022-06-14 06:54:22,0,0
2022-06-14 06:54:21,0,0
2022-06-14 06:54:20,0,0
2022-06-14 06:54:19,0,0
2022-06-14 06:54:18,0,0
2022-06-14 06:54:17,0,0
2022-06-14 06:54:16,0,0
2022-06-14 06:54:15,0,0
2022-06-14 06:54:14,0,0
2022-06-14 06:54:13,0,0
2022-06-14 06:54:12,0,0
2022-06-14 06:54:11,0,0
2022-06-14 06:54:10,0,0
2022-06-14 06:54:09,0,0
2022-06-14 06:54:08,0,0
2022-06-14 06:54:07,0,0
2022-06-14 06:54:06,0,0
2022-06-14 06:54:05,0,0
2022-06-14 06:54:04,0,0
2022-06-14 06:54:03,0,0
2022-06-14 06:54:02,0,0
2022-06-14 06:54:01,0.0271368,-0.0180912
2022-06-14 06:54:00,0.5968632,-0.4264061
2022-06-14 06:53:59,0,-0.6275027
2022-06-14 06:53:58,0,0
2022-06-14 06:53:57,0,0
2022-06-14 06:53:56,0,0
2022-06-14 06:53:55,0,0
2022-06-14 06:53:54,0,0
2022-06-14 06:53:53,0,0
2022-06-14 06:53:52,0,0
2022-06-14 06:53:51,0,0
2022-06-14 06:53:50,0,0
2022-06-14 06:53:49,0,0
2022-06-14 06:53:48,0,0
2022-06-14 06:53:47,0,0
2022-06-14 06:53:46,0,0
2022-06-14 06:53:45,0,0
2022-06-14 06:53:44,0,0
2022-06-14 06:53:43,0,0
2022-06-14 06:53:42,0,0
2022-06-14 06:53:41,0,0
2022-06-14 06:53:40,0,0
2022-06-14 06:53:39,0,0
2022-06-14 06:53:38,0,0
2022-06-14 06:53:37,0,0
2022-06-14 06:53:36,0,0
2022-06-14 06:53:35,0,0
2022-06-14 06:53:34,0,0
2022-06-14 06:53:33,0,0
2022-06-14 06:53:32,0.1109024,-0.1165897
2022-06-14 06:53:31,2.385098,-2.50741
2022-06-14 06:53:30,0,0
2022-06-14 06:53:29,0,0
2022-06-14 06:53:28,0,0
2022-06-14 06:53:27,0,0
2022-06-14 06:53:26,0,0
2022-06-14 06:53:25,0,0
2022-06-14 06:53:24,0,0
2022-06-14 06:53:23,0,0
2022-06-14 06:53:22,0,0
2022-06-14 06:53:21,0,0
2022-06-14 06:53:20,0,0
2022-06-14 06:53:19,0,0
2022-06-14 06:53:18,0,0
2022-06-14 06:53:17,0,0
2022-06-14 06:53:16,0,0
2022-06-14 06:53:15,0.0283713,-0.0487405
2022-06-14 06:53:14,0.5956287,-1.0232595
2022-06-14 06:53:13,0,0
2022-06-14 06:53:12,0,0
2022-06-14 06:53:11,0,0
2022-06-14 06:53:10,0.1126197,-0.1183951
2022-06-14 06:53:09,2.38338,-2.505605
2022-06-14 06:53:08,0,0
2022-06-14 06:53:07,0,0
2022-06-14 06:53:06,0,0
2022-06-14 06:53:05,0,0
2022-06-14 06:53:04,0,0
2022-06-14 06:53:03,0,0
2022-06-14 06:53:02,0,0
2022-06-14 06:53:01,0,0
2022-06-14 06:53:00,0,0
