time,received,sent
2022-06-13 22:00:11,0.4294018,-0.2203509
2022-06-13 22:00:10,9.34865,-161.20738
2022-06-13 22:00:09,34.67795,-756.1483
2022-06-13 22:00:08,0,0
2022-06-13 22:00:07,0,0
2022-06-13 22:00:06,0.5027348,-0.4688425
2022-06-13 22:00:05,2.345265,-2.187157
2022-06-13 22:00:04,0,0
2022-06-13 22:00:03,0,0
2022-06-13 22:00:02,0,0
2022-06-13 22:00:01,0,0
2022-06-13 22:00:00,0,0
2022-06-13 21:59:59,0,0
2022-06-13 21:59:58,0,0
2022-06-13 21:59:57,0,0
2022-06-13 21:59:56,0,0
2022-06-13 21:59:55,0.112413,-0.944269
2022-06-13 21:59:54,0.527587,-4.431731
2022-06-13 21:59:53,0,0
2022-06-13 21:59:52,0,0
2022-06-13 21:59:51,0,0
2022-06-13 21:59:50,0,0
2022-06-13 21:59:49,0,0
2022-06-13 21:59:48,0.4400984,-0.4626675
2022-06-13 21:59:47,2.055902,-2.161332
2022-06-13 21:59:46,0,0
2022-06-13 21:59:45,0,0
2022-06-13 21:59:44,0,0
2022-06-13 21:59:43,0,0
2022-06-13 21:59:42,0,0
2022-06-13 21:59:41,0.1100473,-0.1890556
2022-06-13 21:59:40,0.5139527,-0.8829444
2022-06-13 21:59:39,0,0
2022-06-13 21:59:38,0,0
2022-06-13 21:59:37,0,0
2022-06-13 21:59:36,0,0
2022-06-13 21:59:35,0,0
2022-06-13 21:59:34,0,0
2022-06-13 21:59:33,0,0
2022-06-13 21:59:32,0,0
2022-06-13 21:59:31,0,0
2022-06-13 21:59:30,0,0
2022-06-13 21:59:29,0,0
2022-06-13 21:59:28,0,0
2022-06-13 21:59:27,0,0
2022-06-13 21:59:26,0,0
2022-06-13 21:59:25,0,0
2022-06-13 21:59:24,0,0
2022-06-13 21:59:23,0,0
2022-06-13 21:59:22,0,0
2022-06-13 21:59:21,0,0
2022-06-13 21:59:20,0,0
2022-06-13 21:59:19,0,0
2022-06-13 21:59:18,0,0
2022-06-13 21:59:17,0,0
2022-06-13 21:59:16,0,0
2022-06-13 21:59:15,0.4413299,-0.4639622
2022-06-13 21:59:14,2.05467,-2.160038
2022-06-13 21:59:13,0,0
2022-06-13 21:59:12,0,0
2022-06-13 21:59:11,0,0
2022-06-13 21:59:10,0,0
2022-06-13 21:59:09,0,0
2022-06-13 21:59:08,0,0
2022-06-13 21:59:07,0,0
2022-06-13 21:59:06,0,0
2022-06-13 21:59:05,0,0
2022-06-13 21:59:04,0,0
2022-06-13 21:59:03,0,0
2022-06-13 21:59:02,0,0
2022-06-13 21:59:01,0,0
2022-06-13 21:59:00,0,0
2022-06-13 21:58:59,0,0
2022-06-13 21:58:58,0,0
2022-06-13 21:58:57,0,0
2022-06-13 21:58:56,0.1114718,-0.1915028
2022-06-13 21:58:55,0.5125282,-0.8804972
2022-06-13 21:58:54,0,0
2022-06-13 21:58:53,0,0
2022-06-13 21:58:52,0,0
2022-06-13 21:58:51,0,0
2022-06-13 21:58:50,0,0
2022-06-13 21:58:49,0,0
2022-06-13 21:58:48,0,0
2022-06-13 21:58:47,0,0
2022-06-13 21:58:46,0,0
2022-06-13 21:58:45,0,0
2022-06-13 21:58:44,0,0
2022-06-13 21:58:43,0,0
2022-06-13 21:58:42,0,0
2022-06-13 21:58:41,0,0
2022-06-13 21:58:40,0,0
2022-06-13 21:58:39,0,0
2022-06-13 21:58:38,0,0
2022-06-13 21:58:37,0,0
2022-06-13 21:58:36,0,0
2022-06-13 21:58:35,0,0
2022-06-13 21:58:34,0,0
2022-06-13 21:58:33,0,0
2022-06-13 21:58:32,0,0
2022-06-13 21:58:31,0,0
2022-06-13 21:58:30,0,0
2022-06-13 21:58:29,0,0
2022-06-13 21:58:28,0,0
2022-06-13 21:58:27,0,0
2022-06-13 21:58:26,0,0
2022-06-13 21:58:25,0,0
2022-06-13 21:58:24,0,0
2022-06-13 21:58:23,0,0
2022-06-13 21:58:22,0,0
2022-06-13 21:58:21,0,0
2022-06-13 21:58:20,0,0
2022-06-13 21:58:19,0,0
2022-06-13 21:58:18,0,0
2022-06-13 21:58:17,0,0
2022-06-13 21:58:16,0,0
2022-06-13 21:58:15,0,0
2022-06-13 21:58:14,0,0
2022-06-13 21:58:13,0,0
2022-06-13 21:58:12,0,0
2022-06-13 21:58:11,0.1118546,-0.0745697
2022-06-13 21:58:10,0.5121454,-0.4581442
2022-06-13 21:58:09,0,-0.5392861
2022-06-13 21:58:08,0,0
2022-06-13 21:58:07,0,0
2022-06-13 21:58:06,0,0
2022-06-13 21:58:05,0,0
2022-06-13 21:58:04,0,0
2022-06-13 21:58:03,0,0
2022-06-13 21:58:02,0,0
2022-06-13 21:58:01,0,0
2022-06-13 21:58:00,0,0
2022-06-13 21:57:59,0,0
2022-06-13 21:57:58,0,0
2022-06-13 21:57:57,0,0
2022-06-13 21:57:56,0,0
2022-06-13 21:57:55,0,0
2022-06-13 21:57:54,0,0
2022-06-13 21:57:53,0,0
2022-06-13 21:57:52,0,0
2022-06-13 21:57:51,0,0
2022-06-13 21:57:50,0,0
2022-06-13 21:57:49,0,0
2022-06-13 21:57:48,0,0
2022-06-13 21:57:47,0,0
2022-06-13 21:57:46,0,0
2022-06-13 21:57:45,0,0
2022-06-13 21:57:44,0,0
2022-06-13 21:57:43,0,0
2022-06-13 21:57:42,0,0
2022-06-13 21:57:41,0,0
2022-06-13 21:57:40,0,0
2022-06-13 21:57:39,0,0
2022-06-13 21:57:38,0,0
2022-06-13 21:57:37,0,0
2022-06-13 21:57:36,0,0
2022-06-13 21:57:35,0,0
2022-06-13 21:57:34,0,0
2022-06-13 21:57:33,0,0
2022-06-13 21:57:32,0,0
