time,in,out
2022-06-29 06:47:57,0,0
2022-06-29 06:47:56,8.51856,-516.3458
2022-06-29 06:47:55,24.90443,-573.8724
2022-06-29 06:47:54,17.01701,-12.813839
2022-06-29 06:47:53,0,0
2022-06-29 06:47:52,0,0
2022-06-29 06:47:51,0,0
2022-06-29 06:47:50,0,0
2022-06-29 06:47:49,0,0
2022-06-29 06:47:48,0,0
2022-06-29 06:47:47,0,0
2022-06-29 06:47:46,0,0
2022-06-29 06:47:45,0,0
2022-06-29 06:47:44,0,0
2022-06-29 06:47:43,0,0
2022-06-29 06:47:42,0,0
2022-06-29 06:47:41,0,0
2022-06-29 06:47:40,0,0
2022-06-29 06:47:39,0,0
2022-06-29 06:47:38,0,0
2022-06-29 06:47:37,0,0
2022-06-29 06:47:36,0,0
2022-06-29 06:47:35,0,0
2022-06-29 06:47:34,0,0
2022-06-29 06:47:33,0,0
2022-06-29 06:47:32,0,0
2022-06-29 06:47:31,0,0
2022-06-29 06:47:30,0,0
2022-06-29 06:47:29,0,0
2022-06-29 06:47:28,0,0
2022-06-29 06:47:27,1.1948892,-1.248506
2022-06-29 06:47:26,1.3011108,-1.359494
2022-06-29 06:47:25,0,0
2022-06-29 06:47:24,0,0
2022-06-29 06:47:23,0.2987443,-0.5132274
2022-06-29 06:47:22,0.3252557,-0.5587726
2022-06-29 06:47:21,0,0
2022-06-29 06:47:20,0,0
2022-06-29 06:47:19,0,0
2022-06-29 06:47:18,0,0
2022-06-29 06:47:17,0,0
2022-06-29 06:47:16,0,0
2022-06-29 06:47:15,0,0
2022-06-29 06:47:14,0,0
2022-06-29 06:47:13,0,0
2022-06-29 06:47:12,0,0
2022-06-29 06:47:11,0,0
2022-06-29 06:47:10,0,0
2022-06-29 06:47:09,0,0
2022-06-29 06:47:08,0,0
2022-06-29 06:47:07,0,0
2022-06-29 06:47:06,0,0
2022-06-29 06:47:05,0,0
2022-06-29 06:47:04,0,0
2022-06-29 06:47:03,0,0
2022-06-29 06:47:02,0,0
2022-06-29 06:47:01,0,0
2022-06-29 06:47:00,0,0
2022-06-29 06:46:59,0,0
2022-06-29 06:46:58,0,0
2022-06-29 06:46:57,0,0
2022-06-29 06:46:56,0,0
