time,free,used
2022-07-03 14:43:18,31295.1,723.238
2022-07-03 14:43:19,78267.5,1778.36
2022-07-03 14:43:20,78305.9,1740.11
2022-07-03 14:43:21,78277.8,1768.18
2022-07-03 14:43:22,78278.1,1767.75
2022-07-03 14:43:23,78279.3,1766.5
2022-07-03 14:43:24,78300.3,1745.59
2022-07-03 14:43:25,78335.7,1710.13
2022-07-03 14:43:26,78335.1,1710.83
2022-07-03 14:43:27,78334,1711.84
2022-07-03 14:43:28,78332.8,1712.99
2022-07-03 14:43:29,78336.3,1709.61
2022-07-03 14:43:30,78336.6,1709.26
2022-07-03 14:43:31,78333.3,1712.65
2022-07-03 14:43:32,78335.4,1710.48
2022-07-03 14:43:33,78334.1,1711.82
2022-07-03 14:43:34,78333.7,1712.1
2022-07-03 14:43:35,78333.7,1712.19
2022-07-03 14:43:36,78335,1710.94
2022-07-03 14:43:37,78332.1,1713.79
2022-07-03 14:43:38,78335.3,1710.54
2022-07-03 14:43:39,78332.5,1713.32
2022-07-03 14:43:40,78334.8,1711.1
2022-07-03 14:43:41,78332.7,1713.16
2022-07-03 14:43:42,78333.5,1712.34
2022-07-03 14:43:43,78331.3,1714.61
2022-07-03 14:43:44,78332.1,1713.82
2022-07-03 14:43:45,78331,1714.81
2022-07-03 14:43:46,78332.1,1713.78
2022-07-03 14:43:47,78331.7,1714.09
2022-07-03 14:43:48,78332.4,1713.46
2022-07-03 14:43:49,78331,1714.83
2022-07-03 14:43:50,78330.3,1715.52
2022-07-03 14:43:51,78332.5,1713.36
2022-07-03 14:43:52,78333.2,1712.75
2022-07-03 14:43:53,78331.3,1714.64
2022-07-03 14:43:54,78331.5,1714.39
2022-07-03 14:43:55,78334.9,1710.89
2022-07-03 14:43:56,78331.8,1714.09
2022-07-03 14:43:57,78333.1,1712.87
2022-07-03 14:43:58,78332.2,1713.6
2022-07-03 14:43:59,78333.6,1712.24
2022-07-03 14:44:00,78332.8,1713.09
2022-07-03 14:44:01,78332.2,1713.8
2022-07-03 14:44:02,78330.8,1715.12
2022-07-03 14:44:03,78332.1,1713.75
2022-07-03 14:44:04,78330.8,1715.11
2022-07-03 14:44:05,78329.5,1716.37
2022-07-03 14:44:06,78330.2,1715.66
2022-07-03 14:44:07,78331.1,1714.76
2022-07-03 14:44:08,78331.6,1714.22
2022-07-03 14:44:09,78332.1,1713.8
2022-07-03 14:44:10,78331.3,1714.65
2022-07-03 14:44:11,78330,1715.97
2022-07-03 14:44:12,78331.8,1714
2022-07-03 14:44:13,78329.8,1716.12
2022-07-03 14:44:14,78330.5,1715.44
2022-07-03 14:44:15,78330.4,1715.53
2022-07-03 14:44:16,78330.7,1715.2
2022-07-03 14:44:17,78328.5,1717.5
2022-07-03 14:44:18,78329.6,1716.17
2022-07-03 14:44:19,78330.1,1715.77
2022-07-03 14:44:20,78331.7,1714.23
2022-07-03 14:44:21,78330.7,1715.06
2022-07-03 14:44:22,78332.3,1713.62
2022-07-03 14:44:23,78333.6,1712.35
2022-07-03 14:44:24,78332.6,1713.25
2022-07-03 14:44:25,78331,1714.81
2022-07-03 14:44:26,78334,1711.82
2022-07-03 14:44:27,78333.1,1712.79
2022-07-03 14:44:28,78333.3,1712.55
2022-07-03 14:44:29,78333.9,1711.91
2022-07-03 14:44:30,78334.3,1711.53
2022-07-03 14:44:31,78334.3,1711.53
2022-07-03 14:44:32,78335.5,1710.43
2022-07-03 14:44:33,78328.1,1717.62
2022-07-03 14:44:34,78325.4,1720.54
2022-07-03 14:44:35,78319.2,1726.65
2022-07-03 14:44:36,78328.5,1717.49
2022-07-03 14:44:37,78325.4,1720.52
2022-07-03 14:44:38,78329.6,1716.29
2022-07-03 14:44:39,78329.6,1716.27
2022-07-03 14:44:40,78335.9,1709.98
2022-07-03 14:44:41,78334.2,1711.7
2022-07-03 14:44:42,78332.8,1713.05
2022-07-03 14:44:43,78338.2,1707.77
2022-07-03 14:44:44,78340.1,1705.79
2022-07-03 14:44:45,78338.8,1707.18
2022-07-03 14:44:46,78338.6,1707.25
2022-07-03 14:44:47,78337.6,1708.21
2022-07-03 14:44:48,78338.3,1707.5
2022-07-03 14:44:49,78339.5,1706.3
2022-07-03 14:44:50,78338.4,1707.39
2022-07-03 14:44:51,78338.1,1707.67
2022-07-03 14:44:52,78337,1708.89
2022-07-03 14:44:53,78337,1708.83
2022-07-03 14:44:54,78335.8,1710.01
2022-07-03 14:44:55,78338.6,1707.33
2022-07-03 14:44:56,78337.1,1708.73
2022-07-03 14:44:57,78338.8,1707.05
2022-07-03 14:44:58,78337.4,1708.48
2022-07-03 14:44:59,78338.7,1707.19
2022-07-03 14:45:00,78337.4,1708.45
2022-07-03 14:45:01,78337.9,1707.91
2022-07-03 14:45:02,78337.9,1707.98
2022-07-03 14:45:03,78338,1707.81
2022-07-03 14:45:04,78338.9,1706.99
2022-07-03 14:45:05,78337.7,1708.16
2022-07-03 14:45:06,78339.8,1706.11
2022-07-03 14:45:07,78337.4,1708.52
2022-07-03 14:45:08,78337.9,1708.06
2022-07-03 14:45:09,78337,1708.84
2022-07-03 14:45:10,78336.9,1708.94
2022-07-03 14:45:11,78337.3,1708.6
2022-07-03 14:45:12,78338.9,1707.04
2022-07-03 14:45:13,78338.3,1707.69
2022-07-03 14:45:14,78336.1,1709.81
2022-07-03 14:45:15,78339,1706.93
2022-07-03 14:45:16,78336,1709.92
2022-07-03 14:45:17,78338.7,1707.14
2022-07-03 14:45:18,78336.8,1709.09
2022-07-03 14:45:19,78336.6,1709.31
2022-07-03 14:45:20,78337.8,1708.08
2022-07-03 14:45:21,78337.5,1708.47
2022-07-03 14:45:22,78339.4,1706.51
2022-07-03 14:45:23,78337.3,1708.54
2022-07-03 14:45:24,78336.9,1708.97
2022-07-03 14:45:25,78338.5,1707.31
2022-07-03 14:45:26,78337,1708.82
2022-07-03 14:45:27,78337.8,1708.11
2022-07-03 14:45:28,78335.5,1710.42
2022-07-03 14:45:29,78337.2,1708.79
2022-07-03 14:45:30,78334.5,1711.4
2022-07-03 14:45:31,78336.4,1709.46
2022-07-03 14:45:32,78335.3,1710.62
2022-07-03 14:45:33,78338.4,1707.47
2022-07-03 14:45:34,78336,1709.88
2022-07-03 14:45:35,78338.1,1707.73
2022-07-03 14:45:36,78338.8,1707.07
2022-07-03 14:45:37,78335.4,1710.58
2022-07-03 14:45:38,78335.1,1710.77
2022-07-03 14:45:39,78336.7,1709.18
2022-07-03 14:45:40,78336.5,1709.3
2022-07-03 14:45:41,78339.8,1706.13
2022-07-03 14:45:42,78342.9,1702.97
2022-07-03 14:45:43,78340.4,1705.56
2022-07-03 14:45:44,78341.7,1704.23
2022-07-03 14:45:45,78341.7,1704.22
2022-07-03 14:45:46,78342.8,1703.07
2022-07-03 14:45:47,78344.8,1701.06
2022-07-03 14:45:48,78343.3,1702.6
2022-07-03 14:45:49,78342.2,1703.71
2022-07-03 14:45:50,78343.7,1702.24
2022-07-03 14:45:51,78343.9,1702
2022-07-03 14:45:52,78340.4,1705.56
2022-07-03 14:45:53,78342.7,1703.17
2022-07-03 14:45:54,78341,1704.84
2022-07-03 14:45:55,78339.8,1706.12
2022-07-03 14:45:56,78343.2,1702.75
2022-07-03 14:45:57,78340.8,1705.05
2022-07-03 14:45:58,78340,1705.87
2022-07-03 14:45:59,78342.6,1703.36
2022-07-03 14:46:00,78338,1707.78
2022-07-03 14:46:01,78340.4,1705.41
2022-07-03 14:46:02,78343.1,1702.68
2022-07-03 14:46:03,78340.2,1705.68
2022-07-03 14:46:04,78340.5,1705.43
2022-07-03 14:46:05,78339.9,1706.04
2022-07-03 14:46:06,78340.9,1704.99
2022-07-03 14:46:07,78340.8,1705.03
2022-07-03 14:46:08,78341.1,1704.79
2022-07-03 14:46:09,78340.5,1705.42
2022-07-03 14:46:10,78341.4,1704.53
2022-07-03 14:46:11,78344,1701.83
2022-07-03 14:46:12,78341.2,1704.75
2022-07-03 14:46:13,78339.7,1706.21
2022-07-03 14:46:14,78339,1706.86
2022-07-03 14:46:15,78339.2,1706.6
2022-07-03 14:46:16,78339.5,1706.32
2022-07-03 14:46:17,78341.5,1704.5
2022-07-03 14:46:18,78341.5,1704.45
2022-07-03 14:46:19,78340.6,1705.38
2022-07-03 14:46:20,78339.3,1706.58
2022-07-03 14:46:21,78341.5,1704.45
2022-07-03 14:46:22,78340.6,1705.14
2022-07-03 14:46:23,78341.2,1704.57
2022-07-03 14:46:24,78340.2,1705.8
2022-07-03 14:46:25,78341.5,1704.44
2022-07-03 14:46:26,78340.8,1705.07
2022-07-03 14:46:27,78341.9,1704.04
2022-07-03 14:46:28,78341.1,1704.68
2022-07-03 14:46:29,78342.6,1703.21
2022-07-03 14:46:30,78343.4,1702.5
2022-07-03 14:46:31,78341.8,1704.03
2022-07-03 14:46:32,78340.2,1705.59
2022-07-03 14:46:33,78341.1,1704.77
2022-07-03 14:46:34,78340.6,1705.19
2022-07-03 14:46:35,78339.6,1706.25
2022-07-03 14:46:36,78339.7,1706.17
2022-07-03 14:46:37,78341.9,1703.88
2022-07-03 14:46:38,78339.4,1706.52
2022-07-03 14:46:39,78341.2,1704.6
2022-07-03 14:46:40,78342.4,1703.59
2022-07-03 14:46:41,78341.6,1704.29
2022-07-03 14:46:42,78340.7,1705.24
2022-07-03 14:46:43,78338.6,1707.34
2022-07-03 14:46:44,78339,1706.94
2022-07-03 14:46:45,78340.3,1705.57
2022-07-03 14:46:46,78341.1,1704.83
2022-07-03 14:46:47,78340,1705.98
2022-07-03 14:46:48,78339.6,1706.27
2022-07-03 14:46:49,78338.2,1707.77
2022-07-03 14:46:50,78339.5,1706.33
2022-07-03 14:46:51,78338.6,1707.28
2022-07-03 14:46:52,78340.7,1705.11
2022-07-03 14:46:53,78340.3,1705.63
2022-07-03 14:46:54,78339.5,1706.38
2022-07-03 14:46:55,78340,1705.87
2022-07-03 14:46:56,78342.2,1703.69
2022-07-03 14:46:57,78341.8,1703.94
2022-07-03 14:46:58,78339,1706.77
2022-07-03 14:46:59,78341.1,1704.79
2022-07-03 14:47:00,78344.1,1701.76
2022-07-03 14:47:01,78347.2,1698.63
2022-07-03 14:47:02,78348.4,1697.59
2022-07-03 14:47:03,78348.9,1697
2022-07-03 14:47:04,78351.2,1694.73
2022-07-03 14:47:05,78351.1,1694.77
2022-07-03 14:47:06,78350.2,1695.73
2022-07-03 14:47:07,78351.5,1694.39
2022-07-03 14:47:08,78353.8,1691.99
2022-07-03 14:47:09,78353.7,1692.18
2022-07-03 14:47:10,78352.2,1693.66
2022-07-03 14:47:11,78351.2,1694.71
2022-07-03 14:47:12,78353.2,1692.66
2022-07-03 14:47:13,78351.9,1694.05
2022-07-03 14:47:14,78351.7,1694.16
2022-07-03 14:47:15,78350.6,1695.25
2022-07-03 14:47:16,78350.6,1695.27
2022-07-03 14:47:17,78349.9,1696.01
2022-07-03 14:47:18,78347.9,1697.82
2022-07-03 14:47:19,78349.6,1696.4
2022-07-03 14:47:20,78348.5,1697.46
2022-07-03 14:47:21,78349.9,1695.99
2022-07-03 14:47:22,78349.3,1696.48
2022-07-03 14:47:23,78349.9,1696.02
2022-07-03 14:47:24,78346.6,1699.18
2022-07-03 14:47:25,78349.8,1696.03
2022-07-03 14:47:26,78347.7,1698.1
2022-07-03 14:47:27,78347.1,1698.96
2022-07-03 14:47:28,78348.1,1697.79
2022-07-03 14:47:29,78347.5,1698.39
2022-07-03 14:47:30,78349.9,1696.1
2022-07-03 14:47:31,78349.9,1695.94
2022-07-03 14:47:32,78347.6,1698.25
2022-07-03 14:47:33,78349.9,1696.07
2022-07-03 14:47:34,78348.6,1697.27
2022-07-03 14:47:35,78348.7,1697.24
2022-07-03 14:47:36,78347.3,1698.61
2022-07-03 14:47:37,78346.6,1699.24
2022-07-03 14:47:38,78348.5,1697.31
2022-07-03 14:47:39,78347.7,1698.21
2022-07-03 14:47:40,78347.6,1698.27
2022-07-03 14:47:41,78347.6,1698.41
2022-07-03 14:47:42,78348.9,1696.96
2022-07-03 14:47:43,78347.7,1698.2
2022-07-03 14:47:44,78348.4,1697.45
2022-07-03 14:47:45,78345.6,1700.26
2022-07-03 14:47:46,78347.6,1698.25
2022-07-03 14:47:47,78345.8,1699.97
2022-07-03 14:47:48,78346.9,1698.97
2022-07-03 14:47:49,78348.4,1697.53
2022-07-03 14:47:50,78345.7,1700.11
2022-07-03 14:47:51,78346.4,1699.4
2022-07-03 14:47:52,78345.4,1700.49
2022-07-03 14:47:53,78346,1699.98
2022-07-03 14:47:54,78344.9,1700.96
2022-07-03 14:47:55,78346,1699.94
2022-07-03 14:47:56,78345,1700.89
2022-07-03 14:47:57,78345.7,1700.18
2022-07-03 14:47:58,78346.2,1699.7
2022-07-03 14:47:59,78348.5,1697.27
2022-07-03 14:48:00,78349,1696.84
2022-07-03 14:48:01,78348.4,1697.54
2022-07-03 14:48:02,78348.1,1697.8
2022-07-03 14:48:03,78346,1699.93
2022-07-03 14:48:04,78346.8,1699.06
2022-07-03 14:48:05,78346.8,1699.09
2022-07-03 14:48:06,78345.9,1699.96
2022-07-03 14:48:07,78345.8,1700.05
2022-07-03 14:48:08,78344.6,1701.2
2022-07-03 14:48:09,78344.6,1701.23
2022-07-03 14:48:10,78345.2,1700.71
2022-07-03 14:48:11,78345.3,1700.54
2022-07-03 14:48:12,78345.6,1700.24
2022-07-03 14:48:13,78345.4,1700.49
2022-07-03 14:48:14,78346.6,1699.23
2022-07-03 14:48:15,78346.7,1699.13
2022-07-03 14:48:16,78349.4,1696.46
2022-07-03 14:48:17,78347.7,1698.24
2022-07-03 14:48:18,78347.9,1697.93
2022-07-03 14:48:19,78346.5,1699.47
2022-07-03 14:48:20,78340.9,1704.95
2022-07-03 14:48:21,78341.3,1704.52
2022-07-03 14:48:22,78341.5,1704.34
2022-07-03 14:48:23,78339.9,1706.04
2022-07-03 14:48:24,78342.1,1703.71
2022-07-03 14:48:25,78339.1,1706.92
2022-07-03 14:48:26,78341.6,1704.26
2022-07-03 14:48:27,78340.4,1705.47
2022-07-03 14:48:28,78340.2,1705.63
2022-07-03 14:48:29,78337.9,1707.97
2022-07-03 14:48:30,78337.1,1708.84
2022-07-03 14:48:31,78340.6,1705.19
2022-07-03 14:48:32,78337.8,1708
2022-07-03 14:48:33,78340.9,1705.06
2022-07-03 14:48:34,78338.5,1707.35
2022-07-03 14:48:35,78339.4,1706.53
2022-07-03 14:48:36,78337.2,1708.56
2022-07-03 14:48:37,78340,1705.96
2022-07-03 14:48:38,78339.3,1706.55
2022-07-03 14:48:39,78341,1704.9
2022-07-03 14:48:40,78338.6,1707.41
2022-07-03 14:48:41,78341.7,1704.07
2022-07-03 14:48:42,78339.9,1706.04
2022-07-03 14:48:43,78340.9,1704.97
2022-07-03 14:48:44,78337.9,1707.94
2022-07-03 14:48:45,78339.9,1705.97
2022-07-03 14:48:46,78340.9,1704.98
2022-07-03 14:48:47,78338.8,1707.12
2022-07-03 14:48:48,78340.7,1705.1
2022-07-03 14:48:49,78340.2,1705.65
2022-07-03 14:48:50,78340.9,1704.99
2022-07-03 14:48:51,78340.1,1705.78
2022-07-03 14:48:52,78341.5,1704.48
2022-07-03 14:48:53,78341.3,1704.6
2022-07-03 14:48:54,78341.5,1704.39
2022-07-03 14:48:55,78339.7,1706.14
2022-07-03 14:48:56,78339.3,1706.51
2022-07-03 14:48:57,78338.8,1707.03
2022-07-03 14:48:58,78339.3,1706.67
2022-07-03 14:48:59,78340.1,1705.74
2022-07-03 14:49:00,78337.7,1708.14
2022-07-03 14:49:01,78339.3,1706.66
2022-07-03 14:49:02,78339,1707.06
2022-07-03 14:49:03,78340.1,1705.88
2022-07-03 14:49:04,78343.1,1702.74
2022-07-03 14:49:05,78343.3,1702.58
2022-07-03 14:49:06,78339.6,1706.35
2022-07-03 14:49:07,78338.4,1707.39
2022-07-03 14:49:08,78339.7,1706.31
2022-07-03 14:49:09,78341.1,1704.85
2022-07-03 14:49:10,78339.7,1706.16
2022-07-03 14:49:11,78337.5,1708.44
2022-07-03 14:49:12,78339.5,1706.43
