time,free,used
2022-06-22 17:00:36,14594.6,1414.6
2022-06-22 17:00:35,14594.4,1414.78
2022-06-22 17:00:34,14591.6,1417.59
2022-06-22 17:00:33,14591.9,1417.32
2022-06-22 17:00:32,14591.6,1417.59
2022-06-22 17:00:31,14592.4,1416.79
2022-06-22 17:00:30,14591.9,1417.3
2022-06-22 17:00:29,14592.5,1416.68
2022-06-22 17:00:28,14189.1,1820.06
2022-06-22 17:00:27,14209.5,1799.64
2022-06-22 17:00:26,14211.7,1797.5
2022-06-22 17:00:25,14307.6,1701.6
2022-06-22 17:00:24,14332.3,1676.91
2022-06-22 17:00:23,13349.3,2659.87
2022-06-22 17:00:22,12959.4,3049.78
2022-06-22 17:00:21,13001.6,3007.58
2022-06-22 17:00:20,12573.9,3435.25
2022-06-22 17:00:19,12604.5,3404.66
2022-06-22 17:00:18,12911.6,3097.59
2022-06-22 17:00:17,12562.7,3446.5
2022-06-22 17:00:16,12102.1,3907.11
2022-06-22 17:00:15,11674.5,4334.71
2022-06-22 17:00:14,11789.6,4219.6
2022-06-22 17:00:13,11805.8,4203.34
2022-06-22 17:00:12,11864.6,4144.62
2022-06-22 17:00:11,11968.1,4041.08
2022-06-22 17:00:10,11973.1,4036.06
2022-06-22 17:00:09,11978.4,4030.77
2022-06-22 17:00:08,12045.8,3963.36
2022-06-22 17:00:07,12134.2,3875
2022-06-22 17:00:06,12367,3642.15
2022-06-22 17:00:05,12601.7,3407.49
2022-06-22 17:00:04,12676.8,3332.34
2022-06-22 17:00:03,12703.3,3305.92
2022-06-22 17:00:02,12840.1,3169.03
2022-06-22 17:00:01,12937.3,3071.89
2022-06-22 17:00:00,12553.2,3455.96
2022-06-22 16:59:59,12144.5,3864.69
2022-06-22 16:59:58,12145.5,3863.64
2022-06-22 16:59:57,12263.8,3745.4
2022-06-22 16:59:56,12457.7,3551.48
2022-06-22 16:59:55,12560,3449.17
2022-06-22 16:59:54,12818.4,3190.76
2022-06-22 16:59:53,12895.3,3113.9
2022-06-22 16:59:52,12577,3432.23
2022-06-22 16:59:51,12755.5,3253.64
2022-06-22 16:59:50,12907.8,3101.42
2022-06-22 16:59:49,12484,3525.19
2022-06-22 16:59:48,12575.6,3433.6
2022-06-22 16:59:47,12695.5,3313.71
2022-06-22 16:59:46,12922.5,3086.71
2022-06-22 16:59:45,12158,3851.19
2022-06-22 16:59:44,12238.2,3770.95
2022-06-22 16:59:43,12287,3722.19
2022-06-22 16:59:42,12417,3592.14
2022-06-22 16:59:41,12528.6,3480.6
2022-06-22 16:59:40,12209.8,3799.41
2022-06-22 16:59:39,11954.3,4054.86
2022-06-22 16:59:38,12064.4,3944.77
2022-06-22 16:59:37,12109.8,3899.4
2022-06-22 16:59:36,12176.4,3832.79
2022-06-22 16:59:35,12247.2,3761.95
2022-06-22 16:59:34,12358.4,3650.77
2022-06-22 16:59:33,12553.3,3455.85
2022-06-22 16:59:32,12724.9,3284.28
2022-06-22 16:59:31,12043.9,3965.31
2022-06-22 16:59:30,11876.4,4132.77
2022-06-22 16:59:29,11897.1,4112.04
2022-06-22 16:59:28,12014.1,3995.13
2022-06-22 16:59:27,12173.4,3835.73
2022-06-22 16:59:26,12273,3736.23
2022-06-22 16:59:25,12296.5,3712.73
2022-06-22 16:59:24,12339.7,3669.53
2022-06-22 16:59:23,12393.2,3615.94
2022-06-22 16:59:22,12041.7,3967.47
2022-06-22 16:59:21,12117.5,3891.64
2022-06-22 16:59:20,12327.1,3682.11
2022-06-22 16:59:19,12470,3539.22
2022-06-22 16:59:18,12661.5,3347.73
2022-06-22 16:59:17,12712.8,3296.39
2022-06-22 16:59:16,12880.7,3128.49
2022-06-22 16:59:15,12938.7,3070.45
2022-06-22 16:59:14,13153.8,2855.39
2022-06-22 16:59:13,13267.7,2741.46
2022-06-22 16:59:12,12935.4,3073.79
2022-06-22 16:59:11,13067.3,2941.89
2022-06-22 16:59:10,13250.1,2759.13
2022-06-22 16:59:09,12474.4,3534.79
2022-06-22 16:59:08,12646,3363.17
2022-06-22 16:59:07,12208.6,3800.61
2022-06-22 16:59:06,11910.9,4098.25
2022-06-22 16:59:05,11968.4,4040.8
2022-06-22 16:59:04,12084.6,3924.58
2022-06-22 16:59:03,11746.4,4262.77
2022-06-22 16:59:02,11814.1,4195.12
2022-06-22 16:59:01,11897.1,4112.05
2022-06-22 16:59:00,12003.4,4005.8
2022-06-22 16:58:59,11791.1,4218.07
2022-06-22 16:58:58,11942.1,4067.04
2022-06-22 16:58:57,11964.5,4044.66
2022-06-22 16:58:56,12030.6,3978.61
2022-06-22 16:58:55,12087.5,3921.64
2022-06-22 16:58:54,12294.5,3714.7
2022-06-22 16:58:53,12375.3,3633.84
2022-06-22 16:58:52,12448.1,3561.07
2022-06-22 16:58:51,12474.8,3534.43
2022-06-22 16:58:50,12603.4,3405.77
2022-06-22 16:58:49,12286.9,3722.24
2022-06-22 16:58:48,12339.1,3670.12
2022-06-22 16:58:47,12391.7,3617.5
2022-06-22 16:58:46,12521.3,3487.86
2022-06-22 16:58:45,12654,3355.16
2022-06-22 16:58:44,12820.5,3188.68
2022-06-22 16:58:43,13070.9,2938.25
2022-06-22 16:58:42,13153.9,2855.24
2022-06-22 16:58:41,13161.8,2847.43
2022-06-22 16:58:40,12835.4,3173.78
2022-06-22 16:58:39,12928.5,3080.67
2022-06-22 16:58:38,13095.9,2913.26
2022-06-22 16:58:37,13226.7,2782.45
2022-06-22 16:58:36,13391.9,2617.24
2022-06-22 16:58:35,13139,2870.22
2022-06-22 16:58:34,11884.6,4124.54
2022-06-22 16:58:33,11942.7,4066.49
2022-06-22 16:58:32,11991.8,4017.38
2022-06-22 16:58:31,12101.5,3907.65
2022-06-22 16:58:30,11701.9,4307.29
2022-06-22 16:58:29,11755,4254.19
2022-06-22 16:58:28,11848.6,4160.59
2022-06-22 16:58:27,11462.3,4546.88
2022-06-22 16:58:26,11552.6,4456.61
2022-06-22 16:58:25,11577.1,4432.1
2022-06-22 16:58:24,11675.2,4333.97
2022-06-22 16:58:23,11764.5,4244.66
2022-06-22 16:58:22,11840.9,4168.29
2022-06-22 16:58:21,12016.3,3992.89
2022-06-22 16:58:20,12275.4,3733.81
2022-06-22 16:58:19,12435.9,3573.31
2022-06-22 16:58:18,12132.4,3876.79
2022-06-22 16:58:17,12155.6,3853.62
2022-06-22 16:58:16,12224.2,3785
2022-06-22 16:58:15,12399.4,3609.74
2022-06-22 16:58:14,12454.1,3555.08
2022-06-22 16:58:13,12510.9,3498.29
2022-06-22 16:58:12,12631,3378.21
2022-06-22 16:58:11,12910.9,3098.32
2022-06-22 16:58:10,12998.5,3010.65
2022-06-22 16:58:09,13147.5,2861.69
2022-06-22 16:58:08,13229.2,2779.96
2022-06-22 16:58:07,13330,2679.18
2022-06-22 16:58:06,13018.3,2990.92
2022-06-22 16:58:05,13265.1,2744.13
2022-06-22 16:58:04,13417.4,2591.76
2022-06-22 16:58:03,13041.7,2967.51
2022-06-22 16:58:02,12120.4,3888.75
2022-06-22 16:58:01,11640.7,4368.53
2022-06-22 16:58:00,11778.3,4230.84
2022-06-22 16:57:59,11847.1,4162.04
2022-06-22 16:57:58,11897.1,4112.11
2022-06-22 16:57:57,11537.6,4471.58
2022-06-22 16:57:56,11592,4417.16
2022-06-22 16:57:55,11691.6,4317.61
2022-06-22 16:57:54,11854.8,4154.36
2022-06-22 16:57:53,11963.4,4045.82
2022-06-22 16:57:52,12064.3,3944.93
2022-06-22 16:57:51,11662.4,4346.75
2022-06-22 16:57:50,11792.2,4216.94
2022-06-22 16:57:49,11942.1,4067.04
2022-06-22 16:57:48,12098.7,3910.46
2022-06-22 16:57:47,12268.4,3740.78
2022-06-22 16:57:46,12401.1,3608.12
2022-06-22 16:57:45,12019.3,3989.88
2022-06-22 16:57:44,12048.6,3960.53
2022-06-22 16:57:43,12213.1,3796.09
2022-06-22 16:57:42,12278.1,3731.09
2022-06-22 16:57:41,12367.1,3642.06
2022-06-22 16:57:40,12383.3,3625.89
2022-06-22 16:57:39,12451.4,3557.83
2022-06-22 16:57:38,12579.2,3429.99
2022-06-22 16:57:37,12649.9,3359.33
2022-06-22 16:57:36,12245.2,3763.97
2022-06-22 16:57:35,12518.6,3490.59
2022-06-22 16:57:34,12710.7,3298.45
2022-06-22 16:57:33,12871,3138.18
2022-06-22 16:57:32,12932.6,3076.63
2022-06-22 16:57:31,13097,2912.2
2022-06-22 16:57:30,13258.7,2750.44
2022-06-22 16:57:29,13372,2637.19
2022-06-22 16:57:28,13514.2,2495.03
2022-06-22 16:57:27,13179.1,2830.07
2022-06-22 16:57:26,12799.9,3209.33
2022-06-22 16:57:25,12435.7,3573.51
2022-06-22 16:57:24,12039.9,3969.31
2022-06-22 16:57:23,11812.4,4196.78
2022-06-22 16:57:22,11504.8,4504.36
2022-06-22 16:57:21,11553.3,4455.9
2022-06-22 16:57:20,11552.4,4456.78
2022-06-22 16:57:19,11530.4,4478.83
2022-06-22 16:57:18,11687,4322.23
2022-06-22 16:57:17,11782.3,4226.88
2022-06-22 16:57:16,11916.8,4092.43
2022-06-22 16:57:15,11985.6,4023.63
2022-06-22 16:57:14,12152.7,3856.47
2022-06-22 16:57:13,12213.2,3795.96
2022-06-22 16:57:12,12566,3443.19
2022-06-22 16:57:11,12694.4,3314.73
2022-06-22 16:57:10,12767,3242.19
2022-06-22 16:57:09,12845.2,3164.02
2022-06-22 16:57:08,12965.9,3043.26
2022-06-22 16:57:07,12619.7,3389.51
2022-06-22 16:57:06,12689.3,3319.9
2022-06-22 16:57:05,12719.8,3289.42
2022-06-22 16:57:04,12224.6,3784.54
2022-06-22 16:57:03,12422.7,3586.44
2022-06-22 16:57:02,12646.7,3362.48
2022-06-22 16:57:01,12699.8,3309.39
2022-06-22 16:57:00,12767.9,3241.27
2022-06-22 16:56:59,12887.4,3121.75
2022-06-22 16:56:58,13046.1,2963.07
2022-06-22 16:56:57,13205.4,2803.8
2022-06-22 16:56:56,13339.1,2670.06
2022-06-22 16:56:55,13444,2565.16
2022-06-22 16:56:54,13046.6,2962.62
2022-06-22 16:56:53,11873.2,4135.95
2022-06-22 16:56:52,11955.8,4053.4
2022-06-22 16:56:51,12182.6,3826.61
