time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-22 17:41:35,0,0,0.125,0,0,0.25,0.5,0.125,0.125
2022-06-22 17:41:34,0,0,0,0,0,0,0.2506266,0.1253133,0
2022-06-22 17:41:33,0,0,0,0.8760951,0,17.02128,2.12766,0.2503129,0.2503129
2022-06-22 17:41:32,0,0,0,0,0,0.2515723,0.1257862,0.1257862,0.2515723
2022-06-22 17:41:31,0,0,0.1246883,0,0,0.4987531,0.4987531,0.2493766,0.2493766
2022-06-22 17:41:30,0,0,0,0,0,0.5018821,0.250941,0,0.250941
2022-06-22 17:41:29,0,0,0,0,0,1.125,0.375,0.125,0.25
2022-06-22 17:41:28,0,0,0,0,0,0.875,0.375,0.125,0.125
2022-06-22 17:41:27,0,0,0,0.1248439,0,0.4993758,0.4993758,0.1248439,0
2022-06-22 17:41:26,0,0,0.2518892,0,0,1.2594458,0.3778338,0.1259446,0
2022-06-22 17:41:25,0,0,0,0,0,0.5,0.5,0.125,0.125
2022-06-22 17:41:24,0,0,0,0,0,1.0012516,0.2503129,0.1251564,0.3754693
2022-06-22 17:41:23,0,0,0,0,0,0.5,0.5,0.125,0
2022-06-22 17:41:22,0,0,0,0,0,1.4981273,0.6242197,0.2496879,0
2022-06-22 17:41:21,0,0,0,0,0,0.375,0.375,0.125,0
2022-06-22 17:41:20,0,0,0,0.2496879,0,12.109863,0.4993758,0.2496879,0.1248439
2022-06-22 17:41:19,0,0,0,0,0,0,0.2506266,0.1253133,0
2022-06-22 17:41:18,0,0,0,0,0,0.125,0.25,0.125,0
2022-06-22 17:41:17,0,0,0,0.124533,0,10.336239,0.373599,0.249066,0
2022-06-22 17:41:16,0,0,0.1251564,0.1251564,0,8.510638,0.3754693,0,0
2022-06-22 17:41:15,0,0,0,0,0,0.2496879,0.2496879,0.2496879,0
2022-06-22 17:41:14,0,0,0,0,0,0,0.375,0.125,0
2022-06-22 17:41:13,0,0,0,0,0,0.1251564,0.1251564,0.2503129,0
2022-06-22 17:41:12,0,0,0,0,0,0.1251564,0.1251564,0.2503129,0
2022-06-22 17:41:11,0,0,0,0,0,0.1251564,0.3754693,0.1251564,0
2022-06-22 17:41:10,0,0,0,0,0,0.2503129,0.2503129,0.1251564,0
2022-06-22 17:41:09,0,0,0,0,0,0.5012531,0.2506266,0.1253133,0
2022-06-22 17:41:08,0,0,0,0,0,0,0.1254705,0.250941,0
2022-06-22 17:41:07,0,0,0,0,0,0.375,0.25,0.25,0
2022-06-22 17:41:06,0,0,0,0,0,0.2506266,0.1253133,0.1253133,0
2022-06-22 17:41:05,0,0,0,0,0,0.3740648,0.3740648,0.2493766,0
2022-06-22 17:41:04,0,0,0,0,0,0.3759398,0.3759398,0.1253133,0
2022-06-22 17:41:03,0,0,0,0,0,0.375,0.25,0.125,0
2022-06-22 17:41:02,0,0,0,0,0,0.2506266,0.1253133,0.2506266,0
2022-06-22 17:41:01,0,0,0.1254705,0,0,0.1254705,0.1254705,0.1254705,0
2022-06-22 17:41:00,0,0,0,0,0,0.5006258,0.1251564,0.2503129,0
2022-06-22 17:40:59,0,0,0,0,0,0.5,0.25,0.25,0
2022-06-22 17:40:58,0,0,0,0,0,0.125,0.375,0.25,0
2022-06-22 17:40:57,0,0,0,0,0,0.75,0.25,0.25,0
