time,free,used,cached,buffers
2022-07-06 18:39:00,8579.945,1647.0352,5763.16,19.03906
2022-07-06 18:38:59,8591.344,1645.2695,5753.527,19.03906
2022-07-06 18:38:58,8591.066,1645.3516,5753.723,19.03906
2022-07-06 18:38:57,8591.949,1645.5352,5752.676,19.01953
2022-07-06 18:38:56,8590.965,1647.1719,5752.277,18.76562
2022-07-06 18:38:55,8592.195,1646.1367,5752.082,18.76562
2022-07-06 18:38:54,8590.965,1647.1719,5752.277,18.76562
2022-07-06 18:38:53,8591.641,1646.4414,5752.332,18.76562
2022-07-06 18:38:52,8590.902,1647.2344,5752.277,18.76562
2022-07-06 18:38:51,8592.102,1645.9805,5752.332,18.76562
2022-07-06 18:38:50,8590.379,1647.7695,5752.266,18.76562
2022-07-06 18:38:49,8591.609,1646.5938,5752.211,18.76562
2022-07-06 18:38:48,8591.086,1647.1016,5752.227,18.76562
2022-07-06 18:38:47,8591.578,1646.75,5752.086,18.76562
2022-07-06 18:38:46,8591.086,1647.2266,5752.102,18.76562
2022-07-06 18:38:45,8591.824,1646.5039,5752.086,18.76562
2022-07-06 18:38:44,8591.055,1647.2656,5752.102,18.75781
2022-07-06 18:38:43,8591.793,1646.543,5752.086,18.75781
2022-07-06 18:38:42,8590.809,1647.5117,5752.102,18.75781
2022-07-06 18:38:41,8591.547,1646.7891,5752.086,18.75781
2022-07-06 18:38:40,8590.809,1647.5117,5752.102,18.75781
2022-07-06 18:38:39,8591.117,1647.168,5752.137,18.75781
2022-07-06 18:38:38,8589.887,1648.3789,5752.176,18.73828
2022-07-06 18:38:37,6451.34,3088.145,6450.957,18.73828
2022-07-06 18:38:36,5408.984,3435.914,7145.547,18.73438
2022-07-06 18:38:35,2923.379,4534.699,8532.367,18.73438
2022-07-06 18:38:34,2668.535,4789.641,8532.273,18.73047
2022-07-06 18:38:33,1288.9414,5478.934,9222.574,18.73047
2022-07-06 18:38:32,1280.1445,5488.605,9221.699,18.73047
2022-07-06 18:38:31,1276.1445,5491.664,9222.641,18.73047
2022-07-06 18:38:30,1271.2227,5497.652,9221.574,18.73047
2022-07-06 18:38:29,1271.2773,5496.723,9222.449,18.73047
2022-07-06 18:38:28,1271.4453,5497.43,9221.574,18.73047
2022-07-06 18:38:27,1271.2539,5496.781,9222.414,18.73047
