time,in,out
2022-06-23 10:32:14,1.08029,-4.29688
2022-06-23 10:32:15,3.82448,-9.94
2022-06-23 10:32:16,84.4516,-51.4223
2022-06-23 10:32:17,43.0302,-29.211
2022-06-23 10:32:18,6.34397,-22.0522
2022-06-23 10:32:19,5.72696,-23.1991
2022-06-23 10:32:20,4.58339,-17.1746
2022-06-23 10:32:21,5.32989,-21.1073
2022-06-23 10:32:22,5.72682,-23.1985
2022-06-23 10:32:23,4.58329,-17.1742
2022-06-23 10:32:24,5.32994,-21.1075
2022-06-23 10:32:25,5.72684,-23.1985
2022-06-23 10:32:26,4.58321,-17.174
2022-06-23 10:32:27,5.71559,-21.7699
2022-06-23 10:32:28,81.6808,-33.8216
2022-06-23 10:32:29,218644,-4835.3
2022-06-23 10:32:30,931208,-764848
2022-06-23 10:32:31,735994,-746685
2022-06-23 10:32:32,102793,-139460
2022-06-23 10:32:33,93.0372,-125.129
2022-06-23 10:32:34,63.775,-90.3005
2022-06-23 10:32:35,2504.72,-2816.5
2022-06-23 10:32:36,1557.93,-1763.81
2022-06-23 10:32:37,527771,-527664
2022-06-23 10:32:38,631648,-631579
2022-06-23 10:32:39,168372,-168426
2022-06-23 10:32:40,77.8862,-176.166
2022-06-23 10:32:41,68.8546,-154.742
2022-06-23 10:32:42,52.1826,-116.46
2022-06-23 10:32:43,2544.54,-2550.88
2022-06-23 10:32:44,5160.67,-5160.67
2022-06-23 10:32:45,3539.56,-3488.04
2022-06-23 10:32:46,3866.76,-3779.9
2022-06-23 10:32:47,44654.6,-44376.1
2022-06-23 10:32:48,145589,-145368
2022-06-23 10:32:49,168009,-167832
2022-06-23 10:32:50,233761,-233558
2022-06-23 10:32:51,741162,-740576
2022-06-23 10:32:52,1.06344e+06,-1.06301e+06
2022-06-23 10:32:53,1.30115e+06,-1.30114e+06
2022-06-23 10:32:54,1.69092e+06,-1.69099e+06
2022-06-23 10:32:55,1.54049e+06,-1.54056e+06
2022-06-23 10:32:56,1.10981e+06,-1.10981e+06
2022-06-23 10:32:57,1.82119e+06,-1.82177e+06
2022-06-23 10:32:58,3.24698e+06,-3.24711e+06
2022-06-23 10:32:59,3.56916e+06,-3.56879e+06
2022-06-23 10:33:00,3.81991e+06,-3.8197e+06
2022-06-23 10:33:01,4.25317e+06,-4.25325e+06
2022-06-23 10:33:02,4.37499e+06,-4.37508e+06
2022-06-23 10:33:03,3.99203e+06,-3.99211e+06
2022-06-23 10:33:04,3164589,-3.16468e+06
2022-06-23 10:33:05,2.56243e+06,-2.5625e+06
2022-06-23 10:33:06,2.60894e+06,-2.609e+06
2022-06-23 10:33:07,2.5631e+06,-2.56273e+06
2022-06-23 10:33:08,1.98527e+06,-1.98491e+06
2022-06-23 10:33:09,1.11323e+06,-1.11277e+06
2022-06-23 10:33:10,597129,-597352
2022-06-23 10:33:11,365714,-365785
2022-06-23 10:33:12,167758,-167843
2022-06-23 10:33:13,37777.5,-37860.3
2022-06-23 10:33:14,76.0813,-154.376
2022-06-23 10:33:15,163164,-163346
2022-06-23 10:33:16,1.10918e+06,-1.10912e+06
2022-06-23 10:33:17,2.73393e+06,-2.73396e+06
2022-06-23 10:33:18,3.92199e+06,-3.92203e+06
2022-06-23 10:33:19,4.29759e+06,-4.29767e+06
2022-06-23 10:33:20,4.17315e+06,-4.1733e+06
2022-06-23 10:33:21,3.64759e+06,-3.64767e+06
2022-06-23 10:33:22,2.87463e+06,-2.87472e+06
2022-06-23 10:33:23,2.19811e+06,-2.19817e+06
2022-06-23 10:33:24,1.81538e+06,-1.81545e+06
2022-06-23 10:33:25,1.34543e+06,-1.34552e+06
2022-06-23 10:33:26,710386,-710471
2022-06-23 10:33:27,181303,-181390
2022-06-23 10:33:28,5654.93,-5750.92
2022-06-23 10:33:29,422.775,-508.547
2022-06-23 10:33:30,361.553,-462.042
2022-06-23 10:33:31,173.759,-263.4
2022-06-23 10:33:32,54380,-54465.3
2022-06-23 10:33:33,330880,-330523
2022-06-23 10:33:34,1.12961e+06,-1.12991e+06
2022-06-23 10:33:35,1.70252e+06,-1.70306e+06
2022-06-23 10:33:36,1.52575e+06,-1.52565e+06
2022-06-23 10:33:37,1.05611e+06,-1.05589e+06
2022-06-23 10:33:38,596498,-596590
2022-06-23 10:33:39,351078,-351170
2022-06-23 10:33:40,267436,-267455
2022-06-23 10:33:41,274931,-274978
2022-06-23 10:33:42,306498,-306532
2022-06-23 10:33:43,477877,-477964
2022-06-23 10:33:44,698651,-698738
2022-06-23 10:33:45,947419,-947509
2022-06-23 10:33:46,1.0758e+06,-1.07587e+06
2022-06-23 10:33:47,887822,-887890
2022-06-23 10:33:48,720167,-720202
2022-06-23 10:33:49,548155,-548207
2022-06-23 10:33:50,412868,-412987
2022-06-23 10:33:51,292294,-292290
2022-06-23 10:33:52,160980,-161050
2022-06-23 10:33:53,44930.3,-44981.3
2022-06-23 10:33:54,1352.29,-1420.28
2022-06-23 10:33:55,2026.11,-2098.43
2022-06-23 10:33:56,18884.7,-18950.3
2022-06-23 10:33:57,356768,-356792
2022-06-23 10:33:58,765902,-765911
2022-06-23 10:33:59,1.00933e+06,-1.00932e+06
2022-06-23 10:34:00,980494,-980442
2022-06-23 10:34:01,859765,-859654
2022-06-23 10:34:02,833835,-833711
2022-06-23 10:34:03,695547,-695384
2022-06-23 10:34:04,550079,-549833
2022-06-23 10:34:05,532110,-531880
2022-06-23 10:34:06,564824,-564691
2022-06-23 10:34:07,770304,-770251
2022-06-23 10:34:08,966684,-966671
2022-06-23 10:34:09,1.49773e+06,-1.49779e+06
2022-06-23 10:34:10,2.33411e+06,-2.33401e+06
2022-06-23 10:34:11,3.05353e+06,-3.05359e+06
2022-06-23 10:34:12,3.53917e+06,-3.53975e+06
2022-06-23 10:34:13,3.55945e+06,-3.55947e+06
2022-06-23 10:34:14,3.30794e+06,-3.30783e+06
2022-06-23 10:34:15,3.22887e+06,-3.22889e+06
2022-06-23 10:34:16,3.0621e+06,-3.0622e+06
2022-06-23 10:34:17,2.50174e+06,-2.50128e+06
2022-06-23 10:34:18,1.88868e+06,-1.88879e+06
2022-06-23 10:34:19,1.43407e+06,-1.43457e+06
2022-06-23 10:34:20,1.08727e+06,-1.08684e+06
2022-06-23 10:34:21,783749,-783081
2022-06-23 10:34:22,408325,-408630
2022-06-23 10:34:23,200764,-198382
2022-06-23 10:34:24,170674,-172738
2022-06-23 10:34:25,387141,-387551
2022-06-23 10:34:26,846157,-846226
2022-06-23 10:34:27,1.25393e+06,-1.254e+06
2022-06-23 10:34:28,1.48016e+06,-1.48021e+06
2022-06-23 10:34:29,1.99735e+06,-1.99768e+06
2022-06-23 10:34:30,2.6407e+06,-2.64068e+06
2022-06-23 10:34:31,3.12598e+06,-3.12577e+06
2022-06-23 10:34:32,3.27142e+06,-3.27145e+06
2022-06-23 10:34:33,3.16519e+06,-3.16525e+06
2022-06-23 10:34:34,2.82954e+06,-2.82962e+06
2022-06-23 10:34:35,2.46512e+06,-2.46519e+06
2022-06-23 10:34:36,2.26943e+06,-2.26951e+06
2022-06-23 10:34:37,2.08604e+06,-2.08614e+06
2022-06-23 10:34:38,1.82013e+06,-1.82023e+06
2022-06-23 10:34:39,1.52436e+06,-1.52446e+06
2022-06-23 10:34:40,1.0003e+06,-1.00074e+06
2022-06-23 10:34:41,957574,-957529
2022-06-23 10:34:42,901550,-901165
2022-06-23 10:34:43,563459,-563628
2022-06-23 10:34:44,327848,-327977
2022-06-23 10:34:45,222117,-222157
2022-06-23 10:34:46,629365,-629353
2022-06-23 10:34:47,1.05278e+06,-1.05294e+06
2022-06-23 10:34:48,797711,-797554
2022-06-23 10:34:49,499812,-500260
2022-06-23 10:34:50,712250,-711794
2022-06-23 10:34:51,985304,-985567
2022-06-23 10:34:52,1.04359e+06,-1.04393e+06
2022-06-23 10:34:53,845455,-845635
2022-06-23 10:34:54,664731,-664456
2022-06-23 10:34:55,511922,-512336
2022-06-23 10:34:56,336116,-336362
2022-06-23 10:34:57,133007,-133028
2022-06-23 10:34:58,19683.1,-19610.9
2022-06-23 10:34:59,2895.29,-3070.77
2022-06-23 10:35:00,8810.62,-8987.73
2022-06-23 10:35:01,79171.7,-79352.1
2022-06-23 10:35:02,109862,-108193
2022-06-23 10:35:03,399818,-400846
2022-06-23 10:35:04,361582,-362018
2022-06-23 10:35:05,136210,-136374
2022-06-23 10:35:06,101229,-101251
