time,in,out
2022-06-23 12:41:58,1275.6351,-933.2656
2022-06-23 12:41:57,296125.3,-240914
2022-06-23 12:41:56,889058.4,-673201.8
2022-06-23 12:41:55,811262,-782236.9
2022-06-23 12:41:54,660721,-781585
2022-06-23 12:41:53,830216.6,-705298.8
2022-06-23 12:41:52,519410,-748847.2
2022-06-23 12:41:51,750635.7,-713412.6
2022-06-23 12:41:50,740947.8,-738038.2
2022-06-23 12:41:49,718708.1,-824908.8
2022-06-23 12:41:48,739837.2,-658082
2022-06-23 12:41:47,750269.8,-809336.6
2022-06-23 12:41:46,743350.7,-828570.3
2022-06-23 12:41:45,739731,-692489.9
2022-06-23 12:41:44,737704.6,-652274.1
2022-06-23 12:41:43,733786.6,-760667.7
2022-06-23 12:41:42,617707.5,-724348.2
2022-06-23 12:41:41,673504.8,-735509.5
2022-06-23 12:41:40,649774.8,-527404
2022-06-23 12:41:39,469821,-762754.3
2022-06-23 12:41:38,837916.1,-534866.1
2022-06-23 12:41:37,479705.9,-88523.45
2022-06-23 12:41:36,753089.9,-650033.4
2022-06-23 12:41:35,444108.3,-823571
2022-06-23 12:41:34,143409.51,-4597.319
2022-06-23 12:41:33,325177.9,-2214.496
2022-06-23 12:41:32,260175.5,-774.5633
2022-06-23 12:41:31,243731.5,-83.31087
2022-06-23 12:41:30,227260,-79.31027
2022-06-23 12:41:29,212848.6,-79.26921
2022-06-23 12:41:28,351060.8,-147.54119
2022-06-23 12:41:27,360104.1,-215.7133
2022-06-23 12:41:26,48452.62,-103.74239
2022-06-23 12:41:25,64941.14,-504.0436
2022-06-23 12:41:24,369955.3,-898.7754
2022-06-23 12:41:23,591201.1,-198.9953
2022-06-23 12:41:22,429334.6,-431.237
2022-06-23 12:41:21,431976.4,-613.0429
2022-06-23 12:41:20,385525.7,-132.3558
2022-06-23 12:41:19,355277.6,-129.59331
2022-06-23 12:41:18,410338.2,-155.43063
2022-06-23 12:41:17,406288.8,-1109.4722
2022-06-23 12:41:16,412958.4,-2120.804
2022-06-23 12:41:15,370961.2,-34220.57
2022-06-23 12:41:14,365409.5,-226864.9
2022-06-23 12:41:13,591858.5,-575961.8
2022-06-23 12:41:12,874604.7,-870289.8
2022-06-23 12:41:11,1076599.1,-1074459.7
2022-06-23 12:41:10,1121587.2,-1122108.7
2022-06-23 12:41:09,1036451.3,-1036179.6
2022-06-23 12:41:08,977287.2,-975942.9
2022-06-23 12:41:07,1015669,-1014972
2022-06-23 12:41:06,1133378.8,-1133384.3
2022-06-23 12:41:05,1062522.7,-1062425.5
2022-06-23 12:41:04,941033.3,-939306.1
2022-06-23 12:41:03,1038367.2,-1033504.5
2022-06-23 12:41:02,1156709.2,-1152930.5
2022-06-23 12:41:01,1069197.6,-1067003
2022-06-23 12:41:00,958709.3,-955561.3
2022-06-23 12:40:59,1035220.1,-1035589.4
2022-06-23 12:40:58,1104747.2,-1104232.5
2022-06-23 12:40:57,1057123,-1056542.7
2022-06-23 12:40:56,977886.7,-975964.3
2022-06-23 12:40:55,1045233.3,-1042646.4
2022-06-23 12:40:54,1088068,-1087947.4
2022-06-23 12:40:53,1070502.8,-1070386.9
2022-06-23 12:40:52,979027.2,-978104.7
2022-06-23 12:40:51,973812.4,-972586.4
2022-06-23 12:40:50,1044504.4,-1043074.3
2022-06-23 12:40:49,1127443.6,-1127411.4
2022-06-23 12:40:48,997916.4,-997151
2022-06-23 12:40:47,842398.1,-840174.3
2022-06-23 12:40:46,948259.5,-946938.7
2022-06-23 12:40:45,1022141.1,-1022798
2022-06-23 12:40:44,951888.6,-951048
2022-06-23 12:40:43,897438.5,-896626.6
2022-06-23 12:40:42,1027279.6,-1028122.5
2022-06-23 12:40:41,1106299.4,-1106273.1
2022-06-23 12:40:40,1094689.7,-1093429.6
2022-06-23 12:40:39,1005204.3,-1003459.3
2022-06-23 12:40:38,1033189.9,-1034526.8
2022-06-23 12:40:37,1051727.3,-1053140.2
2022-06-23 12:40:36,1117112.8,-1116899.3
2022-06-23 12:40:35,1070665.8,-1070076.5
2022-06-23 12:40:34,1028958.1,-1028256.1
2022-06-23 12:40:33,1065625.9,-1065333.8
2022-06-23 12:40:32,1143059.3,-1142841.6
2022-06-23 12:40:31,1042900.1,-1042447.2
2022-06-23 12:40:30,985740.5,-986129.4
2022-06-23 12:40:29,1065366.1,-1064865.9
2022-06-23 12:40:28,1160363.7,-1160073.9
2022-06-23 12:40:27,1063771.3,-1063060.6
2022-06-23 12:40:26,971708.8,-971221
2022-06-23 12:40:25,1076558,-1076390.6
2022-06-23 12:40:24,1164276.3,-1163983.4
2022-06-23 12:40:23,1077275.3,-1076460.1
2022-06-23 12:40:22,1001308.7,-1000315.8
2022-06-23 12:40:21,1061583.8,-1060870.9
2022-06-23 12:40:20,1152812.9,-1152798.6
2022-06-23 12:40:19,1072023.3,-1071576.8
2022-06-23 12:40:18,975917.9,-976598.3
2022-06-23 12:40:17,1056135.8,-1059366
2022-06-23 12:40:16,1124792.4,-1126278.4
2022-06-23 12:40:15,1081088.3,-1080410.9
2022-06-23 12:40:14,999685.1,-999565.9
2022-06-23 12:40:13,1034271.4,-1034489.9
2022-06-23 12:40:12,1122918.1,-1122245.9
2022-06-23 12:40:11,1066759.9,-1066451.8
2022-06-23 12:40:10,960338.8,-960394
2022-06-23 12:40:09,1036922.9,-1037823.8
2022-06-23 12:40:08,1102319.4,-1102334.1
2022-06-23 12:40:07,1095175.9,-1094644
2022-06-23 12:40:06,1004465.9,-1002929.3
