time,free,used,cached,buffers
2022-06-23 12:49:07,26992.87,4443.594,672.7227,3.050781
2022-06-23 12:49:06,26999.47,4442.883,666.8359,3.042969
2022-06-23 12:49:05,26237.23,5203.223,668.7383,3.042969
2022-06-23 12:49:04,26241.71,5198.945,668.5469,3.035156
2022-06-23 12:49:03,26242.18,5198.508,668.5078,3.035156
2022-06-23 12:49:02,26242.48,5198.242,668.4805,3.035156
2022-06-23 12:49:01,26242.68,5198.074,668.4492,3.027344
2022-06-23 12:49:00,26245.91,5194.883,668.418,3.027344
2022-06-23 12:48:59,26250.4,5190.43,668.3867,3.019531
2022-06-23 12:48:58,26250.46,5190.391,668.3633,3.019531
2022-06-23 12:48:57,26250.43,5190.453,668.332,3.019531
2022-06-23 12:48:56,26250.44,5190.512,668.2734,3.011719
2022-06-23 12:48:55,26250.43,5190.527,668.2656,3.011719
2022-06-23 12:48:54,26250.4,5190.586,668.2461,3.003906
2022-06-23 12:48:53,26250.86,5190.16,668.2109,3.003906
2022-06-23 12:48:52,26250.83,5190.23,668.1719,3.003906
2022-06-23 12:48:51,26251.32,5189.766,668.1523,2.996094
2022-06-23 12:48:50,26251.35,5189.746,668.1406,2.996094
2022-06-23 12:48:49,26251.63,5189.523,668.0938,2.988281
2022-06-23 12:48:48,26251.6,5189.566,668.082,2.988281
2022-06-23 12:48:47,26251.6,5189.605,668.043,2.988281
2022-06-23 12:48:46,26251.87,5189.359,668.0273,2.980469
2022-06-23 12:48:45,26251.88,5189.352,668.0195,2.980469
2022-06-23 12:48:44,26252.61,5188.68,667.9609,2.980469
2022-06-23 12:48:43,26252.87,5188.434,667.9609,2.972656
2022-06-23 12:48:42,26252.86,5188.441,667.9609,2.972656
2022-06-23 12:48:41,26252.84,5188.465,667.9609,2.972656
2022-06-23 12:48:40,26256.28,5186.164,666.8242,2.964844
2022-06-23 12:48:39,26256.41,5186.023,666.832,2.964844
2022-06-23 12:48:38,26256.1,5186.355,666.8242,2.957031
2022-06-23 12:48:37,26255.82,5186.633,666.8242,2.957031
2022-06-23 12:48:36,26255.79,5186.672,666.8242,2.949219
2022-06-23 12:48:35,26255.57,5186.891,666.8203,2.949219
2022-06-23 12:48:34,26255.54,5186.922,666.8203,2.949219
2022-06-23 12:48:33,26255.83,5186.637,666.8203,2.949219
2022-06-23 12:48:32,26255.78,5186.691,666.8125,2.949219
2022-06-23 12:48:31,26255.79,5186.684,666.8125,2.949219
2022-06-23 12:48:30,26256.07,5186.406,666.8203,2.941406
2022-06-23 12:48:29,26256,5186.469,666.8203,2.941406
2022-06-23 12:48:28,26255.57,5186.906,666.8203,2.941406
2022-06-23 12:48:27,26255.83,5186.648,666.8164,2.941406
2022-06-23 12:48:26,26255.85,5186.625,666.8164,2.941406
2022-06-23 12:48:25,26255.79,5186.695,666.8164,2.933594
2022-06-23 12:48:24,26256.31,5186.172,666.8164,2.933594
2022-06-23 12:48:23,26256.04,5186.453,666.8125,2.933594
2022-06-23 12:48:22,26256.1,5186.391,666.8125,2.933594
2022-06-23 12:48:21,26256.23,5186.27,666.8047,2.933594
2022-06-23 12:48:20,26256.3,5186.195,666.8086,2.925781
2022-06-23 12:48:19,26256.54,5185.965,666.8086,2.925781
2022-06-23 12:48:18,26256.3,5186.195,666.8086,2.925781
2022-06-23 12:48:17,26256.57,5185.934,666.8086,2.925781
2022-06-23 12:48:16,26256.28,5186.219,666.8086,2.925781
2022-06-23 12:48:15,26256.34,5186.16,666.8047,2.925781
2022-06-23 12:48:14,26256.58,5185.93,666.8047,2.917969
2022-06-23 12:48:13,26256.31,5186.203,666.8008,2.917969
2022-06-23 12:48:12,26256.07,5186.449,666.8008,2.917969
2022-06-23 12:48:11,26256.28,5186.234,666.8008,2.917969
2022-06-23 12:48:10,26256.28,5186.234,666.8008,2.917969
2022-06-23 12:48:09,26256.56,5185.965,666.8008,2.910156
2022-06-23 12:48:08,26256.02,5186.508,666.7969,2.910156
2022-06-23 12:48:07,26256.43,5186.098,666.793,2.910156
2022-06-23 12:48:06,26256.25,5186.281,666.793,2.910156
2022-06-23 12:48:05,26256.29,5186.25,666.7852,2.910156
2022-06-23 12:48:04,26256.28,5186.258,666.793,2.902344
2022-06-23 12:48:03,26256.62,5185.922,666.7891,2.902344
2022-06-23 12:48:02,26256.62,5185.922,666.7891,2.902344
2022-06-23 12:48:01,26256.38,5186.168,666.7891,2.902344
2022-06-23 12:48:00,26256.34,5186.211,666.7773,2.902344
2022-06-23 12:47:59,26256.54,5186.02,666.7852,2.894531
2022-06-23 12:47:58,26256.3,5186.25,666.7852,2.894531
2022-06-23 12:47:57,26256.56,5185.996,666.7852,2.894531
2022-06-23 12:47:56,26256.55,5186.008,666.7812,2.894531
2022-06-23 12:47:55,26256.72,5185.848,666.7734,2.894531
2022-06-23 12:47:54,26256.53,5186.043,666.7773,2.886719
2022-06-23 12:47:53,26256.46,5186.105,666.7773,2.886719
2022-06-23 12:47:52,26256.49,5186.086,666.7734,2.886719
2022-06-23 12:47:51,26257.06,5185.516,666.7734,2.886719
2022-06-23 12:47:50,26256.77,5185.812,666.7695,2.886719
2022-06-23 12:47:49,26256.77,5185.805,666.7695,2.886719
2022-06-23 12:47:48,26256.99,5185.598,666.7695,2.878906
2022-06-23 12:47:47,26257.02,5185.566,666.7695,2.878906
2022-06-23 12:47:46,26257.05,5185.539,666.7656,2.878906
2022-06-23 12:47:45,26257.48,5185.117,666.7578,2.878906
2022-06-23 12:47:44,26257.48,5185.129,666.7461,2.878906
2022-06-23 12:47:43,26256.99,5185.621,666.7539,2.871094
2022-06-23 12:47:42,26257.27,5185.348,666.75,2.871094
2022-06-23 12:47:41,26257.76,5184.855,666.75,2.871094
2022-06-23 12:47:40,26257.79,5184.824,666.75,2.871094
2022-06-23 12:47:39,26257.55,5185.074,666.7383,2.871094
2022-06-23 12:47:38,26257.23,5185.391,666.7461,2.863281
2022-06-23 12:47:37,26257.51,5185.113,666.7461,2.863281
2022-06-23 12:47:36,26257.54,5185.09,666.7461,2.863281
2022-06-23 12:47:35,26257.76,5184.871,666.7422,2.863281
2022-06-23 12:47:34,26257.5,5185.133,666.7422,2.863281
2022-06-23 12:47:33,26257.57,5185.066,666.7383,2.855469
2022-06-23 12:47:32,26257.8,5184.84,666.7344,2.855469
2022-06-23 12:47:31,26257.59,5185.055,666.7344,2.855469
2022-06-23 12:47:30,26257.53,5185.117,666.7344,2.855469
2022-06-23 12:47:29,26257.77,5184.871,666.7344,2.855469
2022-06-23 12:47:28,26257.99,5184.668,666.7227,2.855469
2022-06-23 12:47:27,26257.8,5184.852,666.7305,2.847656
2022-06-23 12:47:26,26258.05,5184.609,666.7266,2.847656
2022-06-23 12:47:25,26257.74,5184.918,666.7266,2.847656
2022-06-23 12:47:24,26258.3,5184.367,666.7227,2.847656
2022-06-23 12:47:23,26258.27,5184.398,666.7227,2.847656
2022-06-23 12:47:22,26258.27,5184.398,666.7227,2.839844
2022-06-23 12:47:21,26258.02,5184.652,666.7227,2.839844
2022-06-23 12:47:20,26258.51,5184.164,666.7188,2.839844
2022-06-23 12:47:19,26258.76,5183.922,666.7148,2.839844
2022-06-23 12:47:18,26258.7,5183.984,666.7148,2.839844
