time,free,used
2022-06-23 12:49:07,27665.6,4446.64
2022-06-23 12:49:06,27666.3,4445.93
2022-06-23 12:49:05,26906,5206.27
2022-06-23 12:49:04,26910.3,5201.98
2022-06-23 12:49:03,26910.7,5201.54
2022-06-23 12:49:02,26911,5201.28
2022-06-23 12:49:01,26911.1,5201.1
2022-06-23 12:49:00,26914.3,5197.91
2022-06-23 12:48:59,26918.8,5193.45
2022-06-23 12:48:58,26918.8,5193.41
2022-06-23 12:48:57,26918.8,5193.47
2022-06-23 12:48:56,26918.7,5193.52
2022-06-23 12:48:55,26918.7,5193.54
2022-06-23 12:48:54,26918.6,5193.59
2022-06-23 12:48:53,26919.1,5193.16
2022-06-23 12:48:52,26919,5193.23
2022-06-23 12:48:51,26919.5,5192.76
2022-06-23 12:48:50,26919.5,5192.74
2022-06-23 12:48:49,26919.7,5192.51
2022-06-23 12:48:48,26919.7,5192.55
2022-06-23 12:48:47,26919.6,5192.59
2022-06-23 12:48:46,26919.9,5192.34
2022-06-23 12:48:45,26919.9,5192.33
2022-06-23 12:48:44,26920.6,5191.66
2022-06-23 12:48:43,26920.8,5191.41
2022-06-23 12:48:42,26920.8,5191.41
2022-06-23 12:48:41,26920.8,5191.44
2022-06-23 12:48:40,26923.1,5189.13
2022-06-23 12:48:39,26923.2,5188.99
2022-06-23 12:48:38,26922.9,5189.31
2022-06-23 12:48:37,26922.6,5189.59
2022-06-23 12:48:36,26922.6,5189.62
2022-06-23 12:48:35,26922.4,5189.84
2022-06-23 12:48:34,26922.4,5189.87
2022-06-23 12:48:33,26922.7,5189.59
2022-06-23 12:48:32,26922.6,5189.64
2022-06-23 12:48:31,26922.6,5189.63
2022-06-23 12:48:30,26922.9,5189.35
2022-06-23 12:48:29,26922.8,5189.41
2022-06-23 12:48:28,26922.4,5189.85
2022-06-23 12:48:27,26922.6,5189.59
2022-06-23 12:48:26,26922.7,5189.57
2022-06-23 12:48:25,26922.6,5189.63
2022-06-23 12:48:24,26923.1,5189.11
2022-06-23 12:48:23,26922.9,5189.39
2022-06-23 12:48:22,26922.9,5189.32
2022-06-23 12:48:21,26923,5189.2
2022-06-23 12:48:20,26923.1,5189.12
2022-06-23 12:48:19,26923.3,5188.89
2022-06-23 12:48:18,26923.1,5189.12
2022-06-23 12:48:17,26923.4,5188.86
2022-06-23 12:48:16,26923.1,5189.14
2022-06-23 12:48:15,26923.1,5189.09
2022-06-23 12:48:14,26923.4,5188.85
2022-06-23 12:48:13,26923.1,5189.12
2022-06-23 12:48:12,26922.9,5189.37
2022-06-23 12:48:11,26923.1,5189.15
2022-06-23 12:48:10,26923.1,5189.15
2022-06-23 12:48:09,26923.4,5188.88
2022-06-23 12:48:08,26922.8,5189.42
2022-06-23 12:48:07,26923.2,5189.01
2022-06-23 12:48:06,26923,5189.19
2022-06-23 12:48:05,26923.1,5189.16
2022-06-23 12:48:04,26923.1,5189.16
2022-06-23 12:48:03,26923.4,5188.82
2022-06-23 12:48:02,26923.4,5188.82
2022-06-23 12:48:01,26923.2,5189.07
2022-06-23 12:48:00,26923.1,5189.11
2022-06-23 12:47:59,26923.3,5188.91
2022-06-23 12:47:58,26923.1,5189.14
2022-06-23 12:47:57,26923.3,5188.89
