time,in,out
2022-06-23 10:36:21,6948.158,-10.434887
2022-06-23 10:36:20,2645.197,-13.565113
2022-06-23 10:36:19,0,0
2022-06-23 10:36:18,0,0
2022-06-23 10:36:17,6.950377,0
2022-06-23 10:36:16,9.049623,-20.78573
2022-06-23 10:36:15,18883.04,-27.21427
2022-06-23 10:36:14,24660.96,0
2022-06-23 10:36:13,0,0
2022-06-23 10:36:12,0,0
2022-06-23 10:36:11,0,0
2022-06-23 10:36:10,1.730663,-2955.973
2022-06-23 10:36:09,2.269337,-3876.027
2022-06-23 10:36:08,0,0
2022-06-23 10:36:07,0,0
2022-06-23 10:36:06,0,0
2022-06-23 10:36:05,0,0
2022-06-23 10:36:04,0,0
2022-06-23 10:36:03,0,-26.16089
2022-06-23 10:36:02,0,-42.5242
2022-06-23 10:36:01,0,-11.314903
2022-06-23 10:36:00,0,-15.584793
2022-06-23 10:35:59,0,-20.41521
2022-06-23 10:35:58,0,-3.466224
2022-06-23 10:35:57,204.4171,-66.89832
2022-06-23 10:35:56,267.5829,-81.63546
2022-06-23 10:35:55,0,0
2022-06-23 10:35:54,0,0
2022-06-23 10:35:53,0,0
2022-06-23 10:35:52,0,0
2022-06-23 10:35:51,0,0
2022-06-23 10:35:50,0,-1.732398
2022-06-23 10:35:49,0,-5.744919
2022-06-23 10:35:48,0,-13.241649
2022-06-23 10:35:47,0,-13.017057
2022-06-23 10:35:46,0,-2.263976
2022-06-23 10:35:45,0,0
2022-06-23 10:35:44,0,0
2022-06-23 10:35:43,0,0
2022-06-23 10:35:42,0,0
2022-06-23 10:35:41,0,0
2022-06-23 10:35:40,0,0
2022-06-23 10:35:39,0,0
2022-06-23 10:35:38,0,0
2022-06-23 10:35:37,0,0
2022-06-23 10:35:36,0,-1.734024
2022-06-23 10:35:35,39661.66,-2.265976
2022-06-23 10:35:34,136702.9,0
2022-06-23 10:35:33,196360.5,0
2022-06-23 10:35:32,196382.9,0
2022-06-23 10:35:31,196029.7,0
2022-06-23 10:35:30,196090.4,0
2022-06-23 10:35:29,196163.7,0
2022-06-23 10:35:28,196092.5,0
2022-06-23 10:35:27,196120.7,0
2022-06-23 10:35:26,196257.6,0
2022-06-23 10:35:25,196205.7,0
2022-06-23 10:35:24,196139.1,0
2022-06-23 10:35:23,196261.4,0
2022-06-23 10:35:22,196304.8,0
2022-06-23 10:35:21,196147.4,-13.864995
2022-06-23 10:35:20,196067.3,-18.13501
2022-06-23 10:35:19,196025.2,0
2022-06-23 10:35:18,196222.5,0
2022-06-23 10:35:17,196254.9,0
2022-06-23 10:35:16,196127.7,-8.661699
2022-06-23 10:35:15,196022.3,-11.338301
2022-06-23 10:35:14,196197.7,0
2022-06-23 10:35:13,196282.3,0
2022-06-23 10:35:12,195941.9,0
2022-06-23 10:35:11,196105.4,0
2022-06-23 10:35:10,190772.6,-5494.466
2022-06-23 10:35:09,189126.2,-7181.534
2022-06-23 10:35:08,196196.7,0
2022-06-23 10:35:07,196215.9,0
2022-06-23 10:35:06,196140.1,0
2022-06-23 10:35:05,196164.6,0
2022-06-23 10:35:04,196375.9,0
2022-06-23 10:35:03,196264.7,0
2022-06-23 10:35:02,195883.7,0
2022-06-23 10:35:01,196197,0
2022-06-23 10:35:00,196159.7,0
2022-06-23 10:34:59,196065.1,0
2022-06-23 10:34:58,195993,0
2022-06-23 10:34:57,196186.7,0
2022-06-23 10:34:56,196125.3,0
2022-06-23 10:34:55,196320.4,0
2022-06-23 10:34:54,196230.3,0
2022-06-23 10:34:53,196036.9,0
2022-06-23 10:34:52,196166.2,0
2022-06-23 10:34:51,196211.9,0
2022-06-23 10:34:50,275143.3,-13.876449
2022-06-23 10:34:49,223316.3,-23.32991
2022-06-23 10:34:48,11963.607,-6.793644
2022-06-23 10:34:47,0,0
2022-06-23 10:34:46,0,0
