time,in,out
2022-06-23 10:36:23,0,0
2022-06-23 10:36:22,3365.945,0
2022-06-23 10:36:21,7936.301,0
2022-06-23 10:36:20,254.738,-21.51958
2022-06-23 10:36:19,387.0165,-70.80049
2022-06-23 10:36:18,0,-47.67993
2022-06-23 10:36:17,0,0
2022-06-23 10:36:16,0,0
2022-06-23 10:36:15,0,0
2022-06-23 10:36:14,0,0
2022-06-23 10:36:13,12114.834,-9.564657
2022-06-23 10:36:12,28417.17,-49.9646
2022-06-23 10:36:11,0,-64.47074
2022-06-23 10:36:10,0,0
2022-06-23 10:36:09,19.28382,0
2022-06-23 10:36:08,44.71618,-2018.149
2022-06-23 10:36:07,0,-4733.851
2022-06-23 10:36:06,0,0
2022-06-23 10:36:05,0,0
2022-06-23 10:36:04,0,0
2022-06-23 10:36:03,27.54815,0
2022-06-23 10:36:02,64.45185,-177.3728
2022-06-23 10:36:01,0,-564.3305
2022-06-23 10:36:00,0,-503.5956
2022-06-23 10:35:59,0,-521.5787
2022-06-23 10:35:58,0,-516.4263
2022-06-23 10:35:57,0,-406.5309
2022-06-23 10:35:56,0,-352.7097
2022-06-23 10:35:55,0,-436.4285
2022-06-23 10:35:54,0,-332.0207
2022-06-23 10:35:53,0,-374.6876
2022-06-23 10:35:52,0,-501.6359
2022-06-23 10:35:51,0,-327.0056
2022-06-23 10:35:50,0,-148.37576
2022-06-23 10:35:49,1.1975253,-231.9058
2022-06-23 10:35:48,2.802475,-351.9053
2022-06-23 10:35:47,0,-409.6643
2022-06-23 10:35:46,0,-312.0954
2022-06-23 10:35:45,0,-225.598
2022-06-23 10:35:44,0,-245.1249
2022-06-23 10:35:43,0,-301.6249
2022-06-23 10:35:42,0,-275.6353
2022-06-23 10:35:41,0,-237.5855
2022-06-23 10:35:40,0,-258.8209
2022-06-23 10:35:39,0,-453.5259
2022-06-23 10:35:38,0,-1003.4703
2022-06-23 10:35:37,0,-1095.4145
2022-06-23 10:35:36,0,-756.5186
2022-06-23 10:35:35,7.180922,-529.6844
2022-06-23 10:35:34,8835.274,-288.7275
2022-06-23 10:35:33,79277.85,0
2022-06-23 10:35:32,196096.2,0
2022-06-23 10:35:31,196107.9,0
2022-06-23 10:35:30,196191.1,0
2022-06-23 10:35:29,196247.9,0
2022-06-23 10:35:28,196091.8,0
2022-06-23 10:35:27,196184.1,-10.761443
2022-06-23 10:35:26,196306.5,-25.23856
2022-06-23 10:35:25,196269,0
2022-06-23 10:35:24,196290.6,0
2022-06-23 10:35:23,196113.3,0
2022-06-23 10:35:22,196068.7,-31.08476
2022-06-23 10:35:21,196080.2,-72.91524
2022-06-23 10:35:20,196135.4,-8.372343
2022-06-23 10:35:19,196189.6,-19.62766
2022-06-23 10:35:18,196236.1,0
2022-06-23 10:35:17,196102,0
2022-06-23 10:35:16,196170.6,0
2022-06-23 10:35:15,196273.2,-5.978149
2022-06-23 10:35:14,196092.4,-14.021851
2022-06-23 10:35:13,196177.7,0
2022-06-23 10:35:12,196216.2,0
2022-06-23 10:35:11,196003.9,0
2022-06-23 10:35:10,196327.1,0
2022-06-23 10:35:09,194522.5,-1680.209
2022-06-23 10:35:08,191980.2,-3939.791
2022-06-23 10:35:07,196188.8,0
2022-06-23 10:35:06,196257.5,0
2022-06-23 10:35:05,196148.8,0
2022-06-23 10:35:04,196264.8,0
2022-06-23 10:35:03,196115.7,0
2022-06-23 10:35:02,196102.1,0
2022-06-23 10:35:01,196142.9,0
2022-06-23 10:35:00,196323.9,0
2022-06-23 10:34:59,196188.9,0
2022-06-23 10:34:58,196102.7,0
2022-06-23 10:34:57,196198.9,-1.196415
2022-06-23 10:34:56,196252.2,-2.803585
2022-06-23 10:34:55,196160.2,0
2022-06-23 10:34:54,196253.3,0
2022-06-23 10:34:53,196112.2,0
2022-06-23 10:34:52,196129.1,0
2022-06-23 10:34:51,196144.4,0
2022-06-23 10:34:50,196290.8,0
2022-06-23 10:34:49,222094.6,-10.765867
2022-06-23 10:34:48,249611.4,-25.23413
2022-06-23 10:34:47,120158.14,0
2022-06-23 10:34:46,0,0
2022-06-23 10:34:45,0,0
2022-06-23 10:34:44,0,-2116.035
2022-06-23 10:34:43,0,-4955.965
2022-06-23 10:34:42,0,0
2022-06-23 10:34:41,0,0
2022-06-23 10:34:40,0,0
2022-06-23 10:34:39,0,0
2022-06-23 10:34:38,0,-59.78853
2022-06-23 10:34:37,7.174275,-240.6513
2022-06-23 10:34:36,28.78439,-341.9923
2022-06-23 10:34:35,56.74075,-381.1069
2022-06-23 10:34:34,74.47509,-412.4914
2022-06-23 10:34:33,23.99937,-338.4257
2022-06-23 10:34:32,20.41282,-307.6247
2022-06-23 10:34:31,17.97563,-285.5895
2022-06-23 10:34:30,60.70005,-296.7683
2022-06-23 10:34:29,89.73762,-243.9317
2022-06-23 10:34:28,0,-53.09902
2022-06-23 10:34:27,0,-110.81371
2022-06-23 10:34:26,32.27554,-82.88913
2022-06-23 10:34:25,75.72446,-52.693
2022-06-23 10:34:24,0,-122.38941
2022-06-23 10:34:23,0,-114.85855
2022-06-23 10:34:22,0,-111.50227
2022-06-23 10:34:21,0,-160.44952
2022-06-23 10:34:20,0,-170.6174
2022-06-23 10:34:19,0,-226.2147
2022-06-23 10:34:18,0,-91.62716
2022-06-23 10:34:17,0,-75.57934
2022-06-23 10:34:16,0,-64.87729
2022-06-23 10:34:15,0,-14.018935
2022-06-23 10:34:14,0,-131.54857
2022-06-23 10:34:13,0,-522.7077
2022-06-23 10:34:12,0,-640.647
2022-06-23 10:34:11,0,-339.4596
2022-06-23 10:34:10,0,-70.74467
2022-06-23 10:34:09,45258.34,-86.89253
2022-06-23 10:34:08,164627.52,0
2022-06-23 10:34:07,196195.4,0
2022-06-23 10:34:06,196428.3,0
2022-06-23 10:34:05,196101.9,0
2022-06-23 10:34:04,196113.3,0
2022-06-23 10:34:03,196189.9,0
2022-06-23 10:34:02,196258.9,-10.764883
2022-06-23 10:34:01,196173.1,-25.23512
2022-06-23 10:34:00,196201.4,0
2022-06-23 10:33:59,195912.8,0
2022-06-23 10:33:58,196234.5,0
2022-06-23 10:33:57,196505.1,-34.68135
2022-06-23 10:33:56,196340.8,-81.31865
2022-06-23 10:33:55,196068.4,-8.371551
2022-06-23 10:33:54,196173.8,-19.62845
2022-06-23 10:33:53,196337,0
2022-06-23 10:33:52,196408.4,-23.91222
2022-06-23 10:33:51,196416.8,-62.06624
2022-06-23 10:33:50,196095.9,-14.021542
2022-06-23 10:33:49,196103.9,0
2022-06-23 10:33:48,196180.6,0
2022-06-23 10:33:47,196275.9,0
2022-06-23 10:33:46,196098.4,0
2022-06-23 10:33:45,192369.9,-3790.684
2022-06-23 10:33:44,187368.3,-8885.316
2022-06-23 10:33:43,196262.5,0
2022-06-23 10:33:42,196115.7,0
2022-06-23 10:33:41,196115.8,0
2022-06-23 10:33:40,196040.1,0
2022-06-23 10:33:39,196198.6,0
2022-06-23 10:33:38,196286.3,0
2022-06-23 10:33:37,196109.7,0
2022-06-23 10:33:36,196201.8,0
2022-06-23 10:33:35,196130.1,0
2022-06-23 10:33:34,196241,0
2022-06-23 10:33:33,196301.4,0
2022-06-23 10:33:32,196350.9,0
2022-06-23 10:33:31,196292.5,0
2022-06-23 10:33:30,196117.7,0
2022-06-23 10:33:29,196364.7,0
2022-06-23 10:33:28,196618.3,0
2022-06-23 10:33:27,196274.3,0
2022-06-23 10:33:26,196223.9,0
2022-06-23 10:33:25,196402.5,-8.375102
2022-06-23 10:33:24,238944.1,-19.6249
2022-06-23 10:33:23,238093.4,0
2022-06-23 10:33:22,0,0
2022-06-23 10:33:21,84.9655,0
2022-06-23 10:33:20,199.0345,0
2022-06-23 10:33:19,0,-3.589495
2022-06-23 10:33:18,0,-8.410505
2022-06-23 10:33:17,0,0
2022-06-23 10:33:16,0,0
2022-06-23 10:33:15,0,0
2022-06-23 10:33:14,0,0
2022-06-23 10:33:13,0,-102.83072
2022-06-23 10:33:12,86.08419,-328.4491
2022-06-23 10:33:11,201.9158,-303.935
2022-06-23 10:33:10,0,-310.4807
2022-06-23 10:33:09,0,-264.8174
2022-06-23 10:33:08,0,-280.7558
2022-06-23 10:33:07,2.390956,-312.3243
2022-06-23 10:33:06,5.609044,-293.0672
2022-06-23 10:33:05,0,-95.3398
2022-06-23 10:33:04,0,-13.152214
2022-06-23 10:33:03,80.11469,-32.04353
2022-06-23 10:33:02,187.8853,-14.758644
2022-06-23 10:33:01,0,-31.63104
2022-06-23 10:33:00,0,-9.610375
2022-06-23 10:32:59,0,-7.58733
2022-06-23 10:32:58,0,-17.19513
2022-06-23 10:32:57,0,-16.412982
2022-06-23 10:32:56,130.30331,-9.195087
2022-06-23 10:32:55,305.6967,-13.196963
2022-06-23 10:32:54,0,-12.412179
2022-06-23 10:32:53,0,-3.999988
2022-06-23 10:32:52,0,-4.000463
2022-06-23 10:32:51,0,-2.804078
2022-06-23 10:32:50,0,-1.1955244
2022-06-23 10:32:49,0,-2.804476
2022-06-23 10:32:48,0,0
2022-06-23 10:32:47,299.9984,0
2022-06-23 10:32:46,704.0016,0
2022-06-23 10:32:45,15383.717,0
2022-06-23 10:32:44,94888.12,0
2022-06-23 10:32:43,196536.5,0
2022-06-23 10:32:42,196197.4,0
2022-06-23 10:32:41,196243,0
2022-06-23 10:32:40,196099.3,0
2022-06-23 10:32:39,196180.3,-10.763818
2022-06-23 10:32:38,196278.6,-25.23618
2022-06-23 10:32:37,196094.6,0
2022-06-23 10:32:36,196106.5,0
2022-06-23 10:32:35,196150.6,0
2022-06-23 10:32:34,196263.2,-31.08378
2022-06-23 10:32:33,196113.1,-72.91622
2022-06-23 10:32:32,196108.6,0
2022-06-23 10:32:31,196076.8,-11.957453
2022-06-23 10:32:30,196171.8,-28.04255
2022-06-23 10:32:29,196286.3,0
2022-06-23 10:32:28,196181.2,0
2022-06-23 10:32:27,196271.7,0
2022-06-23 10:32:26,196082.6,-64.54558
2022-06-23 10:32:25,196105.2,-151.45442
2022-06-23 10:32:24,196096.7,0
2022-06-23 10:32:23,196232.1,0
2022-06-23 10:32:22,196408.2,0
2022-06-23 10:32:21,196075.3,0
2022-06-23 10:32:20,194409.6,-1716.145
2022-06-23 10:32:19,192276.7,-4023.855
2022-06-23 10:32:18,196326.5,0
2022-06-23 10:32:17,195987.5,0
2022-06-23 10:32:16,196268.7,0
2022-06-23 10:32:15,196176.8,0
2022-06-23 10:32:14,196290,0
2022-06-23 10:32:13,196084,0
2022-06-23 10:32:12,196275,0
2022-06-23 10:32:11,196501.3,0
2022-06-23 10:32:10,196105.1,0
2022-06-23 10:32:09,196078.9,0
2022-06-23 10:32:08,196107.7,0
2022-06-23 10:32:07,196142,0
2022-06-23 10:32:06,196139.9,0
2022-06-23 10:32:05,196262.6,0
2022-06-23 10:32:04,196077.4,0
2022-06-23 10:32:03,196122.9,0
2022-06-23 10:32:02,196160.8,0
2022-06-23 10:32:01,196258.3,-5.977804
2022-06-23 10:32:00,244508.8,-24.78775
2022-06-23 10:31:59,267017.2,-25.23445
2022-06-23 10:31:58,37833.29,0
2022-06-23 10:31:57,10.393622,0
2022-06-23 10:31:56,11.212657,0
2022-06-23 10:31:55,585.2938,-2107.776
2022-06-23 10:31:54,1370.7062,-4936.224
2022-06-23 10:31:53,0,0
2022-06-23 10:31:52,0,0
2022-06-23 10:31:51,0,0
2022-06-23 10:31:50,0,0
2022-06-23 10:31:49,0,0
2022-06-23 10:31:48,0,0
2022-06-23 10:31:47,0,0
2022-06-23 10:31:46,0,0
2022-06-23 10:31:45,0,0
2022-06-23 10:31:44,0,0
2022-06-23 10:31:43,0,0
2022-06-23 10:31:42,0,0
2022-06-23 10:31:41,0,0
2022-06-23 10:31:40,0,0
2022-06-23 10:31:39,0,0
2022-06-23 10:31:38,0,0
2022-06-23 10:31:37,2.390642,-15.539173
2022-06-23 10:31:36,5.609358,-36.46083
2022-06-23 10:31:35,0,0
2022-06-23 10:31:34,0,0
2022-06-23 10:31:33,0,0
2022-06-23 10:31:32,0,0
2022-06-23 10:31:31,0,0
2022-06-23 10:31:30,0,0
2022-06-23 10:31:29,0,0
2022-06-23 10:31:28,68.15454,0
2022-06-23 10:31:27,159.84546,0
2022-06-23 10:31:26,209.3078,0
2022-06-23 10:31:25,490.6922,-1.1965449
2022-06-23 10:31:24,0,-2.803455
2022-06-23 10:31:23,0,0
