time,received,sent
2022-06-23 19:42:28,22526.38,-90.46202
2022-06-23 19:42:27,536565.3,-1771.769
2022-06-23 19:42:26,118.49775,-156.77019
2022-06-23 19:42:25,2.947997,-3.132246
2022-06-23 19:42:24,0,0
2022-06-23 19:42:23,0,0
2022-06-23 19:42:22,0,0
2022-06-23 19:42:21,0,0
2022-06-23 19:42:20,0.1044163,-0.1283188
2022-06-23 19:42:19,2.807236,-3.407311
2022-06-23 19:42:18,6.012376,-6.388149
2022-06-23 19:42:17,2.947972,-3.132221
2022-06-23 19:42:16,0,0
2022-06-23 19:42:15,0,0
2022-06-23 19:42:14,0,0
2022-06-23 19:42:13,0,0
2022-06-23 19:42:12,0,0
2022-06-23 19:42:11,0,0
2022-06-23 19:42:10,0,0
2022-06-23 19:42:09,0,0
2022-06-23 19:42:08,0,0
2022-06-23 19:42:07,0,0
2022-06-23 19:42:06,0,0
2022-06-23 19:42:05,0,0
2022-06-23 19:42:04,0,0
2022-06-23 19:42:03,0,0
2022-06-23 19:42:02,0,0
2022-06-23 19:42:01,0,0
2022-06-23 19:42:00,0,0
2022-06-23 19:41:59,0,0
2022-06-23 19:41:58,0,0
2022-06-23 19:41:57,0,0
2022-06-23 19:41:56,0,0
2022-06-23 19:41:55,0,0
2022-06-23 19:41:54,0,0
2022-06-23 19:41:53,0,0
2022-06-23 19:41:52,0,0
2022-06-23 19:41:51,0,0
2022-06-23 19:41:50,0,0
2022-06-23 19:41:49,0,0
2022-06-23 19:41:48,0,0
2022-06-23 19:41:47,0,0
2022-06-23 19:41:46,0,0
2022-06-23 19:41:45,0,0
2022-06-23 19:41:44,0,0
2022-06-23 19:41:43,0,0
2022-06-23 19:41:42,0.0269315,-0.0462669
2022-06-23 19:41:41,0.5970685,-1.0257331
2022-06-23 19:41:40,0,0
2022-06-23 19:41:39,0,0
2022-06-23 19:41:38,0,0
2022-06-23 19:41:37,0,0
2022-06-23 19:41:36,0,0
2022-06-23 19:41:35,0,0
2022-06-23 19:41:34,0,0
2022-06-23 19:41:33,0,0
2022-06-23 19:41:32,0,0
2022-06-23 19:41:31,0,0
2022-06-23 19:41:30,0,0
2022-06-23 19:41:29,0,0
2022-06-23 19:41:28,0,0
2022-06-23 19:41:27,0,0
2022-06-23 19:41:26,0.1077022,-0.1121898
2022-06-23 19:41:25,2.388298,-2.48781
2022-06-23 19:41:24,0,0
2022-06-23 19:41:23,0.1085503,-0.114117
2022-06-23 19:41:22,2.38745,-2.509883
2022-06-23 19:41:21,0,0
2022-06-23 19:41:20,0,0
2022-06-23 19:41:19,0,0
2022-06-23 19:41:18,0,0
2022-06-23 19:41:17,0,0
2022-06-23 19:41:16,0,0
2022-06-23 19:41:15,0,0
2022-06-23 19:41:14,0,0
2022-06-23 19:41:13,0,0
2022-06-23 19:41:12,0,0
2022-06-23 19:41:11,0,0
2022-06-23 19:41:10,0,0
2022-06-23 19:41:09,0,0
2022-06-23 19:41:08,0,0
2022-06-23 19:41:07,0,0
2022-06-23 19:41:06,0,0
2022-06-23 19:41:05,0,0
2022-06-23 19:41:04,0,0
2022-06-23 19:41:03,0,0
2022-06-23 19:41:02,0,0
2022-06-23 19:41:01,0,0
2022-06-23 19:41:00,0,0
2022-06-23 19:40:59,0,0
2022-06-23 19:40:58,0,0
2022-06-23 19:40:57,0.0268356,-0.0461023
2022-06-23 19:40:56,0.5971644,-1.0258977
2022-06-23 19:40:55,0,0
2022-06-23 19:40:54,0,0
2022-06-23 19:40:53,0,0
2022-06-23 19:40:52,0,0
2022-06-23 19:40:51,0,0
2022-06-23 19:40:50,0,0
2022-06-23 19:40:49,0,0
2022-06-23 19:40:48,0,0
2022-06-23 19:40:47,0,0
2022-06-23 19:40:46,0,0
2022-06-23 19:40:45,0.1100224,-0.1156645
2022-06-23 19:40:44,2.385978,-2.508335
2022-06-23 19:40:43,0,0
2022-06-23 19:40:42,0,0
2022-06-23 19:40:41,0,0
2022-06-23 19:40:40,0,0
2022-06-23 19:40:39,0,0
2022-06-23 19:40:38,0,0
2022-06-23 19:40:37,0,0
2022-06-23 19:40:36,0,0
2022-06-23 19:40:35,0,0
2022-06-23 19:40:34,0,0
2022-06-23 19:40:33,0,0
2022-06-23 19:40:32,0,0
2022-06-23 19:40:31,0,0
2022-06-23 19:40:30,0,0
2022-06-23 19:40:29,0,0
2022-06-23 19:40:28,0,0
2022-06-23 19:40:27,0,0
2022-06-23 19:40:26,0,0
2022-06-23 19:40:25,0,0
2022-06-23 19:40:24,0,0
2022-06-23 19:40:23,0,0
2022-06-23 19:40:22,0,0
2022-06-23 19:40:21,0,0
2022-06-23 19:40:20,0,0
2022-06-23 19:40:19,0,0
2022-06-23 19:40:18,0,0
2022-06-23 19:40:17,0,0
2022-06-23 19:40:16,0,0
2022-06-23 19:40:15,0,0
2022-06-23 19:40:14,0,0
2022-06-23 19:40:13,0,0
2022-06-23 19:40:12,0.0277738,-0.0477139
2022-06-23 19:40:11,0.5962262,-1.0242861
2022-06-23 19:40:10,0,0
2022-06-23 19:40:09,0,0
2022-06-23 19:40:08,0,0
2022-06-23 19:40:07,0,0
2022-06-23 19:40:06,0,0
2022-06-23 19:40:05,0,0
2022-06-23 19:40:04,0,0
2022-06-23 19:40:03,0,0
2022-06-23 19:40:02,0,0
2022-06-23 19:40:01,0,0
2022-06-23 19:40:00,0,0
2022-06-23 19:39:59,0,0
2022-06-23 19:39:58,0,0
2022-06-23 19:39:57,0,0
2022-06-23 19:39:56,0,0
2022-06-23 19:39:55,0,0
2022-06-23 19:39:54,0,0
2022-06-23 19:39:53,0,0
2022-06-23 19:39:52,0,0
2022-06-23 19:39:51,0,0
2022-06-23 19:39:50,0,0
2022-06-23 19:39:49,0,0
2022-06-23 19:39:48,0,0
2022-06-23 19:39:47,0,0
2022-06-23 19:39:46,0,0
2022-06-23 19:39:45,0,0
2022-06-23 19:39:44,0,0
2022-06-23 19:39:43,0,0
2022-06-23 19:39:42,0,0
2022-06-23 19:39:41,0,0
2022-06-23 19:39:40,0,0
2022-06-23 19:39:39,0,0
2022-06-23 19:39:38,0,0
2022-06-23 19:39:37,0,0
2022-06-23 19:39:36,0,0
2022-06-23 19:39:35,0,0
2022-06-23 19:39:34,0,0
2022-06-23 19:39:33,0,0
2022-06-23 19:39:32,0,0
2022-06-23 19:39:31,0,0
2022-06-23 19:39:30,0,0
2022-06-23 19:39:29,0,0
2022-06-23 19:39:28,0,0
2022-06-23 19:39:27,0.0277201,-0.0476217
2022-06-23 19:39:26,0.5962799,-1.0243783
2022-06-23 19:39:25,0,0
2022-06-23 19:39:24,0,0
2022-06-23 19:39:23,0,0
2022-06-23 19:39:22,0,0
2022-06-23 19:39:21,0,0
2022-06-23 19:39:20,0,0
2022-06-23 19:39:19,0,0
2022-06-23 19:39:18,0,0
2022-06-23 19:39:17,0,0
2022-06-23 19:39:16,0,0
2022-06-23 19:39:15,0,0
2022-06-23 19:39:14,0,0
2022-06-23 19:39:13,0,0
2022-06-23 19:39:12,0,0
2022-06-23 19:39:11,0,0
2022-06-23 19:39:10,0,0
2022-06-23 19:39:09,0,0
2022-06-23 19:39:08,0,0
2022-06-23 19:39:07,0,0
2022-06-23 19:39:06,0,0
2022-06-23 19:39:05,0,0
2022-06-23 19:39:04,0.1116026,-0.1173259
2022-06-23 19:39:03,2.384397,-2.506674
2022-06-23 19:39:02,0,0
2022-06-23 19:39:01,0,0
2022-06-23 19:39:00,0,0
2022-06-23 19:38:59,0,0
2022-06-23 19:38:58,0,0
2022-06-23 19:38:57,0,0
2022-06-23 19:38:56,0.1123361,-0.1170168
2022-06-23 19:38:55,2.383664,-2.482983
2022-06-23 19:38:54,0,0
2022-06-23 19:38:53,0,0
2022-06-23 19:38:52,0,0
2022-06-23 19:38:51,0,0
2022-06-23 19:38:50,0,0
2022-06-23 19:38:49,0,0
2022-06-23 19:38:48,0,0
2022-06-23 19:38:47,0,0
2022-06-23 19:38:46,0,0
2022-06-23 19:38:45,0,0
2022-06-23 19:38:44,0,0
2022-06-23 19:38:43,0,0
2022-06-23 19:38:42,0.0261087,-0.0448535
2022-06-23 19:38:41,0.5978913,-1.0271465
2022-06-23 19:38:40,0,0
2022-06-23 19:38:39,0,0
2022-06-23 19:38:38,0,0
2022-06-23 19:38:37,0,0
2022-06-23 19:38:36,0,0
2022-06-23 19:38:35,0,0
2022-06-23 19:38:34,0,0
2022-06-23 19:38:33,0,0
2022-06-23 19:38:32,0,0
2022-06-23 19:38:31,0,0
2022-06-23 19:38:30,0,0
2022-06-23 19:38:29,0,0
2022-06-23 19:38:28,0.105783,-0.1112078
2022-06-23 19:38:27,2.390217,-2.512792
2022-06-23 19:38:26,0,0
2022-06-23 19:38:25,0,0
2022-06-23 19:38:24,0,0
2022-06-23 19:38:23,0,0
2022-06-23 19:38:22,0,0
2022-06-23 19:38:21,0,0
2022-06-23 19:38:20,0,0
2022-06-23 19:38:19,0,0
2022-06-23 19:38:18,0,0
2022-06-23 19:38:17,0,0
2022-06-23 19:38:16,0,0
2022-06-23 19:38:15,0,0
2022-06-23 19:38:14,0,0
2022-06-23 19:38:13,0,0
2022-06-23 19:38:12,0,0
2022-06-23 19:38:11,0,0
2022-06-23 19:38:10,0,0
2022-06-23 19:38:09,0,0
2022-06-23 19:38:08,0,0
2022-06-23 19:38:07,0,0
2022-06-23 19:38:06,0,0
2022-06-23 19:38:05,0,0
2022-06-23 19:38:04,0,0
2022-06-23 19:38:03,0,0
2022-06-23 19:38:02,0,0
2022-06-23 19:38:01,0,0
2022-06-23 19:38:00,0,0
2022-06-23 19:37:59,0,0
2022-06-23 19:37:58,0,0
2022-06-23 19:37:57,0.0258217,-0.0443603
2022-06-23 19:37:56,0.5981783,-1.0276397
2022-06-23 19:37:55,0,0
2022-06-23 19:37:54,0,0
2022-06-23 19:37:53,0,0
2022-06-23 19:37:52,0,0
2022-06-23 19:37:51,0,0
2022-06-23 19:37:50,0,0
2022-06-23 19:37:49,0,0
2022-06-23 19:37:48,0,0
2022-06-23 19:37:47,0,0
2022-06-23 19:37:46,0,0
2022-06-23 19:37:45,0,0
2022-06-23 19:37:44,0,0
2022-06-23 19:37:43,0,0
2022-06-23 19:37:42,0,0
2022-06-23 19:37:41,0,0
2022-06-23 19:37:40,0,0
2022-06-23 19:37:39,0,0
2022-06-23 19:37:38,0,0
2022-06-23 19:37:37,0,0
2022-06-23 19:37:36,0,0
2022-06-23 19:37:35,0,0
2022-06-23 19:37:34,0,0
2022-06-23 19:37:33,0,0
2022-06-23 19:37:32,0,0
2022-06-23 19:37:31,0,0
2022-06-23 19:37:30,0,0
2022-06-23 19:37:29,0,0
2022-06-23 19:37:28,0,0
2022-06-23 19:37:27,0,0
2022-06-23 19:37:26,0,0
2022-06-23 19:37:25,0,0
2022-06-23 19:37:24,0,0
2022-06-23 19:37:23,0,0
2022-06-23 19:37:22,0,0
2022-06-23 19:37:21,0,0
2022-06-23 19:37:20,0,0
2022-06-23 19:37:19,0,0
2022-06-23 19:37:18,0,0
2022-06-23 19:37:17,0,0
2022-06-23 19:37:16,0,0
2022-06-23 19:37:15,0,0
2022-06-23 19:37:14,0,0
2022-06-23 19:37:13,0.0269121,-0.0179414
2022-06-23 19:37:12,0.5970879,-0.426523
2022-06-23 19:37:11,0,-0.6275355
2022-06-23 19:37:10,0,0
2022-06-23 19:37:09,0,0
2022-06-23 19:37:08,0,0
2022-06-23 19:37:07,0,0
2022-06-23 19:37:06,0,0
2022-06-23 19:37:05,0,0
2022-06-23 19:37:04,0,0
2022-06-23 19:37:03,0,0
2022-06-23 19:37:02,0,0
2022-06-23 19:37:01,0,0
2022-06-23 19:37:00,0,0
2022-06-23 19:36:59,0,0
2022-06-23 19:36:58,0,0
2022-06-23 19:36:57,0,0
2022-06-23 19:36:56,0,0
2022-06-23 19:36:55,0,0
2022-06-23 19:36:54,0,0
2022-06-23 19:36:53,0,0
2022-06-23 19:36:52,0,0
2022-06-23 19:36:51,0,0
2022-06-23 19:36:50,0,0
2022-06-23 19:36:49,0,0
2022-06-23 19:36:48,0,0
2022-06-23 19:36:47,0,0
2022-06-23 19:36:46,0,0
2022-06-23 19:36:45,0,0
2022-06-23 19:36:44,0,0
2022-06-23 19:36:43,0,0
2022-06-23 19:36:42,0,0
2022-06-23 19:36:41,2.308208,-3.301419
2022-06-23 19:36:40,59.89746,-83.46439
2022-06-23 19:36:39,201.8116,-239.9921
2022-06-23 19:36:38,49.25334,-55.30278
2022-06-23 19:36:37,65.37955,-80.39499
