time,free,used
2022-06-23 19:48:34,31595.9,516.379
2022-06-23 19:48:33,31595.3,516.91
2022-06-23 19:48:32,31569,543.281
2022-06-23 19:48:31,31597.9,514.355
2022-06-23 19:48:30,31596.7,515.535
2022-06-23 19:48:29,31596.7,515.535
2022-06-23 19:48:28,31596.5,515.773
2022-06-23 19:48:27,31596.5,515.75
2022-06-23 19:48:26,31596.5,515.758
2022-06-23 19:48:25,31596.5,515.758
2022-06-23 19:48:24,31596,516.227
2022-06-23 19:48:23,31594.9,517.375
2022-06-23 19:48:22,31594.3,517.895
2022-06-23 19:48:21,31592.9,519.289
2022-06-23 19:48:20,31592.7,519.543
2022-06-23 19:48:19,31593.2,519.051
2022-06-23 19:48:18,31592.9,519.297
2022-06-23 19:48:17,31592.9,519.289
2022-06-23 19:48:16,31593,519.281
2022-06-23 19:48:15,31592.9,519.297
2022-06-23 19:48:14,31592.7,519.543
2022-06-23 19:48:13,31593.2,519.035
2022-06-23 19:48:12,31592.9,519.289
2022-06-23 19:48:11,31592.7,519.551
2022-06-23 19:48:10,31592.7,519.543
2022-06-23 19:48:09,31593,519.27
2022-06-23 19:48:08,31593,519.27
2022-06-23 19:48:07,31593.2,519.008
2022-06-23 19:48:06,31593.2,519.008
2022-06-23 19:48:05,31593.5,518.754
2022-06-23 19:48:04,31593.5,518.754
2022-06-23 19:48:03,31593.2,519.023
2022-06-23 19:48:02,31592.5,519.695
2022-06-23 19:48:01,31593,519.195
2022-06-23 19:48:00,31593,519.195
2022-06-23 19:47:59,31592.8,519.445
2022-06-23 19:47:58,31593.3,518.938
2022-06-23 19:47:57,31593.1,519.168
2022-06-23 19:47:56,31592.8,519.422
2022-06-23 19:47:55,31592.8,519.438
2022-06-23 19:47:54,31593.3,518.93
2022-06-23 19:47:53,31593.1,519.184
2022-06-23 19:47:52,31593.3,518.922
2022-06-23 19:47:51,31593.3,518.906
2022-06-23 19:47:50,31593.3,518.914
2022-06-23 19:47:49,31593,519.199
2022-06-23 19:47:48,31593.1,519.168
2022-06-23 19:47:47,31593.1,519.145
2022-06-23 19:47:46,31593.1,519.152
2022-06-23 19:47:45,31593.3,518.922
2022-06-23 19:47:44,31593.3,518.891
2022-06-23 19:47:43,31593.1,519.168
2022-06-23 19:47:42,31593.1,519.129
2022-06-23 19:47:41,31593.1,519.129
2022-06-23 19:47:40,31593.1,519.129
2022-06-23 19:47:39,31592.8,519.398
2022-06-23 19:47:38,31593.4,518.859
2022-06-23 19:47:37,31593.1,519.09
2022-06-23 19:47:36,31593.1,519.098
2022-06-23 19:47:35,31593.1,519.137
2022-06-23 19:47:34,31593.1,519.09
2022-06-23 19:47:33,31592.9,519.387
2022-06-23 19:47:32,31593.1,519.094
2022-06-23 19:47:31,31593.1,519.121
2022-06-23 19:47:30,31593.1,519.09
2022-06-23 19:47:29,31593.1,519.121
2022-06-23 19:47:28,31593.2,519.059
2022-06-23 19:47:27,31593.4,518.836
2022-06-23 19:47:26,31593.4,518.836
2022-06-23 19:47:25,31593.1,519.129
2022-06-23 19:47:24,31592.9,519.344
2022-06-23 19:47:23,31593.1,519.129
2022-06-23 19:47:22,31592.9,519.375
2022-06-23 19:47:21,31593.1,519.129
2022-06-23 19:47:20,31593.1,519.09
2022-06-23 19:47:19,31592.9,519.375
2022-06-23 19:47:18,31592.9,519.305
2022-06-23 19:47:17,31592.7,519.57
2022-06-23 19:47:16,31592.7,519.516
2022-06-23 19:47:15,31592.2,519.992
2022-06-23 19:47:14,31592.5,519.754
2022-06-23 19:47:13,31592.5,519.754
2022-06-23 19:47:12,31592.2,520.039
2022-06-23 19:47:11,31592.2,520.039
2022-06-23 19:47:10,31592.5,519.754
2022-06-23 19:47:09,31592.2,520.023
2022-06-23 19:47:08,31592,520.23
2022-06-23 19:47:07,31592.2,520.023
2022-06-23 19:47:06,31592,520.23
2022-06-23 19:47:05,31592,520.238
2022-06-23 19:47:04,31592.3,519.977
2022-06-23 19:47:03,31591.9,520.301
2022-06-23 19:47:02,31592,520.215
2022-06-23 19:47:01,31592.2,520.016
2022-06-23 19:47:00,31592.3,519.969
2022-06-23 19:46:59,31592,520.262
2022-06-23 19:46:58,31592,520.254
2022-06-23 19:46:57,31592,520.238
2022-06-23 19:46:56,31592.3,519.93
2022-06-23 19:46:55,31592.2,519.984
2022-06-23 19:46:54,31592.2,519.992
2022-06-23 19:46:53,31592.5,519.738
2022-06-23 19:46:52,31592.8,519.426
2022-06-23 19:46:51,31592.7,519.512
2022-06-23 19:46:50,31593,519.258
2022-06-23 19:46:49,31593,519.25
2022-06-23 19:46:48,31593.1,519.187
2022-06-23 19:46:47,31593.5,518.719
2022-06-23 19:46:46,31593.5,518.719
2022-06-23 19:46:45,31593.5,518.719
2022-06-23 19:46:44,31593.6,518.664
2022-06-23 19:46:43,31593.6,518.688
2022-06-23 19:46:42,31594.1,518.141
2022-06-23 19:46:41,31593.8,518.395
2022-06-23 19:46:40,31594.3,517.965
2022-06-23 19:46:39,31594,518.258
2022-06-23 19:46:38,31594.3,517.965
2022-06-23 19:46:37,31594.3,517.926
2022-06-23 19:46:36,31594.3,517.926
2022-06-23 19:46:35,31594.3,517.934
2022-06-23 19:46:34,31594.8,517.418
2022-06-23 19:46:33,31594.3,517.941
2022-06-23 19:46:32,31594.6,517.656
2022-06-23 19:46:31,31594.6,517.68
2022-06-23 19:46:30,31594.8,517.41
2022-06-23 19:46:29,31594.8,517.441
2022-06-23 19:46:28,31595,517.203
2022-06-23 19:46:27,31595.1,517.086
2022-06-23 19:46:26,31595.1,517.086
2022-06-23 19:46:25,31594.9,517.352
2022-06-23 19:46:24,31594.6,517.586
2022-06-23 19:46:23,31594.6,517.625
2022-06-23 19:46:22,31595.1,517.094
2022-06-23 19:46:21,31595.1,517.102
2022-06-23 19:46:20,31595.1,517.102
2022-06-23 19:46:19,31595.1,517.094
2022-06-23 19:46:18,31595.1,517.148
2022-06-23 19:46:17,31595.2,517.055
2022-06-23 19:46:16,31594.9,517.34
2022-06-23 19:46:15,31594.9,517.34
2022-06-23 19:46:14,31594.8,517.402
2022-06-23 19:46:13,31595.1,517.094
2022-06-23 19:46:12,31594.6,517.586
2022-06-23 19:46:11,31594.6,517.586
2022-06-23 19:46:10,31594.3,517.898
2022-06-23 19:46:09,31594.4,517.844
2022-06-23 19:46:08,31595.4,516.871
2022-06-23 19:46:07,31595.6,516.617
2022-06-23 19:46:06,31595.3,516.926
2022-06-23 19:46:05,31595.1,517.117
2022-06-23 19:46:04,31594.8,517.426
2022-06-23 19:46:03,31595.3,516.887
2022-06-23 19:46:02,31595.6,516.598
2022-06-23 19:46:01,31595.6,516.605
2022-06-23 19:46:00,31595.4,516.859
2022-06-23 19:45:59,31595.9,516.328
2022-06-23 19:45:58,31595.6,516.59
2022-06-23 19:45:57,31595.4,516.828
2022-06-23 19:45:56,31595.4,516.836
2022-06-23 19:45:55,31595.7,516.574
2022-06-23 19:45:54,31595.4,516.852
2022-06-23 19:45:53,31595.4,516.828
2022-06-23 19:45:52,31595.7,516.574
2022-06-23 19:45:51,31595.7,516.566
2022-06-23 19:45:50,31595.4,516.836
