time,in,out
2022-07-11 21:00:28,32824.37,-97.14882
2022-07-11 21:00:27,1314.6933,-1214.3487
2022-07-11 21:00:26,4395.784,-4082.621
2022-07-11 21:00:25,4928.146,-4583.894
2022-07-11 21:00:24,4644.184,-4440.77
2022-07-11 21:00:23,4092.939,-3981.613
2022-07-11 21:00:22,174.8687,-52.06284
2022-07-11 21:00:21,245.6979,-79.97778
2022-07-11 21:00:20,184.2879,-51.93958
2022-07-11 21:00:19,202.9434,-57.24927
2022-07-11 21:00:18,93.42035,-16.076021
2022-07-11 21:00:17,93.77384,-16.171482
2022-07-11 21:00:16,113.2146,-22.55963
2022-07-11 21:00:15,123.7583,-27.2756
2022-07-11 21:00:14,110.98079,-23.0078
2022-07-11 21:00:13,142.45291,-31.4314
2022-07-11 21:00:12,100.75015,-19.86082
2022-07-11 21:00:11,59.67347,-14.666448
2022-07-11 21:00:10,97.70417,-15.631522
2022-07-11 21:00:09,96.32003,-15.643384
2022-07-11 21:00:08,95.53134,-15.114708
2022-07-11 21:00:07,97.84409,-15.962474
2022-07-11 21:00:06,96.18911,-15.9404
2022-07-11 21:00:05,109.59489,-21.61934
2022-07-11 21:00:04,127.35975,-26.78149
2022-07-11 21:00:03,120.63439,-23.50976
2022-07-11 21:00:02,136.23907,-28.5529
2022-07-11 21:00:01,100.14401,-16.750747
2022-07-11 21:00:00,116.24941,-22.13358
2022-07-11 20:59:59,134.14326,-29.15435
2022-07-11 20:59:58,122.64702,-26.23846
2022-07-11 20:59:57,130.5052,-26.49416
2022-07-11 20:59:56,75.83422,-10.33561
2022-07-11 20:59:55,67.60379,-15.211027
2022-07-11 20:59:54,125.25532,-27.63006
2022-07-11 20:59:53,141.24674,-33.40222
2022-07-11 20:59:52,109.60359,-20.50422
2022-07-11 20:59:51,109.55294,-20.82998
2022-07-11 20:59:50,118.29876,-27.39907
2022-07-11 20:59:49,116.6867,-24.24312
2022-07-11 20:59:48,104.40477,-17.76377
2022-07-11 20:59:47,105.29776,-18.76908
2022-07-11 20:59:46,107.49563,-18.94875
2022-07-11 20:59:45,110.46232,-21.12794
2022-07-11 20:59:44,100.39489,-15.433317
2022-07-11 20:59:43,120.53212,-22.85835
2022-07-11 20:59:42,134.15486,-27.43811
