time,free,used,cached,buffers
2022-04-26 17:15:48,26227.05,5025.645,856.7383,2.792969
2022-04-26 17:15:47,26228.17,5024.547,856.7188,2.792969
2022-04-26 17:15:46,26236.17,5022.836,850.5742,2.648438
2022-04-26 17:15:45,25789.07,5469.93,850.5781,2.648438
2022-04-26 17:15:44,25827.36,5434.086,848.1445,2.640625
2022-04-26 17:15:43,25827.42,5434.023,848.1445,2.640625
2022-04-26 17:15:42,25827.41,5434.031,848.1445,2.640625
2022-04-26 17:15:41,25827.36,5434.094,848.1367,2.640625
2022-04-26 17:15:40,25827.59,5433.879,848.1367,2.625
2022-04-26 17:15:39,25827.39,5434.078,848.1367,2.625
2022-04-26 17:15:38,25827.3,5434.172,848.1289,2.625
2022-04-26 17:15:37,25827.4,5434.078,848.1289,2.625
2022-04-26 17:15:36,25827.45,5434.035,848.125,2.625
2022-04-26 17:15:35,25827.31,5434.176,848.1172,2.625
2022-04-26 17:15:34,25827.38,5434.105,848.125,2.617188
2022-04-26 17:15:33,25827.13,5434.359,848.125,2.617188
2022-04-26 17:15:32,25827.32,5434.18,848.1211,2.609375
2022-04-26 17:15:31,25827.34,5434.156,848.1211,2.609375
2022-04-26 17:15:30,25827.32,5434.18,848.1211,2.609375
2022-04-26 17:15:29,25827.38,5434.137,848.1094,2.609375
2022-04-26 17:15:28,25827.53,5433.984,848.1172,2.601562
2022-04-26 17:15:27,25827.33,5434.184,848.1172,2.601562
2022-04-26 17:15:26,25827.53,5433.984,848.1172,2.601562
2022-04-26 17:15:25,25827.84,5433.656,848.1289,2.601562
2022-04-26 17:15:24,25828.04,5433.457,848.1367,2.59375
2022-04-26 17:15:23,25828.34,5433.172,848.1367,2.585938
2022-04-26 17:15:22,25828.04,5433.465,848.1367,2.585938
2022-04-26 17:15:21,25828.21,5433.297,848.1367,2.585938
2022-04-26 17:15:20,25828.54,5432.973,848.1367,2.585938
2022-04-26 17:15:19,25828.27,5433.242,848.1289,2.585938
2022-04-26 17:15:18,25828.57,5432.961,848.125,2.578125
2022-04-26 17:15:17,25828.27,5433.258,848.1289,2.570312
2022-04-26 17:15:16,25828.23,5433.309,848.125,2.570312
2022-04-26 17:15:15,25828.55,5432.992,848.1172,2.570312
2022-04-26 17:15:14,25828.57,5432.984,848.1094,2.570312
2022-04-26 17:15:13,25828.8,5432.754,848.1094,2.570312
2022-04-26 17:15:12,25828.78,5432.77,848.1094,2.570312
2022-04-26 17:15:11,25829.01,5432.539,848.1094,2.570312
2022-04-26 17:15:10,25829.27,5432.277,848.1094,2.570312
2022-04-26 17:15:09,25829.26,5432.293,848.1094,2.570312
2022-04-26 17:15:08,25829.25,5432.301,848.1094,2.570312
2022-04-26 17:15:07,25829.91,5431.645,848.1094,2.570312
2022-04-26 17:15:06,25829.59,5431.969,848.1016,2.570312
2022-04-26 17:15:05,25829.53,5432.031,848.1094,2.5625
2022-04-26 17:15:04,25829.84,5431.738,848.1016,2.546875
2022-04-26 17:15:03,25830.05,5431.531,848.1016,2.546875
2022-04-26 17:15:02,25830.06,5431.523,848.1016,2.546875
2022-04-26 17:15:01,25830.23,5431.355,848.1016,2.546875
2022-04-26 17:15:00,25830.76,5431.199,847.7344,2.539062
2022-04-26 17:14:59,25833.92,5430.004,846.0742,2.234375
2022-04-26 17:14:58,25834.95,5428.98,846.0664,2.234375
2022-04-26 17:14:57,25835.18,5428.758,846.0586,2.234375
2022-04-26 17:14:56,25835.2,5428.742,846.0664,2.226562
2022-04-26 17:14:55,25835.43,5428.516,846.0625,2.226562
2022-04-26 17:14:54,25838.67,5428.422,843.3984,1.738281
2022-04-26 17:14:53,25838.66,5428.441,843.3945,1.738281
2022-04-26 17:14:52,25861.31,5408.836,840.4727,1.609375
2022-04-26 17:14:51,25874.13,5399.477,837.0195,1.6015625
2022-04-26 17:14:50,25899.94,5377.902,832.793,1.59375
2022-04-26 17:14:49,25936.9,5346.941,826.793,1.59375
2022-04-26 17:14:48,25948.92,5337.141,824.7188,1.4492188
2022-04-26 17:14:47,25963.04,5323.047,824.6992,1.4492188
2022-04-26 17:14:46,25963.54,5322.957,824.2812,1.4492188
2022-04-26 17:14:45,25987.66,5308.586,814.8477,1.1367188
2022-04-26 17:14:44,26056.62,5242.77,811.707,1.1367188
2022-04-26 17:14:43,26147.59,5163.066,800.4375,1.1367188
2022-04-26 17:14:42,26199.37,5143.086,768.6484,1.125
2022-04-26 17:14:41,26286.49,5077.449,747.1719,1.1171875
2022-04-26 17:14:40,26213.54,5024.176,870.9688,3.542969
