time,free,used
2022-04-26 17:16:10,71144,8901.94
2022-04-26 17:16:11,71173.3,8872.59
2022-04-26 17:16:12,71174,8871.9
2022-04-26 17:16:13,71188.3,8857.63
2022-04-26 17:16:14,71196,8849.85
2022-04-26 17:16:15,71206.3,8839.63
2022-04-26 17:16:16,71207.1,8838.77
2022-04-26 17:16:17,71207.6,8838.3
2022-04-26 17:16:18,71208.2,8837.84
2022-04-26 17:16:19,71208.4,8837.48
2022-04-26 17:16:20,71208.9,8836.98
2022-04-26 17:16:21,71209.6,8836.38
2022-04-26 17:16:22,71209.4,8836.45
2022-04-26 17:16:23,71211.3,8834.63
2022-04-26 17:16:24,71210.7,8835.26
2022-04-26 17:16:25,71208.2,8837.79
2022-04-26 17:16:26,71130.3,8915.6
2022-04-26 17:16:27,71062.1,8983.85
2022-04-26 17:16:28,70947.1,9098.95
2022-04-26 17:16:29,70894.9,9151.11
2022-04-26 17:16:30,70882.1,9163.96
2022-04-26 17:16:31,70895.8,9150.16
2022-04-26 17:16:32,70770,9275.99
2022-04-26 17:16:33,70159,9886.91
2022-04-26 17:16:34,69267.1,10778.8
2022-04-26 17:16:35,68596.8,11449.1
2022-04-26 17:16:36,67825.7,12220.2
2022-04-26 17:16:37,67336.3,12709.6
2022-04-26 17:16:38,66469.2,13576.7
2022-04-26 17:16:39,65992.9,14052.9
2022-04-26 17:16:40,65372.5,14673.4
2022-04-26 17:16:41,65317.4,14728.7
2022-04-26 17:16:42,65228.1,14817.9
2022-04-26 17:16:43,65125.1,14920.8
2022-04-26 17:16:44,65111.2,14934.7
2022-04-26 17:16:45,65078.6,14967.2
2022-04-26 17:16:46,65052.3,14993.6
2022-04-26 17:16:47,65048.6,14997.4
2022-04-26 17:16:48,65679.2,14366.8
2022-04-26 17:16:49,65650.8,14395.1
2022-04-26 17:16:50,66547,13498.9
2022-04-26 17:16:51,66102.8,13943.2
2022-04-26 17:16:52,65495.9,14550
2022-04-26 17:16:53,64963.4,15082.6
2022-04-26 17:16:54,64634.5,15411.4
2022-04-26 17:16:55,64394.6,15651.4
2022-04-26 17:16:56,64841.9,15204
2022-04-26 17:16:57,64747,15299
2022-04-26 17:16:58,64745.1,15300.9
2022-04-26 17:16:59,64745.1,15300.8
2022-04-26 17:17:00,64744,15301.9
2022-04-26 17:17:01,64741,15304.9
2022-04-26 17:17:02,65185.7,14860.1
2022-04-26 17:17:03,65918.4,14127.5
2022-04-26 17:17:04,66347,13699
2022-04-26 17:17:05,66241.6,13804.3
2022-04-26 17:17:06,66626,13419.9
2022-04-26 17:17:07,67233.9,12812
2022-04-26 17:17:08,67851.6,12194.2
2022-04-26 17:17:09,67474.9,12571
2022-04-26 17:17:10,66395.4,13650.5
2022-04-26 17:17:11,65848.9,14197.1
2022-04-26 17:17:12,65560.5,14485.4
2022-04-26 17:17:13,65844.4,14201.5
2022-04-26 17:17:14,69544.9,10500.9
2022-04-26 17:17:15,69503.5,10542.4
2022-04-26 17:17:16,69923.8,10122.1
2022-04-26 17:17:17,70854.4,9191.39
2022-04-26 17:17:18,70860.7,9185.34
2022-04-26 17:17:19,70861.3,9184.61
2022-04-26 17:17:20,56441,7595.72
