time,in,out
2022-04-26 17:17:20,1.3514514,-4.347432
2022-04-26 17:17:19,5.265572,-9.291832
2022-04-26 17:17:18,7.255763,-9.47548
2022-04-26 17:17:17,1.1732165,-4.197261
2022-04-26 17:17:16,1.5132145,-5.477263
2022-04-26 17:17:15,905.7476,-928.2792
2022-04-26 17:17:14,5346.023,-5401.477
2022-04-26 17:17:13,9184.444,-9214.343
2022-04-26 17:17:12,5198.555,-5206.032
2022-04-26 17:17:11,1425.7477,-1436.8516
2022-04-26 17:17:10,54.418,-61.61032
2022-04-26 17:17:09,70211.28,-630175.3
2022-04-26 17:17:08,202555.9,-1336559.4
2022-04-26 17:17:07,166171.45,-509338.1
2022-04-26 17:17:06,97929.16,-580488.9
2022-04-26 17:17:05,139182.12,-254957.8
2022-04-26 17:17:04,244923.6,-143.71317
2022-04-26 17:17:03,263232.5,-35387.1
2022-04-26 17:17:02,185815.2,-121870.01
2022-04-26 17:17:01,240530.7,-239555.1
2022-04-26 17:17:00,248954.4,-248966.1
2022-04-26 17:16:59,5.668811,-18.47704
2022-04-26 17:16:58,211104.7,-43352.82
2022-04-26 17:16:57,570318.8,-196425.5
2022-04-26 17:16:56,480296.2,-366159.3
2022-04-26 17:16:55,449943.1,-454289.4
2022-04-26 17:16:54,467832.7,-517194.4
2022-04-26 17:16:53,549616.6,-563341.1
2022-04-26 17:16:52,494906.7,-494342.2
2022-04-26 17:16:51,197010.1,-196999.6
2022-04-26 17:16:50,29999.54,-30011.65
2022-04-26 17:16:49,7.367356,-31.97334
2022-04-26 17:16:48,62432.19,-61866.91
2022-04-26 17:16:47,246549.4,-245459.1
2022-04-26 17:16:46,492153.6,-492161.9
2022-04-26 17:16:45,781520.5,-766543.4
2022-04-26 17:16:44,910920.6,-813632.8
2022-04-26 17:16:43,804408.8,-612262.5
2022-04-26 17:16:42,441634.2,-309983.6
2022-04-26 17:16:41,147446.48,-112332.12
2022-04-26 17:16:40,8075.893,-1986.229
2022-04-26 17:16:39,2405.593,-1857.404
2022-04-26 17:16:38,292.8657,-243.8262
2022-04-26 17:16:37,130.86613,-100.63668
2022-04-26 17:16:36,14.368056,-22.51553
2022-04-26 17:16:35,23.94531,-35.11647
2022-04-26 17:16:34,33954.55,-33961.49
2022-04-26 17:16:33,144367.92,-143288.32
2022-04-26 17:16:32,153335.03,-151290.55
2022-04-26 17:16:31,1.303504,-4.741975
2022-04-26 17:16:30,29221.3,-36593.27
2022-04-26 17:16:29,139827.43,-146408.11
2022-04-26 17:16:28,159601.81,-145581.46
2022-04-26 17:16:27,43.95234,-47.21924
2022-04-26 17:16:26,1.0650473,-4.204572
2022-04-26 17:16:25,16.172936,-21.04609
2022-04-26 17:16:24,29.03835,-32.36448
2022-04-26 17:16:23,1.0668637,-4.216465
2022-04-26 17:16:22,1.2991251,-5.456516
2022-04-26 17:16:21,0.8008927,-2.795115
2022-04-26 17:16:20,1.0688143,-4.224024
2022-04-26 17:16:19,1.2985576,-5.453784
2022-04-26 17:16:18,0.8010507,-2.795667
2022-04-26 17:16:17,1.0678402,-4.220126
2022-04-26 17:16:16,2.165923,-6.348524
2022-04-26 17:16:15,2.430016,-4.470578
2022-04-26 17:16:14,1.3210199,-4.210323
2022-04-26 17:16:13,1.782123,-5.466687
2022-04-26 17:16:12,0.8004671,-2.79363
2022-04-26 17:16:11,5.153753,-9.098265
2022-04-26 17:16:10,20.21576,-23.34466
