time,in,out
2022-04-26 17:17:43,24821.6,-4146.72
2022-04-26 17:17:44,24554.2,-995.584
2022-04-26 17:17:45,3966.03,-110.089
2022-04-26 17:17:46,57.2429,-27.0587
2022-04-26 17:17:47,54.6548,-86.9876
2022-04-26 17:17:48,118.687,-584.457
2022-04-26 17:17:49,1.34936,-300.759
2022-04-26 17:17:50,0,-75.7962
2022-04-26 17:17:51,0,-13.2519
2022-04-26 17:17:52,5.23809,-17.2728
2022-04-26 17:17:53,3313.22,-151.489
2022-04-26 17:17:54,1658.8,-91.2488
2022-04-26 17:17:55,6.7371,-28.4814
2022-04-26 17:17:56,126.94,-10.2557
2022-04-26 17:17:57,626.184,-26.114
2022-04-26 17:17:58,8732.12,-322.443
2022-04-26 17:17:59,42642.4,-1536.02
2022-04-26 17:18:00,11991.6,-48984.6
2022-04-26 17:18:01,9648.92,-39275.9
2022-04-26 17:18:02,7364.17,-227.394
2022-04-26 17:18:03,9306.63,-15162.9
2022-04-26 17:18:04,23341.1,-25560.7
2022-04-26 17:18:05,58700.4,-99.1819
2022-04-26 17:18:06,125622,-124.818
2022-04-26 17:18:07,81745.1,-34.7696
2022-04-26 17:18:08,88119.1,-506.691
2022-04-26 17:18:09,108847,-271.113
2022-04-26 17:18:10,94855.6,-684.185
2022-04-26 17:18:11,72686.5,-311.242
2022-04-26 17:18:12,111716,-76.3079
2022-04-26 17:18:13,314441,-794.825
2022-04-26 17:18:14,433872,-230.131
2022-04-26 17:18:15,318871,-127.929
2022-04-26 17:18:16,131454,-459.151
2022-04-26 17:18:17,35109.7,-165.041
2022-04-26 17:18:18,15749.8,-182.205
2022-04-26 17:18:19,37693.7,-353.521
2022-04-26 17:18:20,96943.3,-115.625
2022-04-26 17:18:21,135197,-953.004
2022-04-26 17:18:22,140422,-5388.46
2022-04-26 17:18:23,137386,-18850.5
2022-04-26 17:18:24,132801,-111207
2022-04-26 17:18:25,100481,-73118.4
2022-04-26 17:18:26,69216.9,-55225.9
2022-04-26 17:18:27,50584.9,-24343.7
2022-04-26 17:18:28,15627.4,-53601.8
2022-04-26 17:18:29,11769.3,-55029.4
2022-04-26 17:18:30,31829.9,-458.571
2022-04-26 17:18:31,75378.1,-28121.6
2022-04-26 17:18:32,33860.5,-169694
2022-04-26 17:18:33,1535.44,-138683
2022-04-26 17:18:34,182.437,-247120
2022-04-26 17:18:35,90.8617,-149937
2022-04-26 17:18:36,224.899,-87099.7
2022-04-26 17:18:37,110.457,-235376
2022-04-26 17:18:38,0,-163226
2022-04-26 17:18:39,0,-185273
2022-04-26 17:18:40,0,-135640
2022-04-26 17:18:41,3.20693,-23964.4
2022-04-26 17:18:42,135.034,-154.536
2022-04-26 17:18:43,389.505,-101.978
2022-04-26 17:18:44,100.254,-282.953
2022-04-26 17:18:45,0,-117.772
2022-04-26 17:18:46,2.39729,-268.53
2022-04-26 17:18:47,13.6027,-155.151
2022-04-26 17:18:48,10.7403,-180.254
2022-04-26 17:18:49,158.135,-286.924
2022-04-26 17:18:50,47.1244,-181.349
2022-04-26 17:18:51,0,-228.349
2022-04-26 17:18:52,0,-208.094
