time,free,used,cached,buffers
2022-04-26 17:20:40,13409.609,1675.875,919.3789,4.324219
2022-04-26 17:20:39,13409.617,1675.8672,919.3789,4.324219
2022-04-26 17:20:38,13409.477,1675.8594,919.5273,4.324219
2022-04-26 17:20:37,12456.234,2586.75,961.8828,4.320312
2022-04-26 17:20:36,12457.992,2589.98,956.9023,4.3125
2022-04-26 17:20:35,12489.379,2560.32,955.1758,4.3125
2022-04-26 17:20:34,12481.449,2576.73,946.6953,4.3125
2022-04-26 17:20:33,12481.02,2577.172,946.6914,4.304688
2022-04-26 17:20:32,12504.859,2565.703,934.3203,4.304688
2022-04-26 17:20:31,12533.773,2561.25,909.9219,4.242188
2022-04-26 17:20:30,12608.531,2562.457,833.957,4.242188
2022-04-26 17:20:29,12761.863,2478.109,764.9805,4.234375
2022-04-26 17:20:28,12918.891,2356.98,729.0859,4.230469
2022-04-26 17:20:27,13273.734,2078.93,652.5781,3.945312
2022-04-26 17:20:26,13343.023,2030.211,632.0195,3.933594
2022-04-26 17:20:25,13421.547,1959.066,624.6406,3.933594
2022-04-26 17:20:24,13497.836,1883.508,623.9258,3.917969
2022-04-26 17:20:23,13498.336,1883.918,623.4102,3.523438
2022-04-26 17:20:22,13498.613,1883.668,623.3984,3.507812
2022-04-26 17:20:21,13498.852,1883.43,623.3984,3.507812
2022-04-26 17:20:20,13498.859,1883.422,623.3984,3.507812
2022-04-26 17:20:19,13498.828,1883.453,623.3984,3.507812
2022-04-26 17:20:18,13498.633,1883.648,623.3984,3.507812
2022-04-26 17:20:17,13501.496,1881.074,623.1094,3.507812
2022-04-26 17:20:16,13566.828,1820.199,618.6758,3.484375
2022-04-26 17:20:15,13671.434,1720.562,613.707,3.484375
2022-04-26 17:20:14,13829.449,1680.137,496.1797,3.421875
2022-04-26 17:20:13,14015.977,1675.9688,313.8555,3.386719
2022-04-26 17:20:12,14028.316,1674.1367,303.3711,3.363281
2022-04-26 17:20:11,14028.441,1674.1016,303.2891,3.355469
2022-04-26 17:20:10,14028.441,1674.1016,303.2891,3.355469
2022-04-26 17:20:09,14028.395,1674.1484,303.2891,3.355469
2022-04-26 17:20:08,14027.957,1674.5859,303.2891,3.355469
2022-04-26 17:20:07,14027.973,1674.5703,303.2891,3.355469
2022-04-26 17:20:06,14027.809,1674.9336,303.0977,3.347656
2022-04-26 17:20:05,14060.641,1674.6133,270.8555,3.078125
2022-04-26 17:20:04,14060.625,1674.6289,270.8555,3.078125
2022-04-26 17:20:03,14060.855,1674.4062,270.8555,3.070312
2022-04-26 17:20:02,14061.094,1674.168,270.8555,3.070312
2022-04-26 17:20:01,14061.34,1676.5156,268.6914,2.640625
2022-04-26 17:20:00,14061.34,1676.5156,268.6914,2.640625
2022-04-26 17:19:59,14061.078,1676.7773,268.6914,2.640625
2022-04-26 17:19:58,14061.086,1676.7695,268.6914,2.640625
2022-04-26 17:19:57,14061.055,1676.8008,268.6914,2.640625
2022-04-26 17:19:56,14061.055,1676.8008,268.6914,2.640625
2022-04-26 17:19:55,14052.168,1685.539,268.8398,2.640625
2022-04-26 17:19:54,14052.43,1685.277,268.8398,2.640625
2022-04-26 17:19:53,14052.422,1685.52,268.6133,2.632812
2022-04-26 17:19:52,14056,1682.531,268.0234,2.632812
