time,in,out
2022-04-26 17:22:53,29512.1,-19143.6
2022-04-26 17:22:54,23922.5,-100041
2022-04-26 17:22:55,7666.44,-224.462
2022-04-26 17:22:56,956.695,-3086.17
2022-04-26 17:22:57,10.1909,-17194.6
2022-04-26 17:22:58,0,-118.321
2022-04-26 17:22:59,0.632635,-46701.1
2022-04-26 17:23:00,99.4353,-248681
2022-04-26 17:23:01,57.3588,-8255.82
2022-04-26 17:23:02,24.1668,-90712.4
2022-04-26 17:23:03,10.4065,-197435
2022-04-26 17:23:04,5.28852,-10.563
2022-04-26 17:23:05,2.71148,-397.25
2022-04-26 17:23:06,42.8861,-6148.18
2022-04-26 17:23:07,324.74,-235927
2022-04-26 17:23:08,98.6221,-254232
2022-04-26 17:23:09,511.37,-73075.5
2022-04-26 17:23:10,321.485,-213.465
2022-04-26 17:23:11,11178.9,-110.979
2022-04-26 17:23:12,9011.07,-87800.2
2022-04-26 17:23:13,3822.17,-88275.9
2022-04-26 17:23:14,1055.99,-22142.8
2022-04-26 17:23:15,13520.1,-271.981
2022-04-26 17:23:16,39984.4,-195.255
2022-04-26 17:23:17,25018.2,-352.345
2022-04-26 17:23:18,11162.3,-66144.4
2022-04-26 17:23:19,5559.75,-35106.6
2022-04-26 17:23:20,0,-407.015
2022-04-26 17:23:21,0,-59.0408
2022-04-26 17:23:22,0,0
2022-04-26 17:23:23,0,-128.36
2022-04-26 17:23:24,0,-119.64
2022-04-26 17:23:25,225.14,-69.6063
2022-04-26 17:23:26,1924.1,-398.394
2022-04-26 17:23:27,23511.9,-92.6124
2022-04-26 17:23:28,138884,-699.686
2022-04-26 17:23:29,358593,-223.702
2022-04-26 17:23:30,453402,0
2022-04-26 17:23:31,484672,-559.056
2022-04-26 17:23:32,564502,-399.64
2022-04-26 17:23:33,467130,-249.305
2022-04-26 17:23:34,191291,-78.3647
2022-04-26 17:23:35,69099.3,-600.796
2022-04-26 17:23:36,10724.8,-2528.14
2022-04-26 17:23:37,93.9803,-20595.7
2022-04-26 17:23:38,213.926,-148737
2022-04-26 17:23:39,1015.34,-126415
2022-04-26 17:23:40,183.153,-179157
