time,in,out
2022-07-02 19:28:36,1903.368,-16.185099
2022-07-02 19:28:35,17428.66,-43.8149
2022-07-02 19:28:34,54050.51,0
2022-07-02 19:28:33,79597.16,-106.02889
2022-07-02 19:28:32,99450.07,-285.9711
2022-07-02 19:28:31,128416.85,0
2022-07-02 19:28:30,105972.98,-17.2985
2022-07-02 19:28:29,99904.85,-82.36553
2022-07-02 19:28:28,107029.2,-191.5055
2022-07-02 19:28:27,130521.18,-263.3111
2022-07-02 19:28:26,129748.24,-17.51933
2022-07-02 19:28:25,92907.7,0
2022-07-02 19:28:24,101013.33,-14.046591
2022-07-02 19:28:23,104011.31,-8941.367
2022-07-02 19:28:22,123491.33,-24102.33
2022-07-02 19:28:21,98543.18,-134.25237
2022-07-02 19:28:20,117439.87,0
2022-07-02 19:28:19,96564.32,0
2022-07-02 19:28:18,111564.11,-18.34211
2022-07-02 19:28:17,115875.53,-57.21678
2022-07-02 19:28:16,89027.54,-20.4411
2022-07-02 19:28:15,94875.07,0
2022-07-02 19:28:14,113328.12,0
2022-07-02 19:28:13,80666.36,-6741.356
2022-07-02 19:28:12,118990.78,-17998.64
2022-07-02 19:28:11,120299.69,-22.68762
2022-07-02 19:28:10,116814.85,-61.31238
2022-07-02 19:28:09,88670.67,0
2022-07-02 19:28:08,87932.99,0
2022-07-02 19:28:07,112871.88,-11124.166
2022-07-02 19:28:06,102510.42,-30067.83
2022-07-02 19:28:05,92099.98,0
2022-07-02 19:28:04,81874.03,0
2022-07-02 19:28:03,113159.09,0
2022-07-02 19:28:02,164247.63,-9161.48
2022-07-02 19:28:01,115605.13,-24770.52
2022-07-02 19:28:00,67701.04,0
2022-07-02 19:27:59,49699.95,-1.0847488
2022-07-02 19:27:58,85157.57,-2.915251
2022-07-02 19:27:57,126990.24,-13483.895
2022-07-02 19:27:56,5759.705,-36440.11
2022-07-02 19:27:55,16358.035,0
2022-07-02 19:27:54,30310.18,-41.07349
2022-07-02 19:27:53,98727.36,-110.92651
2022-07-02 19:27:52,209001.4,-13504.028
2022-07-02 19:27:51,113813.75,-36709
2022-07-02 19:27:50,3272.735,-842.9772
2022-07-02 19:27:49,3.240715,0
2022-07-02 19:27:48,8.759285,0
2022-07-02 19:27:47,176.1412,0
2022-07-02 19:27:46,475.8588,-8878.758
2022-07-02 19:27:45,0,-24044.48
2022-07-02 19:27:44,0,-8.761254
2022-07-02 19:27:43,0,0
2022-07-02 19:27:42,0,0
