time,free,used
2022-07-02 19:29:24,14555.7,1453.44
2022-07-02 19:29:25,29095.1,2923.32
2022-07-02 19:29:26,72568.8,7477.14
2022-07-02 19:29:27,72557.2,7488.81
2022-07-02 19:29:28,72595.5,7450.36
2022-07-02 19:29:29,72604,7442.01
2022-07-02 19:29:30,72604.6,7441.32
2022-07-02 19:29:31,72612.8,7433.2
2022-07-02 19:29:32,72612.7,7433.26
2022-07-02 19:29:33,72618.6,7427.35
2022-07-02 19:29:34,72619.8,7426.17
2022-07-02 19:29:35,72619.9,7426.03
2022-07-02 19:29:36,72621.1,7424.82
2022-07-02 19:29:37,72621,7424.94
2022-07-02 19:29:38,72621.9,7424.05
2022-07-02 19:29:39,72621.7,7424.33
2022-07-02 19:29:40,72622.1,7423.75
2022-07-02 19:29:41,72622.4,7423.57
2022-07-02 19:29:42,72620.8,7425.18
2022-07-02 19:29:43,72624.5,7421.5
2022-07-02 19:29:44,72622.4,7423.4
2022-07-02 19:29:45,72580.2,7465.71
2022-07-02 19:29:46,72483.4,7562.6
2022-07-02 19:29:47,72439.8,7606.13
2022-07-02 19:29:48,72370,7675.82
2022-07-02 19:29:49,72269,7776.8
2022-07-02 19:29:50,72205.6,7840.31
2022-07-02 19:29:51,72121.2,7924.76
2022-07-02 19:29:52,71628.3,8417.72
2022-07-02 19:29:53,71465.4,8580.49
2022-07-02 19:29:54,71319.6,8726.47
2022-07-02 19:29:55,71318.9,8727.09
2022-07-02 19:29:56,71322.4,8723.5
2022-07-02 19:29:57,71333.9,8711.94
2022-07-02 19:29:58,71333.5,8712.46
2022-07-02 19:29:59,71333.4,8712.51
2022-07-02 19:30:00,71332.5,8713.44
2022-07-02 19:30:01,71109.6,8936.39
2022-07-02 19:30:02,70594.6,9451.44
2022-07-02 19:30:03,70456.9,9589.06
2022-07-02 19:30:04,69716.4,10329.5
2022-07-02 19:30:05,68559,11486.9
2022-07-02 19:30:06,67596.7,12449.4
2022-07-02 19:30:07,67605.7,12440.2
2022-07-02 19:30:08,67605.7,12440.2
2022-07-02 19:30:09,67551.4,12494.5
2022-07-02 19:30:10,67520.1,12525.8
2022-07-02 19:30:11,67465.1,12580.7
2022-07-02 19:30:12,67472.8,12573.1
2022-07-02 19:30:13,67477.5,12568.4
2022-07-02 19:30:14,67373.1,12672.7
2022-07-02 19:30:15,67328.3,12717.7
2022-07-02 19:30:16,67325.6,12720.3
2022-07-02 19:30:17,67354.8,12691.1
2022-07-02 19:30:18,67350.4,12695.5
2022-07-02 19:30:19,67358.8,12687.2
2022-07-02 19:30:20,67288.5,12757.4
