time,in,out
2022-07-02 19:41:16,937.9332,-298.0348
2022-07-02 19:41:15,4515.117,0
2022-07-02 19:41:14,14186.124,0
2022-07-02 19:41:13,37739.04,-5.401725
2022-07-02 19:41:12,133325.2,-148.57799
2022-07-02 19:41:11,151984.33,-362.0203
2022-07-02 19:41:10,104169.48,0
2022-07-02 19:41:09,95138.24,0
2022-07-02 19:41:08,107472.87,0
2022-07-02 19:41:07,150443.78,-250.598
2022-07-02 19:41:06,84932.58,-677.402
2022-07-02 19:41:05,94548.03,0
2022-07-02 19:41:04,128381.12,0
2022-07-02 19:41:03,112336.55,0
2022-07-02 19:41:02,97264.25,-8943.654
2022-07-02 19:41:01,118515.01,-24120.35
2022-07-02 19:41:00,137268.76,0
2022-07-02 19:40:59,75074.33,0
2022-07-02 19:40:58,96886.49,0
2022-07-02 19:40:57,90240.87,-43.29715
2022-07-02 19:40:56,104840.01,-138.35641
2022-07-02 19:40:55,132816.56,-58.34643
2022-07-02 19:40:54,145612.54,0
2022-07-02 19:40:53,59395.51,0
2022-07-02 19:40:52,89757.67,-8914.153
2022-07-02 19:40:51,119174.64,-24057.85
2022-07-02 19:40:50,129587.42,0
2022-07-02 19:40:49,50956.16,0
2022-07-02 19:40:48,65871.85,0
2022-07-02 19:40:47,85484.18,-22.68261
2022-07-02 19:40:46,173615,-61.31739
2022-07-02 19:40:45,125748.26,0
2022-07-02 19:40:44,59857.56,0
2022-07-02 19:40:43,71843.45,0
2022-07-02 19:40:42,169668.9,-4472.362
2022-07-02 19:40:41,131377.48,-12103.638
2022-07-02 19:40:40,19318.86,0
2022-07-02 19:40:39,40327.23,0
2022-07-02 19:40:38,109713.55,0
2022-07-02 19:40:37,170862.3,-4.331095
2022-07-02 19:40:36,63811.59,-11329.343
2022-07-02 19:40:35,12583.738,-30314.65
2022-07-02 19:40:34,23431.93,-11.675464
2022-07-02 19:40:33,50681.51,0
2022-07-02 19:40:32,132165.61,0
2022-07-02 19:40:31,196269.2,-14105.37
2022-07-02 19:40:30,50714.25,-38038.63
2022-07-02 19:40:29,78.85319,0
2022-07-02 19:40:28,0,0
2022-07-02 19:40:27,0,0
2022-07-02 19:40:26,1.0786625,-8884.943
2022-07-02 19:40:25,2.921337,-24063.06
2022-07-02 19:40:24,0,0
2022-07-02 19:40:23,0,0
2022-07-02 19:40:22,0,0
2022-07-02 19:40:21,0,-11250.754
2022-07-02 19:40:20,88.42042,-30489.25
2022-07-02 19:40:19,239.5796,0
2022-07-02 19:40:18,0,0
2022-07-02 19:40:17,0,0
2022-07-02 19:40:16,0,-13308.456
2022-07-02 19:40:15,0,-36059.54
2022-07-02 19:40:14,0,-3.235214
2022-07-02 19:40:13,0,-8.764786
2022-07-02 19:40:12,0,0
2022-07-02 19:40:11,1.0784839,-11190.349
