time,in,out
2022-07-02 16:43:32,18.6712,-16.2972
2022-07-02 16:43:33,93.6214,-77.6724
2022-07-02 16:43:34,72.5791,-64.032
2022-07-02 16:43:35,188.522,-125.561
2022-07-02 16:43:36,108.287,-69.4409
2022-07-02 16:43:37,0,0
2022-07-02 16:43:38,0,0
2022-07-02 16:43:39,0,0
2022-07-02 16:43:40,0,0
2022-07-02 16:43:41,0,0
2022-07-02 16:43:42,0,0
2022-07-02 16:43:43,0,0
2022-07-02 16:43:44,0,0
2022-07-02 16:43:45,0,0
2022-07-02 16:43:46,0,0
2022-07-02 16:43:47,0,0
2022-07-02 16:43:48,1.67969,-1.76582
2022-07-02 16:43:49,0.816313,-0.858175
2022-07-02 16:43:50,0,0
2022-07-02 16:43:51,0,0
2022-07-02 16:43:52,0.355766,-0.611188
2022-07-02 16:43:53,0.268234,-0.460812
2022-07-02 16:43:54,0,0
2022-07-02 16:43:55,0,0
2022-07-02 16:43:56,0,0
2022-07-02 16:43:57,0,0
2022-07-02 16:43:58,0,0
2022-07-02 16:43:59,0,0
2022-07-02 16:44:00,0,0
2022-07-02 16:44:01,0,0
2022-07-02 16:44:02,0,0
2022-07-02 16:44:03,0,0
2022-07-02 16:44:04,0,0
2022-07-02 16:44:05,0,0
2022-07-02 16:44:06,0.754372,-1.02869
2022-07-02 16:44:07,0.477628,-0.651311
2022-07-02 16:44:08,0,0
2022-07-02 16:44:09,0,0
2022-07-02 16:44:10,0.419946,-0.721445
2022-07-02 16:44:11,0.626998,-1.07715
2022-07-02 16:44:12,0.201056,-0.345404
2022-07-02 16:44:13,0.325265,-0.558788
2022-07-02 16:44:14,0.298735,-0.513212
2022-07-02 16:44:15,1.68003,-1.75542
2022-07-02 16:44:16,0.815968,-0.852582
2022-07-02 16:44:17,0,0
2022-07-02 16:44:18,0,0
2022-07-02 16:44:19,0,0
2022-07-02 16:44:20,0,0
2022-07-02 16:44:21,0,0
2022-07-02 16:44:22,0,0
2022-07-02 16:44:23,0,0
2022-07-02 16:44:24,3.22024,-3.38539
2022-07-02 16:44:25,1.77176,-1.86262
2022-07-02 16:44:26,0,0
2022-07-02 16:44:27,0,0
2022-07-02 16:44:28,0,0
2022-07-02 16:44:29,0,0
2022-07-02 16:44:30,0,0
2022-07-02 16:44:31,0,0
2022-07-02 16:44:32,0,0
2022-07-02 16:44:33,0,0
2022-07-02 16:44:34,0,0
2022-07-02 16:44:35,0,0
2022-07-02 16:44:36,0,0
2022-07-02 16:44:37,0.353897,-0.607977
2022-07-02 16:44:38,0.270103,-0.464023
