time,free,used,cached,buffers
2022-07-03 02:14:49,31205.99,588.957,315.3398,1.949219
2022-07-03 02:14:48,31214.2,588.0742,308.0234,1.941406
2022-07-03 02:14:47,30936.91,812.2773,361.1133,1.941406
2022-07-03 02:14:46,30937.22,811.9609,361.1133,1.941406
2022-07-03 02:14:45,30968.19,780.9922,361.1133,1.941406
2022-07-03 02:14:44,31135.96,613.5391,360.8008,1.941406
2022-07-03 02:14:43,31188.35,589.3867,332.5586,1.941406
2022-07-03 02:14:42,31188.38,589.3633,332.5586,1.941406
2022-07-03 02:14:41,31188.38,589.3633,332.5586,1.941406
2022-07-03 02:14:40,31187.87,589.8711,332.5586,1.941406
2022-07-03 02:14:39,31188.12,589.6172,332.5586,1.941406
2022-07-03 02:14:38,31187.88,589.8633,332.5586,1.941406
2022-07-03 02:14:37,31187.12,590.6172,332.5586,1.941406
2022-07-03 02:14:36,31186.91,590.8281,332.5586,1.941406
2022-07-03 02:14:35,31186.92,590.8203,332.5586,1.941406
2022-07-03 02:14:34,31186.91,590.8516,332.543,1.933594
2022-07-03 02:14:33,31181.15,596.5742,332.582,1.933594
2022-07-03 02:14:32,31180.86,596.875,332.582,1.925781
2022-07-03 02:14:31,31180.92,596.8125,332.582,1.925781
2022-07-03 02:14:30,31180.76,597.6055,331.9492,1.925781
2022-07-03 02:14:29,31200.36,591.1094,318.8477,1.925781
2022-07-03 02:14:28,31199.73,591.7383,318.8398,1.925781
2022-07-03 02:14:27,31193.74,597.6328,318.9531,1.910156
2022-07-03 02:14:26,31193.8,597.5781,318.9453,1.910156
2022-07-03 02:14:25,31193.51,597.8711,318.9453,1.910156
2022-07-03 02:14:24,31192.89,598.4648,318.9688,1.910156
2022-07-03 02:14:23,31206.99,598.1172,305.2227,1.910156
2022-07-03 02:14:22,31205.91,599.4414,304.9727,1.910156
2022-07-03 02:14:21,31250.71,589.6953,270.0898,1.742188
2022-07-03 02:14:20,31250.9,589.5039,270.0898,1.742188
2022-07-03 02:14:19,31250.73,589.6719,270.0898,1.742188
2022-07-03 02:14:18,31250.73,589.6797,270.0898,1.742188
