time,in,out
2022-06-22 13:18:19,0,-103.2633
2022-06-22 13:18:18,300.2238,0
2022-06-22 13:18:17,307.7762,0
2022-06-22 13:18:16,375.2887,0
2022-06-22 13:18:15,392.6122,-720.9561
2022-06-22 13:18:14,8.099111,-1525.5322
2022-06-22 13:18:13,51.39933,-805.5117
2022-06-22 13:18:12,52.60067,0
2022-06-22 13:18:11,0,0
2022-06-22 13:18:10,0,-45.76593
2022-06-22 13:18:09,1.989514,-127.80415
2022-06-22 13:18:08,175.335,-138.21253
2022-06-22 13:18:07,349.9926,-74.14756
2022-06-22 13:18:06,176.6829,-51.94096
2022-06-22 13:18:05,0,-157.65007
2022-06-22 13:18:04,1603.6014,-186.2324
2022-06-22 13:18:03,1616.3986,-62.24641
2022-06-22 13:18:02,0,0
2022-06-22 13:18:01,11026.08,0
2022-06-22 13:18:00,13031.775,-124.622
2022-06-22 13:17:59,10881.306,-184.926
2022-06-22 13:17:58,12806.769,-58.452
2022-06-22 13:17:57,5359.965,0
2022-06-22 13:17:56,3634.763,0
2022-06-22 13:17:55,7083.492,-233.9944
2022-06-22 13:17:54,5564.159,-910.8473
2022-06-22 13:17:53,363.6913,-679.1583
2022-06-22 13:17:52,1713.258,-87.24926
2022-06-22 13:17:51,1808.249,-88.75074
2022-06-22 13:17:50,263.7386,0
2022-06-22 13:17:49,198.7544,-47.6631
2022-06-22 13:17:48,1893.77,-48.3369
2022-06-22 13:17:47,2458.355,-45.66238
2022-06-22 13:17:46,531.8753,-46.33762
2022-06-22 13:17:45,0,0
2022-06-22 13:17:44,65.73699,-79.6812
2022-06-22 13:17:43,66.26301,-80.3188
2022-06-22 13:17:42,4141.157,-69.54919
2022-06-22 13:17:41,4194.843,-70.45081
2022-06-22 13:17:40,0,0
2022-06-22 13:17:39,1803.063,0
2022-06-22 13:17:38,5749.54,-864.6148
2022-06-22 13:17:37,5949.767,-885.3316
2022-06-22 13:17:36,9379.223,-14.053568
2022-06-22 13:17:35,16686.183,0
2022-06-22 13:17:34,11143.343,0
2022-06-22 13:17:33,5640.912,-65.51877
2022-06-22 13:17:32,3863.97,-120.07686
2022-06-22 13:17:31,2061.939,-54.40437
2022-06-22 13:17:30,3877.083,0
2022-06-22 13:17:29,9580.456,-581.6179
2022-06-22 13:17:28,13879.916,-754.5582
2022-06-22 13:17:27,6444.259,-211.4992
2022-06-22 13:17:26,7554.67,-118.04273
