time,in,out
2022-06-22 13:18:19,0,0
2022-06-22 13:18:18,0,0
2022-06-22 13:18:17,29.7945,0
2022-06-22 13:18:16,78.2055,0
2022-06-22 13:18:15,0,-378.579
2022-06-22 13:18:14,0,-1027.6342
2022-06-22 13:18:13,0,-89.78681
2022-06-22 13:18:12,0,0
2022-06-22 13:18:11,0,0
2022-06-22 13:18:10,66.23097,-37.53088
2022-06-22 13:18:09,173.769,-142.67151
2022-06-22 13:18:08,0,-115.7976
2022-06-22 13:18:07,0,-232.6694
2022-06-22 13:18:06,0,-627.2767
2022-06-22 13:18:05,585.9826,-74.20826
2022-06-22 13:18:04,1530.0174,-57.84565
2022-06-22 13:18:03,1.1088486,-56.55128
2022-06-22 13:18:02,2.891151,-147.44872
2022-06-22 13:18:01,0,0
2022-06-22 13:18:00,0,-169.3647
2022-06-22 13:17:59,394.7803,-442.6353
2022-06-22 13:17:58,1033.2197,-38.77902
2022-06-22 13:17:57,288.0569,-101.22098
2022-06-22 13:17:56,849.4427,0
2022-06-22 13:17:55,398.5364,-63.15424
2022-06-22 13:17:54,375.964,-164.84576
2022-06-22 13:17:53,0,-52.00665
2022-06-22 13:17:52,0,-135.99335
2022-06-22 13:17:51,0,-282.4402
2022-06-22 13:17:50,0,-846.1436
2022-06-22 13:17:49,48.74688,-283.4162
2022-06-22 13:17:48,127.25312,-38.7726
2022-06-22 13:17:47,0,-101.2274
2022-06-22 13:17:46,53.18327,0
2022-06-22 13:17:45,138.81673,-23.26587
2022-06-22 13:17:44,0,-60.73413
2022-06-22 13:17:43,0,-23.26806
2022-06-22 13:17:42,86.43195,-60.73194
2022-06-22 13:17:41,225.5681,0
2022-06-22 13:17:40,0,-28.78606
2022-06-22 13:17:39,0,-75.21394
2022-06-22 13:17:38,250.2859,-38.76109
2022-06-22 13:17:37,846.2554,-101.23891
2022-06-22 13:17:36,862.2572,-241.4138
2022-06-22 13:17:35,1522.3628,-660.4526
2022-06-22 13:17:34,1546.351,-78.13354
2022-06-22 13:17:33,73.70667,-71.97456
2022-06-22 13:17:32,139.91175,-188.0254
2022-06-22 13:17:31,169.8974,0
2022-06-22 13:17:30,278.2023,-33.2411
2022-06-22 13:17:29,540.2814,-86.7589
2022-06-22 13:17:28,121.88475,-74.23159
2022-06-22 13:17:27,200.0041,-193.7684
2022-06-22 13:17:26,887.2276,-190.6449
2022-06-22 13:17:25,2338.48,-497.3551
2022-06-22 13:17:24,1446.7614,-43366.47
2022-06-22 13:17:23,1246.6526,-199004.1
2022-06-22 13:17:22,531.6917,-264259
2022-06-22 13:17:21,207.0309,-104610.52
2022-06-22 13:17:20,727.1926,0
2022-06-22 13:17:19,523.5625,-39.84542
2022-06-22 13:17:18,0,-163.94453
2022-06-22 13:17:17,411.3459,-34088.93
2022-06-22 13:17:16,1078.8699,-89185.32
2022-06-22 13:17:15,5.784197,-965.9609
2022-06-22 13:17:14,0,-25.48355
2022-06-22 13:17:13,33.25066,-111.95902
2022-06-22 13:17:12,86.74934,-118.55743
2022-06-22 13:17:11,0,-25.48801
2022-06-22 13:17:10,0,-66.51199
2022-06-22 13:17:09,0,-7.745945
2022-06-22 13:17:08,0,-40.19525
2022-06-22 13:17:07,271.3689,-52.0588
2022-06-22 13:17:06,1174.1185,0
2022-06-22 13:17:05,1415.2458,0
2022-06-22 13:17:04,789.1959,-39.88936
2022-06-22 13:17:03,965.5347,-128.48698
2022-06-22 13:17:02,1225.4842,-63.62366
2022-06-22 13:17:01,2670.108,0
2022-06-22 13:17:00,7255.364,-370.0964
2022-06-22 13:16:59,11363.894,-965.9036
2022-06-22 13:16:58,8636.571,-39.89508
2022-06-22 13:16:57,14142.058,-104.10492
2022-06-22 13:16:56,5434.667,0
2022-06-22 13:16:55,9328.408,0
2022-06-22 13:16:54,7403.982,0
2022-06-22 13:16:53,2481.029,-156.24168
2022-06-22 13:16:52,8823.739,-407.7583
2022-06-22 13:16:51,7365.859,0
2022-06-22 13:16:50,4467.512,0
2022-06-22 13:16:49,3249.86,0
2022-06-22 13:16:48,0,-118.31238
2022-06-22 13:16:47,0,-309.6876
2022-06-22 13:16:46,0,-36372.85
2022-06-22 13:16:45,108.69102,-151486.37
2022-06-22 13:16:44,286.6324,-225750.6
2022-06-22 13:16:43,12.000195,-269872.4
2022-06-22 13:16:42,2435.296,-171076.8
2022-06-22 13:16:41,7920.353,-80.97472
2022-06-22 13:16:40,4145.027,-529.6906
2022-06-22 13:16:39,1370.1084,-1386.3094
2022-06-22 13:16:38,6232.677,-27388.52
2022-06-22 13:16:37,7112.952,-77520.13
2022-06-22 13:16:36,532.2623,-15742.662
2022-06-22 13:16:35,0,-66.29746
2022-06-22 13:16:34,73.10821,-150.38502
2022-06-22 13:16:33,190.8918,-12.186916
2022-06-22 13:16:32,0,-138.18924
2022-06-22 13:16:31,43.20487,-294.2411
2022-06-22 13:16:30,1472.2938,-43.38274
2022-06-22 13:16:29,5012.141,-22.15957
2022-06-22 13:16:28,3820.36,-57.84043
2022-06-22 13:16:27,19.92856,-5.535711
2022-06-22 13:16:26,6234.162,-38.79452
2022-06-22 13:16:25,24389,-63.66977
2022-06-22 13:16:24,33168.26,0
2022-06-22 13:16:23,38493.27,0
2022-06-22 13:16:22,24600.36,-11.079531
2022-06-22 13:16:21,12384.997,-69.87136
2022-06-22 13:16:20,6690.087,-107.04911
2022-06-22 13:16:19,7371.933,0
2022-06-22 13:16:18,0,0
2022-06-22 13:16:17,0,-45.4063
2022-06-22 13:16:16,4265.769,-241.3258
2022-06-22 13:16:15,11166.231,-321.2679
2022-06-22 13:16:14,3187.528,0
2022-06-22 13:16:13,9811.099,0
2022-06-22 13:16:12,3829.373,-6.648996
2022-06-22 13:16:11,103.0416,-17.351
2022-06-22 13:16:10,268.9584,0
2022-06-22 13:16:09,0,0
2022-06-22 13:16:08,0,0
2022-06-22 13:16:07,0,-11.079674
2022-06-22 13:16:06,0,-28.92033
2022-06-22 13:16:05,126.30702,-11.079563
2022-06-22 13:16:04,329.693,-83.20567
2022-06-22 13:16:03,0,-141.71477
2022-06-22 13:16:02,53.20011,-30735.26
2022-06-22 13:16:01,190.8779,-134670.12
2022-06-22 13:16:00,141.46277,-197684.6
2022-06-22 13:15:59,16.675329,-200226.9
2022-06-22 13:15:58,1794.428,-233280.2
2022-06-22 13:15:57,5672.98,-289054.6
2022-06-22 13:15:56,2641.027,-197518.7
2022-06-22 13:15:55,18.45892,-131278.01
2022-06-22 13:15:54,2.890581,-27465.96
2022-06-22 13:15:53,0,-89.65518
2022-06-22 13:15:52,25.47872,-28.80203
2022-06-22 13:15:51,66.52128,-75.19797
2022-06-22 13:15:50,2859.537,-1827.357
2022-06-22 13:15:49,7468.463,-4826.784
2022-06-22 13:15:48,0,-172.7875
2022-06-22 13:15:47,2800.535,-7240.941
2022-06-22 13:15:46,7339.465,-19896.86
2022-06-22 13:15:45,0,-2959.269
2022-06-22 13:15:44,1352.8526,-5781.175
2022-06-22 13:15:43,3535.147,-20514.61
2022-06-22 13:15:42,3018.594,-14546.72
2022-06-22 13:15:41,7877.406,-1167.9897
2022-06-22 13:15:40,1686.065,-761.424
2022-06-22 13:15:39,4401.935,-1044.0858
2022-06-22 13:15:38,1337.2371,-861.2338
2022-06-22 13:15:37,7698.79,-7802.691
2022-06-22 13:15:36,11003.973,-14670.532
2022-06-22 13:15:35,1508.6749,-558.7115
2022-06-22 13:15:34,3939.325,-514.831
2022-06-22 13:15:33,0,-231.1676
2022-06-22 13:15:32,228.2477,-604.8324
2022-06-22 13:15:31,595.7523,-39.88037
2022-06-22 13:15:30,0,-2474.152
2022-06-22 13:15:29,0,-8385.255
2022-06-22 13:15:28,0,-5750.43
2022-06-22 13:15:27,4298.314,-46.28365
2022-06-22 13:15:26,11447.285,0
2022-06-22 13:15:25,1559.1574,0
2022-06-22 13:15:24,3304.072,0
2022-06-22 13:15:23,1587.172,-54.2782
2022-06-22 13:15:22,0,-141.7218
2022-06-22 13:15:21,0,0
2022-06-22 13:15:20,0,0
2022-06-22 13:15:19,3044.663,0
2022-06-22 13:15:18,7989.921,-38.76761
2022-06-22 13:15:17,69.4165,-101.23239
2022-06-22 13:15:16,0,0
2022-06-22 13:15:15,0,0
2022-06-22 13:15:14,957.1192,0
