time,usage
2022-06-22 13:27:18,0.502513
2022-06-22 13:27:17,0.251256
2022-06-22 13:27:16,1.50754
2022-06-22 13:27:15,0.753769
2022-06-22 13:27:14,9.06801
2022-06-22 13:27:13,2.48756
2022-06-22 13:27:12,1
2022-06-22 13:27:11,0.753769
2022-06-22 13:27:10,1.00503
2022-06-22 13:27:09,0.503778
2022-06-22 13:27:08,1.00251
2022-06-22 13:27:07,30.0248
2022-06-22 13:27:06,88.75
2022-06-22 13:27:05,82.4561
2022-06-22 13:27:04,92.25
2022-06-22 13:27:03,100
2022-06-22 13:27:02,100
2022-06-22 13:27:01,99.7506
2022-06-22 13:27:00,100
2022-06-22 13:26:59,100
2022-06-22 13:26:58,100
2022-06-22 13:26:57,99.7506
2022-06-22 13:26:56,100
2022-06-22 13:26:55,100
2022-06-22 13:26:54,100
2022-06-22 13:26:53,100
2022-06-22 13:26:52,100
2022-06-22 13:26:51,100
2022-06-22 13:26:50,100
2022-06-22 13:26:49,100
2022-06-22 13:26:48,99.75
2022-06-22 13:26:47,99.7487
2022-06-22 13:26:46,100
2022-06-22 13:26:45,100
2022-06-22 13:26:44,100
2022-06-22 13:26:43,100
2022-06-22 13:26:42,100
2022-06-22 13:26:41,100
2022-06-22 13:26:40,99.75
2022-06-22 13:26:39,100
2022-06-22 13:26:38,100
2022-06-22 13:26:37,100
2022-06-22 13:26:36,100
2022-06-22 13:26:35,100
2022-06-22 13:26:34,100
2022-06-22 13:26:33,99.0025
2022-06-22 13:26:32,100
2022-06-22 13:26:31,99.7506
2022-06-22 13:26:30,100
2022-06-22 13:26:29,100
2022-06-22 13:26:28,100
2022-06-22 13:26:27,100
2022-06-22 13:26:26,100
2022-06-22 13:26:25,99.7512
2022-06-22 13:26:24,99.25
2022-06-22 13:26:23,100
2022-06-22 13:26:22,100
2022-06-22 13:26:21,100
2022-06-22 13:26:20,100
2022-06-22 13:26:19,100
2022-06-22 13:26:18,100
2022-06-22 13:26:17,100
2022-06-22 13:26:16,100
2022-06-22 13:26:15,100
2022-06-22 13:26:14,100
2022-06-22 13:26:13,100
2022-06-22 13:26:12,100
2022-06-22 13:26:11,100
2022-06-22 13:26:10,100
2022-06-22 13:26:09,100
2022-06-22 13:26:08,100
2022-06-22 13:26:07,86.9347
2022-06-22 13:26:06,97.2431
2022-06-22 13:26:05,63.8404
2022-06-22 13:26:04,83.5859
2022-06-22 13:26:03,100
2022-06-22 13:26:02,100
2022-06-22 13:26:01,100
2022-06-22 13:26:00,100
2022-06-22 13:25:59,100
2022-06-22 13:25:58,98.75
2022-06-22 13:25:57,87.2774
2022-06-22 13:25:56,91.4787
2022-06-22 13:25:55,96.9849
2022-06-22 13:25:54,100
2022-06-22 13:25:53,100
2022-06-22 13:25:52,99.7506
2022-06-22 13:25:51,100
2022-06-22 13:25:50,100
2022-06-22 13:25:49,100
2022-06-22 13:25:48,100
2022-06-22 13:25:47,100
2022-06-22 13:25:46,100
2022-06-22 13:25:45,100
2022-06-22 13:25:44,100
2022-06-22 13:25:43,100
2022-06-22 13:25:42,100
2022-06-22 13:25:41,100
2022-06-22 13:25:40,99.7494
2022-06-22 13:25:39,99.75
2022-06-22 13:25:38,92.7681
2022-06-22 13:25:37,97.2431
2022-06-22 13:25:36,99.7494
2022-06-22 13:25:35,100
2022-06-22 13:25:34,100
2022-06-22 13:25:33,99.7512
2022-06-22 13:25:32,100
2022-06-22 13:25:31,99.2462
2022-06-22 13:25:30,95.2261
2022-06-22 13:25:29,99.2481
2022-06-22 13:25:28,99.7512
2022-06-22 13:25:27,99.7519
2022-06-22 13:25:26,100
2022-06-22 13:25:25,100
2022-06-22 13:25:24,100
2022-06-22 13:25:23,100
2022-06-22 13:25:22,100
2022-06-22 13:25:21,100
2022-06-22 13:25:20,100
2022-06-22 13:25:19,100
2022-06-22 13:25:18,100
2022-06-22 13:25:17,100
2022-06-22 13:25:16,100
2022-06-22 13:25:15,100
2022-06-22 13:25:14,100
2022-06-22 13:25:13,100
2022-06-22 13:25:12,100
2022-06-22 13:25:11,99.7494
2022-06-22 13:25:10,100
2022-06-22 13:25:09,99.7512
2022-06-22 13:25:08,100
2022-06-22 13:25:07,99.75
2022-06-22 13:25:06,100
2022-06-22 13:25:05,100
2022-06-22 13:25:04,94.2066
2022-06-22 13:25:03,90.9548
2022-06-22 13:25:02,100
2022-06-22 13:25:01,100
2022-06-22 13:25:00,100
2022-06-22 13:24:59,100
2022-06-22 13:24:58,100
2022-06-22 13:24:57,99.7475
2022-06-22 13:24:56,100
2022-06-22 13:24:55,100
2022-06-22 13:24:54,100
2022-06-22 13:24:53,100
2022-06-22 13:24:52,100
2022-06-22 13:24:51,100
2022-06-22 13:24:50,99.7506
2022-06-22 13:24:49,100
2022-06-22 13:24:48,100
2022-06-22 13:24:47,100
2022-06-22 13:24:46,98.7562
2022-06-22 13:24:45,27.5
2022-06-22 13:24:44,3.79747
2022-06-22 13:24:43,2.51889
2022-06-22 13:24:42,2.75689
2022-06-22 13:24:41,12.3426
2022-06-22 13:24:40,7.25
2022-06-22 13:24:39,2.75
2022-06-22 13:24:38,2.75
2022-06-22 13:24:37,0.757576
2022-06-22 13:24:36,3.01508
2022-06-22 13:24:35,4.7619
2022-06-22 13:24:34,5.25
2022-06-22 13:24:33,2.77078
2022-06-22 13:24:32,3.00752
2022-06-22 13:24:31,1.75439
2022-06-22 13:24:30,2.26131
2022-06-22 13:24:29,2.50627
2022-06-22 13:24:28,4.51128
2022-06-22 13:24:27,2.25564
2022-06-22 13:24:26,2.51889
2022-06-22 13:24:25,2.25564
2022-06-22 13:24:24,3.00752
2022-06-22 13:24:23,4.3257
2022-06-22 13:24:22,2.25
2022-06-22 13:24:21,2.267
2022-06-22 13:24:20,1.75879
2022-06-22 13:24:19,1.76768
2022-06-22 13:24:18,4
2022-06-22 13:24:17,2.55754
2022-06-22 13:24:16,30.0248
2022-06-22 13:24:15,61.8687
2022-06-22 13:24:14,43.0731
2022-06-22 13:24:13,43.5323
2022-06-22 13:24:12,54.6366
2022-06-22 13:24:11,85.6423
2022-06-22 13:24:10,84.0909
2022-06-22 13:24:09,83.6683
2022-06-22 13:24:08,56.5757
2022-06-22 13:24:07,80.8458
2022-06-22 13:24:06,48.379
2022-06-22 13:24:05,46.25
2022-06-22 13:24:04,56.9682
2022-06-22 13:24:03,59.3596
2022-06-22 13:24:02,66.1836
2022-06-22 13:24:01,54.0146
2022-06-22 13:24:00,76.1194
2022-06-22 13:23:59,66.9173
2022-06-22 13:23:58,58.4158
2022-06-22 13:23:57,79.6992
2022-06-22 13:23:56,60.3448
2022-06-22 13:23:55,71.5347
2022-06-22 13:23:54,77.5061
2022-06-22 13:23:53,68.3823
2022-06-22 13:23:52,83.75
2022-06-22 13:23:51,97.995
2022-06-22 13:23:50,73.1527
2022-06-22 13:23:49,83.9196
2022-06-22 13:23:48,82.7411
2022-06-22 13:23:47,56.1274
2022-06-22 13:23:46,59.204
2022-06-22 13:23:45,31.3131
2022-06-22 13:23:44,49.5122
2022-06-22 13:23:43,62
2022-06-22 13:23:42,66.5842
2022-06-22 13:23:41,62.7792
2022-06-22 13:23:40,64.5161
2022-06-22 13:23:39,57.561
2022-06-22 13:23:38,60.4938
2022-06-22 13:23:37,83.5821
2022-06-22 13:23:36,74.5
2022-06-22 13:23:35,62.6238
2022-06-22 13:23:34,60.4938
2022-06-22 13:23:33,53.202
2022-06-22 13:23:32,91.067
2022-06-22 13:23:31,85.1117
2022-06-22 13:23:30,63.4328
2022-06-22 13:23:29,89.7756
2022-06-22 13:23:28,96.7662
2022-06-22 13:23:27,97.2292
2022-06-22 13:23:26,84.8635
2022-06-22 13:23:25,70.603
2022-06-22 13:23:24,40.0497
2022-06-22 13:23:23,56.0197
2022-06-22 13:23:22,61.4815
2022-06-22 13:23:21,88.7218
2022-06-22 13:23:20,64.1463
2022-06-22 13:23:19,56.7237
2022-06-22 13:23:18,56.8627
2022-06-22 13:23:17,59.0123
2022-06-22 13:23:16,85.0746
2022-06-22 13:23:15,75.6281
2022-06-22 13:23:14,62.406
2022-06-22 13:23:13,61.4634
2022-06-22 13:23:12,52.7228
2022-06-22 13:23:11,87.2818
2022-06-22 13:23:10,76.75
2022-06-22 13:23:09,69.6517
2022-06-22 13:23:08,92.5187
2022-06-22 13:23:07,92.9648
2022-06-22 13:23:06,91
2022-06-22 13:23:05,86.1461
2022-06-22 13:23:04,76.8844
2022-06-22 13:23:03,52.0988
2022-06-22 13:23:02,50.6203
2022-06-22 13:23:01,68.9826
2022-06-22 13:23:00,63.9304
2022-06-22 13:22:59,55.6098
2022-06-22 13:22:58,57.561
2022-06-22 13:22:57,57.4209
2022-06-22 13:22:56,74.1855
2022-06-22 13:22:55,73.8272
2022-06-22 13:22:54,65.586
2022-06-22 13:22:53,62.7451
2022-06-22 13:22:52,58.0247
2022-06-22 13:22:51,67.9012
2022-06-22 13:22:50,82.4257
2022-06-22 13:22:49,84.788
2022-06-22 13:22:48,60.1485
2022-06-22 13:22:47,96.4824
2022-06-22 13:22:46,90.0249
2022-06-22 13:22:45,97.7387
2022-06-22 13:22:44,85.0633
2022-06-22 13:22:43,75.443
2022-06-22 13:22:42,48.1203
2022-06-22 13:22:41,51.1335
2022-06-22 13:22:40,61.1386
2022-06-22 13:22:39,68.1265
2022-06-22 13:22:38,54.4118
2022-06-22 13:22:37,57.9853
2022-06-22 13:22:36,57.1782
2022-06-22 13:22:35,68.8279
2022-06-22 13:22:34,74.3902
2022-06-22 13:22:33,73.0198
2022-06-22 13:22:32,62.6866
2022-06-22 13:22:31,60.0985
2022-06-22 13:22:30,59.0244
2022-06-22 13:22:29,89.4472
