time,in,out
2022-06-22 14:03:50,3423.052,-37.91401
2022-06-22 14:03:49,180.1862,-267.2191
2022-06-22 14:03:48,72.2413,-282.7264
2022-06-22 14:03:47,7.999428,-89.98554
2022-06-22 14:03:46,13.977021,-147.78684
2022-06-22 14:03:45,20.00223,-245.867
2022-06-22 14:03:44,12.03002,-164.46333
2022-06-22 14:03:43,3.999654,-81.84113
2022-06-22 14:03:42,11.969645,-149.89716
2022-06-22 14:03:41,49.89427,-94.31073
2022-06-22 14:03:40,40.14349,-593.8101
2022-06-22 14:03:39,0,-592.2115
2022-06-22 14:03:38,0,-5.976182
2022-06-22 14:03:37,0,-6.023818
2022-06-22 14:03:36,0,0
2022-06-22 14:03:35,0,0
2022-06-22 14:03:34,0,0
2022-06-22 14:03:33,51.80834,-7.970514
2022-06-22 14:03:32,52.19166,-8.029486
2022-06-22 14:03:31,55.78841,0
2022-06-22 14:03:30,56.21159,0
2022-06-22 14:03:29,0,0
2022-06-22 14:03:28,0,0
2022-06-22 14:03:27,197.2601,-5.977579
2022-06-22 14:03:26,198.7399,-6.022421
2022-06-22 14:03:25,9.963572,0
2022-06-22 14:03:24,10.036428,0
2022-06-22 14:03:23,181.3353,0
2022-06-22 14:03:22,182.6647,-13.948821
2022-06-22 14:03:21,9.963277,-14.051179
2022-06-22 14:03:20,10.036723,0
2022-06-22 14:03:19,0,-29.88845
2022-06-22 14:03:18,0,-30.11155
2022-06-22 14:03:17,711.3262,-5.977531
2022-06-22 14:03:16,716.6738,-6.022469
2022-06-22 14:03:15,0,0
2022-06-22 14:03:14,0,-5.977654
2022-06-22 14:03:13,0,-27.94042
2022-06-22 14:03:12,0,-34.03718
2022-06-22 14:03:11,147.46083,-12.044739
2022-06-22 14:03:10,148.53917,0
2022-06-22 14:03:09,55.79197,-27.89598
2022-06-22 14:03:08,56.20803,-30.0965
2022-06-22 14:03:07,171.3594,-11.97027
2022-06-22 14:03:06,180.6113,-10.037241
2022-06-22 14:03:05,420.4687,0
2022-06-22 14:03:04,415.5606,-43.83085
2022-06-22 14:03:03,55.79418,-44.16915
2022-06-22 14:03:02,56.20582,0
2022-06-22 14:03:01,488.1796,-5.977709
2022-06-22 14:03:00,491.8204,-6.022291
2022-06-22 14:02:59,191.298,0
2022-06-22 14:02:58,192.702,0
2022-06-22 14:02:57,31.88141,0
2022-06-22 14:02:56,32.11859,-5.978205
2022-06-22 14:02:55,0,-6.021795
2022-06-22 14:02:54,0,0
