time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-22 21:54:43,0,0,0,0,0,0.2506266,0.3759398,0,0.1253133
2022-06-22 21:54:42,0,0,0.1254705,0.5018821,0,5.520703,3.764115,0,0
2022-06-22 21:54:41,0,0,0.2496879,0.4993758,0,8.489388,8.614232,0,0.6242197
2022-06-22 21:54:40,0,0,0,0,0,0,0.2503129,0,0
2022-06-22 21:54:39,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:38,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:37,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:36,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:35,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:34,0,0,0,0,0,0.1251564,0,0,0
2022-06-22 21:54:33,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-22 21:54:32,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:31,0,0,0,0,0,0.1253133,0,0,0
2022-06-22 21:54:30,0,0,0,0,0,0,0.2496879,0,0
2022-06-22 21:54:29,0,0,0,0,0,0,0.1253133,0,0
2022-06-22 21:54:28,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-22 21:54:27,0,0,0,0,0,0.1251564,0,0,0
2022-06-22 21:54:26,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-06-22 21:54:25,0,0,0,0,0,0,0.25,0,0
2022-06-22 21:54:24,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:23,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:22,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:21,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-22 21:54:20,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:19,0,0,0,0,0,0,0,0,0
2022-06-22 21:54:18,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:17,0,0,0,0,0,0,0.25,0,0
2022-06-22 21:54:16,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:15,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:14,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:13,0,0,0,0,0,0.25,0,0,0
2022-06-22 21:54:12,0,0,0,0,0,0,0.25,0,0
2022-06-22 21:54:11,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:10,0,0,0,0,0,0.1253133,0,0,0
2022-06-22 21:54:09,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-22 21:54:08,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:07,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:54:06,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:54:05,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-22 21:54:04,0,0,0,0,0,0.125,0,0,0
2022-06-22 21:54:03,0,0,0,0,0,0,0.25,0,0
2022-06-22 21:54:02,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-06-22 21:54:01,0,0,0,0,0,0,0.2503129,0,0
2022-06-22 21:54:00,0,0,0,0,0,0.124533,0.124533,0,0
2022-06-22 21:53:59,0,0,0,0,0,0,0.25,0,0
2022-06-22 21:53:58,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:53:57,0,0,0,0,0,0.125,0,0,0
2022-06-22 21:53:56,0,0,0,0,0,0,0.2503129,0,0
2022-06-22 21:53:55,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:53:54,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:53:53,0,0,0,0,0,0,0,0,0
2022-06-22 21:53:52,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-22 21:53:51,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:53:50,0,0,0,0,0,0,0.25,0,0
2022-06-22 21:53:49,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:53:48,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-22 21:53:47,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:53:46,0,0,0,0,0,0,0.125,0,0
2022-06-22 21:53:45,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-06-22 21:53:44,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:53:43,0,0,0,0,0,0.1251564,0,0,0
2022-06-22 21:53:42,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-06-22 21:53:41,0,0,0,0,0,0,0.125,0,0
2022-06-22 21:53:40,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-22 21:53:39,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:53:38,0,0,0.1254705,0,0,0,0.3764115,0,0.250941
2022-06-22 21:53:37,0,0,0,0,0,0.25,0,0,0
2022-06-22 21:53:36,0,0,0,0,0,0,0.25,0,0
2022-06-22 21:53:35,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-22 21:53:34,0,0,0,0,0,0.1248439,0.1248439,0,0.1248439
2022-06-22 21:53:33,0,0,0,0,0,0,0,0,0
2022-06-22 21:53:32,0,0,0,0,0,0.1251564,0.2503129,0,0
2022-06-22 21:53:31,0,0,0,0,0,0.125,0,0,0
2022-06-22 21:53:30,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-06-22 21:53:29,0,0,0,0,0,0,0,0,0
2022-06-22 21:53:28,0,0,0,0,0,0.1253133,0.2506266,0,0
2022-06-22 21:53:27,0,0,0,0,0,0,0.125,0,0
2022-06-22 21:53:26,0,0,0,0,0,0,0.2496879,0,0
2022-06-22 21:53:25,0,0,0,0,0,0.2496879,0.2496879,0,0
2022-06-22 21:53:24,0,0,0,0,0,0,0.1254705,0,0
2022-06-22 21:53:23,0,0,0,0,0,0,0.1251564,0,0
2022-06-22 21:53:22,0,0,0,0,0,0.125,0.125,0,0
2022-06-22 21:53:21,0,0,0.2503129,0.3754693,0,1.126408,2.12766,0,1.2515645
2022-06-22 21:53:20,0,0,0,0.4975124,0,2.985075,1.741294,0,0
2022-06-22 21:53:19,0,0,0,0,0,0,0.125,0,0
