time,in,out
2022-06-22 12:54:43,0,0
2022-06-22 12:54:42,143.33466,-40485.46
2022-06-22 12:54:41,226.2893,-63916.35
2022-06-22 12:54:40,1.2659242,-1.1914581
2022-06-22 12:54:39,1.998076,-1.880542
2022-06-22 12:54:38,0,0
2022-06-22 12:54:37,0.9677436,-1.0173715
2022-06-22 12:54:36,1.5282564,-1.6066285
2022-06-22 12:54:35,0,0
2022-06-22 12:54:34,0,0
2022-06-22 12:54:33,0,0
2022-06-22 12:54:32,0,0
2022-06-22 12:54:31,0,0
2022-06-22 12:54:30,0,0
2022-06-22 12:54:29,0,0
2022-06-22 12:54:28,0,0
2022-06-22 12:54:27,0,0
2022-06-22 12:54:26,0,0
2022-06-22 12:54:25,0,0
2022-06-22 12:54:24,0,0
2022-06-22 12:54:23,0,0
2022-06-22 12:54:22,0,0
2022-06-22 12:54:21,0,0
2022-06-22 12:54:20,0,0
2022-06-22 12:54:19,0,0
2022-06-22 12:54:18,0,0
2022-06-22 12:54:17,0,0
2022-06-22 12:54:16,0,0
2022-06-22 12:54:15,0,0
2022-06-22 12:54:14,0.967568,-1.0109845
2022-06-22 12:54:13,1.528432,-1.5970155
2022-06-22 12:54:12,0,0
2022-06-22 12:54:11,0,0
2022-06-22 12:54:10,0,0
2022-06-22 12:54:09,0,0
2022-06-22 12:54:08,0,0
2022-06-22 12:54:07,0,0
2022-06-22 12:54:06,0,0
2022-06-22 12:54:05,0,0
2022-06-22 12:54:04,0,0
2022-06-22 12:54:03,0,0
2022-06-22 12:54:02,0,0
2022-06-22 12:54:01,0,0
2022-06-22 12:54:00,0,0
2022-06-22 12:53:59,0,0
2022-06-22 12:53:58,0.2419117,-0.4155918
2022-06-22 12:53:57,0.3820883,-0.6564082
2022-06-22 12:53:56,0,0
2022-06-22 12:53:55,0,0
2022-06-22 12:53:54,0,0
2022-06-22 12:53:53,0,0
2022-06-22 12:53:52,0,0
2022-06-22 12:53:51,0,0
2022-06-22 12:53:50,0,0
2022-06-22 12:53:49,0,0
2022-06-22 12:53:48,0,0
2022-06-22 12:53:47,0,0
2022-06-22 12:53:46,0,0
2022-06-22 12:53:45,0,0
2022-06-22 12:53:44,0,0
2022-06-22 12:53:43,0,0
2022-06-22 12:53:42,0,0
2022-06-22 12:53:41,0,0
2022-06-22 12:53:40,0,0
2022-06-22 12:53:39,0,0
2022-06-22 12:53:38,0,0
2022-06-22 12:53:37,0,0
2022-06-22 12:53:36,0,0
2022-06-22 12:53:35,0,0
2022-06-22 12:53:34,0,0
2022-06-22 12:53:33,0,0
2022-06-22 12:53:32,0,0
2022-06-22 12:53:31,0,0
2022-06-22 12:53:30,0,0
2022-06-22 12:53:29,0,0
2022-06-22 12:53:28,0,0
2022-06-22 12:53:27,0,0
2022-06-22 12:53:26,0,0
2022-06-22 12:53:25,0,0
2022-06-22 12:53:24,0,0
2022-06-22 12:53:23,0,0
2022-06-22 12:53:22,17.58641,-13.351381
2022-06-22 12:53:21,28.32936,-21.37197
2022-06-22 12:53:20,1.0042236,-0.548649
2022-06-22 12:53:19,0,0
