time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-22 12:58:01,0,0,0,0,0,0,0.25,0.25,0
2022-06-22 12:58:00,0,0,0,0.25,0,0,0,0.5,0
2022-06-22 12:57:59,0,0,0,0.5,0,4.25,3.5,0.25,0
2022-06-22 12:57:58,0,0,0.4938272,0.2469136,0,3.950617,1.975309,0.2469136,0.2469136
2022-06-22 12:57:57,0,0,0,1.995012,0,27.43142,5.486284,0,0
2022-06-22 12:57:56,0,0,0,1,0,34.25,2.75,0.25,0
2022-06-22 12:57:55,0,0,0,1,0,29.25,1.75,0.25,0
2022-06-22 12:57:54,0,0,0,0,0,23.5589,2.005013,0.2506266,0
2022-06-22 12:57:53,0,0,0,0.2493766,0,23.19202,1.995012,0.2493766,0
2022-06-22 12:57:52,0,0,0,0.7481297,0,22.94264,2.244389,0,0
2022-06-22 12:57:51,0,0,0,0.4962779,0,23.32506,1.985112,0.248139,0
2022-06-22 12:57:50,0,0,0,0.7481297,0,22.94264,2.244389,0,0.2493766
2022-06-22 12:57:49,0,0,0,0.5,0,16.75,8.25,0.25,0
2022-06-22 12:57:48,0,0,0,0.7462687,0,11.19403,7.462687,0.7462687,0.2487562
2022-06-22 12:57:47,0,0,0,0,0,5.329949,8.883249,0.2538071,0.2538071
2022-06-22 12:57:46,0,0,0,0.486618,0,6.569343,8.759124,0.486618,0.243309
2022-06-22 12:57:45,0,0,0,0.2487562,0,6.218905,8.457711,0.2487562,0.2487562
2022-06-22 12:57:44,0,0,0,0.2538071,0,5.329949,8.121827,0.2538071,14.467005
2022-06-22 12:57:43,0,0,0.2538071,0.7614213,0,5.329949,7.614213,0,4.568528
2022-06-22 12:57:42,0,0,0,0.5167959,0,4.134367,7.235142,0.5167959,0.2583979
2022-06-22 12:57:41,0,0,0,0,0,4.663212,7.253886,0,0
2022-06-22 12:57:40,0,0,0,0.2564103,0,4.871795,7.179487,0.2564103,9.74359
2022-06-22 12:57:39,0,0,0,0.5,0,5.75,8,0.25,10
2022-06-22 12:57:38,0,0,0.5167959,0.5167959,0,13.178295,18.34625,0.5167959,0
2022-06-22 12:57:37,0,0,0,0.5,0,33,3.75,0.25,0
2022-06-22 12:57:36,0,0,0,1.4851485,0,34.40594,2.227723,0.2475248,0
2022-06-22 12:57:35,0,0,0,0.2493766,0,26.18454,2.493766,0.2493766,0
2022-06-22 12:57:34,0,0,0,0,0,23.5,1.75,0.25,0
2022-06-22 12:57:33,0,0,0,0.2506266,0,22.80702,2.506266,0.2506266,0
2022-06-22 12:57:32,0,0,0,0.25,0,23.5,1.75,0.25,0
2022-06-22 12:57:31,0,0,0,0,0,23.5589,1.5037594,0.5012531,0
2022-06-22 12:57:30,0,0,0,0.4975124,0,20.39801,4.726368,0.2487562,0
2022-06-22 12:57:29,0,0,0,0,0,16.83417,8.291457,0.2512563,0
2022-06-22 12:57:28,0,0,0,0.2557545,0,6.649616,7.928389,0.511509,1.5345269
2022-06-22 12:57:27,0,0,0,0.2518892,0,4.534005,8.312343,0.2518892,16.87657
2022-06-22 12:57:26,0,0,0,0.2512563,0,5.778894,8.79397,0.2512563,1.5075377
2022-06-22 12:57:25,0,0,0,0,0,5.289673,8.312343,0.2518892,7.808564
2022-06-22 12:57:24,0,0,0,0.7712082,0,4.884319,6.169666,0.2570694,16.96658
2022-06-22 12:57:23,0,0,0,0.2518892,0,5.289673,9.06801,0,0.2518892
2022-06-22 12:57:22,0,0,0,0.5063291,0,3.544304,9.367089,0.5063291,0.2531646
2022-06-22 12:57:21,0,0,0,0.2506266,0,5.012531,9.273183,0,10.776942
2022-06-22 12:57:20,0,0,0,0.2531646,0,4.303797,8.35443,0.5063291,16.708861
2022-06-22 12:57:19,0,0,0.25,0.25,0,5.5,8.25,0.25,15.75
2022-06-22 12:57:18,0,0,0.5025126,0.7537688,0,23.36683,17.08543,0.5025126,1.5075377
2022-06-22 12:57:17,0,0,0,0.9708738,0,34.70874,4.368932,0.2427184,0
2022-06-22 12:57:16,0,0,0,0.5037783,0,31.23426,3.526448,0.5037783,0
2022-06-22 12:57:15,0,0,0,0,0,23.25,1.75,0.5,0
2022-06-22 12:57:14,0,0,0.2493766,0.2493766,0,23.19202,2.244389,0.2493766,0.2493766
2022-06-22 12:57:13,0,0,0,0.2493766,0,23.4414,1.4962594,0.4987531,0
2022-06-22 12:57:12,0,0,0,0,0,22.61307,2.763819,0.2512563,0
2022-06-22 12:57:11,0,0,0,0.4962779,0,23.5732,1.736973,0.248139,0
2022-06-22 12:57:10,0,0,0,0.7462687,0,16.91542,8.208955,0.2487562,0
2022-06-22 12:57:09,0,0,0,0,0,14.467005,7.614213,0.5076142,1.5228426
2022-06-22 12:57:08,0,0,0,0.7425743,0,5.693069,8.910891,0.2475248,2.722772
2022-06-22 12:57:07,0,0,0,0.5063291,0,4.810127,8.607595,0.5063291,15.696203
2022-06-22 12:57:06,0,0,0.255102,0.255102,0,6.377551,8.163265,0.5102041,5.612245
2022-06-22 12:57:05,0,0,0.2531646,0.2531646,0,4.810127,8.101266,0.2531646,14.177215
2022-06-22 12:57:04,0,0,0,0,0,4.392765,6.976744,0.2583979,0.2583979
2022-06-22 12:57:03,0,0,0,0.5050505,0,5.050505,8.080808,0.5050505,2.020202
2022-06-22 12:57:02,0,0,0,0.5012531,0,6.516291,9.273183,0.2506266,2.506266
2022-06-22 12:57:01,0,0,0,0.5025126,0,5.025126,9.798995,0.2512563,15.577889
2022-06-22 12:57:00,0,0,0.7481297,0.2493766,0,5.236908,9.975062,0,0.9975062
2022-06-22 12:56:59,0,0,0.7633588,1.0178117,0,8.905852,19.84733,0.2544529,0
2022-06-22 12:56:58,0,0,0.4950495,1.732673,0,29.45545,7.920792,0.2475248,0
2022-06-22 12:56:57,0,0,0,0.4987531,0,34.91272,2.992519,0.2493766,0
2022-06-22 12:56:56,0,0,0,0.4975124,0,29.35323,1.741294,0.2487562,0
2022-06-22 12:56:55,0,0,0,0.4975124,0,22.63682,2.487562,0.4975124,0
2022-06-22 12:56:54,0,0,0,0.7444169,0,23.32506,1.985112,0.248139,0
2022-06-22 12:56:53,0,0,0,0.7481297,0,22.94264,1.745636,0.4987531,0
2022-06-22 12:56:52,0,0,0,0.2493766,0,23.69077,1.4962594,0.2493766,0
2022-06-22 12:56:51,0,0,0,0.4987531,0,23.94015,1.2468828,0.4987531,0
2022-06-22 12:56:50,0,0,0,0.4975124,0,15.422886,9.452736,0.4975124,0
2022-06-22 12:56:49,0,0,0,0.4975124,0,8.208955,10.199005,0,9.701493
2022-06-22 12:56:48,0,0,0,0,0,4.822335,10.659898,0,1.5228426
2022-06-22 12:56:47,0,0,0,0.4987531,0,6.733167,9.476309,0.4987531,7.730673
2022-06-22 12:56:46,0,0,0,0.2518892,0,5.793451,7.808564,0.5037783,3.526448
2022-06-22 12:56:45,0,0,0,0,0,5.370844,8.695652,0,9.71867
2022-06-22 12:56:44,0,0,0,0.2557545,0,6.649616,7.672634,0.2557545,5.11509
2022-06-22 12:56:43,0,0,0,0.2493766,0,5.735661,9.476309,0.2493766,10.972569
2022-06-22 12:56:42,0,0,0,0,0,6.75,10.25,0.25,16.75
2022-06-22 12:56:41,0,0,0,0.5037783,0,5.289673,9.06801,0,6.801008
2022-06-22 12:56:40,0,0,0.2457002,0.4914005,0,6.633907,10.07371,0,13.759214
2022-06-22 12:56:39,0,0,0.5154639,0.7731959,0,14.175258,17.01031,0.257732,0.5154639
2022-06-22 12:56:38,0,0,0.2518892,0.7556675,0,3.02267,10.327456,0,0.2518892
2022-06-22 12:56:37,0,0,0,0.2512563,0,6.281407,8.542714,0.5025126,0
