time,in,out
2022-06-22 12:56:37,969.66,-78.4941
2022-06-22 12:56:38,37044.6,-77.7365
2022-06-22 12:56:39,1.03884e+06,-99.9225
2022-06-22 12:56:40,1.30303e+06,-44.9913
2022-06-22 12:56:41,980784,-6.85492
2022-06-22 12:56:42,981041,-33.2282
2022-06-22 12:56:43,980503,-46.8908
2022-06-22 12:56:44,980724,-103.55
2022-06-22 12:56:45,980713,-145.324
2022-06-22 12:56:46,981095,-52.1521
2022-06-22 12:56:47,981122,0
2022-06-22 12:56:48,981026,0
2022-06-22 12:56:49,728183,0
2022-06-22 12:56:50,226406,-851.768
2022-06-22 12:56:51,9.73263,-604.232
2022-06-22 12:56:52,0,-24.4736
2022-06-22 12:56:53,14.0058,-1009.28
2022-06-22 12:56:54,9.99418,-820.644
2022-06-22 12:56:55,381.466,-115.126
2022-06-22 12:56:56,279.892,-42.4804
2022-06-22 12:56:57,6.64189,0
2022-06-22 12:56:58,466077,-34.2205
2022-06-22 12:56:59,1173401,-48.5821
2022-06-22 12:57:00,1.15659e+06,-941.54
2022-06-22 12:57:01,973642,-7802.22
2022-06-22 12:57:02,975857,-5468.87
2022-06-22 12:57:03,981027,-28.5671
2022-06-22 12:57:04,981049,0
2022-06-22 12:57:05,980779,-1595.22
2022-06-22 12:57:06,980654,-1211.6
2022-06-22 12:57:07,980957,-16.5184
2022-06-22 12:57:08,980683,-27.4033
2022-06-22 12:57:09,487150,-41.6003
2022-06-22 12:57:10,50973.9,-61.5794
2022-06-22 12:57:11,0,-36.53
2022-06-22 12:57:12,0,-1.54772
2022-06-22 12:57:13,4.52808,0
2022-06-22 12:57:14,77.0358,-2.26661
2022-06-22 12:57:15,46.4361,-1.73339
2022-06-22 12:57:16,56.3852,-4.79252
2022-06-22 12:57:17,43.9442,-3.20748
2022-06-22 12:57:18,1.00035e+06,0
2022-06-22 12:57:19,1.29845e+06,0
2022-06-22 12:57:20,979696,-29.9869
2022-06-22 12:57:21,981134,-63.2295
2022-06-22 12:57:22,981799,-59.1114
2022-06-22 12:57:23,980767,-19.6721
2022-06-22 12:57:24,980612,0
2022-06-22 12:57:25,980960,-21.0584
2022-06-22 12:57:26,980924,-17.0244
2022-06-22 12:57:27,980892,-1.91721
2022-06-22 12:57:28,768461,-21618.7
2022-06-22 12:57:29,255411,-16209.4
2022-06-22 12:57:30,920.863,-7767.26
2022-06-22 12:57:31,1.5496,-4976.56
2022-06-22 12:57:32,1123.26,-143.084
2022-06-22 12:57:33,796.743,-44.3024
2022-06-22 12:57:34,0,-141.879
2022-06-22 12:57:35,0,-119.033
2022-06-22 12:57:36,0,-29.8045
2022-06-22 12:57:37,510290,-25.6358
2022-06-22 12:57:38,1.15591e+06,-8.30522
2022-06-22 12:57:39,1.11881e+06,0
2022-06-22 12:57:40,980790,-29.4708
2022-06-22 12:57:41,981035,-67.3057
2022-06-22 12:57:42,981820,-67.3662
2022-06-22 12:57:43,981608,-27.8573
2022-06-22 12:57:44,980740,0
2022-06-22 12:57:45,980945,-88.9166
2022-06-22 12:57:46,981056,-63.0834
2022-06-22 12:57:47,956089,-7134.37
2022-06-22 12:57:48,494277,-5506.65
2022-06-22 12:57:49,68561.8,-21652.4
2022-06-22 12:57:50,34.0486,-23863.8
2022-06-22 12:57:51,0,-4870.77
2022-06-22 12:57:52,0,0
2022-06-22 12:57:53,0,-11.3425
2022-06-22 12:57:54,0,-61.4993
2022-06-22 12:57:55,0,-68.5761
2022-06-22 12:57:56,941.951,-18.5821
2022-06-22 12:57:57,2202.92,-11.706
2022-06-22 12:57:58,1095.89,-8.29399
2022-06-22 12:57:59,60.6926,0
2022-06-22 12:58:00,1.91687,-107.102
2022-06-22 12:58:01,0,-53.8993
