time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-07-20 10:20:11,0,0,0,0,0,0.5050505,10.858586,0,1.5151515
2022-07-20 10:20:10,0,0,0,0.5012531,0,0.7518797,6.265664,0.2506266,1.754386
2022-07-20 10:20:09,0,0,0,0,0,0,2.261307,0.2512563,2.01005
2022-07-20 10:20:08,0,0,0,0,0,0.2493766,0.4987531,0,0
2022-07-20 10:20:07,0,0,0,0,0,0,0.2512563,0.2512563,0
2022-07-20 10:20:06,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-07-20 10:20:05,0,0,0.4975124,0,0,0,0.4975124,0.2487562,0.2487562
2022-07-20 10:20:04,0,0,0,0,0,0,0,0.2512563,0
2022-07-20 10:20:03,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:20:02,0,0,0,0,0,0,0.2512563,0.2512563,0.2512563
2022-07-20 10:20:01,0,0,0,0,0,0.2512563,0,0.2512563,0
2022-07-20 10:20:00,0,0,0,0,0,0,0.25,0.25,0
2022-07-20 10:19:59,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:19:58,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:19:57,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:19:56,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:55,0,0,0,0,0,0.2512563,0.2512563,0,0
2022-07-20 10:19:54,0,0,0,0,0,0.2493766,0.4987531,0,0
2022-07-20 10:19:53,0,0,0,0,0,0,0,0.2512563,0
2022-07-20 10:19:52,0,0,0.2493766,0,0,0.2493766,0.2493766,0.2493766,0
2022-07-20 10:19:51,0,0,0,0,0,0,0,0.2512563,0
2022-07-20 10:19:50,0,0,0,0,0,0.2493766,0.2493766,0.2493766,0
2022-07-20 10:19:49,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:19:48,0,0,0,0,0,0,0,0.2512563,0
2022-07-20 10:19:47,0,0,0,0,0,0,0,0.2506266,0
2022-07-20 10:19:46,0,0,0,0,0,0.5,0.5,0.25,0
2022-07-20 10:19:45,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:44,0,0,0,0,0,0,0,0,0
2022-07-20 10:19:43,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:42,0,0,0,0,0,0.25,0.25,0,0
2022-07-20 10:19:41,0,0,0,0,0,0,0,0.2512563,0
2022-07-20 10:19:40,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:19:39,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:19:38,0,0,0,0,0,0,0.2506266,0,0
2022-07-20 10:19:37,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:36,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:19:35,0,0,0,0,0,0.4987531,0.2493766,0.2493766,0
2022-07-20 10:19:34,0,0,0,0,0,0.2506266,0,0.2506266,0
2022-07-20 10:19:33,0,0,0.2493766,0,0,0,0.2493766,0.4987531,0
2022-07-20 10:19:32,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:31,0,0,0,0,0,0.2512563,0,0,0
2022-07-20 10:19:30,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:29,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:28,0,0,0,0,0,0,0,0,0
2022-07-20 10:19:27,0,0,0,0,0,0.2493766,0.4987531,0.2493766,0
2022-07-20 10:19:26,0,0,0,0,0,0,0.5012531,0,0
2022-07-20 10:19:25,0,0,0,0,0,0.25,0.5,0,0
2022-07-20 10:19:24,0,0,0,0,0,0,0,0.2512563,0
2022-07-20 10:19:23,0,0,0,0,0,0,0.5,0.25,0
2022-07-20 10:19:22,0,0,0,0,0,0,0.2506266,0,0
2022-07-20 10:19:21,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:20,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:19,0,0,0,0,0,0.4987531,0.2493766,0,0
2022-07-20 10:19:18,0,0,0,0,0,0,0,0.2512563,0
2022-07-20 10:19:17,0,0,0,0,0,0,0.5,0.25,0
2022-07-20 10:19:16,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:19:15,0,0,0,0,0,0,0.5,0,0
2022-07-20 10:19:14,0,0,0.2506266,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:13,0,0,0,0,0,0,0.25,0.5,0.25
2022-07-20 10:19:12,0,0,0.25,0,0,0,0.25,0,0
2022-07-20 10:19:11,0,0,0,0,0,0,0,0.2512563,0
2022-07-20 10:19:10,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-07-20 10:19:09,0,0,0,0,0,0,0.5,0.25,0
2022-07-20 10:19:08,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:19:07,0,0,0.2525253,0,0,0,0.5050505,0,0.2525253
2022-07-20 10:19:06,0,0,0.25,0,0,0,0.25,0.25,0
2022-07-20 10:19:05,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:19:04,0,0,0,0,0,0,0,0,0
2022-07-20 10:19:03,0,0,0,0,0,0.2506266,0.2506266,0.2506266,0
2022-07-20 10:19:02,0,0,0,0,0,0,0.2506266,0,0
2022-07-20 10:19:01,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:19:00,0,0,0,0,0,0.2506266,0.5012531,0.2506266,0
2022-07-20 10:18:59,0,0,0,0,0,0.2493766,0.2493766,0.2493766,0
2022-07-20 10:18:58,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:18:57,0,0,0,0,0,0,0.2506266,0,0
2022-07-20 10:18:56,0,0,0,0,0,0.2512563,0.2512563,0.2512563,0
2022-07-20 10:18:55,0,0,0,0,0,0,0.5,0.25,0
2022-07-20 10:18:54,0,0,0,0,0,0.25,0.25,0,0
2022-07-20 10:18:53,0,0,0,0,0,0,0.2518892,0,0
2022-07-20 10:18:52,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:51,0,0,0,0,0,0,0.2506266,0,0
2022-07-20 10:18:50,0,0,0.25,0,0,0,0.25,0.25,0
2022-07-20 10:18:49,0,0,0,0,0,0.25,0,0.5,0
2022-07-20 10:18:48,0,0,0,0,0,0,0.75,0.25,0.25
2022-07-20 10:18:47,0,0,0,0,0,0.2506266,0,0.2506266,0
2022-07-20 10:18:46,0,0,0,0,0,0,0.5012531,0,0
2022-07-20 10:18:45,0,0,0,0,0,0.2493766,0.2493766,0.2493766,0
2022-07-20 10:18:44,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:18:43,0,0,0,0,0,0,0.2512563,0.2512563,0
2022-07-20 10:18:42,0,0,0,0,0,0.25,0.25,0,0
2022-07-20 10:18:41,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:40,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:39,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:18:38,0,0,0,0,0,0.2493766,0.2493766,0.2493766,0
2022-07-20 10:18:37,0,0,0.2493766,0,0,0.2493766,0.2493766,0.2493766,0
2022-07-20 10:18:36,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:18:35,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:18:34,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:33,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:18:32,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:18:31,0,0,0,0,0,0.2506266,0,0.2506266,0
2022-07-20 10:18:30,0,0,0,0,0,0,0,0.2506266,0
2022-07-20 10:18:29,0,0,0,0,0,0.25,0.5,0,0
2022-07-20 10:18:28,0,0,0,0,0,0,0,0,0
2022-07-20 10:18:27,0,0,0,0,0,0,0,0.5012531,0
2022-07-20 10:18:26,0,0,0,0,0,0,0.5012531,0,0
2022-07-20 10:18:25,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:24,0,0,0.2506266,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:23,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:22,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:18:21,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:18:20,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:19,0,0,0,0,0,0,0.5012531,0,0
2022-07-20 10:18:18,0,0,0,0,0,0.2493766,0.2493766,0.2493766,0
2022-07-20 10:18:17,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-20 10:18:16,0,0,0,0,0,0,0,0,0
2022-07-20 10:18:15,0,0,0,0,0,0.2493766,0.4987531,0.2493766,0
2022-07-20 10:18:14,0,0,0,0,0,0,0,0,0
2022-07-20 10:18:13,0,0,0,0,0,0,0.5,0.25,0
2022-07-20 10:18:12,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-07-20 10:18:11,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:10,0,0,0,0,0,0,0.2512563,0,0
2022-07-20 10:18:09,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-20 10:18:08,0,0,0,0,0,0.2506266,0,0,0
2022-07-20 10:18:07,0,0,0.2493766,0,0,0,0.4987531,0.2493766,0
2022-07-20 10:18:06,0,0,0,0,0,0,0,0.2512563,0
