time,in,out
2022-07-21 00:06:23,16400.234,-53.63659
2022-07-21 00:06:22,1937.616,-1916.646
2022-07-21 00:06:21,3351.57,-3511.369
2022-07-21 00:06:20,739.0544,-973.574
2022-07-21 00:06:19,50.15364,-14.792448
2022-07-21 00:06:18,50.61701,-13.145406
2022-07-21 00:06:17,33.48955,-12.279721
2022-07-21 00:06:16,35.81052,-12.727791
2022-07-21 00:06:15,36.35729,-12.560773
2022-07-21 00:06:14,37.85679,-13.271653
2022-07-21 00:06:13,71.13859,-17.77702
2022-07-21 00:06:12,159.27419,-30.53462
2022-07-21 00:06:11,153.34631,-32.37231
2022-07-21 00:06:10,90.992,-25.42951
2022-07-21 00:06:09,104.09838,-23.83122
2022-07-21 00:06:08,87.60153,-20.07142
2022-07-21 00:06:07,92.44118,-23.00826
2022-07-21 00:06:06,33.63452,-12.236226
2022-07-21 00:06:05,50.71131,-13.602695
2022-07-21 00:06:04,61.45648,-13.96988
2022-07-21 00:06:03,33.13588,-11.738665
2022-07-21 00:06:02,116.20244,-23.3769
2022-07-21 00:06:01,170.1077,-30.69836
2022-07-21 00:06:00,48.02062,-13.802812
2022-07-21 00:05:59,47.3315,-14.093888
2022-07-21 00:05:58,52.96202,-13.969416
2022-07-21 00:05:57,33.1347,-11.738232
2022-07-21 00:05:56,33.5236,-13.763471
2022-07-21 00:05:55,53.58484,-16.167894
2022-07-21 00:05:54,58.7781,-12.980098
2022-07-21 00:05:53,32.99307,-12.03088
2022-07-21 00:05:52,87.72339,-20.51653
2022-07-21 00:05:51,120.44992,-24.49578
2022-07-21 00:05:50,49.62356,-14.345632
2022-07-21 00:05:49,52.02939,-14.791467
2022-07-21 00:05:48,50.28725,-12.980669
2022-07-21 00:05:47,32.9913,-12.030224
2022-07-21 00:05:46,35.8069,-12.726447
2022-07-21 00:05:45,50.10813,-12.560919
2022-07-21 00:05:44,58.63876,-13.273284
2022-07-21 00:05:43,36.46982,-13.057856
2022-07-21 00:05:42,85.81962,-18.39064
2022-07-21 00:05:41,231.1501,-247.5972
2022-07-21 00:05:40,268.9811,-361.9979
2022-07-21 00:05:39,122.25357,-23.82817
2022-07-21 00:05:38,49.40485,-13.271933
2022-07-21 00:05:37,36.80085,-13.771432
2022-07-21 00:05:36,35.13715,-13.815514
2022-07-21 00:05:35,50.71455,-13.602948
2022-07-21 00:05:34,61.45124,-13.968849
2022-07-21 00:05:33,101.87249,-20.32133
2022-07-21 00:05:32,160.77631,-28.03192
2022-07-21 00:05:31,83.69855,-18.47199
2022-07-21 00:05:30,104.09352,-20.01688
2022-07-21 00:05:29,163.04051,-27.91618
2022-07-21 00:05:28,148.47551,-27.14061
2022-07-21 00:05:27,90.32987,-19.79133
2022-07-21 00:05:26,79.94375,-42.53357
2022-07-21 00:05:25,123.71551,-59.63108
2022-07-21 00:05:24,95.54888,-36.95498
2022-07-21 00:05:23,95.52621,-50.44851
2022-07-21 00:05:22,63.8431,-17.38106
2022-07-21 00:05:21,113.43762,-38.52558
2022-07-21 00:05:20,140.04251,-54.73404
2022-07-21 00:05:19,91.28714,-21.41653
2022-07-21 00:05:18,57.27013,-12.639373
2022-07-21 00:05:17,31.03657,-11.984903
2022-07-21 00:05:16,35.93431,-13.372287
2022-07-21 00:05:15,50.27715,-12.56116
2022-07-21 00:05:14,58.88116,-13.271419
2022-07-21 00:05:13,35.80984,-12.727471
2022-07-21 00:05:12,52.12742,-14.577951
2022-07-21 00:05:11,78.81611,-17.14054
2022-07-21 00:05:10,78.67439,-14.790818
2022-07-21 00:05:09,75.7582,-13.803946
2022-07-21 00:05:08,58.63353,-13.272527
2022-07-21 00:05:07,35.80636,-12.726217
2022-07-21 00:05:06,33.63494,-12.236521
2022-07-21 00:05:05,50.88369,-13.603333
2022-07-21 00:05:04,61.69645,-13.967829
2022-07-21 00:05:03,33.13883,-11.73974
2022-07-21 00:05:02,49.97091,-12.853182
2022-07-21 00:05:01,78.4199,-14.955656
2022-07-21 00:05:00,76.07939,-14.218068
2022-07-21 00:04:59,76.44211,-14.510819
2022-07-21 00:04:58,62.94382,-15.238467
2022-07-21 00:04:57,34.63984,-13.279796
2022-07-21 00:04:56,35.03587,-14.07549
2022-07-21 00:04:55,54.89868,-16.639435
2022-07-21 00:04:54,57.30528,-12.981013
2022-07-21 00:04:53,32.99163,-12.030329
2022-07-21 00:04:52,51.80747,-13.548729
2022-07-21 00:04:51,74.27922,-13.968538
2022-07-21 00:04:50,159.40416,-274.4577
2022-07-21 00:04:49,288.4727,-460.1005
2022-07-21 00:04:48,270.1394,-146.27955
2022-07-21 00:04:47,202.0113,-120.19531
2022-07-21 00:04:46,99.5105,-54.3253
2022-07-21 00:04:45,55.19123,-15.600207
2022-07-21 00:04:44,59.38848,-13.522905
2022-07-21 00:04:43,35.81065,-12.727759
2022-07-21 00:04:42,50.10739,-12.560313
2022-07-21 00:04:41,75.77796,-14.426624
2022-07-21 00:04:40,78.67602,-15.291648
2022-07-21 00:04:39,75.74858,-13.802193
2022-07-21 00:04:38,58.63423,-13.272483
2022-07-21 00:04:37,35.80803,-12.726808
2022-07-21 00:04:36,33.63266,-12.235657
2022-07-21 00:04:35,94.07893,-41.783
2022-07-21 00:04:34,126.94369,-56.53309
2022-07-21 00:04:33,33.13679,-11.73901
2022-07-21 00:04:32,49.96703,-12.852632
2022-07-21 00:04:31,81.60302,-15.85165
2022-07-21 00:04:30,80.72146,-15.405691
2022-07-21 00:04:29,75.8579,-14.094347
2022-07-21 00:04:28,61.45067,-13.96897
2022-07-21 00:04:27,33.13607,-11.738763
2022-07-21 00:04:26,35.03768,-14.076216
2022-07-21 00:04:25,56.0385,-16.97044
2022-07-21 00:04:24,59.02528,-13.480412
2022-07-21 00:04:23,32.99362,-12.03107
2022-07-21 00:04:22,51.92749,-13.73295
2022-07-21 00:04:21,74.29731,-14.081353
2022-07-21 00:04:20,75.36167,-14.095112
2022-07-21 00:04:19,78.42851,-14.791624
2022-07-21 00:04:18,58.77822,-12.98093
2022-07-21 00:04:17,32.99309,-12.03086
2022-07-21 00:04:16,36.13744,-12.891797
2022-07-21 00:04:15,50.77632,-13.142503
2022-07-21 00:04:14,59.21564,-13.938675
2022-07-21 00:04:13,36.30908,-12.97727
2022-07-21 00:04:12,52.12591,-14.577507
2022-07-21 00:04:11,78.16848,-17.14165
2022-07-21 00:04:10,77.20024,-14.790803
2022-07-21 00:04:09,75.01953,-13.803542
2022-07-21 00:04:08,58.63129,-13.272229
2022-07-21 00:04:07,35.80686,-12.72638
2022-07-21 00:04:06,77.4044,-38.61497
2022-07-21 00:04:05,119.55272,-53.64429
2022-07-21 00:04:04,102.33521,-38.26088
2022-07-21 00:04:03,95.68551,-50.20421
2022-07-21 00:04:02,60.5318,-16.2027
2022-07-21 00:04:01,120.88562,-249.3689
2022-07-21 00:04:00,181.1717,-394.3675
2022-07-21 00:03:59,137.90181,-53.5114
2022-07-21 00:03:58,187.4214,-93.79702
2022-07-21 00:03:57,223.6833,-132.55738
2022-07-21 00:03:56,35.32794,-14.365563
2022-07-21 00:03:55,55.87197,-16.638918
2022-07-21 00:03:54,101.99411,-40.82984
2022-07-21 00:03:53,98.2657,-54.09403
2022-07-21 00:03:52,52.78228,-13.548511
2022-07-21 00:03:51,75.91329,-13.802016
2022-07-21 00:03:50,76.02,-14.259294
2022-07-21 00:03:49,78.67881,-15.041978
2022-07-21 00:03:48,58.77832,-12.980529
2022-07-21 00:03:47,33.57195,-12.623134
2022-07-21 00:03:46,36.68523,-13.62258
2022-07-21 00:03:45,50.10545,-12.560021
2022-07-21 00:03:44,58.63793,-13.272951
2022-07-21 00:03:43,36.1414,-12.893211
2022-07-21 00:03:42,50.61119,-12.811024
2022-07-21 00:03:41,75.60496,-14.093855
