time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-07-04 16:23:07,0,0,0,0,0,0.25,0.25,0.25,0
2022-07-04 16:23:06,0,0,0,0,0,0,0.25,0.25,0
2022-07-04 16:23:05,0,0,0,0,0,0.5025126,0,0.2512563,0
2022-07-04 16:23:04,0,0,0.25,0.25,0,0.25,0.75,0.25,0
2022-07-04 16:23:03,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-07-04 16:23:02,0,0,0,0,0,0.2493766,0.4987531,0.2493766,0.2493766
2022-07-04 16:23:01,0,0,0,0,0,0.5,0.25,0.25,0.25
2022-07-04 16:23:00,0,0,0,0,0,0,0.75,0,0
2022-07-04 16:22:59,0,0,0,0.5012531,0,2.005013,1.5037594,0.2506266,0
2022-07-04 16:22:58,0,0,0,0.7594937,0,11.139241,3.291139,0,0
2022-07-04 16:22:57,0,0,3.25,0.25,0,89.75,5.25,0.75,0
2022-07-04 16:22:56,0,0,0.5,0.25,0,95.25,3.75,0,0
2022-07-04 16:22:55,0,0,0,0,0,96.51741,2.985075,0.4975124,0
2022-07-04 16:22:54,0,0,0,0,0,98.49246,1.5075377,0,0
2022-07-04 16:22:53,0,0,0,0,0,96.75,2.75,0.5,0
2022-07-04 16:22:52,0,0,0.2493766,0,0,95.51122,3.990025,0.2493766,0
2022-07-04 16:22:51,0,0,0.2506266,0,0,94.98747,4.761905,0,0
2022-07-04 16:22:50,0,0,1.4962594,1.995012,0,90.02494,6.483791,0,0
2022-07-04 16:22:49,0,0,0.7537688,0.2512563,0,92.46231,6.281407,0.2512563,0
2022-07-04 16:22:48,0,0,2.244389,0.4987531,0,89.77556,7.23192,0.2493766,0
2022-07-04 16:22:47,0,0,3.241895,1.745636,0,85.28678,9.476309,0.2493766,0
2022-07-04 16:22:46,0,0,1.5037594,0.5012531,0,90.47619,7.518797,0,0
2022-07-04 16:22:45,0,0,1.2468828,1.2468828,0,85.78554,10.972569,0.4987531,0
2022-07-04 16:22:44,0,0,1.2468828,1.745636,0,90.52369,6.483791,0,0
2022-07-04 16:22:43,0,0,0.5050505,0.7575758,0,90.65657,7.070707,0.2525253,0
2022-07-04 16:22:42,0,0,0.7407407,0.7407407,0,73.33333,7.160494,0.2469136,0
2022-07-04 16:22:41,0,0,3.241895,3.241895,0,86.03491,6.982544,0.2493766,0
2022-07-04 16:22:40,0,0,4.260652,4.761905,0,78.69674,12.030075,0.2506266,0
2022-07-04 16:22:39,0,0,3,1,0,87.75,7.5,0.5,0
2022-07-04 16:22:38,0,0,1.0075567,0.2518892,0,90.93199,7.052897,0.2518892,0
2022-07-04 16:22:37,0,0,1.2468828,0.2493766,0,94.26434,3.990025,0,0
2022-07-04 16:22:36,0,0,2.005013,0,0,90.72682,6.516291,0.5012531,0.2506266
2022-07-04 16:22:35,0,0,2.5,0.5,0,88,8.5,0.25,0
2022-07-04 16:22:34,0,0,2.506266,0.2506266,0,83.70927,11.779449,0.2506266,0.5012531
2022-07-04 16:22:33,0,0,1.99005,0.4975124,0,86.81592,9.950249,0.2487562,0
2022-07-04 16:22:32,0,0,1.4962594,0,0,91.02244,7.23192,0.2493766,0
2022-07-04 16:22:31,0,0,3.526448,0.5037783,0,88.91688,6.801008,0.2518892,0
2022-07-04 16:22:30,0,0,2.487562,2.487562,0,85.8209,8.706468,0.2487562,0
2022-07-04 16:22:29,0,0,3,2.75,0,86,7.75,0.5,0
2022-07-04 16:22:28,0,0,2.25,1.5,0,88.75,6.75,0.75,0
2022-07-04 16:22:27,0,0,0.7518797,1.2531328,0,89.97494,8.02005,0,0
2022-07-04 16:22:26,0,0,2.244389,0.4987531,0,92.01995,5.236908,0,0
2022-07-04 16:22:25,0,0,1.5,1,0,88,9,0.5,0
2022-07-04 16:22:24,0,0,4.239401,2.743142,0,82.79302,10.224439,0,0
2022-07-04 16:22:23,0,0,1.754386,1.2531328,0,88.7218,7.769424,0.5012531,0
2022-07-04 16:22:22,0,0,4.511278,2.005013,0,82.20551,11.027569,0.2506266,0
2022-07-04 16:22:21,0,0,1.5037594,0.5012531,0,90.72682,7.26817,0,0
2022-07-04 16:22:20,0,0,1.2406948,0.7444169,0,89.08189,8.436725,0.4962779,0
