time,in,out
2022-07-04 16:23:07,12670.234,-90.65149
2022-07-04 16:23:06,1511.0142,-1399.2232
2022-07-04 16:23:05,7472.52,-6841.404
2022-07-04 16:23:04,9600.874,-8963.9
2022-07-04 16:23:03,625.2571,-495.0893
2022-07-04 16:23:02,211.4071,-59.11775
2022-07-04 16:23:01,333.1007,-107.46366
2022-07-04 16:23:00,175.4329,-54.7306
2022-07-04 16:22:59,120.3539,-24.60481
2022-07-04 16:22:58,198.1969,-49.42323
2022-07-04 16:22:57,261.353,-67.99366
2022-07-04 16:22:56,255.6726,-65.79266
2022-07-04 16:22:55,279.2437,-85.19862
2022-07-04 16:22:54,202.473,-86.70932
2022-07-04 16:22:53,257.0808,-106.78937
2022-07-04 16:22:52,260.9541,-93.74672
2022-07-04 16:22:51,303.0081,-99.59967
2022-07-04 16:22:50,261.5865,-150.10682
2022-07-04 16:22:49,314.2102,-156.56939
2022-07-04 16:22:48,283.4573,-115.16571
2022-07-04 16:22:47,180.86,-62.32639
2022-07-04 16:22:46,214.9601,-79.28637
2022-07-04 16:22:45,235.798,-71.98642
2022-07-04 16:22:44,127.55765,-55.06223
2022-07-04 16:22:43,203.0227,-75.9596
2022-07-04 16:22:42,197.5731,-66.32363
2022-07-04 16:22:41,163.98517,-57.13422
2022-07-04 16:22:40,155.05936,-37.05388
2022-07-04 16:22:39,184.9783,-69.69212
2022-07-04 16:22:38,192.7106,-69.56653
2022-07-04 16:22:37,249.2788,-104.3499
2022-07-04 16:22:36,217.1639,-92.76297
2022-07-04 16:22:35,227.0623,-67.6344
2022-07-04 16:22:34,250.5211,-104.25393
2022-07-04 16:22:33,201.4553,-50.38742
2022-07-04 16:22:32,148.96677,-53.80161
2022-07-04 16:22:31,164.51229,-33.53672
2022-07-04 16:22:30,168.8319,-31.86248
2022-07-04 16:22:29,133.73016,-22.95565
2022-07-04 16:22:28,180.4725,-41.28968
2022-07-04 16:22:27,299.5427,-75.08053
2022-07-04 16:22:26,256.6536,-62.74789
2022-07-04 16:22:25,202.4953,-52.68856
2022-07-04 16:22:24,202.1424,-82.2484
2022-07-04 16:22:23,213.9344,-87.0657
2022-07-04 16:22:22,243.6696,-98.79492
2022-07-04 16:22:21,219.441,-72.89295
2022-07-04 16:22:20,229.9636,-77.4173
2022-07-04 16:22:19,202.0118,-60.1617
2022-07-04 16:22:18,193.5151,-97.47692
2022-07-04 16:22:17,186.575,-77.95268
2022-07-04 16:22:16,259.1603,-103.61824
2022-07-04 16:22:15,174.3248,-63.0406
2022-07-04 16:22:14,204.7025,-50.88652
2022-07-04 16:22:13,240.1865,-69.05021
2022-07-04 16:22:12,195.9321,-61.07637
2022-07-04 16:22:11,225.1821,-110.39569
2022-07-04 16:22:10,306.3837,-124.54068
2022-07-04 16:22:09,231.1988,-102.50029
2022-07-04 16:22:08,164.42055,-44.04355
2022-07-04 16:22:07,176.6523,-57.74633
2022-07-04 16:22:06,219.5268,-91.62916
2022-07-04 16:22:05,214.5729,-89.63785
2022-07-04 16:22:04,140.56786,-27.4781
2022-07-04 16:22:03,194.0147,-64.22676
2022-07-04 16:22:02,273.0536,-95.43949
2022-07-04 16:22:01,260.0403,-108.63428
2022-07-04 16:22:00,228.6785,-92.79724
2022-07-04 16:21:59,141.56239,-25.87549
2022-07-04 16:21:58,147.55541,-55.9176
2022-07-04 16:21:57,186.2228,-97.69678
2022-07-04 16:21:56,148.32814,-42.138
2022-07-04 16:21:55,171.8755,-57.11133
2022-07-04 16:21:54,179.2428,-60.92458
2022-07-04 16:21:53,181.9708,-38.83064
2022-07-04 16:21:52,272.1742,-69.27014
2022-07-04 16:21:51,294.6913,-73.04869
2022-07-04 16:21:50,178.8275,-44.63526
2022-07-04 16:21:49,189.8413,-70.89877
2022-07-04 16:21:48,245.8605,-76.79691
2022-07-04 16:21:47,219.0986,-94.08366
2022-07-04 16:21:46,111.40478,-32.42253
2022-07-04 16:21:45,233.451,-71.72551
2022-07-04 16:21:44,290.955,-74.93044
2022-07-04 16:21:43,254.2229,-69.2142
2022-07-04 16:21:42,204.3912,-82.63533
2022-07-04 16:21:41,165.75347,-73.98235
2022-07-04 16:21:40,200.1915,-83.13575
2022-07-04 16:21:39,296.5235,-106.00219
2022-07-04 16:21:38,277.6722,-104.24635
2022-07-04 16:21:37,196.3255,-96.22563
2022-07-04 16:21:36,206.2619,-80.58021
2022-07-04 16:21:35,242.1781,-67.44423
2022-07-04 16:21:34,168.9336,-44.30873
2022-07-04 16:21:33,226.8664,-96.99828
2022-07-04 16:21:32,256.5426,-119.70877
2022-07-04 16:21:31,196.721,-82.19329
2022-07-04 16:21:30,162.82225,-34.48755
2022-07-04 16:21:29,195.8174,-64.64654
2022-07-04 16:21:28,154.23679,-78.12719
2022-07-04 16:21:27,143.65612,-79.87295
2022-07-04 16:21:26,197.191,-45.24165
2022-07-04 16:21:25,200.467,-62.52859
2022-07-04 16:21:24,215.4753,-60.5988
2022-07-04 16:21:23,198.4412,-66.57083
2022-07-04 16:21:22,171.3147,-60.93196
2022-07-04 16:21:21,137.03843,-22.30475
2022-07-04 16:21:20,138.11511,-25.40797
2022-07-04 16:21:19,189.9449,-61.20354
2022-07-04 16:21:18,295.9187,-93.53618
2022-07-04 16:21:17,297.6988,-76.49221
2022-07-04 16:21:16,228.2677,-74.96183
2022-07-04 16:21:15,255.8487,-79.70858
2022-07-04 16:21:14,315.9754,-117.25179
2022-07-04 16:21:13,232.6241,-73.40938
2022-07-04 16:21:12,204.4915,-72.81077
2022-07-04 16:21:11,175.0847,-41.79637
2022-07-04 16:21:10,214.8212,-76.42853
2022-07-04 16:21:09,165.30532,-70.40608
2022-07-04 16:21:08,176.2468,-38.77886
2022-07-04 16:21:07,201.7762,-69.89129
2022-07-04 16:21:06,227.9586,-95.84899
2022-07-04 16:21:05,216.7756,-100.22664
2022-07-04 16:21:04,204.3622,-80.70081
2022-07-04 16:21:03,307.0706,-119.01069
2022-07-04 16:21:02,276.9156,-78.15489
2022-07-04 16:21:01,167.7883,-76.26004
2022-07-04 16:21:00,202.0967,-83.05319
2022-07-04 16:20:59,175.2637,-61.80363
2022-07-04 16:20:58,159.26821,-26.16712
2022-07-04 16:20:57,140.22719,-42.63327
2022-07-04 16:20:56,196.1419,-82.42609
2022-07-04 16:20:55,186.4415,-85.86462
2022-07-04 16:20:54,185.4929,-64.32034
2022-07-04 16:20:53,219.0667,-78.88816
2022-07-04 16:20:52,211.021,-50.52384
2022-07-04 16:20:51,259.0758,-69.88839
2022-07-04 16:20:50,213.4708,-78.11932
2022-07-04 16:20:49,149.05618,-63.07816
2022-07-04 16:20:48,184.9922,-39.4009
2022-07-04 16:20:47,214.5171,-76.08761
2022-07-04 16:20:46,206.4062,-79.94822
2022-07-04 16:20:45,193.3389,-57.40764
2022-07-04 16:20:44,203.8104,-42.7679
2022-07-04 16:20:43,152.86854,-37.16331
2022-07-04 16:20:42,205.61,-63.64449
2022-07-04 16:20:41,195.0039,-59.05753
2022-07-04 16:20:40,163.17529,-46.14227
2022-07-04 16:20:39,252.2569,-76.47261
2022-07-04 16:20:38,262.8086,-98.77279
2022-07-04 16:20:37,259.759,-88.60541
2022-07-04 16:20:36,231.7866,-81.05236
2022-07-04 16:20:35,290.1157,-101.4036
2022-07-04 16:20:34,176.7839,-46.24665
2022-07-04 16:20:33,190.011,-72.55047
2022-07-04 16:20:32,160.53082,-43.51031
2022-07-04 16:20:31,261.492,-72.41572
2022-07-04 16:20:30,254.4836,-75.97987
2022-07-04 16:20:29,265.2742,-102.0794
2022-07-04 16:20:28,254.8052,-108.30752
2022-07-04 16:20:27,257.2823,-117.23093
2022-07-04 16:20:26,277.8286,-88.79495
2022-07-04 16:20:25,176.0587,-62.34639
2022-07-04 16:20:24,229.5202,-103.72563
2022-07-04 16:20:23,147.93107,-85.83069
2022-07-04 16:20:22,217.5011,-70.05363
2022-07-04 16:20:21,166.0613,-48.31564
2022-07-04 16:20:20,170.6241,-52.71603
2022-07-04 16:20:19,201.7626,-56.27004
2022-07-04 16:20:18,178.788,-61.32474
2022-07-04 16:20:17,175.1832,-110.78238
2022-07-04 16:20:16,165.60033,-58.28438
2022-07-04 16:20:15,195.6583,-73.27397
2022-07-04 16:20:14,141.24639,-53.47698
2022-07-04 16:20:13,137.58355,-37.16723
2022-07-04 16:20:12,166.1408,-35.6393
2022-07-04 16:20:11,214.2589,-66.15434
2022-07-04 16:20:10,198.0457,-61.22652
2022-07-04 16:20:09,172.7595,-43.44326
2022-07-04 16:20:08,229.3494,-64.23397
2022-07-04 16:20:07,193.1605,-68.18324
2022-07-04 16:20:06,231.4895,-75.119
2022-07-04 16:20:05,234.7221,-74.30034
2022-07-04 16:20:04,226.509,-84.67527
2022-07-04 16:20:03,279.9233,-91.1393
2022-07-04 16:20:02,308.8983,-90.23294
2022-07-04 16:20:01,320.4773,-112.54581
2022-07-04 16:20:00,229.8463,-55.01394
2022-07-04 16:19:59,147.75888,-28.61309
2022-07-04 16:19:58,162.12688,-43.53485
2022-07-04 16:19:57,222.1591,-67.51691
2022-07-04 16:19:56,291.2792,-156.32309
2022-07-04 16:19:55,262.1999,-176.7778
2022-07-04 16:19:54,216.183,-80.91259
2022-07-04 16:19:53,229.3344,-68.85706
2022-07-04 16:19:52,191.6717,-44.3385
2022-07-04 16:19:51,218.9735,-72.81522
2022-07-04 16:19:50,222.5214,-105.51876
2022-07-04 16:19:49,165.16473,-108.68774
2022-07-04 16:19:48,207.451,-88.16257
2022-07-04 16:19:47,233.6968,-84.15914
2022-07-04 16:19:46,211.466,-87.21791
2022-07-04 16:19:45,213.8138,-102.79558
2022-07-04 16:19:44,181.1877,-41.53617
2022-07-04 16:19:43,172.3688,-54.75108
2022-07-04 16:19:42,209.2987,-66.24934
2022-07-04 16:19:41,191.2276,-67.01287
2022-07-04 16:19:40,199.4362,-52.25634
2022-07-04 16:19:39,180.8091,-64.32325
2022-07-04 16:19:38,126.1964,-29.40596
2022-07-04 16:19:37,104.72151,-48.8135
2022-07-04 16:19:36,138.83565,-21.94391
2022-07-04 16:19:35,180.4758,-55.74912
2022-07-04 16:19:34,243.9216,-101.68435
2022-07-04 16:19:33,204.8285,-37.64366
2022-07-04 16:19:32,169.1313,-32.36723
2022-07-04 16:19:31,134.28342,-28.25289
2022-07-04 16:19:30,220.7306,-53.69364
2022-07-04 16:19:29,321.9695,-90.40501
2022-07-04 16:19:28,857.3752,-63.03567
2022-07-04 16:19:27,1815.374,-76.78543
2022-07-04 16:19:26,220.1913,-101.96861
2022-07-04 16:19:25,332.3024,-114.68472
2022-07-04 16:19:24,396.6915,-113.95245
2022-07-04 16:19:23,281.2986,-94.81472
2022-07-04 16:19:22,260.0978,-92.20248
