time,free,used,cached,buffers
2022-07-04 18:54:13,25710.23,5677.34,705.043,19.625
2022-07-04 18:54:12,25721.17,5673.684,697.7578,19.62109
2022-07-04 18:54:11,25302.48,6092.23,697.918,19.60938
2022-07-04 18:54:10,25323.42,6072.277,696.9258,19.60938
2022-07-04 18:54:09,25341.1,6057.238,694.3047,19.59375
2022-07-04 18:54:08,25340.85,6057.496,694.3008,19.58594
2022-07-04 18:54:07,25341.16,6057.195,694.293,19.58594
2022-07-04 18:54:06,25341.16,6057.203,694.293,19.57812
2022-07-04 18:54:05,25340.98,6057.387,694.293,19.57812
2022-07-04 18:54:04,25341.18,6057.188,694.2852,19.57812
2022-07-04 18:54:03,25340.94,6057.441,694.2852,19.57031
2022-07-04 18:54:02,25340.88,6057.504,694.2773,19.57031
2022-07-04 18:54:01,25340.91,6057.484,694.2734,19.5625
2022-07-04 18:54:00,25340.7,6057.699,694.2734,19.5625
2022-07-04 18:53:59,25340.95,6057.461,694.2656,19.5625
2022-07-04 18:53:58,25340.64,6057.777,694.2656,19.55469
2022-07-04 18:53:57,25340.86,6057.566,694.2539,19.55469
2022-07-04 18:53:56,25340.6,6057.832,694.2578,19.54688
2022-07-04 18:53:55,25340.7,6057.734,694.2539,19.54688
2022-07-04 18:53:54,25340.45,6057.988,694.2539,19.54688
2022-07-04 18:53:53,25340.97,6057.473,694.2539,19.53906
2022-07-04 18:53:52,25340.69,6057.762,694.2422,19.53906
2022-07-04 18:53:51,25341.23,6057.223,694.25,19.53125
2022-07-04 18:53:50,25341.16,6057.293,694.25,19.53125
2022-07-04 18:53:49,25340.91,6057.547,694.25,19.53125
2022-07-04 18:53:48,25340.63,6057.848,694.2422,19.51562
2022-07-04 18:53:47,25341.23,6057.23,694.2578,19.51562
2022-07-04 18:53:46,25340.91,6057.578,694.2344,19.51562
2022-07-04 18:53:45,25340.91,6057.574,694.2305,19.51562
2022-07-04 18:53:44,25340.88,6057.633,694.2109,19.51562
2022-07-04 18:53:43,25341.45,6057.07,694.2188,19.5
2022-07-04 18:53:42,25341.38,6057.145,694.2148,19.5
2022-07-04 18:53:41,25341.22,6057.301,694.2109,19.5
2022-07-04 18:53:40,25341.07,6057.457,694.2109,19.5
2022-07-04 18:53:39,25341.62,6056.91,694.2031,19.5
2022-07-04 18:53:38,25341.41,6057.145,694.1914,19.49219
2022-07-04 18:53:37,25341.38,6057.195,694.1797,19.48438
2022-07-04 18:53:36,25341.34,6057.23,694.1758,19.48438
2022-07-04 18:53:35,25341.41,6057.176,694.168,19.48438
2022-07-04 18:53:34,25341.65,6056.934,694.1641,19.48438
2022-07-04 18:53:33,25341.91,6056.695,694.1562,19.47656
2022-07-04 18:53:32,25341.36,6057.242,694.1641,19.46875
2022-07-04 18:53:31,25341.93,6056.672,694.1641,19.46875
2022-07-04 18:53:30,25341.59,6057.012,694.1641,19.46875
2022-07-04 18:53:29,25341.38,6057.227,694.1641,19.46875
2022-07-04 18:53:28,25341.68,6056.918,694.1641,19.46875
2022-07-04 18:53:27,25341.41,6057.203,694.1562,19.46094
2022-07-04 18:53:26,25341.41,6057.211,694.1641,19.45312
2022-07-04 18:53:25,25341.38,6057.234,694.1641,19.45312
2022-07-04 18:53:24,25341.12,6057.5,694.1602,19.45312
2022-07-04 18:53:23,25341.19,6057.43,694.1602,19.45312
2022-07-04 18:53:22,25340.95,6057.688,694.1562,19.44531
2022-07-04 18:53:21,25340.95,6057.699,694.1523,19.4375
2022-07-04 18:53:20,25340.88,6057.762,694.1523,19.4375
2022-07-04 18:53:19,25341.19,6057.453,694.1523,19.4375
2022-07-04 18:53:18,25341.16,6057.488,694.1484,19.4375
2022-07-04 18:53:17,25340.95,6057.723,694.1367,19.42969
2022-07-04 18:53:16,25340.88,6057.805,694.125,19.42188
2022-07-04 18:53:15,25341.01,6057.684,694.1211,19.42188
2022-07-04 18:53:14,25340.84,6057.852,694.1172,19.42188
2022-07-04 18:53:13,25341.16,6057.535,694.1172,19.42188
2022-07-04 18:53:12,25341.15,6057.543,694.1172,19.42188
2022-07-04 18:53:11,25341.47,6057.246,694.1133,19.40625
2022-07-04 18:53:10,25341.09,6057.633,694.1055,19.40625
2022-07-04 18:53:09,25340.88,6057.852,694.1016,19.40625
2022-07-04 18:53:08,25341.4,6057.332,694.0977,19.40625
2022-07-04 18:53:07,25341.19,6057.543,694.0938,19.40625
2022-07-04 18:53:06,25341.38,6057.383,694.0859,19.39062
2022-07-04 18:53:05,25341.15,6057.605,694.0859,19.39062
2022-07-04 18:53:04,25341.09,6057.672,694.082,19.39062
2022-07-04 18:53:03,25341.19,6057.574,694.0781,19.39062
2022-07-04 18:53:02,25341.13,6057.641,694.0742,19.39062
2022-07-04 18:53:01,25341.16,6057.633,694.0664,19.375
2022-07-04 18:53:00,25341.41,6057.391,694.0625,19.375
2022-07-04 18:52:59,25341.41,6057.391,694.0625,19.375
2022-07-04 18:52:58,25341.58,6057.227,694.0508,19.375
2022-07-04 18:52:57,25341.37,6057.445,694.0469,19.375
2022-07-04 18:52:56,25341.12,6057.703,694.043,19.36719
2022-07-04 18:52:55,25341.46,6057.371,694.043,19.35938
2022-07-04 18:52:54,25341.64,6057.188,694.043,19.35938
2022-07-04 18:52:53,25341.4,6057.445,694.0312,19.35938
2022-07-04 18:52:52,25341.87,6056.984,694.0234,19.35938
2022-07-04 18:52:51,25341.65,6057.211,694.0195,19.35156
2022-07-04 18:52:50,25341.58,6057.293,694.0156,19.34375
2022-07-04 18:52:49,25341.95,6056.922,694.0156,19.34375
2022-07-04 18:52:48,25341.62,6057.258,694.0117,19.34375
2022-07-04 18:52:47,25341.61,6057.27,694.0078,19.34375
2022-07-04 18:52:46,25341.44,6057.457,693.9961,19.34375
2022-07-04 18:52:45,25341.21,6057.688,694.0039,19.32812
2022-07-04 18:52:44,25341.87,6057.043,693.9961,19.32812
2022-07-04 18:52:43,25341.64,6057.266,693.9961,19.32812
2022-07-04 18:52:42,25341.65,6057.258,693.9961,19.32812
2022-07-04 18:52:41,25341.68,6057.23,693.9922,19.32812
2022-07-04 18:52:40,25341.43,6057.508,693.9844,19.3125
2022-07-04 18:52:39,25341.71,6057.223,693.9844,19.3125
2022-07-04 18:52:38,25341.59,6057.352,693.9805,19.3125
2022-07-04 18:52:37,25341.4,6057.543,693.9805,19.3125
2022-07-04 18:52:36,25341.65,6057.289,693.9805,19.3125
2022-07-04 18:52:35,25341.46,6057.492,693.9766,19.30469
2022-07-04 18:52:34,25341.56,6057.402,693.9766,19.29688
2022-07-04 18:52:33,25341.89,6057.078,693.9688,19.29688
2022-07-04 18:52:32,25341.64,6057.324,693.9688,19.29688
2022-07-04 18:52:31,25341.47,6057.504,693.9648,19.29688
2022-07-04 18:52:30,25341.84,6057.148,693.9609,19.28906
2022-07-04 18:52:29,25341.74,6057.262,693.9531,19.28125
2022-07-04 18:52:28,25341.63,6057.375,693.9492,19.28125
2022-07-04 18:52:27,25341.71,6057.305,693.9414,19.28125
2022-07-04 18:52:26,25341.62,6057.391,693.9414,19.28125
2022-07-04 18:52:25,25341.9,6057.125,693.9375,19.27344
2022-07-04 18:52:24,25341.59,6057.453,693.9258,19.26562
2022-07-04 18:52:23,25342.18,6056.852,693.9336,19.26562
2022-07-04 18:52:22,25342.17,6056.887,693.9141,19.26562
2022-07-04 18:52:21,25342.49,6056.562,693.9141,19.26562
2022-07-04 18:52:20,25342.29,6056.785,693.9023,19.25781
2022-07-04 18:52:19,25342.48,6056.605,693.9023,19.25
2022-07-04 18:52:18,25341.87,6057.219,693.8984,19.25
2022-07-04 18:52:17,25341.93,6057.156,693.8984,19.25
2022-07-04 18:52:16,25341.87,6057.227,693.8906,19.25
2022-07-04 18:52:15,25342.14,6056.969,693.8711,19.25
2022-07-04 18:52:14,25342.11,6057,693.8867,19.23438
2022-07-04 18:52:13,25342.44,6056.68,693.8828,19.23438
2022-07-04 18:52:12,25342.09,6057.027,693.8828,19.23438
2022-07-04 18:52:11,25341.96,6057.156,693.8828,19.23438
2022-07-04 18:52:10,25342.11,6057.004,693.8828,19.23438
2022-07-04 18:52:09,25341.87,6057.273,693.875,19.21875
2022-07-04 18:52:08,25342.11,6057.031,693.8711,19.21875
2022-07-04 18:52:07,25341.89,6057.254,693.8711,19.21875
2022-07-04 18:52:06,25342.11,6057.031,693.8711,19.21875
2022-07-04 18:52:05,25342.4,6056.762,693.8555,19.21875
2022-07-04 18:52:04,25342.15,6057.016,693.8555,19.21094
2022-07-04 18:52:03,25342.21,6056.961,693.8633,19.20312
2022-07-04 18:52:02,25342.14,6057.031,693.8555,19.20312
2022-07-04 18:52:01,25341.98,6057.195,693.8516,19.20312
2022-07-04 18:52:00,25342.39,6056.789,693.8516,19.20312
2022-07-04 18:51:59,25342.42,6056.77,693.8477,19.19531
2022-07-04 18:51:58,25342.08,6057.117,693.8477,19.1875
2022-07-04 18:51:57,25342.55,6056.648,693.8477,19.1875
2022-07-04 18:51:56,25342.3,6056.91,693.8398,19.1875
2022-07-04 18:51:55,25342.45,6056.762,693.832,19.1875
2022-07-04 18:51:54,25342.36,6056.867,693.8281,19.17969
2022-07-04 18:51:53,25342.14,6057.09,693.8281,19.17188
2022-07-04 18:51:52,25342.14,6057.102,693.8164,19.17188
2022-07-04 18:51:51,25342.24,6057.016,693.8086,19.17188
2022-07-04 18:51:50,25342.45,6056.812,693.7969,19.17188
2022-07-04 18:51:49,25342.18,6057.102,693.793,19.16406
2022-07-04 18:51:48,25341.87,6057.418,693.793,19.15625
2022-07-04 18:51:47,25342.18,6057.105,693.7891,19.15625
2022-07-04 18:51:46,25341.89,6057.398,693.7891,19.15625
2022-07-04 18:51:45,25341.9,6057.398,693.7812,19.15625
