time,received,sent
2022-07-05 01:10:38,1.0973069,-3.395907
2022-07-05 01:10:37,5.719812,-10.015377
2022-07-05 01:10:36,532.8797,-621.8321
2022-07-05 01:10:35,1582.0154,-1739.253
2022-07-05 01:10:34,1417.3166,-1460.7289
2022-07-05 01:10:33,668.983,-733.1404
2022-07-05 01:10:32,39061.72,-554.8419
2022-07-05 01:10:31,202258.5,-29317.63
2022-07-05 01:10:30,393211,-135272.68
2022-07-05 01:10:29,585265.3,-178850.5
2022-07-05 01:10:28,711185.3,-157801.77
2022-07-05 01:10:27,396709.1,-218070.3
2022-07-05 01:10:26,323306.9,-122301.62
2022-07-05 01:10:25,250012.9,-207607
2022-07-05 01:10:24,4136.657,-338565.1
2022-07-05 01:10:23,65029.89,-494967.5
2022-07-05 01:10:22,245921.6,-462341.4
2022-07-05 01:10:21,402163.4,-484260.8
2022-07-05 01:10:20,585498,-389337.5
2022-07-05 01:10:19,706843.4,-283406.8
2022-07-05 01:10:18,354893.2,-331903.3
2022-07-05 01:10:17,287020.7,-86427.92
2022-07-05 01:10:16,251581.3,-140888.33
2022-07-05 01:10:15,2002.221,-476227.4
2022-07-05 01:10:14,83266.28,-595027.8
2022-07-05 01:10:13,296677.4,-474400.4
2022-07-05 01:10:12,384433.4,-389289.2
2022-07-05 01:10:11,554997.2,-289256.7
2022-07-05 01:10:10,796270.2,-97699.68
2022-07-05 01:10:09,363908.7,-221792.3
2022-07-05 01:10:08,182676.9,-282950.2
2022-07-05 01:10:07,239927.5,-131681.89
2022-07-05 01:10:06,37630.19,-203027.9
2022-07-05 01:10:05,133838.67,-556017.6
2022-07-05 01:10:04,278815.5,-650155.4
2022-07-05 01:10:03,394054.2,-379511.7
2022-07-05 01:10:02,377323.6,-305028.5
2022-07-05 01:10:01,636897.1,-193379.8
2022-07-05 01:10:00,741060,-225476.5
2022-07-05 01:09:59,301897.9,-274647
2022-07-05 01:09:58,1592.0301,-173240.2
2022-07-05 01:09:57,1146.3788,-240835.2
2022-07-05 01:09:56,31350.68,-592868.4
2022-07-05 01:09:55,111183.47,-428303.2
2022-07-05 01:09:54,276779.7,-325811.1
2022-07-05 01:09:53,539141.3,-361367.9
2022-07-05 01:09:52,551826.8,-388448.2
2022-07-05 01:09:51,529999.7,-142083.5
2022-07-05 01:09:50,608811.9,-238477.9
2022-07-05 01:09:49,252385.3,-309378.4
2022-07-05 01:09:48,1309.3195,-285551.1
2022-07-05 01:09:47,29905.66,-339617
2022-07-05 01:09:46,108424.07,-487528
2022-07-05 01:09:45,259385.6,-466783.2
